date, pm25, pm10, o3, no2, so2, co
2021/5/1, 70, 16, 43, 2, 1, 1
2021/5/2, 59, 18, 40, 7, 3, 1
2021/5/3, 57, 16, 39, 6, 2, 1
2021/5/4, 53, 20, 40, 3, 1, 
2021/5/5, 53, , , , , 
2021/4/10, 58, 20, 42, 4, 20, 1
2021/4/11, 66, 19, 36, 6, 7, 1
2021/4/12, 53, 22, 36, 8, 1, 2
2021/4/13, 46, 16, 38, 6, 1, 1
2021/4/14, 53, 15, 40, 9, 6, 1
2021/4/15, 54, 15, 39, 9, 2, 1
2021/4/16, 48, 22, 38, 9, 1, 1
2021/4/17, 60, 16, 36, 2, 1, 1
2021/4/18, 54, 18, 44, 9, 1, 2
2021/4/19, 60, 20, 46, 13, 4, 2
2021/4/20, 68, 25, 44, 16, 3, 2
2021/4/21, 79, 20, 48, 15, 3, 1
2021/4/22, 67, 20, 43, 10, 14, 1
2021/4/23, 60, 20, 36, 6, 15, 1
2021/4/24, 60, 17, 35, 9, 3, 1
2021/4/25, 58, 18, 38, 11, 4, 1
2021/4/26, 58, 15, 33, 10, 1, 1
2021/4/27, 49, 15, 22, 13, 3, 1
2021/4/28, 47, 13, 31, 11, 1, 1
2021/4/29, 43, 33, 65, 11, 1, 3
2021/4/30, 86, 27, 51, 7, 1, 1
2021/3/1, 31, 9, 31, 4, 1, 1
2021/3/2, 23, 8, 29, 1, 3, 1
2021/3/3, 31, 12, 30, 11, 4, 1
2021/3/4, 38, 15, 28, 15, 2, 2
2021/3/5, 41, 18, 24, 15, 1, 2
2021/3/6, 53, 19, 32, 6, 1, 1
2021/3/7, 59, 15, 22, 12, 2, 2
2021/3/8, 54, 18, 32, 13, 2, 2
2021/3/9, 59, 23, 34, 12, 8, 2
2021/3/10, 71, 21, 37, 16, 5, 2
2021/3/11, 70, 15, 38, 11, 5, 2
2021/3/12, 48, 12, 38, 4, 2, 1
2021/3/13, 39, 23, 43, 5, 2, 2
2021/3/14, 75, 24, 38, 15, 4, 2
2021/3/15, 76, 26, 26, 17, 2, 2
2021/3/16, 71, 25, 37, 11, 3, 2
2021/3/17, 64, 28, 40, 13, 5, 2
2021/3/18, 76, 21, 35, 12, 11, 2
2021/3/19, 64, 15, 35, 13, 12, 2
2021/3/20, 45, 22, 39, 4, 2, 2
2021/3/21, 50, 17, 34, 5, 2, 1
2021/3/22, 60, 19, 39, 11, 3, 2
2021/3/23, 60, 20, 32, 11, 5, 1
2021/3/24, 63, 16, 33, 11, 5, 1
