date, pm25, pm10, o3, no2, so2, co
2021/5/1, 78, 16, 40, 1, 1, 2
2021/5/2, 38, 5, 42, 1, 1, 2
2021/5/3, 44, 10, 46, 2, 1, 2
2021/5/4, 54, 18, 35, 2, , 2
2021/5/5, 20, , , , , 
2021/4/10, 19, 9, 42, 4, , 2
2021/4/11, 42, 9, 40, 4, 1, 2
2021/4/12, 44, 6, 33, 4, 1, 2
2021/4/13, 36, 6, 34, 3, 1, 2
2021/4/14, 43, 6, 32, 3, 1, 2
2021/4/15, 43, 8, 35, 5, 1, 3
2021/4/16, 35, 10, 25, 5, 1, 3
2021/4/17, 27, 7, 39, 1, 1, 2
2021/4/18, 30, 7, 42, 3, 1, 2
2021/4/19, 52, 12, 48, 6, 1, 3
2021/4/20, 59, 12, 57, 5, 1, 3
2021/4/21, 52, 7, 40, 3, 1, 2
2021/4/22, 52, 10, 46, 4, 1, 2
2021/4/23, 64, 15, 48, 7, 1, 3
2021/4/24, 55, 14, 43, 3, 1, 3
2021/4/25, 64, 5, 39, 2, 1, 2
2021/4/26, 48, 6, 42, 4, 1, 2
2021/4/27, 50, 9, 35, 4, 1, 2
2021/4/28, 47, 18, 27, 3, 1, 2
2021/4/29, 23, 14, 52, 3, 1, 3
2021/4/30, 60, 11, 46, 3, 1, 3
2021/3/1, 44, 8, 34, 4, 1, 3
2021/3/2, 33, 4, 34, 4, 1, 2
2021/3/3, 51, 1, 27, 6, 1, 3
2021/3/4, 27, 9, 26, 9, , 3
2021/3/5, 33, 7, 30, 6, 1, 3
2021/3/6, 41, 7, 27, 3, 1, 3
2021/3/7, 41, 15, 21, 9, 1, 4
2021/3/8, 47, 5, 30, 7, 1, 2
2021/3/9, 38, 9, 40, 6, 1, 3
2021/3/10, 43, 9, 37, 7, 1, 3
2021/3/11, 43, 12, 30, 12, 1, 3
2021/3/12, 49, 7, 30, 8, 1, 4
2021/3/13, 22, 5, 39, 3, , 2
2021/3/14, 43, 6, 39, 4, 1, 2
2021/3/15, 43, 10, 34, 10, 1, 4
2021/3/16, 46, 9, 36, 6, 1, 3
2021/3/17, 48, 13, 20, 7, , 3
2021/3/18, 46, 10, 47, 7, 1, 3
2021/3/19, 46, 12, 42, 6, 1, 3
2021/3/20, 48, 15, 30, 6, 1, 3
2021/3/21, 22, 7, 38, 4, 1, 2
2021/3/22, 43, 4, 35, 5, 1, 3
2021/3/23, 37, 10, 42, 3, 1, 3
2021/3/24, 44, 11, 35, 3, 1, 3
2021/3/25, 45, 11, 50, 3, 1, 3
2021/3/26, 49, 13, 49, 3, 1, 3
2021/3/27, 52, 15, 41, 2, , 3
2021/3/28, 48, 17, 23, 3, , 3
2021/3/29, 18, , , , 1, 
2021/2/1, 44, 8, 37, 8, 1, 3
2021/2/2, 36, 4, 34, 3, 1, 3
2021/2/3, 33, 5, 36, 7, 1, 4
2021/2/4, 39, 3, 31, 7, 1, 4
2021/2/5, 35, 8, 33, 12, 1, 4
2021/2/6, 50, 11, 44, 8, 1, 4
2021/2/7, 48, 7, 32, 5, 1, 3
2021/2/8, 42, 2, 32, 3, 1, 3
2021/2/9, 28, 6, 29, 13, 1, 4
2021/2/10, 39, 8, 38, 8, 1, 3
2021/2/11, 41, 13, 22, 16, 1, 6
2021/2/12, 53, 12, 35, 13, 1, 5
2021/2/13, 58, 10, 33, 7, , 3
2021/2/14, 52, 8, 35, 7, 1, 3
2021/2/15, 22, 4, 36, 2, , 2
2021/2/16, 21, 3, 34, 3, 1, 2
2021/2/17, 27, 2, 32, 3, 1, 3
2021/2/18, 30, 4, 31, 9, 1, 4
2021/2/19, 33, 12, 48, 9, 1, 4
2021/2/20, 55, 20, 44, 6, 1, 4
2021/2/21, 73, 16, 45, 11, 1, 4
2021/2/22, 62, 9, 37, 3, , 3
2021/2/23, 30, 2, 34, 3, 1, 2
2021/2/24, 44, 6, 32, 8, 1, 3
2021/2/25, 38, 8, 30, 10, 1, 3
2021/2/26, 33, 6, 36, 3, , 2
2021/2/27, 30, 4, 36, 5, , 3
2021/2/28, 43, 6, 32, 9, 1, 3
2021/1/4, 33, 5, 24, 13, 1, 4
2021/1/5, 33, 11, 17, 18, 1, 4
2021/1/6, 44, 10, 31, 12, 1, 4
2021/1/7, 43, 4, 27, 8, , 4
2021/1/8, 30, 4, 28, 12, , 4
2021/1/9, 31, 4, 26, 11, 1, 4
2021/1/10, 33, 16, 20, 18, 1, 6
2021/1/11, 53, 20, 4, 27, , 7
2021/1/12, 66, 19, 20, 19, 1, 5
2021/1/13, 55, 15, 19, 19, 1, 6
2021/1/14, 57, 20, 22, 19, 1, 7
2021/1/15, 59, 18, 22, 16, , 5
2021/1/16, 67, 6, 26, 9, , 4
2021/1/17, 33, 9, 29, 10, 1, 4
2021/1/18, 43, 3, 32, 2, , 2
2021/1/19, 24, 7, 27, 12, 1, 4
2021/1/20, 36, 14, 24, 20, 1, 6
2021/1/21, 54, 30, 18, 28, 1, 7
2021/1/22, 85, 33, 13, 26, 1, 8
2021/1/23, 88, 5, 20, 9, 1, 4
2021/1/24, 22, 5, 25, 9, 1, 4
2021/1/25, 36, 15, 20, 14, 1, 5
2021/1/26, 57, 16, 28, 11, 1, 4
2021/1/27, 64, 8, 23, 10, 1, 4
2021/1/28, 33, 7, 33, 7, , 3
2021/1/29, 32, 2, 33, 4, , 3
2021/1/30, 24, 8, 32, 8, , 3
2021/1/31, 49, 6, 30, 10, , 4
2020/10/1, 50, 11, 35, 4, 1, 3
2020/10/2, 44, 18, 34, 4, 1, 3
2020/10/3, 55, 17, 32, 3, 1, 3
2020/10/4, 56, 19, 32, 5, 1, 3
2020/10/5, 61, 9, 28, 3, 1, 4
2020/10/6, 38, 10, 28, 4, 1, 2
2020/10/7, 37, 4, 26, 6, 1, 4
2020/10/8, 15, 7, 21, 7, , 4
2020/10/9, 22, 4, 16, 9, , 4
2020/10/10, 21, 7, 25, 3, , 3
