date, pm25, pm10, o3, no2, so2, co
2021/5/1, 50, 22, 44, 1, 1, 1
2021/5/2, 34, 20, 44, 2, 3, 1
2021/5/3, 34, 24, 41, 3, 4, 1
2021/5/4, 51, 21, 24, 3, 1, 
2021/5/5, 47, , , , , 
2021/4/10, 39, 23, 49, 4, 9, 1
2021/4/11, 45, 17, 34, 7, 1, 1
2021/4/12, 31, 15, 41, 5, 1, 1
2021/4/13, 20, 24, 42, 3, 1, 1
2021/4/14, 41, 19, 44, 5, 3, 2
2021/4/15, 37, 18, 35, 7, 1, 1
2021/4/16, 32, 26, 42, 4, 1, 1
2021/4/17, 47, 21, 40, 2, 1, 2
2021/4/18, 31, 24, 53, 5, 1, 1
2021/4/19, 42, 29, 62, 7, 1, 1
2021/4/20, 49, 31, 65, 7, 3, 1
2021/4/21, 59, 34, 58, 7, 2, 1
2021/4/22, 69, 26, 48, 4, 1, 1
2021/4/23, 49, 26, 43, 2, 2, 1
2021/4/24, 46, 22, 47, 2, 1, 1
2021/4/25, 41, 19, 42, 2, 1, 1
2021/4/26, 28, 23, 43, 5, 2, 1
2021/4/27, 38, 19, 34, 4, 1, 1
2021/4/28, 40, 18, 40, 2, , 1
2021/4/29, 30, 38, 72, 4, 1, 1
2021/4/30, 69, 30, 54, 2, 1, 1
2021/3/1, 27, 14, 33, 1, 3, 1
2021/3/2, 26, 21, 31, 1, 4, 2
2021/3/3, 35, 16, 30, 11, 1, 2
2021/3/4, 37, 14, 30, 8, 1, 2
2021/3/5, 33, 16, 32, 5, 1, 1
2021/3/6, 34, 21, 29, 3, 1, 2
2021/3/7, 51, 19, 37, 5, 1, 1
2021/3/8, 44, 24, 28, 11, 1, 2
2021/3/9, 53, 26, 44, 8, 1, 1
2021/3/10, 58, 33, 44, 12, 3, 2
2021/3/11, 70, 23, 33, 9, 2, 1
2021/3/12, 45, 21, 40, 2, 1, 1
2021/3/13, 37, 31, 43, 6, 1, 2
2021/3/14, 72, 27, 43, 9, 1, 3
2021/3/15, 64, 26, 37, 10, 1, 2
2021/3/16, 53, 32, 45, 5, 1, 1
2021/3/17, 55, 38, 45, 9, 8, 2
2021/3/18, 71, 33, 30, 12, 2, 2
2021/3/19, 65, 18, 30, 9, 1, 1
2021/3/20, 37, 19, 39, 3, 1, 1
2021/3/21, 33, 25, 38, 3, 1, 1
2021/3/22, 51, 28, 42, 9, 1, 1
2021/3/23, 51, 32, 41, 8, 6, 1
2021/3/24, 59, 29, 44, 7, 1, 1
2021/3/25, 61, 29, 55, 9, 1, 1
2021/3/26, 54, 29, 48, 7, 3, 1
2021/3/27, 58, 22, 43, 4, 1, 2
2021/3/28, 35, 19, 11, 10, , 2
2021/3/29, 60, , , , , 
2021/2/1, 59, 24, 37, 5, 1, 2
2021/2/2, 40, 21, 34, 7, 1, 2
2021/2/3, 47, 28, 31, 15, 1, 3
2021/2/4, 61, 25, 30, 13, 1, 3
2021/2/5, 58, 17, 33, 8, 1, 2
2021/2/6, 38, 31, 44, 8, 2, 3
2021/2/7, 63, 28, 35, 8, 1, 3
2021/2/8, 68, 19, 32, 11, 1, 2
2021/2/9, 41, 19, 31, 14, 1, 2
2021/2/10, 46, 26, 34, 12, 2, 2
2021/2/11, 65, 34, 32, 17, 6, 4
2021/2/12, 80, 18, 30, 5, 1, 1
2021/2/13, 38, 16, 29, 6, 1, 1
2021/2/14, 25, 18, 37, 3, 1, 1
2021/2/15, 39, 21, 35, 2, 1, 1
2021/2/16, 31, 17, 31, 1, 1, 
2021/2/17, 33, 18, 30, 3, 1, 1
2021/2/18, 39, 22, 36, 9, 1, 2
2021/2/19, 46, 22, 45, 9, 1, 2
2021/2/20, 46, 28, 46, 3, 1, 2
2021/2/21, 52, 22, 37, 7, 1, 1
2021/2/22, 38, 26, 39, 4, 1, 1
2021/2/23, 49, 23, 37, 7, 4, 2
2021/2/24, 47, 25, 34, 7, 4, 2
2021/2/25, 50, 10, 34, 4, 1, 2
2021/2/26, 13, 17, 34, 3, 2, 2
2021/2/27, 28, 16, 34, 1, 1, 1
2021/2/28, 33, 12, 32, 7, 1, 1
2021/1/4, 37, 22, 27, 11, 1, 2
2021/1/5, 60, 17, 29, 10, 1, 2
2021/1/6, 56, 11, 25, 6, 1, 1
2021/1/7, 33, 8, 25, 6, , 2
2021/1/8, 26, 11, 25, 8, , 2
2021/1/9, 39, 15, 27, 10, , 3
