date, pm25, pm10, o3, no2, so2, co
2021/5/1, 69, 13, 42, 11, 1, 3
2021/5/2, 48, 18, 48, 16, 1, 3
2021/5/3, 59, 19, 56, 18, 3, 3
2021/5/4, 60, 17, 28, 16, , 3
2021/5/5, 53, , , , , 
2021/4/1, 68, 39, 46, 18, 1, 4
2021/4/2, 78, 24, 40, 15, 1, 3
2021/4/3, 57, 23, 36, 14, 1, 2
2021/4/4, 55, 9, 39, 10, 1, 2
2021/4/5, 33, 17, 35, 25, 1, 2
2021/4/6, 52, 15, 45, 17, 1, 2
2021/4/7, 47, 17, 44, 19, 1, 2
2021/4/8, 55, 13, 41, 15, 1, 2
2021/4/9, 49, 12, 37, 16, 1, 2
2021/4/10, 44, 13, 46, 16, 1, 2
2021/4/11, 52, 15, 41, 16, 1, 2
2021/4/12, 45, 11, 38, 20, 1, 2
2021/4/13, 39, 11, 42, 17, 1, 2
2021/4/14, 38, 14, 43, 20, 1, 3
2021/4/15, 39, 15, 38, 21, 1, 2
2021/4/16, 47, 11, 34, 24, 1, 3
2021/4/17, 41, 21, 38, 14, 1, 2
2021/4/18, 54, 27, 43, 17, 1, 4
2021/4/19, 65, 33, 72, 29, 1, 4
2021/4/20, 77, 28, 53, 27, 1, 3
2021/4/21, 86, 19, 44, 29, 1, 3
2021/4/22, 60, 22, 52, 24, 1, 2
2021/4/23, 68, 26, 54, 18, 1, 2
2021/4/24, 68, 16, 46, 14, 1, 3
2021/4/25, 56, 14, 41, 9, 1, 1
2021/4/26, 52, 14, 47, 22, 1, 2
2021/4/27, 52, 17, 30, 24, 1, 3
2021/4/28, 56, 7, 33, 20, 1, 2
2021/4/29, 33, 23, 56, 21, 1, 3
2021/4/30, 61, 30, 48, 18, 1, 3
2021/3/1, 49, 11, 33, 23, 2, 3
2021/3/2, 31, 15, 35, 16, 2, 2
2021/3/3, 44, 14, 34, 26, 4, 4
2021/3/4, 48, 10, 29, 10, 1, 2
2021/3/5, 32, 16, 37, 19, 3, 2
2021/3/6, 47, 15, 34, 9, 3, 2
2021/3/7, 44, 13, 33, 16, 3, 2
2021/3/8, 39, 17, 33, 30, 3, 3
2021/3/9, 46, 22, 39, 24, 4, 3
2021/3/10, 55, 19, 36, 30, 4, 3
2021/3/11, 53, 21, 33, 31, 4, 4
2021/3/12, 59, 12, 41, 20, 3, 3
2021/3/13, 37, 18, 39, 13, 3, 2
2021/3/14, 46, 24, 43, 29, 2, 4
2021/3/15, 69, 36, 39, 35, 2, 5
2021/3/16, 91, 36, 39, 17, 3, 5
2021/3/17, 66, 26, 39, 24, 2, 3
2021/3/18, 59, 19, 38, 23, 2, 3
2021/3/19, 53, 23, 46, 16, 3, 3
2021/3/20, 55, 11, 36, 19, 2, 3
