date, pm25, pm10, o3, no2, so2, co
2021/5/1, 53, 8, 39, 1, , 
2021/5/2, 26, 18, 41, 6, , 
2021/5/3, 51, 18, 47, 7, , 
2021/5/4, 56, 19, 27, 4, , 
2021/5/5, 60, , , , , 
2021/4/10, 41, 8, 37, 5, , 
2021/4/11, 33, 12, 38, 6, , 
2021/4/12, 37, 16, 34, 3, , 
2021/4/13, 33, 15, 36, 6, , 
2021/4/14, 38, 9, 39, 8, , 
2021/4/15, 35, 12, 38, 5, , 
2021/4/16, 36, 8, 30, 5, , 
2021/4/17, 25, 19, 37, 2, , 
2021/4/18, 52, 22, 40, 11, , 
2021/4/19, 59, 25, 40, 21, , 
2021/4/20, 69, 26, 66, 20, , 
2021/4/21, 73, 19, 47, 14, , 
2021/4/22, 60, 17, 46, 12, , 
2021/4/23, 53, 20, 44, 4, , 
2021/4/24, 56, 13, 43, 5, , 
2021/4/25, 43, 12, 38, 7, , 
2021/4/26, 38, 12, 40, 5, , 
2021/4/27, 36, 16, 31, 8, , 
2021/4/28, 49, 10, 29, 5, , 
2021/4/29, 30, 22, 56, 7, , 
2021/4/30, 54, 20, 51, 5, , 
2021/3/1, 31, 6, 33, 4, , 
2021/3/2, 18, 9, 35, 9, , 
2021/3/3, 35, 10, 30, 10, , 
2021/3/4, 38, 9, 20, 9, , 
2021/3/5, 30, 10, 36, 8, , 
2021/3/6, 34, 10, 34, 3, , 
2021/3/7, 38, 7, 32, 5, , 
2021/3/8, 31, 8, 27, 9, , 
2021/3/9, 32, 16, 39, 9, , 
2021/3/10, 55, 12, 30, 11, , 
2021/3/11, 43, 16, 28, 15, , 
2021/3/12, 51, 10, 39, 2, , 
2021/3/13, 34, 17, 35, 7, , 
2021/3/14, 53, 30, 39, 17, , 
2021/3/15, 84, 35, 25, 20, , 
2021/3/16, 86, 24, 38, 4, , 
2021/3/17, 59, 20, 36, 10, , 
2021/3/18, 55, 18, 39, 12, , 
2021/3/19, 54, 17, 35, 8, , 
2021/3/20, 45, 22, 36, 6, , 
2021/3/21, 43, 16, 33, 4, , 
2021/3/22, 54, 15, 34, 12, , 
2021/3/23, 54, 19, 41, 12, , 
2021/3/24, 60, 28, 30, 15, , 
2021/3/25, 74, , , , , 
2021/2/1, 71, 15, 34, 5, , 
2021/2/2, 51, 10, 25, 4, , 
2021/2/3, 44, 11, 34, 13, , 
2021/2/4, 51, 14, 29, 18, , 
2021/2/5, 56, 16, 27, 18, , 
2021/2/6, 59, 23, 43, 10, , 
2021/2/7, 72, 16, 31, 6, , 
2021/2/8, 50, 9, 26, 7, , 
2021/2/9, 40, 13, 23, 16, , 
2021/2/10, 51, 22, 39, 14, , 
2021/2/11, 70, 23, 30, 16, , 
2021/2/12, 76, 28, 25, 18, , 
2021/2/13, 82, 20, 29, 10, , 
2021/2/14, 60, 11, 35, 4, , 
2021/2/15, 31, 9, 33, 2, , 
2021/2/16, 34, 7, 31, 2, , 
2021/2/17, 31, 8, 28, 3, , 
2021/2/18, 40, 12, 29, 8, , 
2021/2/19, 44, 17, 40, 12, , 
2021/2/20, 60, 21, 46, 12, , 
2021/2/21, 66, 17, 39, 12, , 
2021/2/22, 56, 19, 34, 4, , 
2021/2/23, 59, 10, 31, 8, , 
2021/2/24, 39, 9, 19, 10, , 
2021/2/25, 39, 8, 26, 10, , 
2021/2/26, 36, 9, 35, 5, , 
2021/2/27, 38, 8, 29, 4, , 
2021/2/28, 32, 9, 31, 6, , 
2021/1/4, 49, 16, 24, 14, , 
2021/1/5, 61, 9, 30, 5, , 
2021/1/6, 35, 7, 27, 6, , 
2021/1/7, 30, 5, 27, 3, , 
2021/1/8, 24, 6, 29, 4, , 
2021/1/9, 32, 8, 28, 3, , 
2021/1/10, 41, 18, 26, 10, , 
2021/1/11, 64, 20, 14, 18, , 
2021/1/12, 74, 20, 21, 18, , 
2021/1/13, 64, 32, 26, 20, , 
2021/1/14, 84, 34, 23, 17, , 
2021/1/15, 90, 29, 30, 12, , 
2021/1/16, 82, 12, 30, 4, , 
2021/1/17, 46, 9, 28, 7, 2, 
2021/1/18, 39, 9, 29, 4, , 
2021/1/19, 37, 8, 29, 9, , 
2021/1/20, 37, 16, 20, 17, 1, 
2021/1/21, 61, 25, 5, 20, , 
2021/1/22, 79, 13, 24, 10, , 
2021/1/23, 48, 5, 26, 5, , 
2021/1/24, 24, 8, 28, 12, , 
2021/1/25, 32, 13, 18, 14, , 
2021/1/26, 45, 14, 31, 12, , 
2021/1/27, 51, 15, 35, 11, , 
2021/1/28, 57, 8, 31, 1, , 
2021/1/29, 38, 13, 29, 6, , 
2021/1/30, 47, 23, 36, 5, , 
2021/1/31, 67, 21, 12, 14, , 
2020/10/1, 33, 18, 37, 8, , 
2020/10/2, 48, 23, 37, 6, , 
2020/10/3, 62, 29, 29, 5, , 
2020/10/4, 70, 16, 32, 4, , 
2020/10/5, 58, 5, 27, 4, , 
