date, pm25, pm10, o3, no2, so2, co
2021/5/1, 56, 18, 49, 6, 7, 2
2021/5/2, 51, 17, 43, 5, 2, 2
2021/5/3, 50, 23, 41, 9, 16, 2
2021/5/4, 64, 16, 43, 1, 1, 2
2021/5/5, 40, , , , , 
2021/4/10, 47, 14, 35, 11, 2, 2
2021/4/11, 49, 18, 37, 18, 3, 2
2021/4/12, 50, 15, 34, 19, 3, 3
2021/4/13, 41, 20, 36, 9, 5, 2
2021/4/14, 50, 14, 35, 14, 14, 3
2021/4/15, 50, 21, 43, 21, 11, 3
2021/4/16, 61, 26, 32, 23, 4, 3
2021/4/17, 61, 19, 37, 5, 4, 2
2021/4/18, 54, 20, 36, 7, 3, 2
2021/4/19, 56, 20, 52, 13, 12, 3
2021/4/20, 62, 22, 61, 20, 15, 3
2021/4/21, 71, 25, 57, 18, 8, 3
2021/4/22, 71, 22, 45, 22, 7, 3
2021/4/23, 64, 24, 38, 27, 10, 3
2021/4/24, 66, 17, 49, 8, 3, 2
2021/4/25, 55, 14, 42, 9, 7, 2
2021/4/26, 46, 15, 37, 14, 7, 2
2021/4/27, 51, 25, 42, 25, 7, 2
2021/4/28, 56, 15, 33, 18, 2, 3
2021/4/29, 43, 27, 24, 7, 9, 3
2021/4/30, 67, 22, 55, 5, 7, 2
2021/3/1, 41, 13, 35, 6, 2, 3
2021/3/2, 28, 14, 35, 6, 1, 3
2021/3/3, 43, 15, 27, 15, 11, 4
2021/3/4, 51, 17, 12, 14, 7, 2
2021/3/5, 47, 20, 35, 13, 4, 4
2021/3/6, 55, 17, 30, 8, 3, 3
2021/3/7, 58, 20, 32, 12, 5, 3
2021/3/8, 59, 17, 24, 14, 9, 3
2021/3/9, 53, 20, 35, 10, 4, 4
2021/3/10, 64, 21, 24, 20, 7, 4
2021/3/11, 65, 24, 21, 23, 2, 3
2021/3/12, 65, 18, 39, 14, 5, 4
2021/3/13, 53, 19, 35, 8, 2, 3
2021/3/14, 64, 32, 39, 14, 8, 5
2021/3/15, 90, 30, 36, 15, 3, 5
2021/3/16, 78, 33, 45, 19, 3, 4
2021/3/17, 78, 29, 32, 17, 10, 3
2021/3/18, 76, 29, 29, 25, 13, 4
2021/3/19, 78, 26, 15, 26, 7, 5
2021/3/20, 71, 24, 37, 18, 3, 4
2021/3/21, 56, 23, 38, 8, 6, 3
2021/3/22, 68, 17, 41, 7, 2, 3
2021/3/23, 52, 22, 38, 13, 9, 3
2021/3/24, 66, 20, 34, 20, 7, 2
2021/3/25, 57, 24, 17, 7, 1, 2
2021/3/26, 53, , , , , 
2021/2/1, 63, 21, 34, 10, 3, 5
2021/2/2, 52, 15, 32, 9, 5, 5
2021/2/3, 53, 16, 36, 12, 3, 5
2021/2/4, 54, 16, 35, 13, 2, 5
2021/2/5, 59, 14, 35, 11, 11, 5
2021/2/6, 50, 27, 41, 9, 1, 5
2021/2/7, 73, 26, 33, 10, 6, 5
2021/2/8, 75, 15, 31, 8, 1, 5
2021/2/9, 50, 13, 36, 11, 2, 4
2021/2/10, 41, 22, 39, 14, 3, 5
2021/2/11, 71, 26, 32, 20, 2, 6
2021/2/12, 81, 36, 16, 26, 10, 7
2021/2/13, 95, 33, 24, 25, 6, 6
2021/2/14, 80, 23, 38, 12, 7, 5
2021/2/15, 53, 13, 34, 6, 4, 4
2021/2/16, 45, 14, 33, 6, 4, 4
2021/2/17, 48, 14, 28, 7, 4, 4
2021/2/18, 50, 15, 34, 9, 1, 4
