date, pm25, pm10, o3, no2, so2
2021/5/1, 40, 10, 44, 1, 1
2021/5/2, 44, 8, 42, 1, 1
2021/5/3, 38, 12, 39, 1, 3
2021/5/4, 48, 9, 40, , 1
2021/5/5, 34, , , , 
2021/4/10, 33, 9, 44, 2, 2
2021/4/11, 40, 10, 32, 2, 3
2021/4/12, 36, 6, 39, 1, 1
2021/4/13, 23, 10, 41, 1, 1
2021/4/14, 38, 7, 43, 1, 1
2021/4/15, 34, 10, 33, 2, 1
2021/4/16, 40, 15, 40, 1, 
2021/4/17, 48, 9, 39, 1, 1
2021/4/18, 39, 11, 50, 1, 1
2021/4/19, 45, 12, 65, 2, 1
2021/4/20, 49, 15, 67, 4, 1
2021/4/21, 57, 17, 68, 3, 1
2021/4/22, 61, 16, 50, 2, 1
2021/4/23, 58, 14, 45, 1, 1
2021/4/24, 50, 11, 46, 1, 1
2021/4/25, 43, 7, 41, 1, 1
2021/4/26, 30, 10, 37, 1, 2
2021/4/27, 42, 9, 29, 1, 
2021/4/28, 36, 8, 39, 1, 
2021/4/29, 34, 18, 59, 1, 1
2021/4/30, 62, 11, 50, 1, 
2021/3/1, 18, 4, 36, 1, 1
2021/3/2, 19, 8, 33, 2, 
2021/3/3, 35, 6, 28, 1, 
2021/3/4, 33, 6, 33, 3, 1
2021/3/5, 18, 3, 32, 1, 
2021/3/6, 13, 11, 32, 2, 1
2021/3/7, 43, 7, 36, 1, 
2021/3/8, 30, 7, 34, 2, 1
2021/3/9, 30, 16, 46, 2, 1
2021/3/10, 54, 15, 40, 2, 2
2021/3/11, 56, 11, 36, 2, 
2021/3/12, 37, 13, 41, 1, 
2021/3/13, 44, 17, 43, 1, 
2021/3/14, 64, 14, 44, 2, 1
2021/3/15, 57, 9, 31, 2, 
2021/3/16, 39, 24, 42, 1, 1
2021/3/17, 64, 16, 40, 3, 1
2021/3/18, 52, 20, 39, 4, 2
2021/3/19, 63, 12, 29, 1, 1
2021/3/20, 40, 10, 41, 1, 1
2021/3/21, 9, 13, 39, 1, 1
2021/3/22, 47, 15, 44, 1, 1
2021/3/23, 47, 16, 43, 1, 
2021/3/24, 53, 12, 45, 1, 
2021/3/25, 47, 14, 55, 2, 
2021/3/26, 52, 17, 45, 1, 6
2021/3/27, 56, 12, 48, 1, 1
2021/3/28, 41, 17, 34, 2, 
2021/3/29, 61, , , , 
2021/2/1, 42, 17, 36, 2, 1
2021/2/2, 67, 9, 30, 1, 1
2021/2/3, 43, 10, 35, 2, 1
2021/2/4, 43, 9, 24, 3, 1
2021/2/5, 36, 7, 31, 1, 
2021/2/6, 31, 20, 42, 2, 1
2021/2/7, 63, 11, 35, 2, 
2021/2/8, 41, 5, 31, 1, 
2021/2/9, 22, 5, 33, 1, 1
2021/2/10, 25, 17, 43, 4, 1
2021/2/11, 56, 15, 34, 2, 3
2021/2/12, 58, 9, 31, 2, 1
2021/2/13, 41, 4, 27, 1, 3
2021/2/14, 22, 9, 36, 1, 1
2021/2/15, 36, 8, 33, 1, 1
2021/2/16, 36, 7, 32, 1, 
2021/2/17, 41, 9, 32, 1, 
2021/2/18, 42, 9, 27, 2, 1
2021/2/19, 41, 10, 35, 2, 1
2021/2/20, 42, 13, 41, 1, 1
2021/2/21, 52, 9, 35, 1, 
2021/2/22, 40, 14, 38, 1, 1
2021/2/23, 54, 9, 36, 2, 1
2021/2/24, 39, 13, 35, 3, 4
2021/2/25, 52, 3, 31, 3, 2
2021/2/26, 23, 6, 32, 2, 1
2021/2/27, 30, 6, 34, 1, 2
2021/2/28, 30, 4, 32, 1, 2
2021/1/4, 35, 11, 36, 2, 1
2021/1/5, 50, 8, 33, 1, 1
2021/1/6, 35, 6, 28, 1, 1
2021/1/7, 34, 5, 26, 2, 1
2021/1/8, 23, 6, 28, 1, 1
2021/1/9, 25, 6, 28, 1, 1
2021/1/10, 25, 8, 23, 1, 
2021/1/11, 36, 9, 28, 2, 1
2021/1/12, 38, 13, 12, 3, 
2021/1/13, 56, 14, 17, 4, 
2021/1/14, 56, 14, 21, 3, 
2021/1/15, 55, 22, 36, 2, 1
2021/1/16, 67, 7, 32, 1, 
2021/1/17, 33, 12, 33, 2, 
2021/1/18, 46, 8, 36, 3, 1
2021/1/19, 37, 9, 29, 3, 3
2021/1/20, 37, 12, 25, 2, 2
2021/1/21, 50, 12, 18, 8, 
2021/1/22, 46, 4, 25, 10, 
2021/1/23, 18, 5, 33, 1, 
2021/1/24, 22, 5, 27, 3, 1
2021/1/25, 24, 7, 32, 2, 1
2021/1/26, 24, 9, 36, 1, 
2021/1/27, 34, 12, 38, 2, 
2021/1/28, 45, 8, 32, 1, 
2021/1/29, 42, 16, 31, 2, 1
2021/1/30, 54, 17, 35, 2, 1
2021/1/31, 61, 10, 38, 2, 5
2020/10/1, 26, 15, 35, 1, 4
2020/10/2, 47, 24, 32, 1, 1
2020/10/3, 69, 26, 24, 1, 1
2020/10/4, 72, 10, 33, 1, 1
2020/10/5, 33, 6, 33, 1, 1
2020/10/6, 18, 6, 34, 2, 1
2020/10/7, 19, 6, 31, 4, 1
2020/10/8, 20, 10, 32, 1, 1
2020/10/9, 25, 5, 32, 1, 
2020/10/10, 19, 9, 32, 1, 1
2020/10/11, 30, 11, 36, 1, 1
2020/10/12, 37, 17, 46, 1, 1
2020/10/13, 56, 11, 39, 1, 1
2020/10/14, 36, 11, 46, 1, 
2020/10/15, 36, 8, 32, 2, 
2020/10/16, 28, 7, 37, 1, 
2020/10/17, 25, 10, 40, 1, 1
2020/10/18, 37, 9, 40, 1, 1
2020/10/19, 31, 9, 35, 2, 1
2020/10/20, 31, 11, 30, 1, 2
2020/10/21, 39, 6, 31, 1, 1
2020/10/22, 22, 13, 35, 1, 
2020/10/23, 40, 7, 32, 1, 
2020/10/24, 23, 9, 33, 1, 
2020/10/25, 32, 9, 35, 1, 
2020/10/26, 38, 12, 45, 1, 1
2020/10/27, 49, 13, 28, 1, 
2020/10/28, 48, 21, 57, 2, 1
2020/10/29, 66, 10, 36, 1, 1
2020/10/30, 35, 10, 32, 1, 3
2020/10/31, 35, 12, 31, 1, 1
2020/11/1, 42, 11, 34, 1, 
2020/11/2, 35, 12, 37, 1, 1
2020/11/3, 40, 6, 32, 1, 1
2020/11/4, 24, 6, 28, 1, 1
2020/11/5, 25, 12, 27, 1, 2
2020/11/6, 44, 10, 21, 1, 
2020/11/7, 37, 18, 49, 1, 1
2020/11/8, 58, 6, 32, 1, 
2020/11/9, 20, 8, 31, 2, 1
2020/11/10, 33, 7, 29, 2, 
2020/11/11, 33, 10, 28, 3, 1
2020/11/12, 42, 10, 38, 3, 1
2020/11/13, 48, 12, 43, 2, 1
2020/11/14, 53, 15, 29, 1, 2
2020/11/15, 59, 14, 18, 1, 1
2020/11/16, 54, 13, 24, 1, 2
2020/11/17, 47, 14, 29, 1, 1
2020/11/18, 54, 8, 27, 1, 2
2020/11/19, 27, 11, 30, 1, 
2020/11/20, 47, 8, 29, 2, 1
2020/11/21, 36, 9, 24, 1, 1
2020/11/22, 38, 10, 29, 1, 
2020/11/23, 43, 7, 25, 2, 
2020/11/24, 34, 10, 27, 3, 
2020/11/25, 41, 10, 30, 3, 1
2020/11/26, 43, 11, 33, 2, 1
2020/11/27, 53, 8, 30, 1, 
2020/11/28, 36, 8, 27, 1, 1
2020/11/29, 33, 8, 32, 2, 1
2020/11/30, 36, 6, 30, 3, 1
2020/12/1, 27, 6, 29, 3, 1
2020/12/2, 25, 7, 34, 3, 1
2020/12/3, 35, 9, 28, 2, 1
2020/12/4, 36, 7, 34, 2, 1
2020/12/5, 30, 7, 34, 1, 
2020/12/6, 29, 11, 33, 2, 1
2020/12/7, 41, 16, 33, 2, 1
2020/12/8, 61, 9, 27, 3, 1
2020/12/9, 36, 5, 27, 3, 1
2020/12/10, 23, 7, 24, 2, 1
2020/12/11, 27, 15, 41, 2, 1
2020/12/12, 57, 13, 31, 2, 1
2020/12/13, 52, 8, 30, 1, 
2020/12/14, 35, 5, 28, 1, 
2020/12/15, 25, 6, 30, 1, 
2020/12/16, 30, 4, 30, 3, 
2020/12/17, 22, 7, 30, 3, 1
2020/12/18, 27, 8, 31, 2, 
2020/12/19, 35, 5, 31, 2, 
2020/12/20, 22, 10, 31, 3, 1
2020/12/21, 44, 19, 32, 4, 1
2020/12/22, 69, 22, 28, 5, 1
2020/12/23, 75, 12, 24, 3, 
2020/12/24, 51, 9, 30, 2, 1
2020/12/25, 37, 9, 22, 3, 1
2020/12/26, 37, 9, 13, 2, 1
2020/12/27, 37, 6, 32, 2, 1
2020/12/28, 29, 8, 16, 2, 1
2020/12/29, 34, 5, 31, 1, 
2020/12/30, 28, 5, 30, 1, 1
2020/12/31, 20, 5, 26, 1, 
2021/1/1, 21, 8, 17, 1, 
2021/1/2, 38, 8, 33, 1, 1
2021/1/3, 31, 8, 32, 2, 1
2020/7/1, 29, 9, 42, 1, 1
2020/7/2, 33, 11, 26, 1, 1
2020/7/3, 37, 5, 30, 1, 
2020/7/4, 16, 9, 31, 1, 
2020/7/5, 27, 2, 29, 1, 
2020/7/6, 6, 5, 28, 1, 
2020/7/7, 14, 9, 34, 1, 1
2020/7/8, 28, 7, 25, 1, 1
2020/7/9, 19, 4, 23, 1, 1
2020/7/10, 9, 10, 24, 1, 
2020/7/11, 29, 7, 28, 1, 
2020/7/12, 21, 9, 22, 1, 
2020/7/13, 23, 3, 33, 1, 
2020/7/14, 13, 5, 23, 1, 
