date, pm25, pm10, o3, no2, so2, co
2021/5/1, 52, 10, 45, , 1, 
2021/5/2, 35, 7, 42, , 1, 
2021/5/3, 40, 10, 39, , 2, 
2021/5/4, 42, 12, 25, , , 
2021/5/5, 29, , , , , 
2021/4/10, 48, 9, 37, , 1, 
2021/4/11, 37, 15, 34, , 1, 
2021/4/12, 36, 17, 36, , , 
2021/4/13, 33, 12, 37, , 1, 
2021/4/14, 34, 8, 39, , 1, 
2021/4/15, 36, 9, 36, , 1, 
2021/4/16, 34, 13, 41, , 1, 
2021/4/17, 37, 10, 36, , , 
2021/4/18, 42, 12, 41, , 1, 
2021/4/19, 43, 16, 49, , 4, 
2021/4/20, 52, 18, 64, , 2, 
2021/4/21, 57, 12, 50, , 1, 
2021/4/22, 48, 16, 44, , 1, 
2021/4/23, 39, 11, 35, , , 
2021/4/24, 37, 12, 42, , 1, 
2021/4/25, 40, 9, 38, , 1, 
2021/4/26, 36, 10, 37, , 1, 
2021/4/27, 38, 12, 27, , 2, 
2021/4/28, 33, 12, 39, , 1, 
2021/4/29, 33, 21, 66, , 1, 
2021/4/30, 60, 16, 53, , 1, 
2021/3/1, 31, 4, 32, 1, 1, 
2021/3/2, 26, 7, 30, 4, 1, 
2021/3/3, 33, 12, 28, 4, 1, 
2021/3/4, 31, 9, 32, 1, 1, 
2021/3/5, 34, 10, 25, 3, 1, 
2021/3/6, 30, 18, 27, 1, , 
2021/3/7, 40, 12, 28, 4, , 
2021/3/8, 41, 13, 31, 3, , 
2021/3/9, 41, 16, 40, 4, , 
2021/3/10, 45, 16, 42, 4, 1, 
2021/3/11, 50, 17, 35, 3, , 
2021/3/12, 37, 5, 36, 1, 1, 
2021/3/13, 32, 17, 40, 1, 1, 
2021/3/14, 48, 20, 41, 4, 1, 
2021/3/15, 57, 22, 40, 2, 6, 
2021/3/16, 59, 18, 42, 3, 2, 
2021/3/17, 49, 16, 37, 4, 1, 
2021/3/18, 48, 14, 32, 4, , 
2021/3/19, 39, 10, 32, 1, , 
2021/3/20, 31, 10, 39, 1, , 
2021/3/21, 28, 13, 38, 1, , 
2021/3/22, 45, 12, 35, 4, 5, 
2021/3/23, 41, 12, 37, 3, 1, 
2021/3/24, 42, 11, 33, 3, 1, 
2021/3/25, 38, 15, 48, 4, 1, 
2021/3/26, 46, 15, 49, 3, 1, 
2021/3/27, 46, 11, 46, 1, , 
2021/3/28, 28, 19, 47, 1, , 
2021/3/29, 38, , , , , 
2021/2/1, 49, 19, 40, 1, 1, 
2021/2/2, 44, 8, 33, 1, 1, 
2021/2/3, 36, 13, 40, 3, , 
2021/2/4, 43, 12, 31, 4, 5, 
2021/2/5, 43, 11, 30, 3, , 
2021/2/6, 33, 12, 39, 1, 1, 
2021/2/7, 39, 16, 36, 1, 1, 
2021/2/8, 51, 7, 30, 7, 1, 
2021/2/9, 34, 6, 31, 5, 1, 
2021/2/10, 36, 15, 34, 5, 1, 
2021/2/11, 39, 20, 35, 8, 1, 
2021/2/12, 52, 13, 28, 1, , 
2021/2/13, 29, 10, 27, 1, , 
2021/2/14, 27, 9, 35, 1, , 
2021/2/15, 27, 7, 32, 1, , 
2021/2/16, 31, 6, 32, , , 
2021/2/17, 29, 5, 31, 1, , 
2021/2/18, 29, 9, 35, 2, 1, 
2021/2/19, 37, 10, 43, 1, 1, 
2021/2/20, 37, 14, 43, 1, , 
2021/2/21, 43, 10, 37, 1, , 
2021/2/22, 33, 19, 39, 2, 1, 
2021/2/23, 47, 14, 33, 5, 1, 
2021/2/24, 43, 13, 33, 7, 1, 
2021/2/25, 36, 2, 30, 6, , 
2021/2/26, 26, , , , , 
2021/1/4, 32, 11, 23, 5, 3, 
2021/1/5, 34, 10, 32, 2, 1, 
2021/1/6, 33, 5, 27, 1, , 
2021/1/7, 28, 4, 26, 1, 1, 
2021/1/8, 26, 5, 29, 2, 2, 
2021/1/9, 27, 5, 29, 1, 1, 
2021/1/10, 29, 9, 27, 3, 3, 
2021/1/11, 32, 10, 28, 3, 1, 
2021/1/12, 31, 15, 30, 5, 1, 
2021/1/13, 45, 20, 32, 6, , 
2021/1/14, 59, 21, 32, 5, , 
2021/1/15, 57, 18, 36, 3, 1, 
2021/1/16, 50, 11, 31, 1, 1, 
2021/1/17, 41, 10, 33, 2, 1, 
2021/1/18, 34, 13, 30, 3, 2, 
2021/1/19, 47, 15, 27, 7, 2, 
2021/1/20, 40, 19, 27, 6, 1, 
2021/1/21, 44, 24, 24, 5, 1, 
2021/1/22, 43, 12, 21, 5, , 
2021/1/23, 28, 6, 23, 1, 1, 
2021/1/24, 28, 8, 28, 5, , 
2021/1/25, 30, 12, 29, 4, , 
2021/1/26, 28, 7, 30, 4, 1, 
2021/1/27, 32, 11, 37, 2, 1, 
2021/1/28, 36, 8, 32, 1, , 
2021/1/29, 36, 10, 36, 2, 1, 
2021/1/30, 39, 20, 37, 3, 2, 
2021/1/31, 55, 15, 33, 3, 2, 
2020/10/1, 34, 11, 34, 2, 1, 
2020/10/2, 34, 11, 34, 1, , 
2020/10/3, 33, 10, 31, 1, , 
2020/10/4, 33, 16, 35, 2, 1, 
2020/10/5, 33, 9, 30, 2, 1, 
2020/10/6, 28, 11, 33, 3, 1, 
2020/10/7, 32, 10, 29, 2, , 
2020/10/8, 31, 7, 28, 2, , 
2020/10/9, 26, 11, 28, 1, 2, 
2020/10/10, 33, 13, 27, 1, 1, 
2020/10/11, 30, 16, 34, 2, 1, 
2020/10/12, 33, 16, 37, 2, 3, 
2020/10/13, 35, 18, 38, 3, 1, 
2020/10/14, 39, 15, 38, 3, 2, 
2020/10/15, 37, 12, 31, 2, 1, 
2020/10/16, 32, 5, 27, 3, 1, 
2020/10/17, 22, 6, 29, 1, 1, 
2020/10/18, 31, 10, 27, 2, 1, 
2020/10/19, 26, 9, 34, 2, , 
2020/10/20, 36, 10, 30, 3, , 
2020/10/21, 33, 13, 24, 2, , 
2020/10/22, 24, 9, 35, 1, , 
2020/10/23, 32, 7, 34, 1, , 
2020/10/24, 28, 9, 33, 1, 1, 
2020/10/25, 31, 12, 35, 3, 1, 
2020/10/26, 34, 19, 34, 3, 2, 
2020/10/27, 38, 24, 36, 3, 1, 
2020/10/28, 40, 29, 47, 4, 2, 
2020/10/29, 45, 18, 33, 3, 1, 
2020/10/30, 36, 8, 32, 3, 1, 
2020/10/31, 29, 11, 25, 2, 1, 
2020/11/1, 31, 6, 23, 2, , 
2020/11/2, 24, 8, 37, 1, 1, 
2020/11/3, 30, 9, 28, 3, 2, 
2020/11/4, 32, 11, 33, 3, 2, 
2020/11/5, 32, 14, 26, 4, , 
2020/11/6, 32, 7, 30, 1, , 
2020/11/7, 27, 14, 37, 1, 1, 
2020/11/8, 33, 16, 33, 3, 2, 
2020/11/9, 47, 10, 29, 3, 2, 
2020/11/10, 31, 11, 28, 3, 1, 
2020/11/11, 34, 11, 28, 4, 1, 
2020/11/12, 34, 12, 29, 3, 1, 
2020/11/13, 36, 16, 36, 4, , 
2020/11/14, 40, 14, 31, 2, 1, 
2020/11/15, 39, 12, 25, 3, , 
2020/11/16, 32, 13, 22, 3, 1, 
2020/11/17, 30, 11, 17, 3, , 
2020/11/18, 34, 8, 26, 2, , 
2020/11/19, 29, 11, 29, 1, 1, 
2020/11/20, 29, 12, 30, 3, 1, 
2020/11/21, 34, 11, 34, 1, 1, 
2020/11/22, 33, 8, 30, 1, , 
2020/11/23, 28, 12, 27, 3, 1, 
2020/11/24, 35, 15, 25, 3, 2, 
2020/11/25, 35, 16, 31, 4, 2, 
2020/11/26, 37, 14, 32, 2, 1, 
2020/11/27, 36, 8, 29, 1, , 
2020/11/28, 27, 8, 30, 1, 1, 
2020/11/29, 29, 11, 23, 5, , 
2020/11/30, 29, 10, 27, 5, 3, 
2020/12/1, 34, 11, 29, 6, 1, 
2020/12/2, 31, 11, 24, 5, 1, 
2020/12/3, 33, 10, 29, 5, 1, 
2020/12/4, 33, 14, 29, 5, 8, 
2020/12/5, 36, 18, 23, 3, 3, 
2020/12/6, 37, 18, 27, 4, 2, 
2020/12/7, 43, 16, 32, 3, 1, 
2020/12/8, 41, 17, 26, 7, 1, 
2020/12/9, 40, 15, 22, 6, 5, 
2020/12/10, 40, 13, 25, 5, 2, 
2020/12/11, 37, 10, 35, 2, , 
2020/12/12, 36, 15, 33, 2, 2, 
2020/12/13, 40, 10, 28, 1, , 
2020/12/14, 31, 6, 28, 1, 1, 
2020/12/15, 26, 6, 27, 3, 1, 
2020/12/16, 26, 5, 28, 4, 2, 
2020/12/17, 29, 6, 28, 5, 4, 
2020/12/18, 30, 9, 30, 2, 1, 
2020/12/19, 31, 6, 30, 2, 3, 
2020/12/20, 30, 8, 31, 6, 2, 
2020/12/21, 34, 13, 33, 5, 2, 
2020/12/22, 41, 20, 32, 9, 1, 
2020/12/23, 47, 25, 25, 7, 1, 
2020/12/24, 52, 9, 30, 2, 1, 
2020/12/25, 35, 7, 23, 6, 2, 
2020/12/26, 33, 15, 18, 4, 1, 
2020/12/27, 36, 9, 21, 5, , 
2020/12/28, 35, 11, 22, 3, , 
2020/12/29, 35, 6, 29, 1, , 
2020/12/30, 25, 3, 29, 1, , 
2020/12/31, 28, 5, 29, 1, 2, 
2021/1/1, 28, 7, 31, 2, 1, 
2021/1/2, 29, , , , , 
2020/7/1, 27, 9, 37, 2, , 
2020/7/2, 27, 8, 23, 3, , 
2020/7/3, 14, 14, 51, 1, 2, 
2020/7/4, 32, 12, 30, 1, , 
2020/7/5, 32, 7, 8, 1, , 
2020/7/6, 17, 11, 12, 1, 1, 
2020/7/7, 20, 12, 32, 1, 6, 
2020/7/8, 25, 9, 19, 2, 1, 
2020/7/9, 19, 7, 19, 1, , 
2020/7/10, 20, 14, 21, 1, 1, 
2020/7/11, 30, 10, 28, 1, , 
2020/7/12, 21, 18, 13, 2, 2, 
2020/7/13, 39, 6, 31, 1, 1, 
2020/7/14, 22, 5, 28, 1, , 
2020/7/15, 12, 8, 25, 2, 1, 
2020/7/16, 19, 11, 34, 4, 1, 
2020/7/17, 29, 15, 26, 1, 1, 
2020/7/18, 45, 21, 18, 1, 2, 
2020/7/19, 47, 11, 13, 1, 2, 
2020/7/20, 34, 8, 15, 3, , 
2020/7/21, 28, 12, 19, 2, 1, 
2020/7/22, 32, 11, 14, 1, 2, 
2020/7/23, 21, 11, 28, 1, , 
2020/7/24, 21, 14, 36, 1, 1, 
2020/7/25, 27, 16, 19, 1, , 
2020/7/26, 37, 10, 11, 1, , 
2020/7/27, 16, 14, 10, 1, 3, 
2020/7/28, 29, 17, 10, 1, 2, 
2020/7/29, 37, 19, 14, 1, 1, 
2020/7/30, 32, 27, 26, 2, 1, 
2020/7/31, 48, 27, 26, 1, 1, 
2020/8/1, 40, 24, 18, 1, 2, 
2020/8/2, 40, 39, 13, 2, 4, 
2020/8/3, 51, 36, 11, 1, 5, 
2020/8/4, 50, 17, 11, 2, , 
2020/8/5, 35, 29, 18, 1, 6, 
2020/8/6, 40, 35, 17, 1, 5, 
2020/8/7, 48, 25, 12, 1, 4, 
2020/8/8, 39, 14, 8, 1, 1, 
2020/8/9, 28, 12, 12, 1, 1, 
2020/8/10, 18, 12, 14, 1, 13, 
2020/8/11, 27, 12, 14, 2, 2, 
2020/8/12, 28, 11, 16, 1, 1, 
2020/8/13, 27, 12, 15, 1, 1, 
2020/8/14, 30, 13, 22, 1, 1, 
2020/8/15, 29, 19, 32, 1, 2, 
2020/8/16, 36, 28, 31, 2, 2, 
2020/8/17, 41, 35, 39, 2, 1, 
2020/8/18, 49, 34, 38, 2, 1, 
2020/8/19, 41, 26, 31, 2, , 
2020/8/20, 39, 26, 29, 2, 1, 
2020/8/21, 36, 28, 38, 2, 1, 
2020/8/22, 35, 25, 32, 1, 1, 
2020/8/23, 40, 39, 26, 1, 2, 
2020/8/24, 50, 27, 13, 1, 1, 
2020/8/25, 35, 10, 18, 1, , 
2020/8/26, 17, 9, 13, 1, , 
2020/8/27, 21, 7, 16, 1, , 
2020/8/28, 25, 7, 16, 1, , 
2020/8/29, 29, 12, 17, 1, , 
2020/8/30, 30, 14, 21, 1, 1, 
2020/8/31, 28, 11, 10, 1, , 
2020/9/1, 21, 22, 19, 1, , 
2020/9/2, 29, 14, 28, 1, 1, 
2020/9/3, 28, 20, 35, 2, 2, 
2020/9/4, 33, 15, 16, 1, , 
2020/9/5, 29, 37, 17, , , 
2020/9/6, 30, 15, 26, , , 
2020/9/7, 27, , , , , 
2020/9/13, 29, 12, 31, 2, 1, 
2020/9/14, 27, 17, 30, 2, 1, 
2020/9/15, 28, 16, 23, 2, , 
2020/9/16, 34, 13, 16, 1, 11, 
2020/9/17, 36, 10, 27, 1, 2, 
2020/9/18, 30, 12, 33, 2, 1, 
2020/9/19, 27, 15, 37, 1, 1, 
2020/9/20, 28, 12, 34, 1, 1, 
