date, pm25, pm10, o3, no2, so2
2021/5/1, 57, 15, 46, 2, 
2021/5/2, 54, 13, 46, 4, 2
2021/5/3, 51, 14, 44, 2, 2
2021/5/4, 56, 18, 43, 1, 
2021/5/5, 50, , , , 
2021/4/10, 54, 12, 49, 4, 1
2021/4/11, 50, 14, 39, 5, 1
2021/4/12, 48, 19, 44, 4, 1
2021/4/13, 39, 16, 43, 6, 
2021/4/14, 54, 14, 45, 7, 2
2021/4/15, 44, 15, 38, 5, 1
2021/4/16, 51, 22, 42, 3, 1
2021/4/17, 58, 14, 41, 3, 
2021/4/18, 47, 14, 55, 8, 1
2021/4/19, 56, 17, 67, 10, 1
2021/4/20, 56, 21, 71, 10, 3
2021/4/21, 67, 24, 59, 12, 2
2021/4/22, 79, 20, 54, 9, 1
2021/4/23, 71, 20, 42, 4, 1
2021/4/24, 63, 17, 46, 2, 1
2021/4/25, 61, 11, 43, 5, 1
2021/4/26, 45, 13, 42, 4, 2
2021/4/27, 51, 11, 37, 5, 1
2021/4/28, 45, 12, 45, 5, 1
2021/4/29, 40, 30, 72, 5, 1
2021/4/30, 79, 22, 52, 2, 
2021/3/1, 33, 8, 36, 4, 
2021/3/2, 30, 11, 34, 3, 1
2021/3/3, 44, 13, 32, 7, 1
2021/3/4, 52, 8, 29, 6, 
2021/3/5, 32, 14, 35, 4, 
2021/3/6, 44, 16, 34, 4, 
2021/3/7, 56, 13, 35, 5, 1
2021/3/8, 45, 11, 33, 6, 1
2021/3/9, 41, 20, 47, 7, 1
2021/3/10, 62, 24, 43, 10, 4
2021/3/11, 77, 15, 41, 5, 1
2021/3/12, 47, 15, 41, 4, 1
2021/3/13, 52, 26, 52, 5, 1
2021/3/14, 81, 22, 46, 9, 1
2021/3/15, 72, 19, 47, 5, 1
2021/3/16, 58, 30, 44, 6, 1
2021/3/17, 66, 27, 42, 7, 7
2021/3/18, 69, 27, 38, 9, 2
2021/3/19, 72, 15, 36, 4, 1
2021/3/20, 48, 20, 42, 4, 1
2021/3/21, 56, 20, 40, 6, 
2021/3/22, 56, 21, 45, 7, 
2021/3/23, 58, 22, 44, 8, 
2021/3/24, 61, 20, 47, 8, 1
2021/3/25, 59, 19, 66, 11, 2
2021/3/26, 63, 20, 45, 5, 3
2021/3/27, 64, 25, 54, 6, 1
2021/3/28, 62, 33, 35, 4, 
2021/3/29, 84, , , , 
2021/2/1, 53, 23, 34, 8, 1
2021/2/2, 63, 12, 31, 9, 1
2021/2/3, 40, 16, 33, 11, 1
2021/2/4, 52, 12, 31, 12, 1
2021/2/5, 49, 11, 34, 9, 1
2021/2/6, 47, 38, 47, 10, 1
2021/2/7, 90, 21, 34, 8, 1
2021/2/8, 58, 10, 30, 8, 1
2021/2/9, 40, 10, 34, 11, 1
2021/2/10, 40, 14, 40, 9, 1
2021/2/11, 57, 27, 32, 16, 2
2021/2/12, 84, 19, 35, 8, 1
2021/2/13, 58, 11, 28, 4, 1
2021/2/14, 40, 16, 36, 5, 1
2021/2/15, 41, 11, 40, 4, 
2021/2/16, 42, 12, 35, 3, 
2021/2/17, 46, 10, 30, 5, 
2021/2/18, 45, 11, 37, 6, 
2021/2/19, 41, 22, 56, 4, 1
2021/2/20, 58, 21, 47, 6, 1
2021/2/21, 60, 20, 49, 8, 1
2021/2/22, 52, 18, 40, 5, 1
2021/2/23, 63, 12, 35, 8, 1
2021/2/24, 47, 16, 37, 6, 5
2021/2/25, 46, 6, 34, 4, 1
2021/2/26, 25, 8, 34, 3, 
2021/2/27, 36, 10, 35, 4, 
2021/2/28, 41, 9, 36, 4, 8
2021/1/4, 41, 14, 32, 10, 1
2021/1/5, 52, 13, 32, 7, 1
2021/1/6, 48, 10, 29, 5, 1
2021/1/7, 45, 8, 28, 3, 
2021/1/8, 38, 8, 30, 3, 
2021/1/9, 35, 8, 29, 5, 
2021/1/10, 42, 15, 24, 8, 1
2021/1/11, 50, 13, 26, 9, 1
2021/1/12, 51, 24, 39, 14, 1
2021/1/13, 65, 28, 37, 14, 
2021/1/14, 66, 25, 37, 11, 4
2021/1/15, 69, 32, 34, 9, 1
2021/1/16, 74, 9, 30, 2, 1
2021/1/17, 50, 18, 33, 6, 1
2021/1/18, 56, 14, 33, 7, 1
2021/1/19, 53, 13, 30, 9, 2
2021/1/20, 47, 20, 30, 13, 6
2021/1/21, 67, 18, 28, 14, 1
2021/1/22, 50, 13, 24, 10, 1
2021/1/23, 43, 8, 31, 3, 1
2021/1/24, 34, 8, 28, 6, 1
2021/1/25, 38, 11, 28, 7, 
2021/1/26, 47, 12, 33, 6, 1
2021/1/27, 41, 20, 37, 8, 1
2021/1/28, 47, 11, 32, 5, 1
2021/1/29, 46, 17, 33, 9, 1
2021/1/30, 58, 21, 41, 8, 
2021/1/31, 64, 22, 37, 4, 1
2020/11/16, 73, 20, 29, 14, 3
2020/11/17, 71, 16, 32, 8, 1
2020/11/18, 62, 17, 30, 2, 1
2020/11/19, 44, 14, 33, 12, 1
2020/11/20, 52, 12, 32, 6, 1
2020/11/21, 49, 14, 35, 5, 1
2020/11/22, 47, 13, 31, 5, 1
2020/11/23, 52, 13, 29, 8, 
2020/11/24, 48, 13, 35, 13, 1
2020/11/25, 57, 14, 31, 11, 
2020/11/26, 53, 17, 33, 10, 1
2020/11/27, 58, 12, 29, 5, 1
2020/11/28, 46, 10, 31, 4, 1
2020/11/29, 43, 11, 27, 10, 1
2020/11/30, 45, 10, 29, 10, 1
2020/12/1, 44, 11, 27, 10, 2
2020/12/2, 46, 11, 33, 10, 1
2020/12/3, 48, 11, 31, 11, 1
2020/12/4, 54, 8, 33, 7, 1
2020/12/5, 42, 10, 33, 6, 
2020/12/6, 48, 13, 35, 10, 
2020/12/7, 53, 18, 34, 9, 1
2020/12/8, 65, 12, 34, 10, 1
2020/12/9, 55, 10, 27, 13, 1
2020/12/10, 49, 11, 24, 13, 1
2020/12/11, 46, 19, 42, 10, 1
2020/12/12, 70, 15, 37, 8, 1
2020/12/13, 58, 13, 32, 6, 1
2020/12/14, 48, 8, 26, 5, 1
2020/12/15, 38, 9, 28, 6, 
2020/12/16, 42, 7, 28, 6, 
2020/12/17, 34, 9, 30, 11, 1
2020/12/18, 42, 11, 29, 9, 1
2020/12/19, 44, 8, 32, 5, 1
2020/12/20, 29, 13, 28, 10, 1
2020/12/21, 53, 21, 31, 12, 1
2020/12/22, 72, 26, 37, 13, 
2020/12/23, 82, 23, 31, 14, 1
2020/12/24, 71, 11, 30, 9, 1
2020/12/25, 45, 11, 25, 10, 1
2020/12/26, 48, 15, 27, 7, 1
2020/12/27, 57, 12, 28, 8, 1
2020/12/28, 42, 13, 27, 9, 1
2020/12/29, 46, 9, 28, 2, 
2020/12/30, 32, 8, 27, 3, 
2020/12/31, 34, 7, 28, 2, 
2021/1/1, 39, 10, 31, 3, 
2021/1/2, 45, 12, 32, 4, 
2021/1/3, 45, 9, 31, 6, 1
2020/7/1, 42, 14, 45, 5, 1
2020/7/2, 50, 16, 30, 4, 2
2020/7/3, 49, 11, 37, 4, 1
2020/7/4, 33, 14, 38, 1, 
2020/7/5, 31, 19, 29, 2, 
2020/7/6, 28, 26, 28, 2, 
2020/7/7, 33, 13, 44, 4, 1
2020/7/8, 37, 16, 27, 3, 
2020/7/9, 30, 19, 24, 1, 
2020/7/10, 33, 23, 28, 8, 
2020/7/11, 50, 10, 33, 2, 
2020/7/12, 40, 17, 20, 1, 
2020/7/13, 43, 18, 35, 4, 1
2020/7/14, 33, 15, 30, 3, 
2020/7/15, 29, 16, 34, 5, 1
2020/7/16, 39, 16, 38, 4, 1
2020/7/17, 50, 18, 33, 4, 1
2020/7/18, 59, 17, 23, 1, 1
2020/7/19, 44, 16, 12, 1, 
2020/7/20, 33, 17, 17, 1, 1
2020/7/21, 37, 13, 14, 2, 
2020/7/22, 32, 12, 12, 2, 
2020/7/23, 33, 16, 39, 1, 
2020/7/24, 42, 13, 59, 1, 
2020/7/25, 44, 20, 46, 1, 1
2020/7/26, 52, 15, 23, 2, 
2020/7/27, 29, 16, 12, 2, 1
2020/7/28, 29, 21, 9, 3, 2
2020/7/29, 52, 27, 9, 2, 
2020/7/30, 63, 18, 13, 3, 1
2020/7/31, 49, 17, 15, 3, 1
2020/8/1, 46, 49, 12, 1, 2
2020/8/2, 111, 58, 13, 2, 4
2020/8/3, 142, 50, 10, 1, 6
2020/8/4, 107, 25, 11, 2, 2
2020/8/5, 56, 35, 13, 1, 1
2020/8/6, 69, 43, 13, 2, 1
2020/8/7, 86, 18, 11, 1, 
2020/8/8, 43, 17, 11, 1, 2
2020/8/9, 42, 33, 12, 1, 1
2020/8/10, 37, 30, 14, 1, 
2020/8/11, 36, 19, 11, 1, 1
