date, pm25, pm10, o3, no2, so2, co
2021/5/1, 63, 9, 42, 4, 1, 2
2021/5/2, 25, 12, 47, 5, 1, 2
2021/5/3, 47, 18, 57, 11, 3, 4
2021/5/4, 63, 17, 41, 5, , 
2021/5/5, 38, , , , , 
2021/4/1, 1, 42, 48, 13, 1, 2
2021/4/2, 1, 21, 44, 9, 1, 2
2021/4/3, 1, 24, 33, 10, 1, 2
2021/4/4, 1, 10, 37, 9, 1, 2
2021/4/5, 1, 15, 40, 17, 2, 3
2021/4/6, 1, 11, 42, 11, 1, 1
2021/4/7, 1, 13, 50, 16, 1, 2
2021/4/8, 1, 11, 43, 9, 1, 2
2021/4/9, 1, 10, 42, 9, 1, 2
2021/4/10, 14, 15, 47, 11, 1, 3
2021/4/11, 54, 15, 42, 10, 1, 2
2021/4/12, 52, 11, 35, 13, 1, 1
2021/4/13, 37, 8, 44, 11, 1, 2
2021/4/14, 32, 11, 41, 14, 2, 2
2021/4/15, 42, 14, 45, 17, 1, 2
2021/4/16, 51, 11, 29, 16, 1, 2
2021/4/17, 37, 16, 40, 5, 1, 2
2021/4/18, 48, 23, 45, 13, 1, 2
2021/4/19, 65, 24, 76, 17, 2, 3
2021/4/20, 71, 23, 61, 14, 1, 3
2021/4/21, 70, 14, 43, 16, 2, 2
2021/4/22, 56, 21, 48, 19, 1, 2
2021/4/23, 65, 21, 52, 16, 3, 3
2021/4/24, 64, 16, 45, 5, 1, 2
2021/4/25, 56, 9, 43, 8, 1, 2
2021/4/26, 41, 13, 48, 16, 1, 2
2021/4/27, 47, 20, 31, 23, 1, 3
2021/4/28, 58, 15, 36, 9, 1, 1
2021/4/29, 36, 17, 58, 14, 4, 3
2021/4/30, 50, 23, 56, 12, 1, 2
2021/3/1, 52, 10, 32, 11, 1, 1
2021/3/2, 26, 9, 37, 11, 1, 2
2021/3/3, 35, 19, 28, 32, 1, 4
2021/3/4, 64, 19, 18, 29, 1, 3
2021/3/5, 58, 9, 35, 9, 1, 2
2021/3/6, 36, 11, 33, 8, 1, 2
2021/3/7, 40, 13, 29, 15, 1, 2
2021/3/8, 48, 13, 24, 24, 3, 4
2021/3/9, 54, 14, 40, 13, 1, 2
2021/3/10, 57, 17, 35, 24, 3, 5
2021/3/11, 55, 21, 29, 30, 1, 3
2021/3/12, 64, 8, 41, 12, 1, 2
2021/3/13, 30, 9, 37, 3, 1, 1
2021/3/14, 32, 9, 39, 11, 1, 2
2021/3/15, 35, 17, 16, 27, 1, 3
2021/3/16, 59, 13, 35, 10, 1, 3
2021/3/17, 45, 19, 34, 23, 2, 3
2021/3/18, 55, 20, 44, 23, 1, 3
2021/3/19, 62, 23, 46, 16, 2, 3
2021/3/20, 63, 15, 36, 7, 1, 3
2021/3/21, 33, 13, 35, 8, 1, 2
2021/3/22, 42, 12, 39, 15, 1, 2
2021/3/23, 43, 16, 44, 20, 2, 3
2021/3/24, 58, 16, 29, 19, 1, 2
2021/3/25, 56, 19, 49, 14, 1, 2
2021/3/26, 61, 24, 54, 14, 1, 2
2021/3/27, 70, 21, 47, 6, 1, 1
2021/3/28, 52, 26, 53, 19, 1, 3
2021/3/29, 11, 71, 60, 24, 2, 4
2021/3/30, 1, 42, 53, 16, 2, 3
2021/3/31, 1, 50, 67, 17, 1, 3
2021/2/1, 69, 17, 32, 19, 1, 3
2021/2/2, 57, 10, 30, 13, 1, 2
2021/2/3, 40, 13, 30, 22, 1, 4
2021/2/4, 51, 13, 33, 27, 1, 3
2021/2/5, 47, 17, 37, 22, 1, 3
2021/2/6, 61, 27, 42, 13, 1, 3
2021/2/7, 82, 18, 30, 16, 1, 2
2021/2/8, 55, 8, 28, 11, 1, 2
2021/2/9, 29, 12, 36, 15, 1, 2
2021/2/10, 37, 17, 37, 10, 1, 3
2021/2/11, 57, 24, 23, 33, 2, 5
2021/2/12, 74, 25, 32, 31, 2, 4
2021/2/13, 71, 19, 35, 17, 2, 4
2021/2/14, 50, 11, 40, 14, 1, 2
2021/2/15, 33, 12, 33, 10, , 2
2021/2/16, 43, 9, 31, 11, 1, 3
2021/2/17, 36, 7, 27, 11, , 2
2021/2/18, 28, 10, 26, 20, 1, 3
2021/2/19, 37, 21, 37, 27, 4, 6
2021/2/20, 75, 31, 47, 27, 2, 5
2021/2/21, 89, 29, 41, 33, 2, 4
2021/2/22, 83, 17, 39, 10, 1, 2
2021/2/23, 56, 9, 35, 9, 1, 2
2021/2/24, 36, 11, 33, 25, 1, 3
2021/2/25, 44, 11, 32, 21, 1, 2
2021/2/26, 46, 10, 37, 10, 1, 2
2021/2/27, 41, 15, 41, 16, 2, 3
2021/2/28, 54, 16, 33, 21, 2, 3
2021/1/4, 38, 13, 28, 20, 1, 3
2021/1/5, 54, 10, 30, 15, 1, 2
2021/1/6, 38, 8, 27, 14, 1, 3
2021/1/7, 30, 7, 27, 13, , 2
2021/1/8, 24, 8, 29, 14, 1, 2
2021/1/9, 34, 8, 29, 5, 1, 2
2021/1/10, 33, 10, 23, 15, 1, 3
2021/1/11, 42, 14, 9, 26, 1, 4
2021/1/12, 60, 19, 27, 25, 1, 4
2021/1/13, 70, 32, 30, 25, 1, 4
2021/1/14, 84, 44, 21, 36, 4, 7
2021/1/15, 103, 32, 25, 26, 1, 5
2021/1/16, 77, 8, 30, 8, 1, 2
2021/1/17, 36, 9, 28, 16, 1, 2
2021/1/18, 34, 9, 30, 11, 1, 2
2021/1/19, 36, 8, 29, 19, 1, 3
2021/1/20, 35, 22, 29, 33, 2, 5
2021/1/21, 73, 27, 15, 33, 2, 4
2021/1/22, 71, 14, 21, 23, 1, 4
2021/1/23, 40, 8, 25, 12, 1, 3
2021/1/24, 43, 17, 29, 25, 1, 3
2021/1/25, 49, 28, 26, 31, 3, 5
2021/1/26, 75, 13, 32, 16, 1, 2
2021/1/27, 46, 18, 24, 23, 1, 4
2021/1/28, 60, 8, 29, 11, 1, 2
2021/1/29, 33, 8, 32, 11, 1, 2
2021/1/30, 31, 13, 32, 9, 1, 2
2021/1/31, 50, 21, 12, 30, 1, 4
2020/10/1, 44, 17, 51, 18, 2, 1
2020/10/2, 40, 23, 39, 18, 1, 2
2020/10/3, 1, 23, 39, 11, 1, 2
2020/10/4, 1, 20, 34, 11, 1, 2
2020/10/5, 33, 11, 30, 10, 1, 2
2020/10/6, 38, 17, 37, 18, 1, 2
2020/10/7, 53, 9, 30, 18, 1, 2
2020/10/8, 33, 11, 11, 22, 1, 2
2020/10/9, 36, 8, 21, 19, 1, 3
2020/10/10, 26, 10, 31, 7, 1, 2
2020/10/11, 37, 14, 38, 17, 2, 2
2020/10/12, 45, 11, 34, 10, 1, 1
2020/10/13, 39, 13, 37, 12, 1, 1
2020/10/14, 50, 10, 34, 11, 1, 
2020/10/15, 37, 10, 34, 14, 1, 2
2020/10/16, 36, 9, 27, 12, 1, 2
2020/10/17, 34, 10, 27, 12, 1, 3
2020/10/18, 40, 16, 6, 21, 1, 3
2020/10/19, 53, 16, 32, 23, 1, 3
2020/10/20, 53, 20, 38, 25, 3, 3
2020/10/21, 61, 23, 17, 24, 1, 3
2020/10/22, 68, 16, 34, 16, 1, 2
2020/10/23, 42, 12, 34, 10, 1, 2
2020/10/24, 41, 12, 35, 6, 1, 2
2020/10/25, 44, 13, 36, 14, 1, 2
2020/10/26, 46, 14, 35, 20, 1, 3
2020/10/27, 48, 22, 25, 25, 1, 3
2020/10/28, 70, 19, 39, 16, 1, 2
2020/10/29, 59, 10, 31, 10, 1, 2
2020/10/30, 39, 14, 31, 15, 2, 4
2020/10/31, 52, 24, 34, 17, 2, 3
2020/11/1, 75, 23, 11, 24, 1, 3
2020/11/2, 69, 13, 33, 7, 1, 2
2020/11/3, 36, 10, 28, 12, 1, 2
2020/11/4, 38, 14, 30, 19, 1, 2
