date, pm25, pm10, o3, no2, so2, co
2021/5/1, 48, 10, 47, 6, 1, 5
2021/5/2, 36, 19, 46, 7, 1, 5
2021/5/3, 53, 14, 54, 7, 1, 3
2021/5/4, 46, 10, 34, 8, 1, 
2021/5/5, 45, , , , , 
2021/4/10, 31, 8, 39, 7, 1, 2
2021/4/11, 33, 12, 47, 10, 2, 2
2021/4/12, 49, 8, 38, 5, 1, 3
2021/4/13, 30, 10, 39, 5, 2, 2
2021/4/14, 29, 9, 40, 6, 1, 2
2021/4/15, 32, 10, 40, 9, 2, 
2021/4/16, 43, 9, 32, 7, 1, 2
2021/4/17, 27, 17, 44, 8, 1, 5
2021/4/18, 48, 26, 47, 8, 1, 6
2021/4/19, 68, 24, 66, 9, 1, 5
2021/4/20, 69, 15, 42, 8, 3, 2
2021/4/21, 46, 20, 61, 8, 2, 3
2021/4/22, 64, 17, 41, 6, 2, 2
2021/4/23, 54, 14, 41, 9, 2, 2
2021/4/24, 45, 14, 43, 4, 1, 
2021/4/25, 42, 8, 38, 3, 2, 1
2021/4/26, 26, 8, 40, 8, 1, 2
2021/4/27, 28, 10, 38, 12, 1, 3
2021/4/28, 40, 13, 43, 5, 1, 
2021/4/29, 38, 12, 45, 5, 2, 2
2021/4/30, 35, 15, 52, 6, 2, 2
2021/3/1, 40, 8, 36, 7, , 4
2021/3/2, 26, 8, 37, 6, 1, 2
2021/3/3, 37, 11, 37, 12, 1, 2
2021/3/4, 42, 13, 31, 15, 3, 2
2021/3/5, 49, 13, 37, 8, , 2
2021/3/6, 43, 7, 36, 3, 2, 
2021/3/7, 24, 8, 36, 10, 2, 2
2021/3/8, 28, 9, 35, 13, 2, 2
2021/3/9, 35, 11, 36, 8, 1, 3
2021/3/10, 43, 12, 38, 13, 1, 2
2021/3/11, 46, 14, 37, 16, 2, 2
2021/3/12, 51, 9, 37, 9, 1, 2
2021/3/13, 34, 11, 43, 5, 1, 2
2021/3/14, 35, 10, 39, 8, 1, 2
2021/3/15, 35, 17, 42, 10, 1, 3
2021/3/16, 52, 20, 36, 5, 1, 2
2021/3/17, 57, 14, 39, 7, 1, 2
2021/3/18, 46, 12, 37, 8, 2, 2
