date, pm25, pm10, o3, no2, so2, co
2021/5/1, 54, 9, 40, 1, , 3
2021/5/2, 27, 15, 46, 1, 1, 2
2021/5/3, 41, 16, 54, 3, 1, 3
2021/5/4, 47, 15, 34, 3, 2, 3
2021/5/5, 52, , , , , 
2021/4/10, 26, 13, 41, 4, 1, 2
2021/4/11, 41, 14, 40, 6, 1, 2
2021/4/12, 45, 8, 37, 4, 1, 2
2021/4/13, 19, 8, 40, 2, , 2
2021/4/14, 19, 10, 41, 3, 1, 2
2021/4/15, 31, 12, 39, 5, 1, 2
2021/4/16, 34, 5, 30, 5, , 2
2021/4/17, 12, 20, 39, 2, , 2
2021/4/18, 36, 25, 44, 3, , 2
2021/4/19, 55, 26, 74, 7, 2, 3
2021/4/20, 63, 32, 53, 5, 1, 3
2021/4/21, 75, 17, 46, 5, 1, 3
2021/4/22, 51, 21, 49, 6, 1, 2
2021/4/23, 54, 21, 54, 5, 1, 2
2021/4/24, 56, 14, 44, 2, 1, 2
2021/4/25, 38, 10, 40, 1, 1, 2
2021/4/26, 33, 12, 46, 6, 1, 3
2021/4/27, 39, 16, 26, 8, , 2
2021/4/28, 46, 5, 35, 3, , 3
2021/4/29, 11, 18, 52, 3, 1, 2
2021/4/30, 41, 25, 48, 3, 1, 3
2021/3/1, 36, 4, 32, 1, 1, 2
2021/3/2, 11, 10, 26, 2, 1, 3
2021/3/3, 31, 14, 33, 9, 1, 3
2021/3/4, 41, 10, 23, 7, 1, 2
2021/3/5, 29, 10, 35, 4, 1, 2
2021/3/6, 29, 10, 35, 1, 1, 2
2021/3/7, 29, 10, 32, 3, 1, 3
2021/3/8, 26, 11, 26, 10, 1, 3
2021/3/9, 38, 15, 38, 5, 1, 3
2021/3/10, 38, 14, 36, 9, 1, 3
2021/3/11, 41, 17, 36, 13, 1, 3
2021/3/12, 51, 6, 44, 2, 1, 2
2021/3/13, 15, 10, 39, 1, , 2
2021/3/14, 23, 13, 42, 6, 1, 3
2021/3/15, 38, 21, 45, 14, 1, 4
2021/3/16, 62, 31, 36, 3, 1, 3
2021/3/17, 55, 24, 40, 5, 1, 3
2021/3/18, 51, 18, 39, 6, , 3
2021/3/19, 45, 18, 43, 7, 1, 3
2021/3/20, 46, 6, 38, 3, , 3
2021/3/21, 11, 14, 37, 1, 1, 2
2021/3/22, 37, 13, 40, 6, 1, 3
2021/3/23, 41, 18, 47, 9, 4, 3
2021/3/24, 54, 16, 33, 9, 1, 3
2021/3/25, 50, 25, 54, 7, 2, 3
2021/3/26, 64, 27, 51, 5, 3, 3
2021/3/27, 70, 13, 48, 3, 1, 2
2021/3/28, 33, 10, 26, 3, 1, 
2021/3/29, 28, , , , 1, 
2021/2/1, 43, 14, 32, 5, 1, 3
2021/2/2, 37, 9, 31, 3, , 4
2021/2/3, 31, 12, 34, 8, 1, 3
2021/2/4, 42, 11, 30, 8, 1, 3
2021/2/5, 33, 19, 35, 10, 1, 4
2021/2/6, 54, 27, 40, 7, , 4
2021/2/7, 72, 12, 30, 3, , 3
2021/2/8, 33, 6, 29, 2, 1, 2
2021/2/9, 17, 11, 34, 9, 1, 3
2021/2/10, 37, 20, 41, 5, 1, 3
2021/2/11, 61, 22, 30, 15, 1, 5
2021/2/12, 66, 21, 37, 13, 1, 5
2021/2/13, 60, 15, 34, 6, 1, 3
2021/2/14, 45, 8, 38, 4, 1, 2
2021/2/15, 24, 12, 34, 1, , 2
2021/2/16, 32, 7, 33, 2, 1, 2
2021/2/17, 26, 6, 29, 2, 1, 2
2021/2/18, 19, 9, 27, 8, 1, 3
2021/2/19, 24, 19, 40, 10, 1, 4
2021/2/20, 58, 28, 37, 11, 2, 4
2021/2/21, 71, 22, 37, 11, 1, 4
2021/2/22, 62, 17, 38, 3, , 2
2021/2/23, 50, 9, 33, 1, 1, 2
2021/2/24, 30, 8, 33, 6, 1, 3
2021/2/25, 28, 9, 33, 10, 1, 2
2021/2/26, 26, 11, 36, 2, , 3
2021/2/27, 31, 13, 34, 6, 1, 2
2021/2/28, 43, 10, 34, 7, 1, 3
2021/1/4, 23, 10, 32, 9, 1, 5
2021/1/5, 37, 10, 30, 3, 1, 4
2021/1/6, 22, 10, 29, 4, 1, 3
2021/1/7, 21, 9, 28, 2, , 3
2021/1/8, 18, 9, 29, 3, 1, 3
2021/1/9, 19, 8, 27, 3, 1, 3
2021/1/10, 23, 12, 24, 6, 1, 3
2021/1/11, 25, 15, 16, 16, 1, 5
2021/1/12, 56, 17, 25, 15, 1, 4
2021/1/13, 63, 30, 31, 14, 1, 
2021/1/14, 76, 23, 25, 13, 1, 
2021/1/15, 73, 15, 28, 10, 1, 
2021/1/16, 48, 4, 30, 2, 1, 
2021/1/17, 22, 5, 30, 5, 1, 4
2021/1/18, 25, 5, 30, 1, , 2
2021/1/19, 22, 4, 30, 4, , 3
2021/1/20, 19, 9, 26, 14, 1, 5
2021/1/21, 46, 15, 8, 22, 1, 5
2021/1/22, 67, 7, 26, 11, 1, 4
2021/1/23, 35, 7, 29, 3, 1, 4
2021/1/24, 19, 7, 31, 5, 1, 3
2021/1/25, 29, 11, 28, 11, 1, 3
2021/1/26, 39, 12, 33, 5, 1, 2
2021/1/27, 32, 18, 24, 9, 1, 4
2021/1/28, 51, 7, 31, 3, 1, 2
2021/1/29, 20, 9, 31, 4, , 3
2021/1/30, 21, 16, 31, 4, 1, 3
2021/1/31, 45, 15, 19, 15, 1, 5
2020/10/1, 27, 13, 42, 5, 1, 3
2020/10/2, 39, 17, 36, 6, 1, 3
2020/10/3, 53, 20, 30, 5, 1, 3
2020/10/4, 55, 18, 35, 3, 1, 3
