date, pm25, pm10, o3, no2, so2, co
2021/5/1, 45, 9, 42, 3, 1, 3
2021/5/2, 31, 8, 42, 3, 1, 1
2021/5/3, 25, 15, , 11, , 
2021/5/4, 49, 18, , 12, , 
2021/5/5, 45, , , , , 
2021/4/1, 1, 17, 39, 10, 1, 
2021/4/2, 1, 20, 40, 12, 1, 3
2021/4/3, 1, 23, 38, 4, , 2
2021/4/4, 1, 10, 24, 10, , 3
2021/4/5, 1, 9, 29, 9, 1, 3
2021/4/6, 1, 13, 39, 12, 1, 3
2021/4/7, 1, 14, 39, 13, 1, 3
2021/4/8, 1, 11, 35, 9, 1, 2
2021/4/9, 1, 8, 37, 6, 1, 3
2021/4/10, 8, 11, 42, 7, 1, 3
2021/4/11, 43, 12, 38, 14, 1, 3
2021/4/12, 43, 11, 35, 13, 1, 3
2021/4/13, 39, 7, 28, 9, , 3
2021/4/14, 26, 9, 34, 10, 1, 3
2021/4/15, 32, 13, 29, 15, 1, 3
2021/4/16, 45, 12, 30, 13, 1, 3
2021/4/17, 39, 9, 41, 4, , 2
2021/4/18, 27, 19, 46, 7, 1, 3
2021/4/19, 54, 21, 44, 17, 3, 3
2021/4/20, 59, 21, 52, 13, 1, 3
2021/4/21, 61, 12, 40, 6, 1, 2
2021/4/22, 43, 14, 40, 9, 1, 4
2021/4/23, 43, 15, 52, 12, 1, 4
2021/4/24, 46, 16, 54, 7, 1, 3
2021/4/25, 48, 12, 37, 5, 1, 3
2021/4/26, 40, 10, 38, 12, 1, 3
2021/4/27, 32, 13, 36, 11, 1, 3
2021/4/28, 42, 9, 32, 5, , 2
2021/4/29, 23, 12, 49, 8, 1, 3
2021/4/30, 34, 17, 49, 8, 1, 3
2021/3/1, 47, 6, 32, 5, , 2
2021/3/2, 23, 6, 32, 7, 1, 3
2021/3/3, 22, 11, 27, 16, 3, 3
2021/3/4, 41, 16, 24, 27, 1, 3
2021/3/5, 56, 21, 32, 17, , 3
2021/3/6, 69, 9, 32, 5, 1, 2
2021/3/7, 33, 12, 25, 15, 1, 3
2021/3/8, 44, 10, 24, 17, 1, 3
2021/3/9, 37, 14, 38, 12, 1, 3
2021/3/10, 43, 13, 30, 19, 1, 3
2021/3/11, 46, 24, 26, 32, 1, 4
2021/3/12, 69, 6, 27, 9, , 2
2021/3/13, 27, 5, 38, 4, , 2
