date, pm25, pm10, o3, no2, so2, co
2021/5/1, 61, 7, 41, 2, , 2
2021/5/2, 30, 7, 45, 3, , 2
2021/5/3, 32, 11, 53, 4, , 2
2021/5/4, 49, 14, 25, 4, , 
2021/5/5, 52, , , , , 
2021/4/1, 98, 26, 48, 11, 1, 3
2021/4/2, 68, 14, 43, 8, , 2
2021/4/3, 41, 23, 34, 4, 1, 2
2021/4/4, 53, 8, 29, 11, , 2
2021/4/5, 23, 10, 39, 10, 1, 2
2021/4/6, 34, 13, 47, 11, 1, 2
2021/4/7, 48, 13, 48, 12, 1, 2
2021/4/8, 47, 12, 47, 13, 1, 2
2021/4/9, 46, 10, 43, 7, 1, 2
2021/4/10, 36, 10, 45, 5, 1, 2
2021/4/11, 41, 10, 42, 8, 1, 2
2021/4/12, 44, 8, 31, 12, 1, 2
2021/4/13, 26, 11, 39, 10, , 14
2021/4/14, 27, 9, 38, 11, , 2
2021/4/15, 29, 11, 40, 12, 1, 2
2021/4/16, 40, 8, 31, 9, , 2
2021/4/17, 23, 10, 39, 2, , 
2021/4/18, 39, 15, 44, 12, , 2
2021/4/19, 52, 20, 63, 18, 1, 3
2021/4/20, 63, 22, 77, 13, 1, 3
2021/4/21, 69, 21, 64, 15, 1, 3
2021/4/22, 68, 19, 53, 12, 1, 2
2021/4/23, 56, 19, 64, 13, 1, 3
2021/4/24, 61, 18, 50, 7, 1, 2
2021/4/25, 64, 11, 47, 5, 1, 2
2021/4/26, 42, 12, 47, 12, 1, 2
2021/4/27, 43, 12, 38, 9, 1, 2
2021/4/28, 38, 11, 33, 9, , 2
2021/4/29, 19, 15, 59, 6, , 2
2021/4/30, 50, 20, 53, 9, , 2
2021/3/1, 33, 11, 30, 13, , 2
2021/3/2, 26, 7, 37, 13, 1, 2
2021/3/3, 30, 9, 37, 14, 1, 2
2021/3/4, 39, 7, 26, 13, 1, 2
2021/3/5, 26, 5, 35, 9, 1, 2
2021/3/6, 27, 12, 34, 7, 1, 2
2021/3/7, 40, 10, 27, 12, 1, 3
2021/3/8, 42, 10, 37, 13, 1, 2
2021/3/9, 39, 13, 42, 12, , 2
2021/3/10, 49, 13, 42, 17, 1, 2
2021/3/11, 47, 13, 28, 16, , 2
2021/3/12, 42, 6, 32, 10, , 2
2021/3/13, 22, 5, 37, 5, , 2
2021/3/14, 32, 10, 41, 10, 1, 2
2021/3/15, 42, 14, 45, 10, 1, 2
2021/3/16, 54, 16, 45, 12, 1, 3
2021/3/17, 49, 19, 47, 16, 1, 3
2021/3/18, 58, 19, 55, 15, 1, 3
2021/3/19, 59, 16, 45, 8, 1, 2
2021/3/20, 55, 18, 32, 3, 1, 2
2021/3/21, 62, 14, 39, 9, 1, 2
2021/3/22, 45, 11, 41, 15, 1, 2
2021/3/23, 45, 12, 47, 12, 1, 2
2021/3/24, 49, 12, 37, 15, , 3
2021/3/25, 42, 14, 47, 14, 1, 2
2021/3/26, 52, 16, 56, 10, , 3
2021/3/27, 56, 18, 44, 8, 1, 2
2021/3/28, 52, 14, 48, 12, 1, 2
2021/3/29, 45, 41, 60, 18, 1, 4
2021/3/30, 101, 55, 61, 15, 1, 4
2021/3/31, 124, 48, 51, 15, , 3
2021/2/1, 50, 10, 36, 7, 1, 2
2021/2/2, 35, 5, 33, 9, 1, 2
2021/2/3, 23, 8, 34, 9, 1, 2
2021/2/4, 32, 8, 32, 15, 1, 2
2021/2/5, 38, 8, 37, 13, 1, 2
2021/2/6, 40, 14, 44, 6, 1, 3
2021/2/7, 55, 13, 37, 8, 1, 2
2021/2/8, 49, 5, 32, 11, 1, 2
2021/2/9, 18, 8, 36, 15, 1, 2
2021/2/10, 36, 11, 40, 10, 1, 2
2021/2/11, 48, 13, 35, 17, 1, 3
2021/2/12, 49, 14, 37, 14, 1, 2
2021/2/13, 54, 11, 36, 7, , 2
2021/2/14, 41, 5, 39, 10, , 2
2021/2/15, 24, 8, 36, 5, , 2
2021/2/16, 31, 8, 34, 7, , 2
2021/2/17, 30, 5, 29, 8, , 2
2021/2/18, 24, 8, 31, 16, , 2
2021/2/19, 35, 15, 47, 9, 1, 2
2021/2/20, 55, 27, 52, 5, 1, 3
2021/2/21, 82, 26, 45, 19, 1, 3
2021/2/22, 72, , , , , 
2021/1/4, 27, 8, 26, 13, 1, 2
2021/1/5, 30, 9, 29, 16, 1, 2
2021/1/6, 38, 10, 31, 9, 1, 2
2021/1/7, 29, 7, 26, 8, 1, 
2021/1/8, 21, 6, 29, 6, 1, 2
2021/1/9, 28, 6, 29, 4, 1, 
2021/1/10, 27, 6, 26, 14, 1, 3
2021/1/11, 29, 7, 14, 20, 1, 2
2021/1/12, 34, 8, 24, 17, 1, 3
2021/1/13, 36, 14, 25, 18, 1, 3
2021/1/14, 52, 18, 31, 20, , 3
2021/1/15, 59, 16, 36, 12, , 3
2021/1/16, 53, 6, 30, 5, , 2
2021/1/17, 26, 8, 32, 12, , 3
2021/1/18, 30, 8, 32, 13, 1, 2
2021/1/19, 36, 9, 26, 18, 1, 2
2021/1/20, 39, 13, 31, 19, 1, 2
2021/1/21, 48, 15, 33, 22, 1, 3
2021/1/22, 58, , , , , 
2021/1/25, 44, 9, 30, 16, 1, 2
2021/1/26, 40, 9, 24, 16, 1, 2
2021/1/27, 32, 8, 26, 13, 1, 3
2021/1/28, 24, 5, 31, 7, 1, 2
2021/1/29, 19, 6, 32, 7, 1, 2
2021/1/30, 33, 10, 33, 7, , 3
2021/1/31, 50, 11, 34, 16, , 3
2020/10/1, 55, 18, 50, 15, 1, 2
2020/10/2, 56, 15, 44, 8, 1, 2
2020/10/3, 43, 13, 43, 6, 1, 2
2020/10/4, 50, 19, 27, 14, 1, 2
2020/10/5, 56, 14, 45, 10, 1, 3
2020/10/6, 48, 7, 33, 4, 1, 2
2020/10/7, 42, 5, 31, 10, 1, 2
2020/10/8, 17, 5, 33, 14, 1, 2
2020/10/9, 10, 3, 32, 4, 1, 
2020/10/10, 12, 6, 28, 5, 1, 2
2020/10/11, 30, 12, 35, 11, , 2
2020/10/12, 36, 17, 50, 11, 1, 2
2020/10/13, 48, 14, 34, 10, 1, 2
2020/10/14, 39, 14, 33, 13, 1, 2
2020/10/15, 48, 10, 33, 9, 1, 2
2020/10/16, 35, 7, 25, 7, 1, 2
2020/10/17, 23, 6, 29, 4, 1, 2
2020/10/18, 25, 9, 19, 8, 1, 2
2020/10/19, 28, 9, 32, 12, 1, 2
2020/10/20, 37, 12, 39, 9, 1, 2
2020/10/21, 48, 11, 32, 6, 1, 2
2020/10/22, 42, 8, 16, 8, 1, 2
2020/10/23, 26, 7, 34, 4, 1, 2
2020/10/24, 26, 7, 34, 6, 1, 2
2020/10/25, 27, 10, 39, 14, 1, 2
2020/10/26, 37, 14, 37, 15, 1, 2
2020/10/27, 46, 14, 42, 14, 1, 2
2020/10/28, 51, 17, 44, 17, , 3
2020/10/29, 59, 15, 39, 13, , 2
2020/10/30, 50, 10, 30, 10, 1, 2
2020/10/31, 37, 10, 32, 8, , 2
2020/11/1, 36, 9, 22, 13, 1, 2
2020/11/2, 29, 7, 32, 8, 1, 2
2020/11/3, 33, 6, 30, 13, 1, 2
2020/11/4, 28, 11, 35, 16, 1, 2
2020/11/5, 41, 12, 34, 15, 1, 2
2020/11/6, 47, 13, 23, 14, 1, 2
2020/11/7, 48, 14, 33, 9, 1, 2
2020/11/8, 49, 12, 28, 11, , 2
2020/11/9, 46, 9, 28, 14, 1, 2
2020/11/10, 33, 9, 31, 16, 1, 2
2020/11/11, 37, 9, 28, 15, 1, 2
2020/11/12, 36, 10, 28, 12, 1, 2
2020/11/13, 33, 13, 34, 10, 1, 2
2020/11/14, 48, 13, 36, 7, 1, 2
2020/11/15, 49, 13, 32, 12, 1, 2
2020/11/16, 48, 18, 37, 15, 1, 3
2020/11/17, 61, 21, 36, 19, 1, 3
2020/11/18, 65, 15, 30, 12, 1, 2
2020/11/19, 50, 12, 28, 10, 1, 3
2020/11/20, 26, 11, 34, 9, 1, 3
2020/11/21, 41, 9, 26, 5, 1, 3
