date, pm25, pm10, o3, no2, so2, co
2021/5/1, 38, 9, 45, 2, 1, 
2021/5/2, 29, 10, 50, 1, 1, 
2021/5/3, 33, 13, 48, 3, 1, 
2021/5/4, 38, 16, 36, 2, , 
2021/5/5, 43, , , , , 
2021/4/10, 25, 8, 39, 4, 1, 
2021/4/11, 22, 9, 40, 3, 1, 
2021/4/12, 27, 8, 36, 10, 1, 
2021/4/13, 19, 9, 43, 4, 1, 
2021/4/14, 28, 7, 45, 2, 1, 
2021/4/15, 19, 8, 40, 2, 1, 
2021/4/16, 21, 7, 44, 4, 1, 
2021/4/17, 18, 16, 40, 2, 1, 
2021/4/18, 39, 15, 51, 2, 1, 
2021/4/19, 39, 15, 61, 7, 2, 
2021/4/20, 46, 19, 79, 7, 1, 
2021/4/21, 54, 13, 47, 6, 1, 
2021/4/22, 35, 15, 45, 4, 1, 
2021/4/23, 35, 15, 46, 4, 1, 
2021/4/24, 39, 10, 45, 4, 1, 
2021/4/25, 32, 10, 44, 2, 1, 
2021/4/26, 25, 8, 38, 7, 1, 
2021/4/27, 24, 10, 32, 6, 1, 
2021/4/28, 28, 5, 32, 4, , 
2021/4/29, 11, 16, 66, 3, 1, 
2021/4/30, 43, 14, 57, 1, 1, 
2021/3/1, 18, 3, 33, 4, , 
2021/3/2, 10, 7, 38, 1, , 
2021/3/3, 16, 9, 32, 9, 1, 
2021/3/4, 23, 7, 22, 8, , 
2021/3/5, 14, 13, 37, 7, 1, 
2021/3/6, 33, 9, 36, 2, 1, 
2021/3/7, 24, 7, 30, 5, 1, 
2021/3/8, 22, 7, 27, 6, 1, 
2021/3/9, 21, 18, 42, 9, 1, 
2021/3/10, 47, 8, 30, 5, 1, 
2021/3/11, 22, 14, 25, 17, 1, 
2021/3/12, 36, 10, 38, 5, , 
2021/3/13, 25, 13, 41, 2, 1, 
2021/3/14, 39, 27, 45, 6, 1, 
2021/3/15, 66, 24, 29, 9, 1, 
2021/3/16, 63, 24, 43, 9, , 
2021/3/17, 54, 14, 39, 4, 1, 
2021/3/18, 32, 12, 40, 6, 1, 
2021/3/19, 33, 10, 37, 6, 1, 
2021/3/20, 20, 12, 40, 7, 2, 
2021/3/21, 26, 15, 33, 3, 1, 
2021/3/22, 46, 10, 43, 3, 1, 2
2021/3/23, 27, 13, 46, 5, 1, 3
2021/3/24, 36, 13, 30, 7, 1, 2
2021/3/25, 37, 17, 54, 5, 1, 2
2021/3/26, 46, 21, 52, 6, 1, 2
2021/3/27, 54, 13, 44, 10, , 1
2021/3/28, 31, 19, 44, 6, , 2
2021/3/29, 42, , , , , 
2021/2/1, 47, 12, 34, 8, 2, 
2021/2/2, 41, 6, 31, 2, , 
2021/2/3, 17, , , , , 
2021/1/4, 29, 15, 31, 7, 2, 
2021/1/5, 49, 6, 29, 5, 1, 
2021/1/6, 24, 6, 28, 3, 1, 
2021/1/7, 19, 3, 27, 2, , 
2021/1/8, 11, 4, 29, 2, , 
2021/1/9, 17, 7, 29, 2, 1, 
2021/1/10, 24, 9, 27, 4, 1, 
2021/1/11, 33, 12, 21, 6, 1, 
2021/1/12, 33, 18, 29, 6, 2, 
2021/1/13, 49, 25, 32, 11, 3, 
2021/1/14, 59, 29, 19, 12, 1, 
2021/1/15, 63, 25, 31, 11, 2, 
2021/1/16, 58, 10, 31, 3, 1, 
2021/1/17, 34, 7, 33, 3, 1, 
2021/1/18, 28, 8, 30, 4, 1, 
2021/1/19, 31, 4, 30, 4, 1, 
2021/1/20, 15, 14, 13, 14, 2, 
2021/1/21, 44, 23, 6, 21, 2, 
2021/1/22, 59, 9, 29, 7, 1, 
2021/1/23, 24, 5, 25, 3, 1, 
2021/1/24, 11, 6, 31, 4, , 
2021/1/25, 19, 11, 19, 11, , 
