date, pm25, pm10, o3, no2, so2
2021/5/1, 47, 7, 39, 1, 
2021/5/2, 27, 8, 42, 1, 
2021/5/3, 34, 11, 43, 1, 1
2021/5/4, 33, 8, 43, 1, 
2021/5/5, 43, , , , 
2021/4/10, 22, 6, 42, 1, 1
2021/4/11, 20, 10, 35, 2, 
2021/4/12, 22, 11, 35, 1, 
2021/4/13, 21, 9, 42, 1, 
2021/4/14, 31, 6, 40, 1, 1
2021/4/15, 23, 9, 32, 1, 
2021/4/16, 29, 8, 29, 2, 
2021/4/17, 22, 11, 36, 1, 
2021/4/18, 41, 11, 42, 1, 
2021/4/19, 29, 14, 45, 2, 1
2021/4/20, 40, 18, 63, 3, 1
2021/4/21, 47, 10, 44, 2, 1
2021/4/22, 32, 13, 41, 1, 1
2021/4/23, 43, 10, 41, 1, 
2021/4/24, 32, 9, 43, 2, 1
2021/4/25, 36, 7, 39, 1, 
2021/4/26, 25, 7, 39, 1, 1
2021/4/27, 26, 10, 24, 1, 
2021/4/28, 22, 5, 28, 1, 
2021/4/29, 15, 14, 40, 1, 2
2021/4/30, 46, 16, 38, 1, 1
2021/3/1, 16, 10, 34, 1, 
2021/3/2, 20, 4, 37, 1, 
2021/3/3, 23, 5, 31, 2, 1
2021/3/4, 22, 6, 24, 1, 
2021/3/5, 22, 7, 36, 1, 
2021/3/6, 27, 10, 34, 1, 1
2021/3/7, 26, 8, 32, 2, 1
2021/3/8, 26, 4, 30, 2, 1
2021/3/9, 28, 13, 43, 2, 1
2021/3/10, 35, 5, 32, 4, 1
2021/3/11, 26, 12, 21, 9, 1
2021/3/12, 39, 7, 43, 2, 
2021/3/13, 33, 12, 42, 1, 1
2021/3/14, 52, 24, 48, 3, 1
2021/3/15, 61, 22, 34, 4, 2
2021/3/16, 59, 24, 42, 4, 1
2021/3/17, 58, 14, 37, 3, 1
2021/3/18, 35, 11, 40, 3, 1
2021/3/19, 32, 13, 35, 2, 
2021/3/20, 29, 15, 37, 2, 1
2021/3/21, 26, 15, 36, 1, 1
2021/3/22, 44, 8, 40, 1, 
2021/3/23, 27, 6, 42, 1, 
2021/3/24, 25, 8, 26, 2, 1
