date, pm25, pm10, o3, no2, so2, co
2021/5/1, 37, 6, 45, 1, , 1
2021/5/2, 29, 10, 45, 1, , 1
2021/5/3, 46, 13, 49, 2, 1, 2
2021/5/4, 53, 6, 36, 1, , 
2021/5/5, 41, , , , , 
2021/4/10, 31, 4, 37, 3, , 2
2021/4/11, 29, 6, 45, 3, 1, 2
2021/4/12, 42, 6, 38, 2, , 2
2021/4/13, 33, 7, 34, 1, , 2
2021/4/14, 35, 6, 37, 3, 1, 2
2021/4/15, 42, 7, 42, 2, 1, 2
2021/4/16, 35, 7, 36, 1, , 2
2021/4/17, 34, 8, 44, 1, , 
2021/4/18, 33, 19, 48, 1, 1, 2
2021/4/19, 57, 21, 51, 4, 1, 2
2021/4/20, 60, 11, 40, 2, 1, 2
2021/4/21, 42, 15, 44, 4, 1, 2
2021/4/22, 51, 6, 39, 3, 1, 2
2021/4/23, 31, 9, 37, 4, 1, 2
2021/4/24, 39, 8, 40, 1, , 2
2021/4/25, 35, 4, 33, 1, , 1
2021/4/26, 24, 7, 39, 3, 1, 2
2021/4/27, 36, 9, 39, 4, , 2
2021/4/28, 32, 13, 39, 2, , 2
2021/4/29, 46, 10, 43, 2, 1, 
2021/4/30, 36, 7, 43, 1, 1, 2
2021/3/1, 33, 5, 35, 4, , 2
2021/3/2, 32, 4, 35, 2, , 2
2021/3/3, 29, 4, 39, 3, , 2
2021/3/4, 34, 9, 36, 6, 1, 2
2021/3/5, 47, 8, 36, 2, , 2
2021/3/6, 29, 3, 34, 3, , 3
2021/3/7, 35, 4, 33, 6, 1, 2
2021/3/8, 32, 5, 35, 6, , 2
2021/3/9, 30, 10, 36, 3, , 2
2021/3/10, 45, 6, 35, 4, , 2
2021/3/11, 42, 7, 35, 6, 1, 3
2021/3/12, 36, 10, 32, 6, , 3
2021/3/13, 53, 7, 40, 2, , 2
2021/3/14, 32, 9, 37, 5, 1, 3
2021/3/15, 44, 13, 38, 4, , 2
2021/3/16, 49, 19, 35, 1, , 2
2021/3/17, 47, 8, 35, 2, , 
2021/3/18, 37, 6, 37, 3, 1, 2
2021/3/19, 35, 6, 38, 3, , 2
2021/3/20, 29, 4, 39, 2, , 2
2021/3/21, 24, 11, 38, 1, , 2
2021/3/22, 50, 8, 38, 2, , 2
2021/3/23, 45, 13, 46, 4, 1, 2
2021/3/24, 48, 18, 39, 6, , 2
2021/3/25, 55, 20, 56, 2, , 2
2021/3/26, 59, 10, 34, 4, , 2
2021/3/27, 37, 10, 41, 1, , 2
2021/3/28, 42, 6, 34, 2, , 2
2021/3/29, 21, , , , , 
2021/2/1, 35, 14, 35, 3, , 2
2021/2/2, 59, 7, 30, 2, 1, 2
2021/2/3, 42, 4, 32, 3, , 2
2021/2/4, 40, 5, 34, 5, 1, 3
2021/2/5, 31, 18, 42, 6, 1, 3
2021/2/6, 63, 17, 33, 5, , 3
2021/2/7, 68, 4, 31, 1, 1, 2
2021/2/8, 35, 8, 30, 2, 1, 2
2021/2/9, 37, 6, 37, 5, 1, 2
2021/2/10, 44, 8, 32, 3, 1, 2
2021/2/11, 37, 7, 29, 12, , 3
2021/2/12, 37, 5, 31, 6, , 3
2021/2/13, 38, 8, 33, 6, , 3
2021/2/14, 49, 9, 36, 8, , 3
2021/2/15, 37, 11, 35, 1, , 2
2021/2/16, 46, 6, 30, 1, , 
2021/2/17, 28, 3, 31, 2, 1, 2
2021/2/18, 32, 6, 33, 3, , 2
2021/2/19, 30, 23, 41, 3, 1, 3
2021/2/20, 66, 14, 34, 4, 2, 2
2021/2/21, 51, 31, 47, 7, , 3
2021/2/22, 81, 8, 36, 1, , 2
2021/2/23, 40, 6, 33, 2, 1, 2
2021/2/24, 32, 5, 34, 4, 1, 2
2021/2/25, 33, 9, 37, 4, 1, 2
2021/2/26, 47, 4, 32, 5, , 3
2021/2/27, 28, 5, 32, 4, , 2
2021/2/28, 29, 7, 29, 9, , 3
2021/1/4, 29, 4, 27, 4, 1, 3
2021/1/5, 37, 5, 24, 11, 1, 3
2021/1/6, 35, 6, 29, 5, 1, 3
2021/1/7, 34, 4, 28, 3, , 2
2021/1/8, 30, 4, 29, 5, , 2
2021/1/9, 29, 4, 29, 3, 1, 2
2021/1/10, 32, 4, 25, 6, 1, 3
2021/1/11, 28, 2, 22, 7, 1, 3
2021/1/12, 26, 8, 26, 8, , 3
2021/1/13, 39, 13, 33, 3, 1, 2
2021/1/14, 49, 7, 31, 7, 1, 2
2021/1/15, 32, 14, 31, 3, , 2
2021/1/16, 58, 4, 30, 1, , 2
2021/1/17, 33, 4, 27, 3, 1, 2
2021/1/18, 27, 6, 31, 2, 1, 2
2021/1/19, 38, 5, 29, 5, 1, 3
2021/1/20, 36, 8, 27, 9, , 2
2021/1/21, 37, 13, 32, 9, 1, 4
2021/1/22, 51, 7, 29, 4, 1, 3
2021/1/23, 42, 6, 25, 9, 1, 3
2021/1/24, 30, 4, 26, 13, 1, 4
2021/1/25, 36, 5, 32, 9, , 2
2021/1/26, 34, 10, 32, 5, 1, 3
2021/1/27, 51, 8, 32, 7, 1, 3
2021/1/28, 40, 7, 31, 1, , 2
2021/1/29, 44, 8, 31, 1, 1, 2
2021/1/30, 41, 8, 32, 2, 1, 2
2021/1/31, 41, 5, 31, 6, , 3
2020/10/1, 27, 8, 33, 1, , 2
2020/10/2, 32, 10, 29, 1, , 3
2020/10/3, 41, 14, 24, 1, , 3
2020/10/4, 46, 11, 37, 1, , 2
2020/10/5, 51, 6, 27, 2, , 2
2020/10/6, 24, 5, 26, 1, , 3
2020/10/7, 32, 5, 13, 2, , 3
2020/10/8, 29, 5, 22, 2, , 2
2020/10/9, 31, 5, 30, 1, , 2
2020/10/10, 32, 5, 25, 1, , 2
2020/10/11, 25, 3, 27, 1, , 2
2020/10/12, 27, 7, 34, 2, , 2
2020/10/13, 35, 5, 30, 2, 1, 2
2020/10/14, 33, 4, 27, 1, , 2
2020/10/15, 26, 5, 27, 2, , 2
2020/10/16, 32, 4, 22, 2, , 3
2020/10/17, 21, 4, 22, 1, , 2
2020/10/18, 29, 8, 29, 3, , 3
2020/10/19, 36, 4, 33, 4, , 3
2020/10/20, 23, 6, 33, 1, , 2
2020/10/21, 32, 6, 31, 1, , 2
2020/10/22, 32, 6, 35, 2, , 2
2020/10/23, 30, 7, 32, 1, , 2
2020/10/24, 36, 10, 34, 1, , 
2020/10/25, 35, 6, 22, 4, , 3
2020/10/26, 36, 2, 26, 4, , 3
2020/10/27, 38, 4, 27, 2, , 3
2020/10/28, 24, 5, 30, 2, , 2
2020/10/29, 31, 5, 27, 2, 1, 3
2020/10/30, 33, 6, 26, 3, 1, 3
2020/10/31, 36, 5, 23, 2, , 3
2020/11/1, 38, 7, 29, 4, , 3
2020/11/2, 39, 8, 29, 2, , 2
2020/11/3, 32, 6, 28, 2, 1, 2
2020/11/4, 28, 6, 34, 2, 1, 
2020/11/5, 25, 7, 29, 4, , 3
2020/11/6, 40, 8, 33, 3, , 2
2020/11/7, 36, 15, 37, 2, , 2
2020/11/8, 60, 6, 26, 2, 1, 2
2020/11/9, 39, 5, 29, 1, 1, 2
2020/11/10, 29, 4, 29, 3, 1, 3
2020/11/11, 27, 4, 25, 5, , 2
2020/11/12, 24, 9, 30, 4, , 2
2020/11/13, 38, 7, 28, 3, , 3
2020/11/14, 40, 5, 26, 3, , 2
2020/11/15, 36, 11, 34, 3, 1, 3
2020/11/16, 46, 6, 23, 6, 1, 3
2020/11/17, 34, 9, 13, 7, 1, 3
2020/11/18, 32, 13, 28, 5, 1, 3
2020/11/19, 49, 10, 29, 3, , 3
2020/11/20, 42, 5, 27, 3, 1, 2
2020/11/21, 26, 4, 21, 1, , 2
2020/11/22, 25, 5, 31, 1, 1, 2
2020/11/23, 34, 5, 29, 5, 1, 3
2020/11/24, 32, 3, 20, 4, , 3
2020/11/25, 28, 7, 27, 2, 1, 2
2020/11/26, 39, 4, 21, 4, 1, 2
2020/11/27, 22, 3, 29, 1, 1, 2
2020/11/28, 28, 4, 26, 3, , 2
2020/11/29, 33, 4, 20, 5, , 3
2020/11/30, 29, 4, 29, 2, 1, 2
2020/12/1, 40, 3, 28, 3, 1, 2
2020/12/2, 28, 3, 31, 3, 1, 2
2020/12/3, 26, 4, 29, 3, 1, 2
2020/12/4, 26, 3, 23, 6, 1, 2
2020/12/5, 29, 2, 19, 5, , 2
2020/12/6, 17, 7, 31, 4, 1, 3
2020/12/7, 41, 6, 29, 2, 1, 2
2020/12/8, 37, 3, 28, 5, , 2
2020/12/9, 23, 3, 18, 8, , 3
2020/12/10, 22, 6, 25, 5, , 3
2020/12/11, 37, 6, 28, 6, , 3
2020/12/12, 37, 5, 26, 3, , 2
2020/12/13, 32, 2, 26, 1, 1, 2
2020/12/14, 25, 4, 25, 1, , 2
2020/12/15, 30, 3, 24, 2, 1, 2
2020/12/16, 31, 4, 28, 1, 2, 2
2020/12/17, 32, 4, 27, 5, 1, 4
2020/12/18, 33, 5, 27, 1, , 2
2020/12/19, 29, 3, 28, 1, , 2
2020/12/20, 31, 4, 33, 3, 1, 3
2020/12/21, 37, 4, 30, 9, 1, 3
2020/12/22, 35, 5, 24, 8, , 3
2020/12/23, 32, 16, 35, 7, , 3
2020/12/24, 61, 17, 30, 2, 1, 2
2020/12/25, 59, 5, 28, 1, 1, 2
2020/12/26, 39, 5, 24, 3, 1, 2
2020/12/27, 28, 12, 26, 6, , 4
2020/12/28, 52, 12, 24, 8, , 4
2020/12/29, 55, 3, 28, 2, , 2
2020/12/30, 29, 3, 27, 2, 1, 
2020/12/31, 28, 3, 28, 1, 1, 
2021/1/1, 28, 4, 28, 2, 1, 
2021/1/2, 29, 4, 30, 4, 1, 2
2021/1/3, 33, 5, 29, 2, 1, 2
2020/7/1, 34, 14, 25, 2, , 1
2020/7/2, 42, 9, 34, 1, 1, 1
2020/7/3, 32, 7, 29, 1, , 1
2020/7/4, 30, 10, 35, 1, , 1
2020/7/5, 37, 14, 21, 3, , 1
2020/7/6, 40, 16, 29, 3, , 1
2020/7/7, 35, 19, 38, 3, , 1
2020/7/8, 40, 12, 31, 2, 1, 2
2020/7/9, 41, 18, 28, 4, 1, 2
2020/7/10, 52, 15, 23, 1, , 1
2020/7/11, 28, 7, 30, 1, , 2
2020/7/12, 28, 9, 31, 1, , 
2020/7/13, 34, 6, 24, 1, , 1
2020/7/14, 32, 4, 18, 1, , 1
2020/7/15, 24, 5, 15, 2, , 1
2020/7/16, 24, 8, 21, 1, 1, 2
2020/7/17, 31, 9, 19, 1, , 
2020/7/18, 32, 14, 25, 1, , 1
2020/7/19, 39, 9, 30, 1, 1, 2
2020/7/20, 34, 22, 27, 2, , 2
2020/7/21, 57, 13, 30, 1, , 2
2020/7/22, 38, 8, 23, 1, , 
2020/7/23, 26, 5, 21, 1, , 1
2020/7/24, 25, 12, 14, 1, , 
2020/7/25, 33, 12, 24, 1, , 1
2020/7/26, 35, 11, 24, 1, , 1
2020/7/27, 31, 5, 17, 1, , 1
2020/7/28, 22, 11, 22, 1, , 1
2020/7/29, 23, 6, 26, 1, , 1
2020/7/30, 32, 15, 25, 1, , 2
2020/7/31, 31, 14, 31, 1, , 2
