date, pm25, pm10, o3, no2, so2, co
2021/5/1, 34, 4, 33, 2, , 2
2021/5/2, 20, 7, 37, 2, , 1
2021/5/3, 23, 14, 51, 1, , 
2021/5/4, 47, 9, 22, 2, , 
2021/5/5, 41, , , , , 
2021/4/10, 18, 7, 38, 3, 1, 2
2021/4/11, 30, 9, 41, 4, 1, 2
2021/4/12, 39, 12, 38, 2, 1, 
2021/4/13, 42, 5, 35, 3, , 2
2021/4/14, 25, 8, 38, 5, 1, 2
2021/4/15, 35, 11, 36, 4, 1, 2
2021/4/16, 38, 10, 33, 2, 1, 
2021/4/17, 33, 5, 41, 2, , 1
2021/4/18, 14, 18, 48, 3, , 2
2021/4/19, 50, 21, 58, 4, 1, 2
2021/4/20, 65, 9, 42, 2, 1, 2
2021/4/21, 40, 13, 46, 4, 1, 2
2021/4/22, 40, 7, 43, 4, 1, 2
2021/4/23, 24, 11, 41, 4, 1, 
2021/4/24, 41, 7, 39, 2, 1, 2
2021/4/25, 34, 5, 34, 4, 2, 
2021/4/26, 17, 8, 37, 5, , 1
2021/4/27, 29, 11, 36, 9, 1, 2
2021/4/28, 41, 12, 40, 5, , 2
2021/4/29, 37, 7, 41, 2, , 2
2021/4/30, 24, 9, 39, 4, , 2
2021/3/1, 56, 11, 34, 12, 1, 2
2021/3/2, 44, 5, 36, 6, 1, 2
2021/3/3, 20, 9, 34, 7, 1, 2
2021/3/4, 42, 9, 26, 7, , 2
2021/3/5, 39, 6, 36, 2, 1, 2
2021/3/6, 26, 6, 35, 4, 1, 2
2021/3/7, 23, 7, 32, 11, 1, 2
2021/3/8, 30, 10, 33, 9, 1, 2
2021/3/9, 43, 10, 35, 5, 1, 2
2021/3/10, 40, 10, 35, 8, 1, 2
2021/3/11, 40, 15, 24, 15, 1, 3
2021/3/12, 53, 25, 37, 10, 1, 4
2021/3/13, 70, 2, 35, 4, 1, 2
2021/3/14, 8, 8, 37, 3, 1, 2
2021/3/15, 26, 13, 39, 9, 1, 2
2021/3/16, 41, 20, 33, 3, 1, 2
2021/3/17, 58, 10, , 3, 1, 2
2021/3/18, 38, 8, , 5, 1, 2
2021/3/19, 33, 11, , 5, 1, 2
2021/3/20, 42, 5, , 7, 1, 2
2021/3/21, 13, 9, 31, 4, 1, 2
2021/3/22, 33, 10, 36, 6, 1, 2
2021/3/23, 37, 16, 43, 6, , 2
2021/3/24, 51, 16, 43, 9, , 2
2021/3/25, 52, 17, 52, 6, , 2
2021/3/26, 55, 13, 36, 5, , 2
2021/3/27, 47, 19, 31, 7, , 3
2021/3/28, 54, 12, 32, 6, , 2
2021/3/29, 37, , , , , 
2021/2/1, 44, 9, 32, 10, 1, 3
2021/2/2, 40, 7, 30, 7, 1, 2
2021/2/3, 32, 8, 34, 9, 1, 2
2021/2/4, 34, 7, 32, 9, 1, 2
2021/2/5, 23, 12, 37, 9, 1, 3
2021/2/6, 41, 15, 35, 9, 1, 3
2021/2/7, 55, 6, 29, 8, 1, 2
2021/2/8, 26, 4, 28, 6, 1, 2
2021/2/9, 14, 9, 36, 10, 1, 3
2021/2/10, 32, 10, 33, 7, 1, 2
2021/2/11, 38, 10, 28, 16, 1, 4
2021/2/12, 39, 12, 32, 17, 1, 4
2021/2/13, 50, 16, 33, 17, 1, 4
2021/2/14, 59, 12, 31, 21, 1, 4
2021/2/15, 47, 6, 35, 2, , 2
2021/2/16, 30, 7, 28, 5, 1, 2
2021/2/17, 27, 4, 30, 6, 1, 2
2021/2/18, 19, 6, 31, 8, 1, 2
2021/2/19, 23, 14, 43, 5, 1, 3
2021/2/20, 44, 17, 36, 5, 1, 2
2021/2/21, 53, 23, 37, 19, 1, 4
2021/2/22, 68, 11, 40, 3, 1, 2
2021/2/23, 41, 5, 32, 4, 1, 2
2021/2/24, 27, 6, 34, 7, 1, 2
