date, pm25, pm10, o3, no2, so2
2021/5/1, 62, 24, 50, 4, 8
2021/5/2, 63, 15, 41, 2, 4
2021/5/3, 46, 13, 46, 3, 3
2021/5/4, 46, 13, 44, 1, 4
2021/5/5, 34, , , , 
2021/4/10, 47, 13, 34, 5, 4
2021/4/11, 46, 16, 41, 6, 4
2021/4/12, 54, 12, 37, 15, 1
2021/4/13, 37, 14, 39, 19, 5
2021/4/14, 45, 12, 48, 54, 2
2021/4/15, 44, 13, 44, 6, 3
2021/4/16, 45, 11, 39, 7, 1
2021/4/17, 28, 12, 31, 5, 6
2021/4/18, 47, 13, 42, 2, 2
2021/4/19, 47, 18, 51, 6, 5
2021/4/20, 58, 20, 55, 10, 1
2021/4/21, 67, 12, 68, 10, 2
2021/4/22, 51, 17, 52, 8, 7
2021/4/23, 55, 19, 43, 8, 3
2021/4/24, 54, 16, 42, 6, 2
2021/4/25, 53, 13, 44, 2, 2
2021/4/26, 46, 13, 41, 3, 4
2021/4/27, 41, 14, 43, 5, 1
2021/4/28, 35, 11, 36, 3, 1
2021/4/29, 23, 23, 34, 4, 4
2021/4/30, 55, 24, 51, 4, 4
2021/3/1, 41, 11, 34, 5, 1
2021/3/2, 24, 9, 37, 5, 1
2021/3/3, 33, 14, 27, 12, 4
2021/3/4, 48, 12, 21, 13, 1
2021/3/5, 36, 14, 38, 9, 1
2021/3/6, 45, 12, 35, 5, 1
2021/3/7, 42, 12, 30, 7, 1
2021/3/8, 37, 16, 29, 11, 3
2021/3/9, 47, 18, 40, 8, 1
2021/3/10, 57, 13, 35, 9, 2
2021/3/11, 46, 20, 25, 11, 1
2021/3/12, 58, 10, 41, 5, 2
2021/3/13, 30, 16, 38, 4, 1
2021/3/14, 52, 24, 47, 8, 2
2021/3/15, 73, 32, 42, 13, 6
2021/3/16, 82, 32, 38, 10, 2
2021/3/17, 69, 22, 42, 11, 1
2021/3/18, 60, 18, 41, 14, 1
2021/3/19, 57, 19, 34, 12, 4
2021/3/20, 55, 19, 31, 17, 1
2021/3/21, 32, 20, 35, 10, 2
2021/3/22, 57, 16, 40, 12, 3
2021/3/23, 54, 16, 43, 12, 4
2021/3/24, 51, 14, 29, 17, 1
2021/3/25, 46, 21, 47, 16, 4
2021/3/26, 63, 25, 55, 16, 8
2021/3/27, 72, 16, 51, 19, 1
2021/3/28, 49, 16, 61, 20, 1
2021/3/29, 42, , 56, 7, 
2021/2/1, 56, 19, 37, 7, 6
2021/2/2, 57, 14, 34, 5, 3
2021/2/3, 54, 19, 36, 9, 7
2021/2/4, 61, 13, 34, 11, 6
2021/2/5, 49, 13, 35, 11, 2
2021/2/6, 51, 23, 41, 9, 6
2021/2/7, 69, 23, 32, 8, 3
2021/2/8, 66, 9, 30, 6, 1
2021/2/9, 32, 13, 36, 9, 2
2021/2/10, 48, 20, 42, 9, 1
2021/2/11, 64, 28, 29, 17, 2
2021/2/12, 77, 21, 30, 13, 10
2021/2/13, 62, 15, 31, 9, 5
2021/2/14, 45, 20, 37, 7, 6
2021/2/15, 55, 18, 35, 3, 8
2021/2/16, 53, 23, 32, 2, 12
2021/2/17, 65, 18, 30, 2, 12
2021/2/18, 59, 10, 32, 8, 4
2021/2/19, 40, 17, 40, 12, 8
2021/2/20, 56, 26, 49, 12, 6
2021/2/21, 74, 24, 25, 9, 2
2021/2/22, 69, , , , 
2021/1/4, 40, 16, 22, 11, 1
2021/1/5, 53, 13, 32, 5, 8
2021/1/6, 46, 15, 30, 4, 8
2021/1/7, 46, 14, 28, 2, 10
2021/1/8, 50, 14, 30, 4, 13
2021/1/9, 51, 19, 29, 3, 14
2021/1/10, 62, 10, 26, 7, 1
2021/1/11, 42, 15, 16, 14, 1
2021/1/12, 51, 18, 29, 12, 3
2021/1/13, 61, 27, 34, 11, 2
