date, pm25, pm10, o3, no2, so2, co
2021/5/1, 20, 22, 48, 2, 1, 3
2021/5/2, 41, 18, 51, 1, , 3
2021/5/3, 41, 29, 46, 1, , 2
2021/5/4, 52, 31, 28, , , 2
2021/5/5, 41, , , , , 
2021/4/10, 47, 23, 40, 1, 1, 
2021/4/11, 47, 21, 39, 1, , 
2021/4/12, 41, 13, 36, 3, 1, 3
2021/4/13, 20, 20, 41, 5, 2, 3
2021/4/14, 39, 21, 43, 3, 1, 2
2021/4/15, 44, 25, 41, 2, 1, 2
2021/4/16, 47, 28, 55, 1, 1, 2
2021/4/17, 45, 32, 47, 1, 1, 2
2021/4/18, 55, 23, 45, 3, 1, 2
2021/4/19, 50, 22, 41, 2, , 2
2021/4/20, 48, 25, 43, 1, , 
2021/4/21, 43, 25, 39, 1, , 
2021/4/22, 33, 28, 44, 1, , 3
2021/4/23, 30, 25, 44, 1, , 2
2021/4/24, 44, 16, 36, 2, 1, 2
2021/4/25, 32, 23, 39, 2, 2, 2
2021/4/26, 53, 16, 41, 2, , 2
2021/4/27, 39, 16, 32, 2, , 2
2021/4/28, 34, 19, 38, 3, , 3
2021/4/29, 26, 17, 38, 4, , 3
2021/4/30, 33, 14, 30, 1, , 2
2021/3/1, 19, 12, , 1, , 2
2021/3/2, 18, 13, , 3, 1, 2
2021/3/3, 28, 15, , 1, , 2
2021/3/4, 31, 10, , 4, , 3
2021/3/5, 23, 12, , 3, 1, 2
2021/3/6, 26, 9, , 3, , 3
2021/3/7, 15, 12, , 5, 1, 3
2021/3/8, 26, 21, , 6, , 4
2021/3/9, 53, 17, , 4, 1, 3
2021/3/10, 41, 15, , 4, 1, 4
2021/3/11, 45, 14, , 3, 1, 3
2021/3/12, 34, 16, , 4, 1, 3
2021/3/13, 42, 14, , 4, 1, 2
2021/3/14, 38, 22, , 5, 1, 3
2021/3/15, 56, 20, , 2, 1, 2
2021/3/16, 49, 21, , 7, 1, 3
2021/3/17, 47, 19, , 4, 1, 3
2021/3/18, 46, 19, , 5, 1, 3
2021/3/19, 46, 15, , 1, 1, 2
2021/3/20, 39, 19, , 2, 1, 3
2021/3/21, 41, 21, 37, 3, 1, 2
