ダウンロードした時刻：2021/05/14 15:11:22

,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.9,13.2,2.2,0,1,0,1,9.2,0,2.5,快晴,晴後一時薄曇
2017/1/2,7.3,14.6,2.3,0,1,0,1,7.3,0,2.5,曇後晴,快晴
2017/1/3,7.2,11.4,2.7,0,1,0,1,7.8,0,2.5,晴,晴
2017/1/4,5.9,14.2,0.5,0.0,0,0.0,0,8.4,0,1.5,晴,晴
2017/1/5,4.1,6.6,1.3,0.0,0,0.0,0,4.3,0,3.8,曇時々晴,晴
2017/1/6,3.4,8.4,-0.9,0,1,0,1,9.0,0,4.3,晴一時薄曇,快晴
2017/1/7,2.9,9.5,-1.8,0,1,0,1,9.2,0,2.0,晴,晴
2017/1/8,2.7,7.3,-0.5,13.0,0,1.0,0,0.0,0,8.0,曇後一時雨,雨、みぞれを伴う
2017/1/9,6.8,13.2,2.2,2.5,0,0.5,0,4.3,0,6.0,曇後晴,晴
2017/1/10,8.1,14.0,4.9,0,1,0,1,9.4,0,0.8,快晴,晴
2017/1/11,5.0,10.5,0.7,0,1,0,1,6.7,0,1.0,晴,快晴
2017/1/12,3.9,9.9,-1.5,0,1,0,1,7.9,0,0.5,晴,快晴
2017/1/13,3.9,10.1,0.1,0.0,0,0.0,0,5.5,0,3.3,晴,晴一時曇
2017/1/14,0.1,3.3,-2.4,0.0,0,0.0,0,3.2,0,9.5,曇時々晴,曇後一時雪
2017/1/15,-1.9,1.3,-3.5,0.0,0,0.0,0,2.8,0,9.3,雪後時々曇,晴一時雪
2017/1/16,0.6,5.3,-4.3,0.0,0,0.0,0,8.3,0,2.3,晴後一時雪,曇時々雪後晴
2017/1/17,3.3,8.3,-0.7,0.0,0,0.0,0,6.3,0,6.3,晴一時曇,晴
2017/1/18,3.8,9.8,-0.8,0,1,0,1,7.9,0,2.5,晴後一時薄曇,晴
2017/1/19,4.0,8.3,0.6,0,1,0,1,8.1,0,2.8,晴一時薄曇,晴
2017/1/20,0.8,3.3,-2.0,0.0,0,0.0,0,0.0,0,7.8,曇後時々雪,曇後晴
2017/1/21,3.5,7.5,0.0,0.0,0,0.0,0,7.3,0,3.0,晴一時雨,晴
2017/1/22,3.6,11.9,-2.8,0,1,0,1,8.9,0,1.5,晴,晴
2017/1/23,1.7,5.7,-1.7,0,1,0,1,8.2,0,1.0,晴,晴
2017/1/24,-0.2,4.8,-4.2,0,1,0,1,9.3,0,3.3,晴,快晴
2017/1/25,1.3,7.1,-3.4,0,1,0,1,7.5,0,1.8,晴時々曇,快晴
2017/1/26,3.2,10.7,-2.4,0,1,0,1,9.8,0,1.3,快晴,晴後薄曇
2017/1/27,6.2,15.6,0.3,0,1,0,1,6.4,0,6.0,曇後晴,快晴
2017/1/28,6.8,12.5,3.5,0,1,0,1,8.8,0,1.5,晴,晴時々曇
2017/1/29,6.8,12.4,1.8,0.0,0,0.0,0,5.4,0,8.3,曇時々晴,曇時々雨後晴
2017/1/30,7.7,15.6,3.5,0.0,0,0.0,0,7.5,0,3.5,晴一時雨,晴
2017/1/31,3.4,7.0,0.2,0,1,0,1,9.7,0,2.8,快晴,晴
2017/2/1,3.7,10.2,-1.8,0.0,0,0.0,0,9.0,0,4.0,晴一時薄曇,晴
2017/2/2,2.7,6.7,-0.3,0,1,0,1,8.9,0,3.5,晴,晴
2017/2/3,5.9,10.3,1.4,0,1,0,1,9.7,0,1.8,晴,快晴
2017/2/4,6.7,12.7,2.4,0,1,0,1,9.9,0,0.0,快晴,晴
2017/2/5,3.8,6.3,1.0,0.0,0,0.0,0,1.7,0,6.5,曇時々雨,曇時々晴一時雨
2017/2/6,6.5,11.8,2.5,0.0,0,0.0,0,8.3,0,4.5,晴一時雨,晴
2017/2/7,3.3,6.9,0.5,0,1,0,1,8.7,0,2.3,晴,晴一時薄曇
2017/2/8,3.3,8.5,-2.2,0,1,0,1,9.0,0,5.8,晴後薄曇,曇一時晴
2017/2/9,2.0,4.4,0.8,1.0,0,0.5,0,0.2,0,10.0,曇後雪,曇時々雪一時晴
2017/2/10,2.3,6.7,-1.0,0.5,0,0.5,0,9.4,0,2.8,晴,快晴
2017/2/11,2.0,8.7,-3.1,0,1,0,1,7.6,0,1.5,晴,晴後時々雪
2017/2/12,2.9,8.1,0.0,0.0,0,0.0,0,9.2,0,2.5,晴,快晴
2017/2/13,3.5,9.8,-2.0,0,1,0,1,9.4,0,0.8,晴,快晴
2017/2/14,2.9,8.9,-2.3,0,1,0,1,7.5,0,2.8,晴,快晴
2017/2/15,4.0,10.1,-1.5,0,1,0,1,10.2,0,0.0,快晴,快晴
2017/2/16,6.1,14.2,-0.6,0,1,0,1,10.2,0,0.8,快晴,晴
2017/2/17,9.8,19.7,3.1,0.0,0,0.0,0,8.1,0,5.3,晴一時雨,晴
2017/2/18,5.3,9.7,1.4,0.0,0,0.0,0,4.0,0,5.3,薄曇後晴,晴時々曇一時雪
2017/2/19,4.1,8.4,0.2,0,1,0,1,10.2,0,0.5,晴,曇時々晴
2017/2/20,7.0,13.4,2.1,0.5,0,0.5,0,4.9,0,9.5,曇一時晴後時々雨,晴時々雨後一時雪
2017/2/21,2.9,6.3,-0.1,0.0,0,0.0,0,8.3,0,5.0,晴一時雪,晴
2017/2/22,4.3,9.2,-1.0,0.0,0,0.0,0,8.6,0,7.0,晴後薄曇,曇後時々雨、あられを伴う
2017/2/23,8.5,18.2,3.1,0.0,0,0.0,0,5.0,0,9.5,晴時々曇一時雨,晴時々薄曇
2017/2/24,4.4,7.9,0.7,0,1,0,1,10.6,0,2.8,晴,晴
2017/2/25,5.3,12.1,-1.7,0,1,0,1,10.6,0,3.0,晴,晴一時曇
2017/2/26,7.3,13.3,1.5,0,1,0,1,9.4,0,3.3,晴後時々曇,曇後晴
2017/2/27,6.3,12.1,2.6,0.0,0,0.0,0,10.5,0,4.5,晴,曇一時晴
2017/2/28,5.3,10.2,1.9,0.0,0,0.0,0,6.4,0,5.5,曇後晴,晴後曇
2017/3/1,5.1,8.9,0.8,0.0,0,0.0,0,5.5,0,9.5,曇,曇一時雨
2017/3/2,7.2,9.6,5.1,0.0,0,0.0,0,1.2,0,9.8,曇後雨,曇後晴
2017/3/3,6.8,11.8,3.2,0,1,0,1,10.9,0,0.8,晴,快晴
2017/3/4,7.2,13.7,1.4,0,1,0,1,10.5,0,1.0,晴,快晴
2017/3/5,9.7,15.7,3.5,0,1,0,1,8.6,0,5.0,晴後薄曇,曇
2017/3/6,8.2,10.8,5.6,0,1,0,1,0.6,0,9.3,曇,晴
2017/3/7,5.0,10.4,1.1,0.0,0,0.0,0,5.9,0,7.3,晴時々曇,晴
2017/3/8,4.2,11.0,-1.4,0,1,0,1,7.9,0,2.3,晴,快晴
2017/3/9,6.5,14.1,-0.1,0.0,0,0.0,0,7.3,0,2.8,晴時々曇,快晴
