ダウンロードした時刻：2021/05/14 15:11:48

,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,3.5,13.7,-3.2,0,1,0,1,8.8,0,,,
2017/1/2,3.7,12.8,-2.1,0,1,0,1,8.1,0,,,
2017/1/3,3.2,12.2,-2.9,0,1,0,1,5.7,0,,,
2017/1/4,4.5,13.6,-3.4,0,1,0,1,8.8,0,,,
2017/1/5,5.4,10.1,1.3,0,1,0,1,8.8,0,,,
2017/1/6,2.3,9.7,-2.9,0,1,0,1,8.3,0,,,
2017/1/7,0.7,9.4,-5.8,0,1,0,1,8.9,0,,,
2017/1/8,-0.5,3.9,-4.2,20.0,0,1.0,0,0.0,0,,,
2017/1/9,2.8,9.1,0.1,7.0,0,0.5,0,4.2,0,,,
2017/1/10,4.0,11.5,-0.7,0,1,0,1,8.9,0,,,
2017/1/11,2.7,11.0,-2.7,0,1,0,1,8.9,0,,,
2017/1/12,1.6,10.8,-5.0,0,1,0,1,8.9,0,,,
2017/1/13,1.0,10.2,-5.2,0,1,0,1,6.8,0,,,
2017/1/14,-1.4,3.1,-4.5,0.0,0,0.0,0,1.7,0,,,
2017/1/15,-0.8,4.4,-6.4,0,1,0,1,6.8,0,,,
2017/1/16,0.2,6.4,-7.2,0,1,0,1,8.4,0,,,
2017/1/17,3.1,9.8,-2.5,0,1,0,1,6.5,0,,,
2017/1/18,1.1,9.3,-5.7,0,1,0,1,8.8,0,,,
2017/1/19,1.2,9.9,-4.0,0,1,0,1,6.0,0,,,
2017/1/20,-0.6,3.5,-4.6,0,1,0,1,1.2,0,,,
2017/1/21,2.7,8.4,-2.9,0,1,0,1,5.5,0,,,
2017/1/22,1.8,11.0,-5.3,0,1,0,1,9.1,0,,,
2017/1/23,1.6,5.8,-2.2,0,1,0,1,6.7,0,,,
2017/1/24,-0.2,5.1,-5.7,0,1,0,1,7.3,0,,,
2017/1/25,0.5,7.7,-5.2,0,1,0,1,9.2,0,,,
2017/1/26,1.5,10.6,-6.3,0,1,0,1,9.2,0,,,
2017/1/27,2.8,13.2,-4.1,0,1,0,1,6.1,0,,,
2017/1/28,3.7,12.8,-3.7,0,1,0,1,8.6,0,,,
2017/1/29,4.3,11.6,-1.6,0.0,0,0.0,0,4.5,0,,,
2017/1/30,7.6,18.0,0.1,0.0,0,0.0,0,7.0,0,,,
2017/1/31,3.3,9.4,-2.8,0,1,0,1,9.5,0,,,
2017/2/1,2.1,10.1,-5.1,0,1,0,1,8.5,0,,,
2017/2/2,2.2,8.1,-3.5,0,1,0,1,9.6,0,,,
2017/2/3,4.5,11.9,-4.0,0,1,0,1,9.6,0,,,
2017/2/4,3.3,13.6,-4.9,0,1,0,1,9.6,0,,,
2017/2/5,2.4,8.6,-3.8,0.0,0,0.0,0,1.6,0,,,
2017/2/6,5.1,12.7,-1.9,0.0,0,0.0,0,6.9,0,,,
2017/2/7,3.7,8.0,-0.9,0,1,0,1,9.5,0,,,
2017/2/8,2.5,9.8,-3.2,0,1,0,1,9.0,0,,,
2017/2/9,0.8,4.4,-1.6,2.0,0,0.5,0,0.3,0,,,
2017/2/10,1.4,7.3,-2.0,0.0,0,0.0,0,5.1,0,,,
2017/2/11,0.4,8.6,-6.6,0,1,0,1,7.2,0,,,
2017/2/12,3.4,9.7,-2.6,0,1,0,1,9.6,0,,,
2017/2/13,3.3,11.0,-3.2,0,1,0,1,7.7,0,,,
2017/2/14,1.7,9.8,-4.9,0,1,0,1,7.3,0,,,
2017/2/15,3.1,12.5,-3.3,0,1,0,1,10.1,0,,,
2017/2/16,3.9,14.3,-4.9,0,1,0,1,10.1,0,,,
2017/2/17,8.5,20.4,-2.2,0.0,0,0.0,0,9.3,0,,,
2017/2/18,4.4,8.2,0.1,0.0,0,0.0,0,0.0,0,,,
2017/2/19,3.2,10.7,-2.4,0.5,0,0.5,0,10.3,0,,,
2017/2/20,5.4,14.5,-2.3,3.0,0,0.5,0,7.3,0,,,
2017/2/21,4.1,8.0,-1.4,0,1,0,1,10.0,0,,,
2017/2/22,3.2,10.1,-4.3,0,1,0,1,9.6,0,,,
2017/2/23,7.8,18.0,2.3,0.0,0,0.0,0,6.1,0,,,
2017/2/24,5.3,11.1,0.9,0,1,0,1,9.6,0,,,
2017/2/25,3.9,11.3,-3.4,0,1,0,1,7.7,0,,,
2017/2/26,5.1,13.5,-2.8,0,1,0,1,8.4,0,,,
2017/2/27,4.6,11.6,-1.1,0.0,0,0.0,0,6.5,0,,,
2017/2/28,4.9,11.2,1.3,0,1,0,1,4.3,0,,,
2017/3/1,4.5,10.6,-1.0,2.5,0,0.5,0,6.1,0,,,
2017/3/2,4.7,7.6,2.4,3.0,0,0.5,0,0.0,0,,,
2017/3/3,6.1,14.0,-0.4,0,1,0,1,10.6,0,,,
2017/3/4,4.9,14.9,-3.3,0,1,0,1,9.9,0,,,
2017/3/5,7.2,15.8,-1.4,0,1,0,1,8.8,0,,,
2017/3/6,7.0,11.1,2.4,0,1,0,1,1.5,0,,,
2017/3/7,3.6,9.2,-1.6,0.0,0,0.0,0,4.7,0,,,
2017/3/8,2.5,11.3,-4.7,0,1,0,1,7.8,0,,,
2017/3/9,4.0,13.8,-4.5,0,1,0,1,9.9,0,,,
