ダウンロードした時刻：2021/05/14 15:12:19

,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.3,13.0,3.9,0,1,0,1,9.5,0,,,
2017/1/2,8.1,13.2,4.4,0,1,0,1,5.8,0,,,
2017/1/3,8.7,13.9,3.9,0,1,0,1,8.3,0,,,
2017/1/4,9.0,12.8,5.4,0,1,0,1,8.6,0,,,
2017/1/5,7.2,10.7,3.6,0,1,0,1,9.4,0,,,
2017/1/6,4.7,8.2,0.9,0,1,0,1,9.3,0,,,
2017/1/7,5.2,9.9,0.3,0,1,0,1,9.3,0,,,
2017/1/8,5.1,7.2,2.6,26.5,0,1.5,0,0.0,0,,,
2017/1/9,7.7,10.9,5.2,13.0,0,1.0,0,1.7,0,,,
2017/1/10,9.3,12.8,6.1,0,1,0,1,8.9,0,,,
2017/1/11,7.4,11.0,4.0,0,1,0,1,9.3,0,,,
2017/1/12,7.4,11.4,2.3,0,1,0,1,8.4,0,,,
2017/1/13,8.1,12.3,3.4,0.0,0,0.0,0,7.5,0,,,
2017/1/14,3.0,7.4,-0.5,0.0,0,0.0,0,4.7,0,,,
2017/1/15,2.2,5.3,-0.7,0,1,0,1,9.0,0,,,
2017/1/16,4.3,8.3,-0.6,0,1,0,1,9.8,0,,,
2017/1/17,6.2,10.6,2.3,0,1,0,1,9.5,0,,,
2017/1/18,6.6,11.0,1.9,0,1,0,1,7.2,0,,,
2017/1/19,6.5,11.2,3.3,0,1,0,1,2.3,0,,,
2017/1/20,2.7,3.9,0.8,2.5,0,0.5,0,0.0,0,,,
2017/1/21,6.1,11.3,2.3,0.5,0,0.5,0,9.6,0,,,
2017/1/22,7.0,13.0,2.1,0,1,0,1,9.5,0,,,
2017/1/23,4.7,8.3,1.9,0,1,0,1,7.5,0,,,
2017/1/24,3.6,7.6,0.3,0,1,0,1,9.3,0,,,
2017/1/25,4.7,9.9,1.1,0,1,0,1,10.0,0,,,
2017/1/26,5.5,10.7,0.0,0,1,0,1,10.0,0,,,
2017/1/27,11.3,15.6,5.3,0,1,0,1,4.4,0,,,
2017/1/28,9.0,13.4,4.4,0,1,0,1,8.9,0,,,
2017/1/29,8.9,13.8,4.7,0,1,0,1,5.3,0,,,
2017/1/30,12.4,18.3,8.0,0.5,0,0.5,0,6.4,0,,,
2017/1/31,6.9,10.8,3.8,0,1,0,1,8.4,0,,,
2017/2/1,6.9,10.5,3.5,0,1,0,1,7.5,0,,,
2017/2/2,5.2,9.9,2.1,0,1,0,1,9.7,0,,,
2017/2/3,8.2,13.0,2.5,0,1,0,1,9.9,0,,,
2017/2/4,8.5,13.2,3.9,0,1,0,1,9.7,0,,,
2017/2/5,7.4,9.2,4.5,0.0,0,0.0,0,2.5,0,,,
2017/2/6,9.4,15.0,6.0,0.5,0,0.5,0,7.3,0,,,
2017/2/7,6.2,10.0,3.8,0,1,0,1,9.8,0,,,
2017/2/8,6.8,10.8,3.5,0,1,0,1,8.2,0,,,
2017/2/9,2.9,5.9,1.4,7.5,0,0.5,0,0.0,0,,,
2017/2/10,4.9,10.2,2.2,0.0,0,0.0,0,5.6,0,,,
2017/2/11,5.0,9.3,1.1,0,1,0,1,7.9,0,,,
2017/2/12,6.3,10.9,2.9,0,1,0,1,10.2,0,,,
2017/2/13,6.3,11.9,1.7,0,1,0,1,9.0,0,,,
2017/2/14,6.5,11.2,2.3,0,1,0,1,9.0,0,,,
2017/2/15,6.9,11.7,2.3,0,1,0,1,10.4,0,,,
2017/2/16,8.0,12.1,3.4,0,1,0,1,10.4,0,,,
2017/2/17,14.1,18.2,7.9,0,1,0,1,6.8,0,,,
2017/2/18,8.2,11.6,6.3,0.0,0,0.0,0,0.7,0,,,
2017/2/19,6.5,10.6,2.0,0.0,0,0.0,0,10.3,0,,,
2017/2/20,10.5,16.7,3.3,18.0,0,8.0,0,3.0,0,,,
2017/2/21,6.4,9.5,3.6,0,1,0,1,10.6,0,,,
2017/2/22,7.3,11.1,1.3,0,1,0,1,4.1,0,,,
2017/2/23,13.9,18.3,10.5,1.0,0,0.5,0,0.6,0,,,
2017/2/24,8.1,11.2,4.6,0.0,0,0.0,0,1.6,0,,,
2017/2/25,6.9,11.4,3.2,0.0,0,0.0,0,3.3,0,,,
2017/2/26,8.5,12.3,4.2,0,1,0,1,9.2,0,,,
2017/2/27,6.0,7.9,3.9,0,1,0,1,0.1,0,,,
2017/2/28,4.8,8.9,1.8,0,1,0,1,6.8,0,,,
2017/3/1,6.6,11.8,1.6,5.0,0,0.5,0,9.3,0,,,
2017/3/2,7.5,8.6,6.1,10.5,0,0.5,0,0.0,0,,,
2017/3/3,9.5,15.6,5.3,0,1,0,1,8.7,0,,,
2017/3/4,9.1,14.1,4.6,0,1,0,1,4.9,0,,,
2017/3/5,10.5,15.4,4.9,0,1,0,1,8.1,0,,,
2017/3/6,9.9,12.7,8.1,9.5,0,1.0,0,0.4,0,,,
2017/3/7,6.2,10.3,2.6,2.0,0,0.5,0,1.8,0,,,
2017/3/8,6.2,11.0,1.5,0,1,0,1,11.2,0,,,
2017/3/9,7.7,11.6,2.2,0,1,0,1,11.2,0,,,
