ダウンロードした時刻：2021/05/14 15:12:39

,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.4,13.8,2.0,0,1,0,1,8.9,0,2.8,快晴,晴時々曇
2017/1/2,7.2,13.3,3.8,0,1,0,1,6.5,0,2.5,晴一時曇,快晴
2017/1/3,8.0,13.7,3.5,0,1,0,1,8.2,0,0.5,快晴,晴時々曇
2017/1/4,8.5,14.0,3.6,0,1,0,1,8.7,0,2.5,快晴,快晴
2017/1/5,6.7,10.4,3.7,0,1,0,1,9.0,0,0.0,快晴,晴
2017/1/6,4.5,8.8,1.5,0,1,0,1,8.8,0,4.0,晴一時薄曇,快晴
2017/1/7,4.1,8.7,0.1,0,1,0,1,8.7,0,2.3,晴,薄曇一時晴
2017/1/8,3.9,6.0,1.6,20.5,0,1.0,0,0.0,0,9.8,曇時々雨,雨
2017/1/9,7.2,11.1,3.8,5.5,0,0.5,0,2.2,0,7.0,雨後晴,快晴
2017/1/10,8.1,12.7,3.5,0,1,0,1,8.9,0,0.3,快晴,快晴
2017/1/11,6.9,11.0,3.9,0,1,0,1,9.0,0,0.3,快晴,快晴
2017/1/12,6.0,12.1,0.7,0,1,0,1,8.2,0,0.5,晴,快晴
2017/1/13,6.2,12.7,1.4,0.0,0,0.0,0,6.7,0,2.3,晴後一時曇,晴
2017/1/14,2.4,6.3,-1.3,0.0,0,0.0,0,3.2,0,5.8,曇時々晴後一時雪,晴
2017/1/15,0.7,4.7,-2.3,0,1,0,1,8.1,0,1.5,晴,快晴
2017/1/16,3.2,8.0,-2.0,0,1,0,1,9.3,0,0.8,快晴,晴一時曇
2017/1/17,5.4,10.9,0.7,0,1,0,1,9.1,0,1.0,快晴,晴
2017/1/18,5.8,10.3,1.1,0,1,0,1,9.1,0,4.3,晴後時々薄曇,曇
2017/1/19,6.4,10.9,2.4,0,1,0,1,5.6,0,8.0,曇時々晴,曇一時晴
2017/1/20,3.0,3.8,2.2,0.0,0,0.0,0,0.0,0,10.0,曇時々みぞれ一時雨,曇後時々晴
2017/1/21,5.9,11.0,1.2,0,1,0,1,9.4,0,3.5,快晴,曇時々晴
2017/1/22,6.0,12.9,0.9,0,1,0,1,9.3,0,2.5,快晴,快晴
2017/1/23,4.0,7.9,0.2,0,1,0,1,6.9,0,2.8,晴一時曇,快晴
2017/1/24,2.5,7.7,-1.9,0,1,0,1,9.4,0,0.5,晴,快晴
2017/1/25,3.9,9.5,-1.2,0,1,0,1,9.6,0,0.0,快晴,快晴
2017/1/26,4.6,10.7,-1.4,0.0,0,0.0,0,9.5,0,0.0,快晴,晴時々薄曇
2017/1/27,8.8,16.0,1.4,0,1,0,1,5.2,0,6.5,曇後晴,晴
2017/1/28,8.4,13.6,4.6,0,1,0,1,9.1,0,2.0,晴,曇時々晴
2017/1/29,8.0,12.0,4.8,0,1,0,1,2.9,0,10.0,曇後一時晴,曇後時々雨
2017/1/30,11.2,19.5,6.7,0.0,0,0.0,0,7.9,0,5.0,晴,晴
2017/1/31,5.9,10.0,2.8,0,1,0,1,9.3,0,2.3,快晴,曇一時晴
2017/2/1,6.0,10.6,2.2,0,1,0,1,7.2,0,7.3,晴時々曇,快晴
2017/2/2,4.5,9.7,0.9,0,1,0,1,9.6,0,0.0,快晴,快晴
2017/2/3,7.4,13.7,1.0,0,1,0,1,9.6,0,0.0,快晴,快晴
2017/2/4,8.2,13.4,4.4,0,1,0,1,9.6,0,0.0,快晴,晴時々曇
2017/2/5,7.2,9.9,3.4,0.0,0,0.0,0,2.5,0,8.8,曇時々雨一時晴,曇一時晴
2017/2/6,8.7,15.7,3.3,0.0,0,0.0,0,6.1,0,4.3,晴時々曇,快晴
2017/2/7,5.6,10.0,2.2,0,1,0,1,9.5,0,1.0,晴後一時薄曇,晴一時薄曇
2017/2/8,6.3,11.0,1.9,0,1,0,1,9.5,0,6.3,晴後時々薄曇,曇後時々雪
2017/2/9,2.4,5.4,1.0,8.0,0,0.5,0,0.0,0,10.0,みぞれ時々雨,雨一時みぞれ後曇
2017/2/10,4.3,9.3,1.5,0.5,0,0.5,0,4.0,0,8.3,曇時々晴一時雪,晴時々曇
2017/2/11,4.1,10.1,-1.6,0,1,0,1,7.3,0,4.3,晴後時々曇,快晴
2017/2/12,5.0,11.2,-0.4,0,1,0,1,9.5,0,0.0,快晴,快晴
2017/2/13,6.3,11.8,1.0,0,1,0,1,8.0,0,0.8,晴,晴一時曇
2017/2/14,6.1,11.8,2.1,0,1,0,1,8.9,0,3.5,晴後一時曇,快晴
2017/2/15,6.5,12.8,1.2,0,1,0,1,9.9,0,0.5,快晴,快晴
2017/2/16,7.3,13.7,1.3,0,1,0,1,9.9,0,2.3,快晴,薄曇時々晴
2017/2/17,13.2,20.6,4.8,0,1,0,1,8.2,0,4.5,晴,晴後時々薄曇
2017/2/18,8.1,10.7,6.4,0.0,0,0.0,0,2.9,0,9.0,曇,曇後晴一時雨、みぞれを伴う
2017/2/19,6.2,11.5,1.6,0.0,0,0.0,0,9.6,0,3.3,晴,晴後一時薄曇
2017/2/20,9.9,19.7,1.8,6.5,0,1.5,0,5.6,0,6.0,晴後雨一時曇,晴一時雨
2017/2/21,6.1,9.9,3.6,0,1,0,1,9.7,0,0.8,晴,晴
2017/2/22,7.0,10.6,1.1,0,1,0,1,4.3,0,8.3,曇一時晴,曇後一時雨
2017/2/23,12.4,16.3,8.4,0.5,0,0.5,0,1.5,0,10.0,雨後曇,曇後一時雨、みぞれを伴う
2017/2/24,7.4,11.3,5.2,0.0,0,0.0,0,3.5,0,10.0,曇時々晴,曇一時みぞれ
2017/2/25,7.5,12.7,3.5,0,1,0,1,8.1,0,5.3,晴一時曇,晴一時薄曇
2017/2/26,8.6,14.2,3.3,0,1,0,1,8.4,0,5.0,晴後薄曇,曇時々晴
2017/2/27,6.2,9.7,4.3,0,1,0,1,2.0,0,9.0,曇後時々晴,曇
2017/2/28,5.5,10.1,3.2,0,1,0,1,8.8,0,3.3,晴一時曇,晴
2017/3/1,6.4,11.1,1.4,4.5,0,0.5,0,5.6,0,6.5,曇一時晴,雨後時々曇
2017/3/2,6.8,8.7,5.4,9.5,0,1.0,0,0.0,0,10.0,曇後雨,晴一時雨
2017/3/3,8.7,16.0,3.7,0,1,0,1,8.3,0,2.8,晴後一時曇,晴後時々曇
2017/3/4,8.7,14.6,3.0,0,1,0,1,6.1,0,9.3,薄曇時々晴,晴一時薄曇
2017/3/5,10.4,15.9,4.9,0,1,0,1,8.3,0,5.3,晴後薄曇,薄曇後一時晴
2017/3/6,9.3,11.5,7.6,1.0,0,0.5,0,1.1,0,9.3,曇時々雨,晴時々曇
2017/3/7,6.6,10.9,2.3,0.5,0,0.5,0,2.7,0,6.8,曇時々晴一時雨,快晴
2017/3/8,5.5,11.8,0.0,0,1,0,1,8.1,0,2.3,晴一時曇,快晴
2017/3/9,7.5,13.0,1.3,0,1,0,1,11.1,0,0.8,快晴,快晴
