ダウンロードした時刻：2021/05/14 15:13:07

,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.5,13.6,4.2,0,1,0,1,9.5,0,1.8,快晴,晴後一時曇
2017/1/2,8.9,13.3,5.6,0,1,0,1,6.7,0,2.5,晴一時曇,快晴
2017/1/3,9.2,14.1,4.5,0,1,0,1,9.0,0,0.5,晴,晴後曇
2017/1/4,9.3,14.5,5.3,0,1,0,1,9.2,0,2.5,快晴,快晴
2017/1/5,7.3,10.7,4.2,0,1,0,1,9.5,0,0.0,快晴,晴
2017/1/6,5.5,8.8,2.7,0,1,0,1,9.4,0,3.5,晴後薄曇,快晴
2017/1/7,5.2,9.2,1.2,0,1,0,1,9.1,0,2.8,晴,薄曇時々晴
2017/1/8,4.4,6.7,2.4,19.5,0,1.0,0,0.0,0,9.8,曇後雨,雨
2017/1/9,8.3,11.9,5.1,4.5,0,0.5,0,1.9,0,6.8,雨後晴,快晴
2017/1/10,8.6,12.3,5.3,0,1,0,1,8.3,0,0.5,晴,快晴
2017/1/11,7.5,10.5,4.8,0,1,0,1,8.4,0,3.3,晴,晴
2017/1/12,7.2,11.9,2.1,0,1,0,1,9.6,0,1.5,快晴,快晴
2017/1/13,7.6,12.7,4.4,0,1,0,1,9.6,0,0.8,快晴,快晴
2017/1/14,3.4,8.4,-0.1,0,1,0,1,4.9,0,5.8,曇時々晴,晴時々曇
2017/1/15,1.9,6.1,-1.2,0,1,0,1,8.5,0,2.0,晴一時曇,快晴
2017/1/16,4.1,8.7,-0.3,0,1,0,1,8.7,0,1.0,晴,晴
2017/1/17,6.6,11.1,2.6,0,1,0,1,8.9,0,1.8,晴,晴
2017/1/18,6.3,9.9,2.1,0,1,0,1,8.7,0,5.8,晴,薄曇
2017/1/19,7.2,11.4,4.3,0,1,0,1,5.6,0,7.3,曇時々晴,曇時々晴後一時雪
2017/1/20,3.7,4.7,2.0,0.0,0,0.0,0,0.2,0,10.0,曇時々雨一時雪、あられを伴う,曇後晴
2017/1/21,6.5,11.0,2.1,0,1,0,1,9.7,0,2.5,快晴,曇時々晴
2017/1/22,7.4,13.6,1.8,0.0,0,0.0,0,9.7,0,3.0,快晴,快晴
2017/1/23,4.5,7.8,1.2,0,1,0,1,5.2,0,4.8,晴時々曇,快晴
2017/1/24,3.2,7.5,0.3,0,1,0,1,8.3,0,2.8,晴,晴
2017/1/25,4.4,10.1,0.3,0,1,0,1,10.1,0,0.0,快晴,快晴
2017/1/26,5.7,10.0,0.6,0.0,0,0.0,0,9.9,0,1.8,快晴,晴後一時薄曇
2017/1/27,11.0,15.6,4.4,0,1,0,1,5.3,0,6.0,曇後晴,晴
2017/1/28,9.1,12.5,5.9,0,1,0,1,8.9,0,4.0,晴後一時薄曇,曇
2017/1/29,8.8,12.2,5.6,0.0,0,0.0,0,6.1,0,9.5,曇時々晴,曇時々雨
2017/1/30,12.3,19.3,7.5,0.5,0,0.5,0,8.6,0,6.0,晴,晴一時曇
2017/1/31,6.8,10.7,3.7,0,1,0,1,9.3,0,2.8,晴,曇
2017/2/1,6.5,10.7,3.1,0,1,0,1,8.1,0,4.3,晴一時曇,快晴
2017/2/2,5.5,10.0,2.2,0,1,0,1,10.2,0,0.0,快晴,快晴
2017/2/3,7.7,13.8,2.8,0,1,0,1,9.5,0,0.0,快晴,快晴
2017/2/4,8.7,12.3,4.9,0,1,0,1,9.7,0,2.0,晴,晴時々曇
2017/2/5,7.3,9.1,4.6,1.0,0,0.5,0,2.4,0,9.3,雨一時晴,曇時々雨後晴
2017/2/6,9.2,14.9,5.3,0.5,0,0.5,0,6.3,0,3.3,晴時々曇一時雨,快晴
2017/2/7,6.6,11.4,4.2,0,1,0,1,9.8,0,0.5,晴後一時薄曇,晴時々曇
2017/2/8,7.0,11.2,3.5,0,1,0,1,8.3,0,7.8,晴時々薄曇,曇後一時雨
2017/2/9,3.1,6.6,1.3,5.0,0,0.5,0,0.0,0,10.0,雨後時々雪,曇時々みぞれ一時雨
2017/2/10,4.3,10.2,0.5,1.0,0,0.5,0,4.6,0,7.8,晴後みぞれ時々雪、あられを伴う,曇一時雪後晴
2017/2/11,4.8,10.3,-0.4,0,1,0,1,6.9,0,4.5,晴後一時曇,快晴
2017/2/12,5.8,11.3,2.0,0,1,0,1,7.7,0,1.8,晴,快晴
2017/2/13,6.6,12.0,2.3,0,1,0,1,9.2,0,2.0,晴後一時曇,曇時々晴
2017/2/14,6.3,10.8,2.5,0.0,0,0.0,0,7.9,0,4.3,晴後一時曇,快晴
2017/2/15,7.0,11.6,1.9,0,1,0,1,10.4,0,1.5,晴,晴
2017/2/16,8.1,13.7,2.9,0,1,0,1,10.4,0,2.5,快晴,薄曇時々晴
2017/2/17,14.1,18.7,7.5,0.0,0,0.0,0,6.1,0,5.0,晴一時曇,晴
2017/2/18,8.5,11.5,6.8,0.0,0,0.0,0,4.9,0,8.0,曇,曇後一時晴
2017/2/19,7.0,11.6,2.8,0.0,0,0.0,0,10.4,0,3.3,晴,晴後時々薄曇
2017/2/20,10.7,18.5,3.7,3.5,0,3.0,0,4.0,0,8.0,晴時々曇一時雨,晴一時雨
2017/2/21,7.1,10.3,4.4,0,1,0,1,10.8,0,0.3,晴後一時薄曇,快晴
2017/2/22,7.3,10.8,2.7,0.0,0,0.0,0,4.0,0,6.3,晴後曇,曇後時々雨
2017/2/23,13.1,18.1,9.4,4.0,0,1.0,0,2.5,0,8.0,雨後晴一時曇,曇時々晴
2017/2/24,7.8,12.0,5.6,0.0,0,0.0,0,2.4,0,9.8,曇時々晴,曇一時雪
2017/2/25,8.0,12.3,5.0,0.0,0,0.0,0,7.6,0,6.8,晴一時曇,晴後一時曇
2017/2/26,8.9,12.6,4.9,0,1,0,1,9.8,0,6.8,薄曇時々晴,曇時々晴
2017/2/27,6.7,8.8,4.9,0.0,0,0.0,0,0.4,0,9.8,曇,曇後時々晴
2017/2/28,6.0,9.0,3.8,0,1,0,1,8.3,0,3.0,晴一時曇,晴後一時曇
2017/3/1,7.0,11.4,3.4,10.0,0,1.0,0,8.3,0,6.3,薄曇一時晴,雨後一時曇
2017/3/2,7.1,8.4,5.7,10.5,0,1.0,0,0.0,0,10.0,曇後雨,曇一時雨後晴
2017/3/3,9.0,16.0,4.7,1.0,0,1.0,0,9.1,0,2.3,晴後時々曇一時雨,晴時々曇
2017/3/4,9.5,14.2,5.2,0,1,0,1,6.0,0,9.0,薄曇時々晴,晴一時薄曇
2017/3/5,10.9,14.7,5.8,0,1,0,1,8.6,0,5.0,晴後薄曇,曇
2017/3/6,9.6,11.5,8.6,9.0,0,1.0,0,0.3,0,8.3,雨時々曇,曇時々晴
2017/3/7,7.1,12.1,4.0,0.0,0,0.0,0,3.3,0,7.0,曇時々晴一時雨,快晴
2017/3/8,6.4,10.7,2.0,0.0,0,0.0,0,8.2,0,2.5,晴後一時曇,快晴
2017/3/9,8.1,13.0,2.5,0,1,0,1,11.2,0,0.5,晴,快晴
