ダウンロードした時刻：2021/05/14 15:13:32

,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,5.5,8.3,4.0,5.5,0,1.5,0,1.9,0,9.5,雨時々曇一時晴,曇時々雨
2017/1/2,7.6,11.1,4.7,2.5,0,0.5,0,0.7,0,10.0,雨時々曇,曇一時雨、雷を伴う
2017/1/3,7.5,9.6,5.0,0.0,0,0.0,0,2.9,0,9.0,曇時々晴一時雨,曇一時晴後雨
2017/1/4,5.8,8.7,3.2,7.5,0,1.5,0,1.6,0,9.0,雨時々曇一時晴、雷・あられを伴う,曇時々雨一時みぞれ、あられを伴う
2017/1/5,3.5,5.8,1.2,5.5,0,1.5,0,1.5,0,10.0,雪時々曇、あられを伴う,曇時々雪一時晴、あられを伴う
2017/1/6,2.5,4.4,0.4,2.5,0,1.0,0,0.0,0,9.3,曇一時雪、あられを伴う,曇
2017/1/7,3.5,8.1,1.0,0.0,0,0.0,0,0.4,0,8.3,曇後時々雨,晴後曇一時みぞれ
2017/1/8,5.6,9.5,1.9,1.5,0,0.5,0,3.7,0,7.5,曇一時晴,雨一時曇
2017/1/9,6.2,9.2,4.1,6.5,0,1.0,0,0.4,0,10.0,曇時々雨,曇時々雨
2017/1/10,5.5,9.6,2.6,3.5,0,1.0,0,3.5,0,9.8,曇時々雨一時晴,曇一時雨、みぞれを伴う
2017/1/11,2.0,3.2,0.8,0.0,0,0.0,0,0.0,0,9.8,雪時々曇、あられを伴う,雪一時曇、あられを伴う
2017/1/12,2.2,3.4,0.2,4.5,0,0.5,0,0.0,0,10.0,雪時々曇、あられを伴う,みぞれ一時雪、あられを伴う
2017/1/13,0.8,3.1,-1.1,22.5,0,1.5,0,0.0,0,10.0,雪,大雪一時曇、あられを伴う
2017/1/14,-1.5,1.0,-3.4,10.5,0,1.5,0,0.0,0,10.0,雪時々曇、あられを伴う,雪時々曇一時ふぶき、あられを伴う
2017/1/15,-0.2,2.6,-4.0,1.5,0,0.5,0,2.7,0,8.0,曇時々雪一時晴、あられを伴う,曇時々雪一時晴、あられを伴う
2017/1/16,1.5,5.1,-0.7,16.0,0,4.0,0,0.9,0,10.0,雪一時曇、あられを伴う,曇時々みぞれ一時雨、あられを伴う
2017/1/17,2.6,5.5,0.6,7.0,0,1.0,0,0.6,0,10.0,曇時々雨一時みぞれ、あられを伴う,曇時々雨一時みぞれ、あられを伴う
2017/1/18,3.6,7.0,0.9,6.5,0,1.5,0,6.2,0,7.8,晴時々曇,曇時々雨、雷・あられを伴う
2017/1/19,3.8,7.0,0.7,0.0,0,0.0,0,4.1,0,9.0,晴時々曇,晴時々曇
2017/1/20,2.6,5.5,-0.7,0.0,0,0.0,0,4.4,0,9.5,曇,雨時々曇
2017/1/21,3.1,6.0,0.9,4.0,0,1.0,0,0.4,0,8.8,雨時々曇後晴、あられを伴う,曇時々雪一時晴
2017/1/22,1.6,4.4,-0.6,15.5,0,1.5,0,0.0,0,7.8,雨時々みぞれ、雷・あられを伴う,雪一時雨後曇、あられを伴う
2017/1/23,0.5,2.4,-1.3,5.5,0,0.5,0,0.6,0,9.8,雪、あられを伴う,雪時々晴、あられを伴う
2017/1/24,-0.1,1.6,-1.4,1.5,0,0.5,0,4.8,0,6.5,晴時々雪、あられを伴う,曇時々雪、あられを伴う
2017/1/25,2.3,3.9,0.2,0.0,0,0.0,0,1.6,0,9.3,曇時々晴一時雪、あられを伴う,曇後一時雪、あられを伴う
2017/1/26,0.9,2.8,-0.5,3.0,0,0.5,0,0.6,0,7.3,雪後雨一時曇,晴後薄曇
2017/1/27,3.0,11.1,-1.6,1.5,0,0.5,0,0.6,0,8.8,曇後雨,晴後曇
2017/1/28,2.6,4.7,-0.1,0.0,0,0.0,0,0.8,0,9.0,曇後一時晴,晴時々曇
2017/1/29,3.6,7.8,-1.4,0.0,0,0.0,0,5.0,0,8.8,晴後曇,曇時々雨
2017/1/30,4.5,9.4,1.4,26.5,0,1.5,0,0.6,0,10.0,雨後一時曇、あられを伴う,曇時々雪一時雨、あられを伴う
2017/1/31,2.1,4.9,0.1,0.0,0,0.0,0,2.0,0,8.0,晴後曇,曇時々晴一時雪、あられを伴う
2017/2/1,1.7,6.4,-1.4,2.5,0,0.5,0,3.2,0,6.3,曇時々晴後雨,雪時々曇、あられを伴う
2017/2/2,0.9,4.2,-2.2,1.0,0,0.5,0,0.1,0,9.0,雪時々曇、あられを伴う,雪時々曇一時みぞれ、あられを伴う
2017/2/3,4.1,7.0,0.8,0.0,0,0.0,0,1.9,0,9.8,曇一時みぞれ,曇
2017/2/4,5.7,9.8,1.9,0.0,0,0.0,0,4.3,0,6.8,曇時々晴一時雨,晴一時曇
2017/2/5,4.3,7.6,0.5,3.5,0,1.0,0,0.1,0,8.3,曇後一時雨,雨一時曇
2017/2/6,5.1,7.9,2.6,8.0,0,1.5,0,0.4,0,10.0,雨時々曇、あられを伴う,曇時々雨一時みぞれ、あられを伴う
2017/2/7,1.5,3.2,-0.6,0.5,0,0.5,0,0.8,0,10.0,曇時々雪、あられを伴う,曇時々雪、あられを伴う
2017/2/8,3.1,6.6,1.2,0.0,0,0.0,0,2.5,0,9.5,曇一時雪,曇一時晴
2017/2/9,3.0,5.8,0.8,0.0,0,0.0,0,0.0,0,10.0,曇後一時雨、みぞれを伴う,みぞれ時々曇一時雨
2017/2/10,3.3,6.0,0.4,0.5,0,0.5,0,4.4,0,7.3,晴一時曇、みぞれを伴う,晴時々曇一時雪、あられを伴う
2017/2/11,2.1,5.4,-0.9,7.0,0,1.5,0,2.1,0,9.5,曇時々雪一時雨、あられを伴う,曇時々みぞれ、あられを伴う
2017/2/12,3.9,6.1,1.6,1.5,0,0.5,0,1.7,0,10.0,曇時々雨一時雪、あられを伴う,曇時々晴一時雨
2017/2/13,3.4,6.5,0.2,0.0,0,0.0,0,2.5,0,4.8,曇時々晴,晴
2017/2/14,3.4,7.1,-0.1,1.0,0,0.5,0,4.5,0,6.0,曇時々晴一時雪、あられを伴う,曇時々晴
2017/2/15,4.3,7.4,0.8,0.0,0,0.0,0,3.4,0,6.8,曇時々晴、あられを伴う,晴後曇
2017/2/16,6.2,13.3,1.1,0,1,0,1,8.4,0,5.3,晴一時曇,晴後一時曇
2017/2/17,5.0,10.6,1.6,15.5,0,1.5,0,0.0,0,6.8,雨一時曇,曇時々晴一時雨、あられを伴う
2017/2/18,2.4,6.2,-0.4,0.0,0,0.0,0,1.9,0,9.3,曇時々雪一時晴,曇時々雪後一時晴
2017/2/19,1.4,5.4,-0.8,0.0,0,0.0,0,2.6,0,9.0,曇一時晴、あられを伴う,曇後一時雨
2017/2/20,3.9,8.7,0.4,26.0,0,1.5,0,0.0,0,10.0,雨,曇時々雪一時雨
2017/2/21,1.6,4.1,-0.9,3.0,0,1.0,0,1.0,0,9.3,雪時々曇、あられを伴う,曇一時雪、あられを伴う
2017/2/22,3.8,6.4,0.5,0,1,0,1,1.5,0,10.0,曇,曇後雨
2017/2/23,6.2,11.9,3.2,16.0,0,1.0,0,0.0,0,10.0,雨時々曇,曇時々晴
2017/2/24,2.4,4.5,0.3,0.0,0,0.0,0,0.5,0,7.3,曇一時雪、あられを伴う,晴一時曇後雪、あられを伴う
2017/2/25,2.8,6.9,-1.0,5.0,0,1.0,0,6.8,0,8.5,晴一時雪,曇時々雨一時みぞれ、あられを伴う
2017/2/26,3.5,7.5,1.5,4.0,0,1.5,0,2.0,0,10.0,雨時々曇,曇一時雨
2017/2/27,2.5,5.6,0.1,0.0,0,0.0,0,5.5,0,6.3,曇時々雪後晴,晴
2017/2/28,2.0,6.1,-2.1,0,1,0,1,10.8,0,2.3,晴,晴後曇
2017/3/1,5.0,9.4,0.5,0,1,0,1,6.7,0,9.5,薄曇一時晴,曇後晴
2017/3/2,7.2,12.6,2.3,0.0,0,0.0,0,4.6,0,7.3,曇後一時雨,曇時々雨
2017/3/3,6.1,8.3,4.4,1.0,0,0.5,0,2.0,0,8.5,曇時々雨、あられを伴う,晴
2017/3/4,5.8,10.7,1.2,1.0,0,1.0,0,4.6,0,4.5,晴後曇時々雨,曇時々晴
2017/3/5,5.9,10.6,2.1,0,1,0,1,4.6,0,8.3,曇一時晴,曇時々晴
2017/3/6,7.4,15.1,3.1,0.0,0,0.0,0,6.9,0,9.5,薄曇後一時雨,曇一時雨、みぞれを伴う
