ダウンロードした時刻：2021/05/14 15:14:01

,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山,富山
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.9,11.3,4.1,2.5,0,1.0,0,3.2,0,8.8,曇時々晴一時雨,曇一時晴
2017/1/2,8.5,14.2,4.0,0.5,0,0.5,0,4.6,0,6.8,薄曇時々晴後一時雨,曇時々雨一時晴、雷を伴う
2017/1/3,6.7,9.3,4.5,9.5,0,1.5,0,1.3,0,9.5,雨後曇,曇後時々雨
2017/1/4,6.1,9.8,2.4,1.5,0,0.5,0,0.2,0,8.3,曇時々雨,晴後曇
2017/1/5,3.7,7.8,1.9,1.5,0,1.0,0,2.0,0,8.5,曇時々雨一時あられ,曇一時雪、あられを伴う
2017/1/6,3.8,7.5,1.1,0.0,0,0.5,0,3.4,0,9.3,曇,晴一時曇
2017/1/7,3.5,8.9,-0.8,0,1,0,1,8.5,0,3.5,晴後薄曇,晴時々薄曇
2017/1/8,4.4,8.3,0.0,7.5,0,1.0,0,0.0,0,8.8,曇,雨後時々曇
2017/1/9,6.2,10.9,4.0,9.5,0,1.5,0,0.2,0,10.0,雨時々曇,雨後時々曇
2017/1/10,6.3,12.0,2.9,5.0,0,1.5,0,4.0,0,7.5,曇時々晴後一時雨,雨時々曇後雪
2017/1/11,2.6,7.1,0.2,11.5,0,1.5,0,1.6,0,9.0,みぞれ時々曇一時雪、あられを伴う,みぞれ時々雪一時曇、あられを伴う
2017/1/12,2.8,6.6,0.6,18.5,0,2.0,0,1.0,0,9.0,雨時々みぞれ一時曇、あられを伴う,みぞれ一時曇、あられを伴う
2017/1/13,2.6,5.3,0.3,20.0,0,1.5,0,1.1,0,10.0,雨時々みぞれ一時曇、あられを伴う,雪、あられを伴う
2017/1/14,-1.3,0.8,-3.7,19.0,0,1.0,0,0.4,0,10.0,雪、あられを伴う,雪時々曇、あられを伴う
2017/1/15,-1.0,1.2,-3.3,7.0,0,1.5,0,1.7,0,10.0,雪後一時曇、あられを伴う,雪一時曇、あられを伴う
2017/1/16,0.5,2.3,-1.3,17.5,0,1.0,0,0.1,0,9.3,雪、あられを伴う,曇時々雪一時晴
2017/1/17,2.2,4.6,0.7,1.0,0,0.5,0,0.8,0,7.8,曇時々みぞれ一時雨,曇後一時晴
2017/1/18,3.3,7.7,-0.7,1.5,0,0.5,0,7.4,0,8.5,晴後曇,雨一時曇
2017/1/19,3.2,6.1,1.1,0.0,0,0.0,0,3.8,0,8.8,曇一時雨後晴,晴時々曇
2017/1/20,2.7,8.1,-0.7,7.0,0,1.5,0,2.1,0,8.8,曇一時晴後雨,雨時々曇一時みぞれ、雷を伴う
2017/1/21,2.7,5.8,0.1,6.5,0,1.5,0,2.5,0,7.3,曇時々雨一時晴、あられを伴う,晴一時曇
2017/1/22,2.0,4.0,0.4,20.5,0,2.0,0,0.0,0,8.0,みぞれ時々雨一時雪、あられを伴う,雪一時みぞれ
2017/1/23,-0.9,0.6,-2.1,12.0,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/24,-1.3,0.0,-2.4,11.0,0,1.0,0,0.1,0,10.0,雪,曇時々雪
2017/1/25,0.0,2.7,-2.2,0.5,0,0.5,0,2.2,0,6.3,曇時々雪一時晴,晴
2017/1/26,1.0,7.5,-3.2,0,1,0,1,9.7,0,1.8,快晴,晴後薄曇
2017/1/27,5.5,10.1,2.5,4.5,0,1.0,0,0.0,0,10.0,曇後雨,曇時々雨、あられを伴う
2017/1/28,4.1,8.5,0.8,0.0,0,0.0,0,9.3,0,6.0,晴,薄曇一時晴
2017/1/29,5.3,8.9,0.0,1.0,0,0.5,0,3.3,0,7.5,晴後曇一時雨,雨一時曇
2017/1/30,6.7,9.3,2.6,23.0,0,1.5,0,0.0,0,10.0,雨一時曇,曇一時雨、あられを伴う
2017/1/31,2.1,6.4,0.0,0.0,0,0.0,0,5.5,0,9.8,曇一時晴,晴時々曇
2017/2/1,2.9,9.2,-1.0,3.5,0,1.0,0,2.7,0,5.8,晴時々曇後雨,雪一時雨
2017/2/2,0.9,3.9,-1.5,10.0,0,1.0,0,2.0,0,8.5,雪後曇一時晴,曇時々みぞれ一時雨
2017/2/3,3.4,8.5,0.4,0.5,0,0.5,0,3.9,0,6.8,曇一時雪後晴,晴
2017/2/4,4.8,12.1,-0.2,0,1,0,1,9.2,0,2.3,晴,晴後曇
2017/2/5,6.2,10.0,1.7,8.0,0,1.5,0,0.0,0,9.8,雨時々曇,雨一時曇
2017/2/6,4.3,7.6,1.0,23.5,0,2.5,0,0.0,0,10.0,雨後時々曇、あられを伴う,雨一時みぞれ後雪
2017/2/7,0.4,1.7,-0.5,4.5,0,0.5,0,0.1,0,10.0,雪時々曇,曇後時々雪
2017/2/8,2.2,5.9,-0.2,0.0,0,0.0,0,1.2,0,10.0,曇一時雪,曇
2017/2/9,3.7,4.9,1.6,1.5,0,0.5,0,0.0,0,10.0,曇後雨,雨時々曇後一時みぞれ
2017/2/10,1.7,4.9,-1.2,3.0,0,1.0,0,0.7,0,10.0,曇時々雪,雪一時曇、あられを伴う
2017/2/11,0.7,4.6,-1.3,16.0,0,2.0,0,2.5,0,10.0,雪時々曇,雪、あられを伴う
2017/2/12,1.2,3.8,-0.6,1.5,0,0.5,0,2.3,0,9.0,曇時々雪,曇時々晴後一時雪
2017/2/13,0.6,4.5,-1.3,4.0,0,1.0,0,1.7,0,8.5,雪時々曇,晴一時雪
2017/2/14,0.9,3.6,-1.8,1.5,0,1.0,0,2.3,0,7.0,曇一時晴後時々みぞれ,曇時々雪
2017/2/15,3.6,8.1,0.8,0.0,0,0.0,0,5.2,0,6.8,曇時々晴,晴後時々曇
2017/2/16,8.6,16.1,2.1,0,1,0,1,9.7,0,5.0,快晴,薄曇後晴
2017/2/17,8.6,12.4,3.9,12.5,0,1.0,0,0.0,0,9.0,雨,曇時々雨
2017/2/18,3.6,8.0,-0.1,4.5,0,0.5,0,5.0,0,8.8,晴後一時曇,雪一時雨
2017/2/19,3.2,7.9,-1.3,3.5,0,1.0,0,7.1,0,7.8,晴時々曇,曇後雨
2017/2/20,6.6,9.4,2.2,47.0,0,2.5,0,0.0,0,10.0,大雨,雨後みぞれ一時雪
2017/2/21,1.2,3.9,-1.2,1.5,0,0.5,0,1.7,0,8.8,曇時々雪,晴
2017/2/22,3.4,9.4,-2.2,1.0,0,0.5,0,5.4,0,7.5,曇時々晴,雨一時曇
2017/2/23,7.9,11.8,2.5,26.5,0,2.0,0,0.0,0,10.0,雨,雨後一時曇、あられを伴う
2017/2/24,2.5,6.1,0.7,1.0,0,0.5,0,2.9,0,7.8,曇時々雪,晴後曇一時雪
2017/2/25,4.9,10.8,0.5,1.0,0,0.5,0,7.3,0,8.0,晴一時雪,雨時々曇
2017/2/26,4.5,10.0,1.6,6.0,0,1.0,0,1.4,0,10.0,雨時々曇,雪時々雨、あられを伴う
2017/2/27,3.3,6.1,0.9,1.0,0,0.5,0,1.6,0,8.8,曇一時雪,晴一時曇
2017/2/28,3.7,8.3,-1.3,0,1,0,1,6.5,0,5.0,晴後曇,曇後晴
2017/3/1,5.4,10.1,-0.3,0,1,0,1,7.3,0,7.5,薄曇一時晴,曇一時晴
2017/3/2,6.6,12.0,1.6,1.5,0,1.0,0,1.8,0,7.5,曇時々晴一時雨,雨一時曇
2017/3/3,5.9,10.6,1.4,5.5,0,1.0,0,5.6,0,5.8,晴一時雨,快晴
2017/3/4,7.1,15.6,-0.3,0,1,0,1,10.3,0,1.5,晴,晴後一時曇
2017/3/5,7.6,12.6,2.3,0,1,0,1,6.7,0,6.5,晴後薄曇,曇一時晴
2017/3/6,8.5,16.2,4.1,3.0,0,1.5,0,0.6,0,10.0,曇後一時雨,雨一時曇
2017/3/7,2.1,6.1,0.2,10.0,0,1.0,0,0.6,0,10.0,雪一時曇、あられを伴う,雪
2017/3/8,2.4,7.1,0.1,7.5,0,1.0,0,5.7,0,10.0,曇一時雪,雨時々曇後雪
2017/3/9,4.0,8.1,0.8,5.0,0,1.0,0,1.6,0,9.5,曇一時雪後雨,雨時々曇一時みぞれ
