ダウンロードした時刻：2021/05/14 15:14:32

,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.3,11.4,5.8,5.5,0,2.0,0,3.5,0,9.5,曇時々晴一時雨,晴時々曇
2017/1/2,9.2,13.7,4.6,2.0,0,1.5,0,4.7,0,5.5,曇時々晴一時雨,曇時々雨一時晴、雷を伴う
2017/1/3,7.3,9.9,5.5,11.0,0,3.0,0,1.9,0,8.0,雨後曇時々晴,曇一時晴後時々雨
2017/1/4,8.0,11.8,5.8,3.5,0,1.0,0,0.1,0,10.0,曇時々雨一時晴,曇一時晴
2017/1/5,4.4,6.6,2.3,1.5,0,0.5,0,1.0,0,10.0,みぞれ時々曇一時雨、あられを伴う,曇一時みぞれ後晴
2017/1/6,3.5,7.4,0.6,0,1,0,1,5.2,0,4.3,曇後晴,晴
2017/1/7,4.5,9.3,0.3,0,1,0,1,8.8,0,4.0,晴後薄曇,晴一時薄曇
2017/1/8,5.7,9.2,0.8,4.5,0,0.5,0,0.0,0,8.0,曇,雨後時々曇
2017/1/9,7.0,11.1,5.0,19.0,0,3.0,0,1.2,0,10.0,曇後雨,雨一時曇
2017/1/10,6.7,10.6,3.7,6.5,0,2.0,0,3.7,0,9.0,晴後曇一時雨、雷を伴う,曇時々雨、あられを伴う
2017/1/11,4.7,7.0,3.0,1.5,0,1.0,0,0.9,0,8.3,曇時々みぞれ一時雨、あられを伴う,みぞれ時々曇、雷・あられを伴う
2017/1/12,5.2,6.8,2.8,13.5,0,2.0,0,0.4,0,9.8,みぞれ時々雨、雷・あられを伴う,雨一時曇、雷・あられを伴う
2017/1/13,4.6,6.7,1.1,12.5,0,2.5,0,0.6,0,10.0,みぞれ時々曇一時雨、あられを伴う,雪時々曇一時みぞれ、あられを伴う
2017/1/14,0.7,3.9,-2.3,7.0,0,0.5,0,0.5,0,10.0,雪時々曇、雷・あられを伴う,雪時々曇、大風を伴う
2017/1/15,1.0,3.6,-1.5,7.0,0,0.5,0,1.6,0,9.3,雪時々曇、あられを伴う,雪時々曇一時晴、あられを伴う
2017/1/16,2.3,5.2,0.1,16.0,0,1.0,0,0.0,0,10.0,雪時々曇、雷・あられを伴う,雪時々曇一時みぞれ、あられを伴う
2017/1/17,3.1,5.7,1.0,13.5,0,2.5,0,0.2,0,10.0,みぞれ時々曇一時雪、あられを伴う,曇後一時晴
2017/1/18,5.3,9.5,1.2,3.5,0,1.0,0,6.6,0,7.8,晴後曇,雨時々曇
2017/1/19,4.4,6.5,0.3,0.0,0,0.0,0,2.5,0,7.8,曇時々雨一時晴,晴後一時曇
2017/1/20,2.5,9.1,-1.3,24.0,0,3.5,0,1.8,0,8.3,曇後みぞれ、雷・あられを伴う,雨一時みぞれ、大風・雷を伴う
2017/1/21,3.4,6.0,1.2,8.5,0,2.5,0,1.0,0,10.0,みぞれ時々曇一時晴、あられを伴う,曇後晴一時みぞれ
2017/1/22,2.6,5.5,0.1,39.0,0,2.0,0,0.1,0,7.5,みぞれ時々雪、雷・あられを伴う,雪時々みぞれ一時曇
2017/1/23,0.8,2.1,-1.1,2.0,0,0.5,0,0.4,0,10.0,曇時々雪,雪時々曇、あられを伴う
2017/1/24,0.3,2.2,-1.3,10.0,0,1.5,0,0.7,0,10.0,雪時々曇、あられを伴う,雪時々曇、あられを伴う
2017/1/25,0.9,3.4,-0.7,5.0,0,1.0,0,2.1,0,8.0,雪後一時晴,晴時々曇
2017/1/26,3.6,8.3,-0.7,0.0,0,0.0,0,7.8,0,2.3,晴一時曇,晴後薄曇
2017/1/27,7.4,11.5,0.1,3.0,0,1.5,0,0.0,0,10.0,曇後一時雨,曇一時晴
2017/1/28,5.4,9.7,1.5,0.0,0,0.0,0,8.0,0,8.0,晴,晴一時曇
2017/1/29,6.3,11.6,1.1,3.0,0,0.5,0,3.9,0,8.0,曇時々晴一時雨,雨時々曇
2017/1/30,7.6,12.0,3.1,17.0,0,2.0,0,0.0,0,10.0,雨一時曇,曇一時雨後雪、あられを伴う
2017/1/31,2.4,4.4,0.5,1.0,0,0.5,0,1.1,0,8.3,曇時々雪一時晴,晴一時曇
2017/2/1,3.8,9.9,0.4,4.0,0,1.0,0,2.9,0,8.3,曇一時晴後雨、雷を伴う,雪時々曇一時雨、雷を伴う
2017/2/2,3.0,6.7,-0.5,4.5,0,1.0,0,1.7,0,9.5,曇時々みぞれ一時雪、あられを伴う,曇時々雨一時みぞれ
2017/2/3,5.3,8.8,2.6,1.0,0,1.0,0,5.3,0,8.3,晴時々曇一時雨,曇一時晴
2017/2/4,6.9,12.1,3.1,0,1,0,1,9.4,0,2.8,晴一時曇,晴時々曇
2017/2/5,6.8,10.7,3.6,15.5,0,1.5,0,0.0,0,8.0,雨時々曇,大雨、雷を伴う
2017/2/6,5.5,8.3,1.7,21.5,0,2.5,0,0.1,0,10.0,曇時々雨一時みぞれ、あられを伴う,雪一時みぞれ
2017/2/7,2.0,3.5,0.7,2.0,0,0.5,0,0.0,0,10.0,雪時々曇,雪時々曇
2017/2/8,3.2,6.2,1.1,0.0,0,0.0,0,1.2,0,10.0,曇一時雪,曇
2017/2/9,4.0,6.8,2.0,3.0,0,1.5,0,0.0,0,9.0,雨一時曇、みぞれを伴う,曇時々みぞれ一時雨
2017/2/10,1.7,4.7,-0.6,5.0,0,0.5,0,0.2,0,10.0,曇時々雪、あられを伴う,雪後一時曇
2017/2/11,2.7,5.4,-0.3,4.0,0,1.5,0,2.4,0,9.5,曇時々晴一時雪,雪時々曇、雷・あられを伴う
2017/2/12,1.7,3.0,0.6,4.0,0,1.0,0,0.1,0,8.8,雪後曇一時晴、あられを伴う,曇時々雪一時晴
2017/2/13,1.9,6.3,-0.2,4.0,0,1.0,0,2.4,0,9.0,みぞれ時々曇一時雪、あられを伴う,曇時々雪一時みぞれ、あられを伴う
2017/2/14,1.6,3.9,-0.1,2.5,0,1.0,0,1.6,0,8.5,雪時々雨一時曇、みぞれを伴う,雪時々曇
2017/2/15,4.2,7.6,1.6,0.5,0,0.5,0,2.3,0,7.3,曇時々雪後一時晴、みぞれを伴う,晴時々曇
2017/2/16,9.0,15.4,1.0,0,1,0,1,9.8,0,2.0,晴,晴後一時曇
2017/2/17,9.6,13.8,3.2,16.0,0,2.0,0,0.0,0,8.8,雨,曇時々晴一時雨
2017/2/18,3.7,9.3,-0.3,3.5,0,0.5,0,5.1,0,9.3,晴後曇一時雨,雪一時みぞれ
2017/2/19,4.0,8.3,-0.4,0.0,0,0.0,0,7.6,0,8.3,晴一時曇,曇後雨
2017/2/20,8.4,12.8,2.7,24.5,0,2.5,0,0.0,0,10.0,雨,雨時々みぞれ一時雪、あられを伴う
2017/2/21,2.6,4.6,1.0,1.0,0,0.5,0,1.1,0,9.8,雪後曇,曇後晴
2017/2/22,4.1,7.6,-1.0,2.0,0,1.0,0,5.7,0,8.3,晴後曇,雨一時曇
2017/2/23,7.6,12.7,4.0,16.5,0,1.5,0,0.0,0,10.0,雨時々曇,雨後曇一時雪
2017/2/24,3.6,6.7,0.8,0.0,0,0.0,0,3.3,0,9.5,曇時々晴,曇後雪一時みぞれ
2017/2/25,5.0,9.2,1.0,9.5,0,1.0,0,6.4,0,6.5,晴時々曇一時みぞれ,雨後一時晴、あられを伴う
2017/2/26,4.4,8.8,1.9,9.5,0,1.0,0,1.4,0,8.8,雨時々曇一時晴,曇一時雨、みぞれを伴う
2017/2/27,3.5,7.1,0.9,0.0,0,0.0,0,6.9,0,6.0,晴一時曇,晴一時曇
2017/2/28,4.1,8.5,-0.9,0,1,0,1,4.3,0,7.3,曇一時晴,曇後晴
2017/3/1,6.1,10.4,0.9,0,1,0,1,7.5,0,7.8,晴後曇,晴時々曇
2017/3/2,7.8,13.4,2.9,3.0,0,2.0,0,2.8,0,7.5,曇一時雨,雨時々曇、あられを伴う
2017/3/3,6.3,8.5,2.8,4.5,0,2.0,0,8.3,0,5.3,晴一時曇,快晴
2017/3/4,7.7,13.9,1.4,0,1,0,1,10.6,0,2.3,快晴,晴一時曇
2017/3/5,8.8,13.6,3.7,0,1,0,1,6.8,0,3.8,晴後一時曇,晴後薄曇
2017/3/6,8.6,14.1,4.7,2.5,0,2.0,0,0.7,0,10.0,曇,曇一時雨後雪、あられを伴う
2017/3/7,2.0,4.7,0.5,9.0,0,1.5,0,0.1,0,10.0,雪時々みぞれ、雷・あられを伴う,雪時々曇、雷・あられを伴う
