ダウンロードした時刻：2021/05/14 15:14:59

,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.2,11.8,3.0,4.5,0,1.0,0,3.1,0,6.0,晴時々曇一時雨,晴後曇
2017/1/2,7.5,13.0,2.4,1.5,0,0.5,0,6.1,0,5.3,晴時々曇後一時雨,曇時々雨一時晴、あられを伴う
2017/1/3,6.9,10.1,3.3,2.5,0,1.0,0,2.1,0,6.7,曇時々雨一時晴,晴後曇時々雨
2017/1/4,6.3,10.3,3.2,5.5,0,1.0,0,0.3,0,10.0,曇時々雨、あられを伴う,曇
2017/1/5,5.6,8.6,3.8,0.0,0,0.0,0,2.0,0,8.7,曇時々雨一時晴,曇一時雨
2017/1/6,4.5,8.3,0.1,0,1,0,1,8.0,0,4.0,薄曇後晴,快晴
2017/1/7,3.3,10.0,-1.8,0,1,0,1,8.0,0,4.3,晴後薄曇,薄曇一時晴
2017/1/8,3.8,6.9,0.4,8.5,0,1.0,0,0.0,0,10.0,曇後一時雨,雨後曇
2017/1/9,6.5,10.6,3.9,5.5,0,1.0,0,0.7,0,10.0,曇後時々雨,雨後時々曇
2017/1/10,6.7,10.4,3.1,3.0,0,1.0,0,2.4,0,8.3,曇時々雨一時晴,雨時々曇後一時みぞれ
2017/1/11,3.3,6.3,0.8,12.5,0,1.0,0,0.1,0,10.0,みぞれ時々雪、あられを伴う,みぞれ時々雨、雷・あられを伴う
2017/1/12,2.9,5.3,0.9,30.0,0,2.5,0,0.5,0,10.0,みぞれ時々雨、雷・あられを伴う,雨後時々曇、雷・あられを伴う
2017/1/13,2.4,5.5,0.3,33.5,0,2.5,0,0.4,0,10.0,雪時々曇、みぞれを伴う,雪後時々曇、雷を伴う
2017/1/14,0.5,3.0,-2.5,9.5,0,1.0,0,0.2,0,10.0,雪一時曇、あられを伴う,雪時々曇、あられを伴う
2017/1/15,1.2,3.3,-2.4,7.5,0,2.0,0,1.2,0,10.0,曇時々雪、あられを伴う,雪時々曇一時晴、雷・あられを伴う
2017/1/16,2.4,5.7,0.5,14.5,0,1.5,0,2.0,0,9.0,雪時々晴一時雨、雷・あられを伴う,雪時々曇、あられを伴う
2017/1/17,2.9,7.6,0.9,3.5,0,1.0,0,2.5,0,10.0,みぞれ後曇一時晴、あられを伴う,曇後一時晴
2017/1/18,3.2,8.7,-1.7,2.5,0,1.0,0,7.7,0,9.0,晴後曇,雨時々曇
2017/1/19,3.5,7.9,-1.1,0.0,0,0.0,0,4.9,0,5.0,晴時々曇一時雨,晴後一時薄曇
2017/1/20,2.7,8.9,-2.5,12.0,0,2.0,0,1.6,0,10.0,曇後時々雨、雷・あられを伴う,雨時々曇、雷・あられを伴う
2017/1/21,3.6,7.0,1.1,7.0,0,1.5,0,2.4,0,8.7,曇時々雨、雷・あられを伴う,晴時々曇
2017/1/22,2.9,5.6,0.4,18.0,0,1.5,0,0.4,0,10.0,雨時々みぞれ、雷・あられを伴う,雪時々みぞれ、あられを伴う
2017/1/23,0.5,2.2,-0.8,11.5,0,1.0,0,0.0,0,10.0,雪時々曇,曇時々雪、あられを伴う
2017/1/24,-0.2,2.4,-2.4,9.0,0,1.5,0,2.8,0,10.0,雪時々曇一時晴,雪時々曇
2017/1/25,0.3,4.5,-1.4,5.5,0,1.0,0,3.1,0,10.0,曇時々雪後一時晴,曇時々霧一時晴
2017/1/26,1.5,6.6,-1.9,0.0,0,0.0,0,7.1,0,2.0,晴時々曇,晴後薄曇
2017/1/27,4.6,10.2,0.2,4.0,0,2.0,0,0.2,0,10.0,曇後雨,霧一時曇
2017/1/28,3.7,10.3,0.1,0.0,0,0.0,0,6.0,0,7.0,霧後晴一時薄曇,晴後薄曇
2017/1/29,5.6,12.4,-0.3,4.5,0,0.5,0,4.7,0,8.3,晴後曇時々雨,雨後曇
2017/1/30,6.8,9.7,3.7,16.5,0,2.0,0,0.0,0,10.0,雨,曇一時雨後時々雪、あられを伴う
2017/1/31,2.3,5.4,-0.5,1.0,0,0.5,0,3.0,0,8.0,曇一時雪後時々晴,曇時々晴
2017/2/1,2.5,7.1,-1.3,7.0,0,1.5,0,1.4,0,9.7,曇時々晴後雨、あられを伴う,雪時々雨一時曇
2017/2/2,1.9,4.5,-0.9,6.0,0,1.0,0,1.3,0,9.7,曇時々雪後時々雨、あられを伴う,雨時々曇一時みぞれ、あられを伴う
2017/2/3,4.7,9.9,1.2,1.0,0,0.5,0,7.7,0,3.7,晴一時雨,曇一時晴
2017/2/4,5.4,12.2,1.1,0,1,0,1,7.5,0,1.7,晴一時曇,晴後曇
2017/2/5,5.6,9.0,2.4,10.0,0,1.5,0,0.0,0,10.0,雨時々曇,雨一時曇、雷を伴う
2017/2/6,5.6,8.2,0.9,20.0,0,4.0,0,0.0,0,10.0,雨時々曇、あられを伴う,雪一時雨、雷・あられを伴う
2017/2/7,2.1,3.9,0.9,2.0,0,0.5,0,0.0,0,10.0,雪時々曇、あられを伴う,曇時々雪
2017/2/8,2.5,5.6,0.6,0.0,0,0.0,0,0.8,0,10.0,曇後一時雨,曇一時晴
2017/2/9,2.8,5.3,0.5,25.0,0,2.0,0,0.0,0,10.0,みぞれ後時々雨、あられを伴う,雨後雪時々曇、あられを伴う
2017/2/10,0.8,3.3,-0.9,25.0,0,1.5,0,0.2,0,10.0,雪時々曇,雪、雷・あられを伴う
2017/2/11,0.2,2.9,-1.0,13.5,0,1.0,0,0.0,0,10.0,雪後時々曇、あられを伴う,曇時々雪、雷・あられを伴う
2017/2/12,0.6,2.9,-1.1,7.0,0,2.0,0,1.4,0,8.3,雪時々曇、あられを伴う,曇時々雪一時晴
2017/2/13,0.9,4.2,-1.0,0.5,0,0.5,0,2.4,0,7.3,曇時々雪一時雨,霧時々晴後時々雪
2017/2/14,0.6,3.7,-1.5,8.5,0,1.5,0,0.6,0,9.0,曇時々雪一時雨,曇時々雪
2017/2/15,2.5,7.1,0.1,0.0,0,0.0,0,4.5,0,5.0,曇時々晴一時雪,晴後時々曇
2017/2/16,5.6,14.0,-0.4,0,1,0,1,9.5,0,3.7,晴,薄曇一時晴
2017/2/17,6.3,9.9,3.0,19.5,0,1.5,0,0.0,0,10.0,雨,曇一時雨後時々晴
2017/2/18,4.2,10.4,0.9,3.0,0,1.5,0,2.8,0,9.7,曇一時晴後一時雨,曇時々雪一時雨
2017/2/19,3.5,7.6,-0.2,0.0,0,0.0,0,5.0,0,8.3,晴時々曇,曇後時々雨
2017/2/20,7.5,13.4,4.0,22.0,0,1.0,0,0.0,0,10.0,雨一時曇,雨時々曇後雪、あられを伴う
2017/2/21,2.5,4.9,-0.1,4.5,0,1.0,0,0.9,0,10.0,曇時々雪、あられを伴う,曇後晴
2017/2/22,5.2,11.6,-1.6,3.0,0,0.5,0,5.5,0,10.0,曇一時晴,雨
2017/2/23,8.8,12.3,4.7,11.0,0,1.0,0,0.0,0,10.0,雨一時曇,雨後曇
2017/2/24,4.1,7.6,1.1,0.0,0,0.0,0,4.4,0,9.0,曇時々晴,曇後雪
2017/2/25,3.8,8.7,0.3,9.0,0,1.0,0,5.1,0,9.0,晴一時雪後曇時々雨,雨一時曇、あられを伴う
2017/2/26,4.4,9.3,2.1,6.5,0,1.0,0,2.5,0,8.7,曇後時々雨,晴一時曇
2017/2/27,3.9,8.7,0.5,0,1,0,1,9.1,0,3.0,晴後一時曇,快晴
2017/2/28,3.5,9.9,-1.9,0,1,0,1,9.1,0,2.3,晴後一時曇,晴一時曇
2017/3/1,5.7,13.0,-0.8,0,1,0,1,5.7,0,9.3,薄曇,曇時々晴後一時雨
2017/3/2,7.8,14.1,3.7,3.5,0,1.5,0,3.5,0,9.3,曇時々晴一時雨,雨一時曇、雷を伴う
2017/3/3,6.5,10.5,1.7,5.0,0,1.5,0,6.8,0,4.3,曇一時雨後晴,晴
2017/3/4,6.3,14.9,-0.3,0,1,0,1,9.0,0,7.3,晴時々薄曇,晴一時曇
2017/3/5,8.1,15.6,1.5,0,1,0,1,6.0,0,8.3,曇一時晴,曇一時晴
2017/3/6,7.8,13.9,4.7,1.0,0,0.5,0,0.0,0,10.0,曇後時々雨,曇時々雨、あられを伴う
2017/3/7,2.6,5.4,0.4,7.0,0,1.5,0,0.6,0,10.0,みぞれ時々雪、雷・あられを伴う,雪時々曇、雷・あられを伴う
2017/3/8,1.3,3.1,0.2,23.0,0,2.0,0,1.8,0,7.3,曇時々雪一時みぞれ、あられを伴う,雪一時みぞれ、雷・あられを伴う
