ダウンロードした時刻：2021/05/14 15:15:23

,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府,甲府
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,3.2,11.6,-2.8,0,1,0,1,9.0,0,0.0,快晴,晴後一時薄曇
2017/1/2,3.5,11.2,-1.5,0,1,0,1,8.5,0,2.3,晴一時薄曇,快晴
2017/1/3,4.8,13.4,-1.9,0,1,0,1,9.0,0,0.5,快晴,晴一時曇
2017/1/4,5.9,15.2,-0.9,0,1,0,1,8.9,0,2.3,快晴,快晴
2017/1/5,4.3,10.3,-1.5,0,1,0,1,9.0,0,0.5,快晴,晴一時薄曇
2017/1/6,2.5,7.8,-1.7,0,1,0,1,8.5,0,3.8,晴,晴
2017/1/7,1.7,8.8,-4.4,0,1,0,1,8.8,0,4.5,晴,薄曇一時晴
2017/1/8,0.1,3.0,-2.3,19.0,0,1.0,0,0.0,0,10.0,曇後雪,雨時々みぞれ一時曇
2017/1/9,3.0,9.1,0.1,1.5,0,0.5,0,4.4,0,6.0,霧後晴一時曇,快晴
2017/1/10,4.3,11.4,-2.2,0,1,0,1,9.0,0,0.0,快晴,快晴
2017/1/11,5.8,11.2,0.2,0,1,0,1,9.1,0,0.0,快晴,快晴
2017/1/12,3.2,10.4,-2.9,0,1,0,1,8.8,0,1.3,晴,晴
2017/1/13,2.8,9.4,-2.0,0,1,0,1,6.6,0,5.0,晴,晴一時曇
2017/1/14,0.5,3.7,-1.9,0.0,0,0.0,0,0.2,0,8.5,曇,晴一時曇
2017/1/15,-0.8,4.1,-4.9,0,1,0,1,7.4,0,4.3,晴一時曇,晴
2017/1/16,0.3,6.3,-6.8,0,1,0,1,9.1,0,3.3,晴,晴
2017/1/17,2.7,10.6,-3.6,0,1,0,1,8.8,0,1.8,晴,晴
2017/1/18,2.1,9.1,-4.8,0,1,0,1,9.1,0,4.8,晴後一時薄曇,薄曇
2017/1/19,3.2,11.1,-1.5,0,1,0,1,5.5,0,5.8,薄曇後一時晴,曇時々晴
2017/1/20,3.3,8.6,-0.9,0.0,0,0.0,0,5.7,0,7.5,薄曇時々晴一時雨,晴時々曇一時雨、みぞれを伴う
2017/1/21,4.8,10.0,-0.3,0.0,0,0.0,0,9.0,0,3.3,晴一時雪,晴一時薄曇
2017/1/22,4.2,12.1,-3.1,0,1,0,1,9.1,0,2.5,晴,晴
2017/1/23,2.8,6.4,-1.3,0,1,0,1,8.3,0,2.0,晴,快晴
2017/1/24,0.4,6.1,-6.0,0,1,0,1,9.0,0,0.5,晴,快晴
2017/1/25,0.6,8.8,-6.5,0,1,0,1,9.4,0,0.0,快晴,快晴
2017/1/26,0.2,8.2,-6.8,0,1,0,1,9.4,0,0.0,快晴,晴後薄曇
2017/1/27,3.8,13.8,-3.7,0,1,0,1,5.9,0,5.8,曇時々晴,晴後一時薄曇
2017/1/28,5.1,13.7,-2.6,0,1,0,1,9.2,0,2.0,晴後一時薄曇,晴後薄曇
2017/1/29,6.5,13.1,-0.3,0.5,0,0.5,0,7.4,0,7.5,晴時々薄曇,雨一時曇
2017/1/30,8.0,14.5,4.5,1.5,0,0.5,0,3.8,0,7.0,雨後晴,晴
2017/1/31,5.6,10.1,2.1,0,1,0,1,9.6,0,2.5,晴,曇後晴
2017/2/1,5.8,12.6,0.5,0,1,0,1,6.8,0,6.5,晴一時曇,晴
2017/2/2,4.2,8.3,0.4,0,1,0,1,9.6,0,0.8,快晴,快晴
2017/2/3,6.9,13.0,-0.2,0,1,0,1,9.7,0,0.0,快晴,快晴
2017/2/4,4.2,12.3,-3.4,0,1,0,1,9.7,0,0.0,快晴,晴
2017/2/5,2.5,6.3,-1.1,1.0,0,0.5,0,1.7,0,8.5,曇時々晴後みぞれ,雨一時曇
2017/2/6,5.9,12.6,2.6,0.0,0,0.0,0,5.2,0,6.5,曇一時霧後晴,晴
2017/2/7,4.1,8.6,-1.1,0,1,0,1,9.2,0,1.0,晴後一時薄曇,晴一時薄曇
2017/2/8,3.0,10.1,-4.7,0,1,0,1,9.2,0,5.5,晴後薄曇,曇後一時雪
2017/2/9,2.6,4.3,0.7,1.5,0,0.5,0,0.0,0,10.0,雪後雨,曇時々雨
2017/2/10,3.4,8.9,-0.5,0.0,0,0.0,0,6.4,0,7.5,晴後時々曇,晴
2017/2/11,1.1,7.9,-5.1,0,1,0,1,7.6,0,2.8,晴後一時曇,晴
2017/2/12,4.1,9.6,-1.3,0,1,0,1,9.7,0,1.8,晴,快晴
2017/2/13,3.0,10.9,-4.0,0,1,0,1,8.9,0,0.5,晴,快晴
2017/2/14,2.1,9.7,-4.2,0,1,0,1,7.3,0,2.5,晴一時曇,快晴
2017/2/15,2.9,11.6,-4.7,0,1,0,1,10.1,0,0.0,快晴,快晴
2017/2/16,4.5,13.8,-3.7,0,1,0,1,10.2,0,0.8,快晴,晴
2017/2/17,6.1,13.1,-1.1,0.5,0,0.5,0,4.2,0,6.5,晴後雨,雨後晴
2017/2/18,6.2,12.0,1.6,0,1,0,1,2.7,0,6.0,曇後一時晴,晴
2017/2/19,5.5,11.8,-0.4,0,1,0,1,10.4,0,1.3,快晴,晴後時々薄曇
2017/2/20,7.0,16.8,1.4,3.5,0,0.5,0,2.5,0,8.0,曇後雨,晴一時雨
2017/2/21,4.8,8.9,0.8,0.0,0,0.0,0,10.1,0,0.0,晴一時雪,晴
2017/2/22,4.6,11.1,-3.4,0.0,0,0.0,0,6.7,0,6.8,曇時々晴,曇後雨
2017/2/23,9.7,16.3,4.8,10.5,0,0.5,0,3.9,0,7.3,雨後晴,晴
2017/2/24,7.4,12.7,3.4,0.0,0,0.0,0,8.9,0,6.0,晴後一時薄曇,曇一時雨
2017/2/25,5.7,12.9,-0.9,0,1,0,1,10.5,0,4.0,晴,晴
2017/2/26,6.3,13.8,-1.1,0,1,0,1,8.1,0,5.3,晴後薄曇,薄曇後一時晴
2017/2/27,6.3,11.4,0.2,0.0,0,0.0,0,4.1,0,8.8,曇時々晴,曇一時雨
2017/2/28,6.9,13.0,2.9,0,1,0,1,8.7,0,5.8,晴一時曇,曇時々晴
2017/3/1,7.1,13.7,3.3,10.0,0,1.0,0,6.6,0,9.5,曇,雨後一時曇
2017/3/2,5.4,6.6,4.0,5.0,0,0.5,0,0.0,0,9.8,雨時々曇,曇
2017/3/3,7.7,14.6,2.1,0,1,0,1,9.3,0,2.5,晴一時曇,晴
2017/3/4,6.3,15.2,-1.0,0,1,0,1,10.4,0,4.3,晴時々薄曇,快晴
2017/3/5,8.2,16.7,-0.2,0,1,0,1,8.7,0,4.3,薄曇時々晴,晴時々曇
2017/3/6,7.1,11.0,3.1,0,1,0,1,2.3,0,6.3,曇,晴後薄曇
2017/3/7,5.3,12.3,-0.1,0.0,0,0.0,0,7.2,0,5.5,晴時々薄曇,快晴
2017/3/8,3.7,11.2,-3.4,0,1,0,1,10.3,0,2.8,晴,晴
2017/3/9,4.9,13.4,-2.7,0,1,0,1,9.6,0,0.8,晴,快晴
