ダウンロードした時刻：2021/05/14 15:15:48

,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野,長野
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,1.7,8.2,-2.3,0.0,0,0.0,0,7.1,0,5.3,晴,晴一時薄曇
2017/1/2,1.9,8.8,-2.1,0,1,0,1,6.0,0,6.0,晴一時薄曇,晴後時々曇一時みぞれ
2017/1/3,2.4,6.0,-1.5,0.0,0,0.0,0,2.6,0,6.8,晴時々雨、みぞれを伴う,晴
2017/1/4,1.7,8.1,-2.7,0.0,0,0.0,0,6.9,0,5.0,晴,晴
2017/1/5,0.2,3.6,-2.6,0.5,0,0.5,0,5.2,0,6.8,雪時々晴,雪
2017/1/6,-0.3,2.6,-2.8,0.0,0,0.0,0,0.0,0,8.0,曇一時雪,晴
2017/1/7,-0.7,5.6,-5.8,0,1,0,1,8.8,0,3.3,晴後一時薄曇,晴時々薄曇
2017/1/8,0.3,5.9,-4.5,4.5,0,0.5,0,0.0,0,8.3,曇後一時みぞれ,みぞれ一時雨
2017/1/9,3.2,8.6,0.7,1.0,0,0.5,0,0.9,0,10.0,曇時々雨,雨後晴、みぞれを伴う
2017/1/10,3.9,10.2,0.5,0.0,0,0.0,0,7.2,0,4.3,晴一時曇,晴時々曇一時雪
2017/1/11,0.5,5.2,-2.2,0.0,0,0.0,0,4.8,0,6.3,雪時々曇後晴,晴後時々雪
2017/1/12,-0.1,5.1,-3.4,1.0,0,0.5,0,3.1,0,7.5,雪時々晴一時曇,雪
2017/1/13,0.2,2.7,-2.1,7.5,0,0.5,0,0.8,0,10.0,雪,雪
2017/1/14,-3.9,-2.0,-6.6,7.5,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/15,-4.8,-3.4,-6.7,11.0,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/16,-2.4,1.5,-5.0,16.0,0,1.0,0,2.0,0,10.0,雪,大雪
2017/1/17,-0.4,1.1,-2.0,15.5,0,1.5,0,0.2,0,10.0,雪,晴時々曇
2017/1/18,-1.2,2.7,-4.3,0,1,0,1,6.5,0,8.3,晴時々曇,曇後時々雪
2017/1/19,-0.7,2.0,-3.8,0.0,0,0.0,0,2.2,0,9.0,曇一時雪,曇時々晴
2017/1/20,-1.8,4.2,-7.5,0.0,0,0.0,0,5.0,0,6.3,晴時々薄曇,曇時々雪、雷を伴う
2017/1/21,-0.9,1.0,-3.9,18.5,0,1.0,0,0.0,0,8.3,雪,晴時々曇
2017/1/22,-1.3,2.8,-7.0,0.0,0,0.0,0,5.7,0,6.5,晴時々雪,雪時々曇
2017/1/23,-3.2,-0.2,-6.0,0.0,0,0.0,0,2.6,0,7.3,晴時々雪,雪時々曇
2017/1/24,-4.6,-2.1,-7.7,0.0,0,0.0,0,0.1,0,8.5,雪,晴
2017/1/25,-4.5,1.1,-9.6,0.0,0,0.0,0,7.0,0,4.8,晴時々雪,晴
2017/1/26,-4.0,1.7,-9.6,0,1,0,1,9.3,0,0.5,快晴,晴後薄曇
2017/1/27,0.6,9.3,-6.2,0,1,0,1,3.1,0,7.8,曇一時晴,晴一時曇
2017/1/28,1.1,5.4,-2.2,0,1,0,1,7.4,0,8.3,晴時々曇,薄曇後一時晴
2017/1/29,1.6,6.5,-3.6,1.5,0,0.5,0,6.1,0,8.0,晴時々曇,雨一時曇
2017/1/30,2.5,6.5,-0.7,3.5,0,0.5,0,1.3,0,9.8,雨時々曇一時晴,雪後一時曇
2017/1/31,-1.6,1.5,-4.4,0.0,0,0.0,0,4.3,0,6.8,雪後晴,晴後一時薄曇
2017/2/1,-1.8,4.3,-7.2,0.0,0,0.0,0,7.4,0,8.0,晴後曇,雪一時曇
2017/2/2,-1.4,2.9,-4.9,0.0,0,0.0,0,9.1,0,5.8,晴時々雪,晴時々曇一時雪
2017/2/3,1.7,6.1,-2.5,0.0,0,0.0,0,8.3,0,2.5,晴,快晴
2017/2/4,0.8,7.1,-4.6,0,1,0,1,9.6,0,0.0,快晴,晴後一時曇
2017/2/5,-0.6,2.5,-4.6,1.0,0,0.5,0,0.7,0,9.8,曇時々雨一時みぞれ,曇時々雨一時みぞれ
2017/2/6,0.9,2.9,-1.3,9.0,0,1.5,0,0.0,0,9.5,雪時々みぞれ一時雨,雪
2017/2/7,-1.3,2.9,-4.6,0.5,0,0.5,0,7.1,0,6.8,晴一時雪,雪一時晴
2017/2/8,-0.8,3.7,-4.5,0.0,0,0.0,0,6.7,0,8.8,雪後晴時々薄曇,薄曇
2017/2/9,0.3,2.6,-2.7,0.0,0,0.0,0,0.0,0,10.0,曇時々雪,曇後雪
2017/2/10,-1.3,1.4,-5.0,5.0,0,1.0,0,4.4,0,8.0,雪一時晴,曇時々晴一時雪
2017/2/11,-3.3,0.0,-5.5,1.0,0,0.5,0,0.2,0,9.3,雪後時々晴,雪時々曇
2017/2/12,-1.6,2.8,-4.0,4.5,0,0.5,0,3.8,0,6.3,雪後晴,晴一時雪
2017/2/13,-1.5,3.4,-5.8,0.0,0,0.0,0,7.4,0,6.8,雪時々晴一時曇,晴
2017/2/14,-1.7,3.3,-6.2,0.0,0,0.0,0,6.8,0,5.0,晴時々曇一時雪,晴
2017/2/15,-0.7,5.6,-6.1,0,1,0,1,8.8,0,1.8,晴,快晴
2017/2/16,2.0,11.2,-5.4,0,1,0,1,9.8,0,2.0,快晴,晴
2017/2/17,3.1,11.0,-2.7,1.5,0,0.5,0,1.8,0,8.3,雨一時晴,雨後曇一時晴
2017/2/18,0.5,4.6,-2.5,0.5,0,0.5,0,4.3,0,8.0,曇後晴,雪時々曇
2017/2/19,-0.4,4.0,-4.0,0.0,0,0.0,0,9.7,0,3.8,晴,曇一時雪
2017/2/20,1.3,5.6,-1.9,9.0,0,1.0,0,0.0,0,9.8,雨一時雪,雪一時雨
2017/2/21,-1.4,2.5,-4.1,9.5,0,1.0,0,5.2,0,6.3,雪後晴,晴一時薄曇
2017/2/22,0.2,6.0,-6.6,0.0,0,0.0,0,7.0,0,8.5,薄曇,曇後雨
2017/2/23,5.9,12.3,0.6,8.0,0,1.0,0,2.9,0,8.5,雨時々晴一時曇,雨後雪
2017/2/24,0.0,3.7,-3.1,0.0,0,0.0,0,9.6,0,6.0,晴,晴時々曇
2017/2/25,0.6,7.8,-4.8,0,1,0,1,9.9,0,4.5,晴一時曇,晴後曇
2017/2/26,2.2,9.1,-2.4,0.0,0,0.0,0,8.8,0,7.5,晴一時薄曇,曇一時雪
2017/2/27,1.1,5.6,-1.0,0.0,0,0.0,0,7.1,0,6.5,晴一時雪,曇一時晴
2017/2/28,2.7,9.9,-0.7,0,1,0,1,7.7,0,7.3,晴一時曇,晴一時曇
2017/3/1,3.5,11.1,-3.1,0,1,0,1,8.4,0,7.5,薄曇一時晴,曇後晴
2017/3/2,3.9,8.6,0.1,4.0,0,1.0,0,1.7,0,8.5,曇後雨,曇後雨
2017/3/3,3.0,7.3,-0.4,2.0,0,1.0,0,6.5,0,5.3,雨後晴,快晴
2017/3/4,3.6,12.3,-3.4,0,1,0,1,10.2,0,2.0,晴後一時薄曇,晴一時曇
2017/3/5,4.7,11.5,-1.1,0,1,0,1,7.4,0,6.5,薄曇時々晴,薄曇時々晴
2017/3/6,4.6,12.8,-0.3,0.0,0,0.0,0,1.0,0,9.5,曇,曇後一時雪
2017/3/7,0.0,4.9,-2.4,0.0,0,0.0,0,1.4,0,9.0,雪時々曇,雪時々晴一時曇
2017/3/8,0.7,6.2,-2.7,0.0,0,0.0,0,6.5,0,8.5,晴一時雪,曇後晴
2017/3/9,2.8,8.6,-2.1,0.0,0,0.0,0,5.7,0,7.8,曇時々晴,曇時々みぞれ一時雨
