ダウンロードした時刻：2021/05/14 15:16:16

,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.4,13.4,2.9,0.0,0,0.0,0,7.2,0,2.7,晴一時曇,晴
2017/1/2,7.5,13.2,1.5,0.0,0,0.0,0,7.3,0,4.3,晴後一時曇,曇時々雨一時晴
2017/1/3,8.5,14.0,4.2,0.0,0,0.0,0,7.0,0,2.3,晴,晴後一時曇
2017/1/4,7.0,12.9,2.5,0.0,0,0.0,0,5.3,0,6.7,晴時々曇一時雨,晴
2017/1/5,6.6,9.3,3.6,0,1,0,1,8.7,0,4.3,晴後一時薄曇,晴時々薄曇
2017/1/6,5.2,10.5,1.7,0,1,0,1,8.2,0,2.3,晴時々薄曇,快晴
2017/1/7,5.0,11.9,-1.0,0,1,0,1,8.4,0,6.3,晴後薄曇,薄曇
2017/1/8,4.6,6.4,2.6,19.0,0,1.0,0,0.0,0,10.0,曇後雨,雨後曇一時晴
2017/1/9,8.2,14.1,4.2,0.0,0,0.0,0,5.9,0,4.3,晴後時々曇一時雨,晴
2017/1/10,6.9,12.9,1.9,0.0,0,0.0,0,5.5,0,6.0,晴一時曇,晴時々曇一時雨
2017/1/11,4.3,7.5,2.4,0.0,0,0.0,0,2.6,0,7.3,晴時々曇一時雨,曇時々雨
2017/1/12,4.6,8.2,1.5,0.0,0,0.0,0,4.2,0,7.7,晴時々雨,晴時々曇一時雨
2017/1/13,3.2,7.8,0.5,3.0,0,0.5,0,3.2,0,9.0,晴後みぞれ一時雪,晴時々雪
2017/1/14,0.0,2.4,-2.8,9.5,0,1.5,0,1.3,0,10.0,雪時々曇,雪
2017/1/15,-0.8,1.7,-3.1,5.5,0,0.5,0,3.5,0,9.0,雪後一時曇,雪時々曇後一時晴
2017/1/16,1.1,4.3,-2.4,0.5,0,0.5,0,5.2,0,5.0,晴時々雪,晴一時雪
2017/1/17,3.0,8.2,-2.1,0.0,0,0.0,0,8.7,0,2.3,晴一時曇,晴
2017/1/18,3.7,9.6,-1.9,0,1,0,1,8.9,0,5.7,晴後一時薄曇,曇一時晴
2017/1/19,5.3,10.4,0.5,0.0,0,0.0,0,7.1,0,3.0,晴,晴
2017/1/20,2.8,7.2,-1.0,0.5,0,0.5,0,2.4,0,7.7,曇時々晴一時みぞれ,晴時々雨後一時雪
2017/1/21,4.1,7.7,0.6,4.0,0,1.0,0,9.3,0,5.0,晴,晴時々曇
2017/1/22,3.4,8.4,0.0,0.0,0,0.0,0,2.9,0,7.7,曇一時晴,曇時々晴一時雪
2017/1/23,1.6,5.1,-1.2,0.0,0,0.0,0,5.5,0,7.3,晴時々曇,晴後一時雪
2017/1/24,0.9,5.3,-3.0,0.0,0,0.0,0,6.8,0,3.0,晴時々曇一時雪,快晴
2017/1/25,2.2,8.2,-2.9,0,1,0,1,9.5,0,0.7,晴,快晴
2017/1/26,2.9,9.9,-2.6,0,1,0,1,10.0,0,0.0,快晴,晴時々薄曇
2017/1/27,4.9,10.5,0.1,0.0,0,0.0,0,2.0,0,7.7,曇後一時雨,晴一時曇
2017/1/28,6.0,13.0,0.3,0,1,0,1,9.3,0,3.0,晴,薄曇時々晴
2017/1/29,6.7,12.4,0.8,8.5,0,1.0,0,5.2,0,6.7,晴後曇一時雨,雨時々曇
2017/1/30,7.6,12.9,5.0,1.0,0,0.5,0,1.3,0,5.7,曇一時雨後晴,晴一時雨
2017/1/31,4.0,7.8,1.0,0.0,0,0.0,0,10.0,0,2.7,快晴,晴
2017/2/1,3.2,7.7,-2.0,0.0,0,0.0,0,3.3,0,6.0,晴後曇一時雨,晴一時雨
2017/2/2,4.1,7.4,1.4,0.0,0,0.0,0,5.9,0,5.0,晴時々曇,曇一時雨後晴
2017/2/3,5.6,10.7,0.6,0.0,0,0.0,0,8.0,0,0.7,晴一時曇,快晴
2017/2/4,6.6,14.2,-0.1,0,1,0,1,10.2,0,0.0,快晴,晴後一時曇
2017/2/5,4.3,5.6,2.2,16.5,0,1.0,0,0.0,0,10.0,雨時々曇,雨時々曇一時晴
2017/2/6,6.1,9.9,2.5,0.5,0,0.5,0,8.3,0,7.7,晴一時雨,晴一時雨
2017/2/7,3.6,7.1,1.4,0.0,0,0.0,0,5.9,0,7.0,晴後曇一時雪,曇時々晴
2017/2/8,4.8,8.4,1.4,0,1,0,1,5.5,0,7.0,晴時々曇,曇
2017/2/9,3.5,5.0,1.5,1.5,0,0.5,0,0.0,0,9.3,雪後雨一時曇,曇一時晴後一時雪
2017/2/10,3.5,7.4,0.8,0.0,0,0.0,0,6.3,0,7.7,晴時々曇,曇後一時雪
2017/2/11,0.8,3.4,-0.6,4.5,0,0.5,0,1.9,0,8.0,雪時々曇,曇時々晴一時雪
2017/2/12,2.4,7.4,-1.5,0.0,0,0.0,0,9.2,0,2.0,晴,晴後一時曇
2017/2/13,3.3,9.2,-0.8,0.0,0,0.0,0,7.3,0,1.3,晴後一時曇,晴後一時曇
2017/2/14,2.8,7.9,-1.0,0.0,0,0.0,0,4.4,0,5.3,曇一時雪後晴,晴
2017/2/15,4.3,11.1,-1.2,0,1,0,1,8.7,0,1.7,晴,晴
2017/2/16,6.6,14.1,-0.8,0,1,0,1,9.6,0,3.3,晴後一時薄曇,薄曇一時晴
2017/2/17,6.4,9.0,3.7,4.0,0,0.5,0,0.3,0,9.7,雨後一時曇,曇時々晴
2017/2/18,6.3,10.8,2.1,0.0,0,0.0,0,2.2,0,8.7,曇時々晴,晴一時曇
2017/2/19,5.8,10.2,2.5,0,1,0,1,9.8,0,4.3,晴,晴後曇一時雨
2017/2/20,6.1,9.2,3.7,9.0,0,1.5,0,0.0,0,9.7,曇後雨,雨後晴時々雪
2017/2/21,3.4,7.2,0.9,0.0,0,0.0,0,7.7,0,4.3,晴一時雪,晴後一時薄曇
2017/2/22,5.7,12.1,-1.3,3.0,0,0.5,0,5.5,0,10.0,曇,雨一時曇
2017/2/23,9.5,15.6,6.0,21.5,0,2.0,0,2.2,0,8.0,曇時々雨後晴,晴時々薄曇
2017/2/24,5.3,8.8,1.8,0.0,0,0.0,0,9.3,0,3.3,晴,晴
2017/2/25,5.5,11.4,0.1,0,1,0,1,8.7,0,5.7,晴一時曇,晴時々曇
2017/2/26,7.1,13.0,2.6,0.0,0,0.0,0,8.5,0,8.7,晴後薄曇,薄曇後晴
2017/2/27,6.7,12.2,3.3,0,1,0,1,10.2,0,1.0,晴後一時薄曇,快晴
2017/2/28,5.7,12.5,0.2,0,1,0,1,10.8,0,0.0,快晴,快晴
2017/3/1,6.2,12.9,0.4,4.0,0,0.5,0,5.0,0,10.0,薄曇後一時雨,雨後曇一時晴
2017/3/2,6.9,10.5,5.1,8.0,0,1.5,0,1.4,0,9.3,曇時々雨一時晴,雨後晴
2017/3/3,7.6,11.9,3.5,0.0,0,0.0,0,9.6,0,2.3,晴,晴後一時薄曇
2017/3/4,7.6,15.8,0.5,0,1,0,1,8.0,0,7.0,薄曇時々晴,晴一時薄曇
2017/3/5,10.2,17.1,2.3,0,1,0,1,7.6,0,7.3,晴後曇,曇後一時晴
2017/3/6,9.9,13.6,6.5,0.0,0,0.0,0,0.0,0,7.0,曇,晴後一時薄曇
2017/3/7,4.0,9.6,0.9,2.0,0,1.0,0,4.1,0,4.7,晴時々雪,晴時々雪
2017/3/8,3.2,8.2,0.5,1.5,0,0.5,0,5.6,0,7.3,雪時々曇後晴,晴
2017/3/9,5.1,11.3,-0.5,0.0,0,0.0,0,8.0,0,4.0,晴後時々曇,晴後一時みぞれ
