ダウンロードした時刻：2021/05/14 15:16:44

,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡,静岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.6,13.6,1.8,0,1,0,1,9.5,0,0.0,快晴,晴
2017/1/2,9.2,16.7,3.3,0,1,0,1,8.9,0,1.7,晴,快晴
2017/1/3,8.7,14.8,2.6,0,1,0,1,9.5,0,0.0,快晴,晴時々曇
2017/1/4,8.8,14.4,4.5,0,1,0,1,9.4,0,0.0,快晴,晴
2017/1/5,7.7,12.6,4.1,0,1,0,1,5.5,0,7.0,晴,薄曇時々晴
2017/1/6,6.1,10.2,3.0,0,1,0,1,1.0,0,9.7,曇,晴一時曇
2017/1/7,7.1,11.6,2.3,0,1,0,1,7.4,0,8.3,曇一時晴,薄曇
2017/1/8,7.3,10.4,4.1,28.5,0,2.0,0,0.0,0,10.0,曇後雨,雨後曇
2017/1/9,10.3,15.2,6.3,3.0,0,1.0,0,7.9,0,2.3,晴,快晴
2017/1/10,9.3,15.6,2.8,0,1,0,1,9.5,0,0.0,快晴,快晴
2017/1/11,8.4,13.7,3.3,0,1,0,1,9.6,0,0.7,快晴,晴
2017/1/12,7.2,12.3,4.8,0,1,0,1,9.4,0,2.7,晴,晴
2017/1/13,6.8,11.1,3.8,0.0,0,0.0,0,9.3,0,0.7,晴,晴
2017/1/14,3.9,8.7,0.6,0.0,0,0.0,0,8.0,0,5.7,晴一時雪,晴
2017/1/15,2.5,7.2,-1.4,0,1,0,1,8.6,0,3.0,晴,快晴
2017/1/16,4.3,9.2,0.1,0,1,0,1,9.6,0,1.0,晴,快晴
2017/1/17,4.9,11.7,-1.3,0,1,0,1,9.6,0,0.0,快晴,晴
2017/1/18,6.1,11.8,0.8,0,1,0,1,9.1,0,3.3,晴,曇
2017/1/19,8.3,12.1,4.8,0,1,0,1,1.9,0,8.3,曇後一時晴,曇一時晴
2017/1/20,7.0,9.7,3.5,0.0,0,0.0,0,0.7,0,10.0,曇時々雨,晴一時曇
2017/1/21,7.2,13.5,0.9,0,1,0,1,9.6,0,3.3,快晴,曇一時晴
2017/1/22,8.5,13.5,4.9,0,1,0,1,9.1,0,1.0,晴,快晴
2017/1/23,5.4,9.8,1.3,0,1,0,1,9.6,0,0.7,晴,快晴
2017/1/24,4.0,9.6,-0.6,0,1,0,1,9.6,0,0.3,快晴,快晴
2017/1/25,3.6,9.4,-2.9,0,1,0,1,9.7,0,0.0,快晴,快晴
2017/1/26,5.0,11.1,-0.9,0,1,0,1,9.6,0,0.3,快晴,晴後一時曇
2017/1/27,9.7,16.3,0.9,0,1,0,1,6.2,0,7.3,曇一時晴,晴時々薄曇
2017/1/28,8.7,14.1,2.8,0,1,0,1,9.1,0,3.3,晴時々薄曇,晴時々薄曇
2017/1/29,9.5,14.3,3.4,4.5,0,1.0,0,6.8,0,6.7,晴後曇,雨
2017/1/30,12.1,18.8,7.7,12.5,0,1.5,0,6.0,0,2.7,曇時々雨後晴,快晴
2017/1/31,8.0,12.2,3.1,0,1,0,1,9.6,0,4.0,晴,曇後一時晴
2017/2/1,8.9,15.9,3.7,0,1,0,1,9.2,0,3.7,晴,快晴
2017/2/2,6.5,11.2,1.2,0,1,0,1,10.0,0,0.0,快晴,快晴
2017/2/3,6.5,12.6,-0.4,0,1,0,1,10.0,0,0.0,快晴,晴
2017/2/4,7.9,13.6,2.7,0,1,0,1,10.0,0,0.0,快晴,快晴
2017/2/5,6.9,9.0,3.0,17.5,0,1.0,0,0.5,0,10.0,曇後雨,雨時々曇後晴
2017/2/6,10.3,13.9,6.2,0.0,0,0.0,0,10.1,0,1.0,晴,快晴
2017/2/7,6.2,11.5,1.2,0,1,0,1,9.0,0,3.0,晴後時々薄曇,薄曇時々晴
2017/2/8,5.9,11.1,0.4,0,1,0,1,9.1,0,5.7,晴,曇後時々雨
2017/2/9,5.2,6.5,2.7,4.5,0,0.5,0,0.0,0,10.0,雨一時曇,晴一時雨
2017/2/10,5.5,12.9,0.8,0,1,0,1,10.1,0,0.7,快晴,快晴
2017/2/11,4.2,10.2,-1.6,0,1,0,1,9.6,0,1.0,晴,快晴
2017/2/12,5.0,11.7,-2.4,0,1,0,1,8.1,0,2.7,晴一時曇,快晴
2017/2/13,5.3,11.2,-1.3,0,1,0,1,10.3,0,0.3,快晴,快晴
2017/2/14,5.1,11.6,0.0,0.0,0,0.0,0,8.5,0,2.0,晴後一時雨,快晴
2017/2/15,6.2,11.5,1.1,0,1,0,1,10.4,0,0.0,快晴,快晴
2017/2/16,7.4,13.2,1.8,0,1,0,1,9.1,0,6.0,晴,晴一時薄曇
2017/2/17,12.7,17.4,3.5,5.0,0,1.5,0,1.7,0,6.7,雨時々曇,晴
2017/2/18,10.8,15.3,4.2,0,1,0,1,7.4,0,6.3,薄曇後一時晴,快晴
2017/2/19,7.5,12.4,1.7,0,1,0,1,10.4,0,0.0,快晴,晴後時々曇
2017/2/20,13.7,17.3,8.1,13.5,0,1.5,0,1.7,0,6.7,曇後雨,晴一時雨
2017/2/21,7.9,12.3,3.2,0,1,0,1,10.5,0,0.0,快晴,晴
2017/2/22,7.2,12.1,1.5,0.0,0,0.0,0,1.6,0,10.0,曇一時晴,雨一時曇
2017/2/23,12.5,20.7,7.0,66.5,0,4.5,0,4.2,0,8.3,大雨後晴,晴一時薄曇
2017/2/24,9.3,12.8,5.6,0,1,0,1,8.0,0,7.3,薄曇一時晴,晴一時薄曇
2017/2/25,8.2,14.2,3.0,0,1,0,1,10.3,0,6.0,晴,晴一時薄曇
2017/2/26,7.9,13.2,1.7,0,1,0,1,8.7,0,10.0,薄曇一時晴,曇後晴
2017/2/27,9.0,13.9,4.4,0.0,0,0.0,0,9.8,0,4.3,晴,曇一時雨
2017/2/28,8.6,11.8,6.2,0.0,0,0.0,0,7.1,0,8.0,晴時々曇,曇後晴
2017/3/1,7.9,12.0,3.6,5.0,0,1.0,0,5.9,0,10.0,曇後一時雨,雨後曇
2017/3/2,8.2,9.9,5.1,5.5,0,1.0,0,0.0,0,7.3,雨時々曇,晴後一時曇
2017/3/3,9.6,16.4,3.1,0,1,0,1,10.9,0,0.3,快晴,晴後一時曇
2017/3/4,9.4,16.6,4.4,0,1,0,1,7.6,0,5.3,曇後晴,快晴
2017/3/5,10.4,16.9,2.9,0,1,0,1,7.6,0,7.7,晴後薄曇,曇後時々雨
2017/3/6,10.5,13.9,5.6,0.5,0,0.5,0,0.0,0,8.0,雨後一時曇,晴
2017/3/7,7.4,14.0,3.3,0.0,0,0.0,0,9.5,0,2.7,晴,快晴
2017/3/8,7.2,13.0,1.4,0,1,0,1,11.0,0,0.0,快晴,快晴
2017/3/9,8.3,14.6,1.9,0,1,0,1,11.0,0,0.3,快晴,快晴
