ダウンロードした時刻：2021/05/14 15:17:10

,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.4,13.3,2.6,0.0,0,0.0,0,9.2,0,1.3,晴,晴後一時薄曇
2017/1/2,7.6,13.1,2.0,0.0,0,0.0,0,8.5,0,2.8,晴一時薄曇,曇時々晴一時雨
2017/1/3,8.6,12.3,4.9,0.0,0,0.0,0,3.8,0,5.3,晴時々曇,晴
2017/1/4,6.9,12.2,2.7,0.0,0,0.0,0,4.6,0,2.0,晴一時曇,快晴
2017/1/5,5.8,9.8,2.8,0,1,0,1,8.4,0,3.0,晴,晴後薄曇
2017/1/6,4.9,9.5,1.8,0,1,0,1,6.5,0,3.3,晴時々曇,快晴
2017/1/7,5.4,11.5,0.1,0,1,0,1,8.4,0,5.0,晴後薄曇,薄曇
2017/1/8,4.4,6.1,3.0,13.5,0,1.0,0,0.0,0,10.0,曇後雨,雨後曇一時晴
2017/1/9,8.1,14.0,4.6,0.0,0,0.0,0,6.3,0,4.8,晴後時々曇,晴
2017/1/10,7.4,12.0,3.6,0.0,0,0.0,0,4.4,0,6.5,曇時々晴,晴後一時曇
2017/1/11,4.9,8.3,3.3,0.0,0,0.0,0,3.5,0,7.8,曇時々雨一時晴,曇一時雨
2017/1/12,5.2,7.7,2.7,0.0,0,0.0,0,2.8,0,9.8,曇一時晴,曇後一時晴
2017/1/13,4.4,9.9,1.1,0.0,0,0.0,0,3.9,0,7.5,曇時々晴,曇時々晴後一時雪
2017/1/14,0.2,2.9,-2.4,4.0,0,1.0,0,0.5,0,8.8,雪時々曇,雪時々曇
2017/1/15,-0.4,3.0,-3.6,1.0,0,0.5,0,5.9,0,8.0,雪時々曇後晴,晴時々曇一時雪
2017/1/16,1.8,5.2,-0.6,0.5,0,0.5,0,6.9,0,5.3,晴時々曇一時雪,晴
2017/1/17,3.4,9.0,-1.0,0,1,0,1,7.4,0,2.5,晴,晴
2017/1/18,4.2,9.2,-1.4,0,1,0,1,9.3,0,4.5,晴後一時薄曇,曇
2017/1/19,5.8,10.6,1.8,0.0,0,0.0,0,6.7,0,6.0,晴時々薄曇,晴後一時曇
2017/1/20,3.9,8.8,0.2,0.0,0,0.0,0,2.8,0,6.5,曇時々晴,晴一時雨
2017/1/21,4.6,8.6,1.7,1.0,0,0.5,0,9.3,0,4.8,晴,薄曇後時々晴
2017/1/22,4.0,11.5,-0.3,0.0,0,0.0,0,5.2,0,5.5,晴後曇一時雨,晴時々曇
2017/1/23,2.0,6.1,-0.4,0.0,0,0.0,0,6.5,0,5.5,曇後晴,晴
2017/1/24,1.0,5.1,-2.5,0.0,0,0.0,0,6.1,0,2.8,晴一時曇,晴
2017/1/25,2.2,8.4,-2.5,0,1,0,1,9.7,0,0.5,晴,快晴
2017/1/26,3.5,10.1,-1.7,0,1,0,1,10.0,0,0.0,快晴,晴後一時薄曇
2017/1/27,5.3,12.7,-0.3,0.0,0,0.0,0,2.6,0,7.0,曇,晴一時曇
2017/1/28,6.5,12.9,1.3,0,1,0,1,9.5,0,4.3,晴後一時薄曇,晴時々薄曇
2017/1/29,6.8,13.0,0.9,3.5,0,1.0,0,5.9,0,8.0,晴後曇一時雨,雨後一時曇
2017/1/30,7.5,13.3,4.8,1.0,0,0.5,0,2.7,0,6.8,曇一時雨後晴,晴一時雨
2017/1/31,4.1,8.5,1.3,0,1,0,1,10.1,0,0.5,快晴,快晴
2017/2/1,3.2,7.5,-1.5,0.0,0,0.0,0,4.8,0,3.0,晴後曇,晴
2017/2/2,4.0,8.5,0.3,0.0,0,0.0,0,7.0,0,3.5,晴後一時曇,曇一時雨後晴
2017/2/3,5.8,11.9,0.7,0.0,0,0.0,0,9.7,0,1.3,晴,快晴
2017/2/4,6.6,14.2,0.3,0,1,0,1,10.2,0,0.0,快晴,晴後一時曇
2017/2/5,4.4,5.5,2.5,10.5,0,0.5,0,0.0,0,8.0,雨一時曇,雨時々曇
2017/2/6,6.2,10.4,2.5,0.0,0,0.0,0,6.6,0,5.8,晴,晴
2017/2/7,3.6,7.5,1.7,0,1,0,1,8.4,0,4.5,晴後時々薄曇,晴一時薄曇
2017/2/8,4.4,9.4,-0.3,0,1,0,1,7.8,0,5.8,晴後一時薄曇,曇
2017/2/9,3.2,4.5,1.9,1.0,0,0.5,0,0.0,0,9.3,みぞれ後雨,曇一時雨
2017/2/10,3.6,8.7,0.8,0.0,0,0.0,0,7.3,0,8.5,晴時々曇,曇後一時雪
2017/2/11,1.1,4.3,-1.0,1.0,0,0.5,0,1.6,0,8.0,雪時々曇,曇一時雪
2017/2/12,2.8,8.3,-0.6,0.0,0,0.0,0,9.6,0,2.5,晴,晴
2017/2/13,3.4,10.2,-0.8,0.0,0,0.0,0,9.0,0,3.3,晴,晴後一時曇
2017/2/14,3.3,8.4,-0.8,0.0,0,0.0,0,5.4,0,3.5,曇時々晴一時雨,晴
2017/2/15,4.7,11.0,-0.3,0,1,0,1,9.8,0,0.3,晴,快晴
2017/2/16,6.8,13.8,-0.4,0,1,0,1,9.9,0,2.8,晴後一時薄曇,薄曇
2017/2/17,7.1,9.1,4.6,0.0,0,0.0,0,0.0,0,10.0,曇後時々雨,曇後晴
2017/2/18,7.2,12.3,3.3,0.0,0,0.0,0,3.9,0,7.0,薄曇時々晴,晴一時曇
2017/2/19,5.7,10.8,1.7,0.0,0,0.0,0,10.7,0,1.5,晴,晴後曇
2017/2/20,6.6,11.9,4.2,9.0,0,1.5,0,0.1,0,10.0,曇後雨,曇一時雨後晴
2017/2/21,3.7,7.5,1.3,0.0,0,0.0,0,9.9,0,2.3,晴,晴
2017/2/22,5.8,12.2,-0.5,2.0,0,0.5,0,6.4,0,7.3,薄曇一時晴,雨一時曇
2017/2/23,9.3,15.3,6.5,24.5,0,1.5,0,0.8,0,8.8,曇一時雨後時々晴,晴時々曇
2017/2/24,5.7,10.1,2.7,0,1,0,1,10.5,0,2.8,晴,晴
2017/2/25,5.9,11.4,0.1,0,1,0,1,9.8,0,3.3,晴,晴
2017/2/26,7.0,13.5,1.9,0,1,0,1,8.0,0,5.8,晴後薄曇,薄曇後晴
2017/2/27,6.8,13.0,2.9,0,1,0,1,10.4,0,0.3,晴,晴
2017/2/28,6.7,13.1,1.2,0,1,0,1,8.8,0,1.5,晴,快晴
2017/3/1,6.3,13.6,0.8,2.5,0,0.5,0,5.0,0,7.5,薄曇後雨,雨後曇
2017/3/2,6.8,9.6,5.5,5.0,0,1.0,0,0.9,0,10.0,曇時々雨後晴,雨後晴
2017/3/3,7.6,11.9,3.7,0,1,0,1,10.7,0,0.8,快晴,晴後一時薄曇
2017/3/4,7.8,15.4,0.9,0,1,0,1,9.3,0,4.8,晴時々薄曇,晴一時薄曇
2017/3/5,10.0,16.7,2.8,0,1,0,1,7.3,0,5.8,晴後曇,曇
2017/3/6,9.9,12.9,6.9,0.0,0,0.0,0,0.0,0,8.0,曇,晴一時曇
2017/3/7,4.9,9.4,2.0,0.0,0,0.0,0,5.5,0,7.3,曇後晴一時雪,晴時々曇一時雪
2017/3/8,4.4,9.7,1.3,0.0,0,0.0,0,8.6,0,6.3,晴一時雪,快晴
2017/3/9,6.0,11.7,0.9,0,1,0,1,7.6,0,3.8,晴一時曇,晴後一時曇
