ダウンロードした時刻：2021/05/14 15:17:33

,津,津,津,津,津,津,津,津,津,津,津,津
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.8,13.1,5.6,0,1,0,1,5.3,0,3.3,晴,晴
2017/1/2,8.9,15.3,3.6,0,1,0,1,8.9,0,3.3,晴,晴後一時曇
2017/1/3,9.8,13.7,5.8,0.0,0,0.0,0,6.5,0,4.0,晴一時曇,晴
2017/1/4,8.6,14.4,3.5,0.0,0,0.0,0,5.8,0,3.3,晴,晴
2017/1/5,7.0,9.4,4.9,0,1,0,1,7.4,0,7.7,晴一時曇,晴後一時薄曇
2017/1/6,6.1,10.2,2.9,0,1,0,1,8.2,0,3.3,晴一時薄曇,快晴
2017/1/7,5.1,8.7,-0.3,0,1,0,1,8.5,0,7.0,晴後薄曇,曇
2017/1/8,5.5,7.6,4.6,25.0,0,1.0,0,0.0,0,10.0,雨一時曇,雨後晴
2017/1/9,9.7,13.9,7.0,0.0,0,0.0,0,7.3,0,7.0,晴後一時雨,晴
2017/1/10,9.4,13.6,6.7,0.0,0,0.0,0,4.9,0,2.7,晴,晴
2017/1/11,6.9,10.5,4.4,0,1,0,1,6.7,0,2.7,晴,晴一時曇
2017/1/12,6.5,9.6,4.3,0,1,0,1,7.2,0,6.3,晴一時曇,晴
2017/1/13,6.3,10.9,2.5,0.0,0,0.0,0,6.2,0,4.3,晴後一時曇,晴
2017/1/14,2.8,6.4,-0.8,0.0,0,0.0,0,2.5,0,6.0,晴時々みぞれ一時雪,晴時々雪
2017/1/15,0.5,3.2,-1.5,1.0,0,0.5,0,3.7,0,8.7,雪,晴一時雪
2017/1/16,3.1,6.0,0.7,0.5,0,0.5,0,5.3,0,6.0,晴一時雪、みぞれを伴う,晴時々みぞれ
2017/1/17,4.6,8.6,2.1,0.0,0,0.0,0,6.9,0,4.0,晴、みぞれを伴う,晴
2017/1/18,5.1,9.4,0.0,0,1,0,1,8.8,0,6.7,晴,曇
2017/1/19,6.6,9.9,2.6,0,1,0,1,6.3,0,8.0,曇一時晴,晴一時薄曇
2017/1/20,4.4,7.2,1.0,0.5,0,0.5,0,4.2,0,5.0,曇時々雨一時晴,雨時々晴
2017/1/21,4.8,7.9,2.2,3.0,0,0.5,0,8.5,0,4.3,晴一時雨,晴後曇
2017/1/22,4.1,9.3,1.1,0.0,0,0.0,0,4.2,0,5.3,晴後時々雨、みぞれを伴う,晴
2017/1/23,1.3,3.1,0.0,0.0,0,0.0,0,0.7,0,8.3,曇時々雪一時晴,晴時々雪一時曇
2017/1/24,1.7,5.1,-0.9,0.0,0,0.0,0,2.0,0,8.0,晴後曇,曇一時雪
2017/1/25,3.1,7.0,0.6,0.0,0,0.0,0,6.6,0,1.7,晴,快晴
2017/1/26,4.1,10.4,-0.6,0,1,0,1,10.0,0,0.0,快晴,晴
2017/1/27,5.5,12.7,-0.3,0,1,0,1,5.0,0,8.3,薄曇一時晴,晴
2017/1/28,7.7,12.4,4.0,0,1,0,1,9.4,0,2.7,晴,晴後薄曇
2017/1/29,6.0,9.9,1.4,10.5,0,1.0,0,5.0,0,8.0,晴後曇一時雨,雨後一時曇
2017/1/30,7.6,10.5,4.1,5.0,0,1.5,0,0.0,0,9.0,雨時々曇,曇時々雨一時晴
2017/1/31,4.1,6.7,2.3,0.0,0,0.0,0,7.9,0,2.3,晴,快晴
2017/2/1,4.9,9.8,0.6,0.0,0,0.0,0,4.5,0,3.3,晴一時雨,雪時々雨一時晴
2017/2/2,4.8,8.1,1.3,0.0,0,0.0,0,3.2,0,4.7,晴時々曇一時雪,晴
2017/2/3,7.4,11.1,4.8,0.0,0,0.0,0,8.5,0,1.3,晴一時曇,快晴
2017/2/4,7.5,13.3,2.7,0,1,0,1,9.8,0,0.0,快晴,晴後一時曇
2017/2/5,4.9,6.0,2.8,11.5,0,1.0,0,0.0,0,10.0,雨一時曇,雨時々曇後晴
2017/2/6,7.3,11.2,3.1,0.0,0,0.0,0,8.2,0,4.3,晴後時々雨,雨時々曇
2017/2/7,3.2,6.1,1.0,1.5,0,0.5,0,3.0,0,10.0,曇時々みぞれ一時雪,雪後曇
2017/2/8,4.7,7.9,2.6,0.0,0,0.0,0,4.0,0,9.0,晴一時曇,曇
2017/2/9,3.7,5.7,1.4,0.5,0,0.5,0,0.0,0,9.0,みぞれ後雨一時曇,晴後一時雪
2017/2/10,2.6,7.1,0.0,2.5,0,1.0,0,2.1,0,9.0,晴時々みぞれ一時曇,雪後晴
2017/2/11,2.9,7.2,0.4,0.0,0,0.0,0,8.3,0,3.3,晴,晴
2017/2/12,3.0,7.1,0.2,0.0,0,0.0,0,4.0,0,4.3,晴,晴
2017/2/13,3.9,8.6,0.0,0.0,0,0.0,0,7.6,0,2.3,晴一時曇,晴
2017/2/14,4.0,7.8,0.9,0.0,0,0.0,0,5.1,0,3.7,晴一時雨,晴
2017/2/15,5.5,10.4,2.5,0.0,0,0.0,0,8.0,0,3.0,晴,晴
2017/2/16,6.3,10.4,1.2,0,1,0,1,9.7,0,4.0,晴,薄曇
2017/2/17,7.6,11.0,4.8,1.5,0,0.5,0,1.6,0,10.0,雨時々曇,曇後晴
2017/2/18,8.0,11.4,5.7,0.0,0,0.0,0,6.1,0,9.0,薄曇一時晴,晴一時曇
2017/2/19,5.8,10.6,2.1,0.0,0,0.0,0,8.6,0,3.0,晴,曇時々晴
2017/2/20,6.3,10.6,2.5,6.0,0,2.0,0,3.3,0,6.3,晴後雨時々曇,晴時々雨一時雪
2017/2/21,4.0,6.7,2.4,0.0,0,0.0,0,6.5,0,5.0,みぞれ時々晴一時雪,晴後一時薄曇
2017/2/22,5.1,8.4,0.6,1.5,0,0.5,0,6.4,0,8.3,晴後曇,雨一時曇
2017/2/23,9.6,15.1,6.6,6.5,0,1.5,0,0.0,0,10.0,曇時々雨,曇後時々雨
2017/2/24,5.2,8.8,2.0,0.0,0,0.0,0,6.8,0,5.3,晴一時曇,晴
2017/2/25,6.2,11.8,1.4,0,1,0,1,8.1,0,3.7,晴,晴
2017/2/26,7.5,13.2,2.0,0,1,0,1,8.2,0,9.0,晴後薄曇,薄曇後晴
2017/2/27,6.7,11.2,3.7,0,1,0,1,10.9,0,1.3,晴,晴
2017/2/28,6.2,10.7,1.6,0,1,0,1,9.2,0,4.3,晴,晴一時曇
2017/3/1,5.9,9.6,1.3,4.5,0,0.5,0,4.5,0,10.0,曇後時々雨,雨後曇
2017/3/2,7.4,9.4,6.2,1.0,0,0.5,0,2.3,0,9.7,曇時々雨,曇時々雨、雷を伴う
2017/3/3,8.0,11.0,5.0,0.0,0,0.0,0,8.4,0,4.3,晴一時曇,晴
2017/3/4,7.1,12.3,2.2,0,1,0,1,8.7,0,4.3,曇後晴,晴
2017/3/5,9.2,13.6,3.4,0.0,0,0.0,0,8.2,0,10.0,薄曇一時晴,曇後時々雨
2017/3/6,9.4,12.9,7.4,0.0,0,0.0,0,0.3,0,10.0,曇一時雨,曇後一時雨
2017/3/7,6.6,10.8,3.1,0.0,0,0.0,0,7.6,0,5.0,晴一時雨,快晴
2017/3/8,5.7,10.8,2.6,0.0,0,0.0,0,9.0,0,2.3,晴,晴
2017/3/9,6.9,12.2,2.5,0.0,0,0.0,0,6.1,0,6.0,晴時々曇,晴
