ダウンロードした時刻：2021/05/14 15:17:55

,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.6,10.8,5.4,0.0,0,0.0,0,5.6,0,7.0,晴時々曇,曇時々晴
2017/1/2,7.2,10.9,2.5,0,1,0,1,7.7,0,6.7,晴時々曇,曇
2017/1/3,7.1,9.0,3.4,2.0,0,0.5,0,0.2,0,6.3,曇時々雨,晴一時曇
2017/1/4,6.2,9.6,2.0,0.0,0,0.0,0,0.6,0,8.7,曇時々雨一時晴,曇一時晴
2017/1/5,6.2,8.9,4.5,0.0,0,0.0,0,4.8,0,9.0,曇時々晴,曇
2017/1/6,5.1,8.7,0.9,0,1,0,1,7.8,0,3.3,曇後晴,快晴
2017/1/7,3.8,8.9,-1.2,0,1,0,1,7.8,0,6.7,晴後薄曇,曇
2017/1/8,4.8,6.4,2.7,17.5,0,1.5,0,0.0,0,10.0,曇後雨,雨後曇
2017/1/9,8.1,11.9,6.3,5.0,0,1.0,0,0.4,0,9.7,曇後時々雨,雨後曇一時晴
2017/1/10,7.7,12.4,4.6,2.0,0,0.5,0,3.3,0,9.3,曇時々晴,雨
2017/1/11,4.6,6.8,3.1,2.0,0,0.5,0,1.7,0,8.3,曇時々雨,曇時々晴
2017/1/12,5.0,8.3,2.2,0.0,0,0.0,0,3.0,0,9.0,曇,曇時々晴
2017/1/13,4.2,7.5,1.9,0.0,0,0.0,0,4.0,0,7.3,曇,晴後雪
2017/1/14,0.5,2.9,-2.1,26.5,0,1.0,0,0.6,0,10.0,大雪,雪
2017/1/15,0.8,3.2,-2.1,10.0,0,1.0,0,1.1,0,10.0,雪時々曇,雪、雷・あられを伴う
2017/1/16,1.8,4.0,0.1,9.0,0,1.5,0,1.4,0,10.0,雪時々曇一時みぞれ,みぞれ時々曇一時雪
2017/1/17,3.8,6.8,0.8,3.5,0,2.0,0,1.8,0,8.0,曇一時みぞれ,曇後一時晴
2017/1/18,2.5,7.1,-2.0,0,1,0,1,8.1,0,9.0,晴時々薄曇,曇
2017/1/19,4.1,8.2,-0.2,0.0,0,0.0,0,6.4,0,6.7,曇一時晴,晴
2017/1/20,2.0,5.8,-1.9,3.0,0,0.5,0,2.6,0,10.0,曇時々雪後一時雨,曇後雨一時みぞれ、大風を伴う
2017/1/21,4.1,6.8,1.5,3.0,0,0.5,0,3.3,0,9.7,曇時々みぞれ一時雪,曇後晴
2017/1/22,3.2,8.8,-0.8,0.0,0,0.0,0,3.6,0,10.0,曇一時晴,曇一時晴後大雪
2017/1/23,-0.1,2.7,-1.1,31.5,0,2.0,0,0.0,0,10.0,大雪,雪時々曇
2017/1/24,0.0,2.0,-1.5,32.5,0,2.5,0,0.7,0,9.3,大雪一時曇,雪時々曇
2017/1/25,1.1,3.8,-1.3,1.5,0,0.5,0,1.6,0,8.7,曇時々雪後一時晴、みぞれを伴う,曇時々晴一時雪
2017/1/26,1.4,6.1,-1.6,0.0,0,0.0,0,6.8,0,3.7,曇後晴,晴後時々曇
2017/1/27,3.1,7.8,-2.3,0.0,0,0.0,0,2.7,0,9.0,曇,晴時々曇
2017/1/28,4.3,9.2,0.5,0,1,0,1,9.2,0,6.7,晴後一時薄曇,薄曇時々晴
2017/1/29,3.1,6.5,-1.2,11.0,0,1.0,0,4.9,0,7.7,晴後曇一時雨,雨後曇
2017/1/30,5.4,9.4,3.4,5.5,0,1.5,0,2.8,0,7.0,曇時々雨一時晴,雨後晴一時雪、みぞれを伴う
2017/1/31,2.7,5.8,-0.3,0.0,0,0.0,0,2.2,0,5.3,曇時々晴,晴
2017/2/1,2.0,5.4,-2.4,4.0,0,0.5,0,2.0,0,6.7,晴後雨時々曇,雨後雪一時曇
2017/2/2,3.0,5.5,1.5,2.0,0,0.5,0,1.3,0,8.7,曇一時雪後みぞれ,雨時々曇
2017/2/3,6.2,10.4,2.5,1.0,0,0.5,0,6.9,0,4.7,晴時々曇,晴時々曇
2017/2/4,5.2,11.0,0.4,0,1,0,1,9.8,0,0.7,晴,晴後一時曇
2017/2/5,4.4,6.3,1.8,12.5,0,1.0,0,0.0,0,10.0,雨後時々曇,曇時々雨
2017/2/6,4.8,7.6,1.3,13.5,0,1.0,0,0.3,0,9.7,雨一時曇、みぞれを伴う,雪時々みぞれ一時雨
2017/2/7,2.4,5.1,0.4,6.0,0,1.0,0,1.4,0,9.3,雪一時曇,曇一時雪後一時みぞれ
2017/2/8,4.2,7.2,2.2,0.0,0,0.0,0,2.3,0,9.3,曇後時々晴,曇
2017/2/9,2.2,3.4,0.5,5.0,0,0.5,0,0.0,0,10.0,雪後みぞれ,曇後雪
2017/2/10,1.0,2.9,0.0,10.0,0,2.0,0,0.2,0,10.0,雪一時曇,大雪時々曇
2017/2/11,0.3,3.5,-1.2,12.0,0,2.0,0,1.6,0,9.7,曇時々雪,大雪一時曇
2017/2/12,0.7,2.6,-0.7,24.5,0,2.0,0,0.3,0,10.0,大雪一時曇,曇時々雪、みぞれを伴う
2017/2/13,1.8,5.1,-0.6,1.0,0,0.5,0,2.7,0,8.3,曇時々雨一時雪、みぞれを伴う,曇時々晴一時雪、みぞれを伴う
2017/2/14,1.6,4.4,-0.6,4.0,0,1.5,0,2.2,0,7.7,曇時々雪一時みぞれ,みぞれ時々曇一時雪
2017/2/15,3.3,7.3,0.0,0.0,0,0.0,0,1.7,0,5.0,曇後時々晴、みぞれを伴う,晴後一時曇
2017/2/16,4.2,9.8,-0.2,0,1,0,1,9.3,0,3.7,晴後一時薄曇,曇
2017/2/17,5.5,8.3,2.8,1.0,0,0.5,0,0.0,0,10.0,雨時々曇,曇後晴
2017/2/18,5.9,8.7,2.9,0.0,0,0.0,0,2.1,0,9.7,薄曇後一時雨,曇一時雨後晴
2017/2/19,3.8,7.2,1.6,0.0,0,0.0,0,6.5,0,4.3,晴後一時曇,晴後曇
2017/2/20,5.7,9.5,2.7,15.5,0,2.0,0,0.0,0,10.0,曇後雨,雨後雪一時曇、みぞれを伴う
2017/2/21,2.8,4.2,0.9,3.5,0,1.0,0,0.9,0,10.0,曇時々雪,曇時々晴
2017/2/22,4.3,8.3,-1.1,1.0,0,0.5,0,6.7,0,10.0,曇,雨時々曇
2017/2/23,7.6,10.8,4.6,5.5,0,0.5,0,0.2,0,10.0,雨後曇,雨一時曇後一時雪、みぞれを伴う
2017/2/24,4.1,7.7,0.5,0.5,0,0.5,0,7.7,0,6.7,晴時々曇,晴後曇一時雪、みぞれを伴う
2017/2/25,4.5,8.8,0.3,0.0,0,0.0,0,5.8,0,5.7,晴時々曇、みぞれを伴う,晴時々曇
2017/2/26,5.4,10.3,0.2,0.0,0,0.0,0,7.4,0,10.0,薄曇一時晴,曇後一時晴
2017/2/27,4.8,8.5,0.9,0,1,0,1,10.0,0,4.3,晴,晴
2017/2/28,3.8,9.0,-0.5,0,1,0,1,9.3,0,1.3,晴,晴
2017/3/1,4.4,9.4,-1.0,1.5,0,0.5,0,5.1,0,9.0,曇一時晴後一時雨,曇時々雨一時晴
2017/3/2,6.5,10.4,4.0,6.5,0,1.0,0,2.5,0,8.0,曇時々雨後一時晴,雨一時曇、雷を伴う
2017/3/3,6.7,9.9,1.7,1.5,0,0.5,0,7.1,0,4.3,曇一時雨後晴,晴後一時薄曇
2017/3/4,5.5,11.8,0.3,0,1,0,1,8.2,0,6.7,薄曇,晴一時曇
2017/3/5,6.9,11.4,1.2,0,1,0,1,6.9,0,9.0,薄曇一時晴,曇一時晴
2017/3/6,7.2,10.5,5.1,0.0,0,0.0,0,0.0,0,9.3,曇後一時雨,晴一時雨後薄曇
2017/3/7,3.8,7.6,1.6,0.0,0,0.0,0,3.2,0,8.3,曇時々みぞれ一時雪、あられを伴う,曇一時雪
2017/3/8,3.3,7.4,0.7,0.0,0,0.0,0,3.3,0,7.3,曇一時雪,曇時々晴
2017/3/9,4.9,9.1,0.8,0.0,0,0.0,0,5.6,0,6.0,晴時々曇,曇時々晴一時雨
