ダウンロードした時刻：2021/05/14 15:18:20

,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.2,13.5,3.5,0,1,0,1,5.2,0,5.8,晴一時曇,晴
2017/1/2,7.1,12.6,2.5,0,1,0,1,7.6,0,4.5,晴一時薄曇,晴後一時曇
2017/1/3,7.3,13.1,4.3,0.0,0,0.0,0,3.1,0,4.8,曇時々晴一時雨,快晴
2017/1/4,6.5,12.3,2.2,0.0,0,0.0,0,3.8,0,6.5,晴時々曇,曇一時晴
2017/1/5,6.9,9.8,5.4,0.0,0,0.0,0,3.3,0,10.0,曇時々晴一時雨,曇一時晴
2017/1/6,6.3,10.2,2.6,0,1,0,1,7.9,0,5.5,曇後晴,快晴
2017/1/7,5.3,10.8,0.4,0,1,0,1,7.5,0,5.5,晴後薄曇,曇
2017/1/8,6.1,7.4,4.8,20.5,0,2.0,0,0.0,0,10.0,雨一時曇,曇時々雨
2017/1/9,8.0,11.3,5.8,0.0,0,0.0,0,2.0,0,9.3,曇時々雨一時晴,晴時々曇一時雨
2017/1/10,8.5,13.7,4.8,0.5,0,0.5,0,5.6,0,6.8,晴,曇時々晴
2017/1/11,6.1,9.5,4.1,0.0,0,0.0,0,4.9,0,9.3,晴時々曇,曇時々晴
2017/1/12,5.3,9.5,2.4,0.0,0,0.0,0,5.4,0,5.8,晴時々曇,晴
2017/1/13,4.5,8.6,1.8,0.0,0,0.0,0,4.7,0,2.8,晴時々曇一時みぞれ,晴一時曇
2017/1/14,1.2,4.7,-2.3,2.0,0,0.5,0,4.4,0,7.0,雪時々晴,大雪一時曇
2017/1/15,-0.1,3.2,-2.7,12.0,0,1.0,0,3.5,0,8.8,雪一時晴,雪一時晴
2017/1/16,1.7,4.1,-0.2,8.5,0,1.0,0,5.4,0,7.8,雪時々晴,雪一時曇
2017/1/17,3.4,7.9,1.3,1.5,0,0.5,0,4.7,0,7.3,晴時々雪後時々曇,晴一時薄曇
2017/1/18,4.0,9.5,-0.6,0,1,0,1,8.9,0,6.0,晴後薄曇,曇
2017/1/19,4.9,9.0,1.4,0.0,0,0.0,0,3.0,0,7.3,曇時々晴,晴時々曇
2017/1/20,3.6,9.2,-0.5,2.0,0,0.5,0,2.6,0,7.5,曇一時雪後一時雨,みぞれ時々晴一時曇
2017/1/21,4.1,7.7,1.8,3.0,0,0.5,0,5.2,0,8.3,晴時々曇一時みぞれ,薄曇後晴
2017/1/22,3.5,9.0,0.8,0.0,0,0.0,0,3.4,0,6.8,曇時々雨、みぞれを伴う,晴後一時曇
2017/1/23,1.3,4.4,-0.3,0.0,0,0.0,0,2.7,0,8.0,雪時々晴,晴一時雪
2017/1/24,1.2,4.9,-0.9,0.0,0,0.0,0,3.0,0,5.8,雪時々晴、みぞれを伴う,晴一時雪
2017/1/25,2.0,5.8,-1.3,0.0,0,0.0,0,3.6,0,7.0,晴時々曇一時雪、みぞれを伴う,晴
2017/1/26,3.0,9.5,-1.8,0,1,0,1,9.6,0,0.0,晴,晴後薄曇
2017/1/27,6.2,12.9,0.6,0.0,0,0.0,0,2.9,0,7.5,曇,晴一時曇
2017/1/28,6.3,12.7,1.6,0,1,0,1,9.6,0,6.5,晴後一時薄曇,薄曇時々晴
2017/1/29,6.4,11.3,1.4,9.0,0,1.0,0,3.1,0,10.0,曇時々雨一時晴,雨時々曇
2017/1/30,8.0,12.6,2.9,2.0,0,0.5,0,3.7,0,8.5,雨時々曇一時晴,雨後雪、みぞれを伴う
2017/1/31,3.6,6.1,1.3,0.0,0,0.0,0,2.0,0,9.0,曇時々晴一時雪,曇後晴
2017/2/1,3.4,7.8,-0.5,0.0,0,0.0,0,2.3,0,6.5,晴後曇,みぞれ時々曇一時雪
2017/2/2,4.2,7.5,1.6,0.0,0,0.0,0,5.5,0,9.3,晴時々雪一時みぞれ後一時雨,曇一時雨
2017/2/3,6.2,11.5,2.9,0.0,0,0.0,0,5.2,0,5.3,晴一時曇,晴一時曇
2017/2/4,6.4,13.6,1.1,0,1,0,1,9.6,0,0.8,晴,晴後曇
2017/2/5,6.4,8.2,4.3,14.0,0,1.0,0,0.0,0,10.0,雨後曇,曇時々雨
2017/2/6,6.1,9.5,3.1,1.5,0,0.5,0,4.9,0,9.3,雨時々曇,曇一時雨、みぞれを伴う
2017/2/7,3.7,6.3,2.0,0.0,0,0.0,0,1.6,0,8.3,曇時々雪、みぞれを伴う,曇一時雪
2017/2/8,4.5,8.1,2.7,0,1,0,1,1.6,0,9.5,曇時々晴,曇一時晴後一時雨
2017/2/9,2.9,4.3,1.2,5.0,0,0.5,0,0.0,0,10.0,みぞれ時々曇一時雪,曇一時晴後一時雪
2017/2/10,2.1,5.2,-0.3,3.0,0,0.5,0,3.6,0,9.0,曇時々雪一時晴,曇時々雪
2017/2/11,1.6,6.4,-0.7,0.0,0,0.0,0,5.7,0,7.5,晴一時曇後一時雪,晴一時雪
2017/2/12,2.6,7.5,-0.5,0.0,0,0.0,0,6.1,0,3.8,晴一時雪,晴
2017/2/13,3.1,8.4,0.1,0.0,0,0.0,0,4.5,0,4.0,晴時々曇一時雪,晴一時曇
2017/2/14,3.3,7.9,0.8,0.0,0,0.0,0,3.2,0,7.3,晴時々雨一時雪,晴後曇、みぞれを伴う
2017/2/15,4.8,9.8,1.8,0.0,0,0.0,0,4.7,0,6.0,曇時々晴,快晴
2017/2/16,6.7,14.8,0.0,0,1,0,1,9.3,0,3.8,晴後一時薄曇,曇後時々晴
2017/2/17,8.6,11.7,5.6,1.5,0,0.5,0,0.0,0,10.0,曇時々雨,曇
2017/2/18,6.8,10.9,3.6,0.5,0,0.5,0,2.7,0,8.3,曇時々晴一時雨,晴時々雨後時々雪
2017/2/19,5.7,11.0,1.6,0.0,0,0.0,0,9.3,0,3.8,晴,晴後曇
2017/2/20,7.8,15.2,3.5,5.0,0,1.5,0,0.0,0,9.5,　雨時々曇,雨後雪
2017/2/21,3.0,5.6,1.2,0.0,0,0.0,0,0.2,0,9.5,雪時々曇,曇後晴
2017/2/22,5.7,10.6,-0.3,0.5,0,0.5,0,5.7,0,6.8,曇時々晴,雨一時曇
2017/2/23,9.4,14.0,6.0,9.0,0,1.5,0,0.2,0,9.0,曇一時雨,晴時々雨
2017/2/24,4.5,8.5,1.5,0.0,0,0.0,0,4.0,0,5.0,晴一時曇,晴後一時曇
2017/2/25,5.9,11.8,0.6,0,1,0,1,7.7,0,6.8,晴後時々曇,晴時々曇
2017/2/26,7.0,13.4,1.8,0,1,0,1,7.1,0,6.5,薄曇,晴一時薄曇
2017/2/27,5.5,9.5,2.3,0,1,0,1,9.6,0,3.5,晴,晴
2017/2/28,4.5,10.2,0.4,0,1,0,1,5.3,0,3.3,晴時々曇,晴後一時薄曇
2017/3/1,6.3,13.8,0.7,0.0,0,0.0,0,5.3,0,7.3,曇後時々雨,曇一時晴後時々雨
2017/3/2,9.4,14.9,6.9,2.0,0,1.0,0,2.4,0,9.5,曇時々晴一時雨,曇時々雨一時晴、雷を伴う
2017/3/3,7.5,11.5,3.5,0.5,0,0.5,0,5.0,0,6.3,晴時々曇,晴後一時薄曇
2017/3/4,8.2,16.6,2.1,0,1,0,1,9.3,0,6.5,薄曇時々晴,晴
2017/3/5,10.3,16.2,3.6,0,1,0,1,6.5,0,8.3,曇一時晴,曇一時晴
2017/3/6,9.3,14.1,6.0,0.0,0,0.0,0,0.2,0,8.3,曇,曇一時晴
2017/3/7,5.4,9.4,2.0,0.0,0,0.0,0,5.7,0,5.3,曇時々晴一時雨、みぞれを伴う,晴
2017/3/8,4.2,9.7,0.1,0.0,0,0.0,0,6.0,0,3.5,晴後曇一時雨,晴一時曇
2017/3/9,5.5,10.2,0.1,0.0,0,0.0,0,6.1,0,3.0,晴時々曇,晴後時々曇一時雨
