ダウンロードした時刻：2021/05/14 15:18:50

,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.9,12.7,3.7,0,1,0,1,6.9,0,3.3,晴一時曇,晴後時々薄曇
2017/1/2,8.2,12.5,3.4,0,1,0,1,7.5,0,2.0,晴一時曇,晴後一時曇
2017/1/3,10.0,14.8,6.5,0,1,0,1,5.2,0,1.8,晴後一時曇,晴
2017/1/4,8.5,13.8,3.6,0,1,0,1,6.6,0,3.8,晴時々曇,晴時々曇
2017/1/5,7.5,10.6,5.8,0.0,0,0.0,0,4.9,0,9.3,晴時々曇,曇
2017/1/6,6.9,10.8,4.4,0,1,0,1,7.4,0,5.0,晴一時曇,快晴
2017/1/7,6.5,10.9,1.4,0,1,0,1,7.5,0,5.0,晴後薄曇,曇
2017/1/8,6.4,7.4,5.6,22.0,0,1.0,0,0.0,0,10.0,雨一時曇,曇時々雨
2017/1/9,9.0,12.2,5.6,0.0,0,0.0,0,2.3,0,8.8,曇一時晴,晴時々曇
2017/1/10,9.6,13.0,6.1,0.0,0,0.0,0,7.6,0,3.5,晴,晴時々曇
2017/1/11,7.6,11.1,5.4,0,1,0,1,4.8,0,6.3,晴後時々曇,晴後時々曇
2017/1/12,6.9,9.4,4.7,0.0,0,0.0,0,6.8,0,5.3,晴後時々薄曇,曇時々晴
2017/1/13,6.7,10.4,4.6,0.0,0,0.0,0,6.8,0,5.0,晴後時々曇,快晴
2017/1/14,3.6,7.2,0.1,0.0,0,0.0,0,7.8,0,4.0,晴,晴一時雪、あられを伴う
2017/1/15,2.0,5.1,-0.6,0.0,0,0.0,0,7.4,0,3.3,晴一時雪,晴後時々曇
2017/1/16,4.0,6.9,0.9,0.0,0,0.0,0,5.8,0,7.3,晴一時雪,雨時々曇後晴
2017/1/17,5.5,8.5,2.8,0.0,0,0.0,0,5.6,0,4.5,晴時々曇,晴
2017/1/18,5.7,10.6,0.8,0,1,0,1,8.5,0,7.5,薄曇時々晴,曇
2017/1/19,6.5,10.3,3.3,0,1,0,1,3.9,0,8.8,曇時々晴,晴時々曇
2017/1/20,4.7,9.5,1.5,0.5,0,0.5,0,1.9,0,9.3,曇一時雨、みぞれを伴う,晴時々雨一時曇
2017/1/21,5.1,8.3,2.7,0.0,0,0.0,0,6.0,0,4.0,晴後時々曇,曇後時々晴
2017/1/22,4.2,6.8,1.4,3.0,0,1.0,0,1.2,0,7.5,曇時々雨一時晴,晴
2017/1/23,2.4,4.8,0.8,0.0,0,0.0,0,1.1,0,5.0,晴時々曇後一時雪,晴時々曇
2017/1/24,2.9,6.7,1.1,0.0,0,0.0,0,3.1,0,7.5,曇時々晴一時雪、みぞれを伴う,晴
2017/1/25,3.5,7.8,0.1,0.0,0,0.0,0,5.2,0,4.3,晴後一時曇,晴
2017/1/26,4.3,9.5,-0.8,0,1,0,1,10.0,0,0.3,快晴,晴時々薄曇
2017/1/27,7.4,13.3,1.6,0.0,0,0.0,0,5.1,0,9.3,曇一時晴,曇後時々晴
2017/1/28,8.0,12.8,3.9,0,1,0,1,9.6,0,7.3,晴後時々薄曇,晴時々薄曇
2017/1/29,7.3,11.4,3.3,5.0,0,1.0,0,2.7,0,9.0,曇一時晴後時々雨,雨後曇
2017/1/30,9.1,14.2,4.8,3.0,0,1.0,0,3.3,0,9.3,雨時々曇後晴,晴時々曇
2017/1/31,4.4,7.5,2.2,0.0,0,0.0,0,4.2,0,6.5,晴時々曇,晴
2017/2/1,4.4,7.5,1.0,0.0,0,0.0,0,4.0,0,7.0,曇時々晴一時雨,雨時々曇一時雪、みぞれを伴う
2017/2/2,5.8,8.0,2.6,0.0,0,0.0,0,2.3,0,8.5,曇時々晴,晴時々曇
2017/2/3,7.8,11.9,4.9,0.0,0,0.0,0,5.0,0,4.8,晴一時曇,快晴
2017/2/4,7.4,12.5,2.1,0,1,0,1,9.9,0,0.0,快晴,晴後曇
2017/2/5,7.0,9.7,5.5,15.0,0,1.5,0,0.0,0,10.0,雨時々曇,曇時々雨後晴
2017/2/6,7.5,11.0,3.8,0.5,0,0.5,0,4.8,0,6.5,晴後曇時々雨,曇時々晴
2017/2/7,4.5,6.8,2.4,0.0,0,0.0,0,4.0,0,5.8,曇時々晴,晴時々曇
2017/2/8,5.4,8.7,3.2,0,1,0,1,3.7,0,7.3,曇一時晴,曇後時々みぞれ
2017/2/9,3.9,6.2,1.4,6.0,0,0.5,0,0.1,0,8.8,雪時々雨一時曇、みぞれを伴う,曇時々晴
2017/2/10,4.2,7.6,1.5,0.0,0,0.0,0,5.9,0,9.0,晴一時曇、みぞれを伴う,晴一時雪
2017/2/11,3.2,7.0,0.0,0.0,0,0.0,0,4.8,0,5.8,曇時々晴,晴
2017/2/12,3.4,8.4,-0.6,0.0,0,0.0,0,6.2,0,3.5,晴後時々曇一時みぞれ,晴
2017/2/13,4.4,8.5,0.6,0.0,0,0.0,0,3.1,0,6.3,晴時々曇,晴時々曇
2017/2/14,4.6,8.6,1.3,0.0,0,0.0,0,3.9,0,6.5,曇一時雨後晴,晴後曇
2017/2/15,6.5,10.6,3.3,0,1,0,1,7.3,0,5.5,晴一時曇,快晴
2017/2/16,7.7,13.6,1.3,0,1,0,1,9.1,0,4.5,晴後時々薄曇,曇
2017/2/17,9.6,13.0,6.7,5.5,0,2.5,0,0.0,0,10.0,雨時々曇,曇後時々晴
2017/2/18,7.9,10.8,6.2,0.0,0,0.0,0,3.2,0,9.3,曇時々晴,晴時々曇
2017/2/19,6.5,10.1,2.7,0.0,0,0.0,0,10.8,0,3.3,晴,晴時々曇
2017/2/20,9.3,17.8,4.7,4.5,0,1.5,0,0.5,0,9.3,曇一時晴後雨,晴一時雨後一時雪
2017/2/21,4.7,8.6,2.9,0.0,0,0.0,0,6.8,0,6.0,晴一時雪,晴後一時薄曇
2017/2/22,6.4,10.9,1.0,1.0,0,0.5,0,5.2,0,7.0,晴後曇,雨一時曇
2017/2/23,10.0,13.8,6.7,12.5,0,1.5,0,0.0,0,9.5,曇一時雨,晴一時曇
2017/2/24,5.7,9.7,3.8,0.0,0,0.0,0,4.4,0,6.3,曇時々晴,晴
2017/2/25,6.5,10.4,1.9,0,1,0,1,10.0,0,5.5,晴後薄曇,曇時々晴
2017/2/26,8.1,12.2,3.7,0,1,0,1,8.6,0,10.0,薄曇一時晴,曇後晴
2017/2/27,6.4,10.9,3.9,0.0,0,0.0,0,10.3,0,3.0,晴,快晴
2017/2/28,6.3,11.7,1.6,0,1,0,1,10.4,0,1.0,晴,晴後一時薄曇
2017/3/1,7.3,14.1,2.6,0.0,0,0.0,0,5.5,0,7.5,曇後時々雨,曇一時晴後時々雨
2017/3/2,9.6,14.7,6.9,1.0,0,0.5,0,5.2,0,8.0,曇時々晴一時雨,曇時々雨後時々晴
2017/3/3,8.3,11.5,5.4,0.0,0,0.0,0,4.3,0,5.5,曇後晴,晴後薄曇
2017/3/4,9.0,15.5,3.5,0,1,0,1,8.8,0,7.5,薄曇一時晴,晴
2017/3/5,10.9,15.9,5.7,0.0,0,0.0,0,6.4,0,8.0,曇一時晴,曇
2017/3/6,10.2,12.9,7.2,1.5,0,1.0,0,0.6,0,8.8,曇後一時雨,曇一時雨
2017/3/7,6.9,10.4,4.1,0.0,0,0.0,0,4.4,0,6.3,曇一時晴,晴
2017/3/8,5.8,9.5,1.8,0.0,0,0.0,0,9.4,0,2.5,晴後一時曇,晴
2017/3/9,7.0,10.2,4.2,0.0,0,0.0,0,6.9,0,2.3,晴後時々曇,晴一時曇
