ダウンロードした時刻：2021/05/14 15:19:12

,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,9.1,13.2,5.2,0,1,0,1,8.1,0,2.0,晴,晴後一時薄曇
2017/1/2,9.0,13.1,4.6,0,1,0,1,6.0,0,2.8,晴一時曇,快晴
2017/1/3,10.3,14.0,7.4,0,1,0,1,7.0,0,1.5,晴後一時曇,快晴
2017/1/4,9.3,13.8,5.2,0,1,0,1,7.3,0,2.0,晴,晴時々曇
2017/1/5,7.5,10.1,6.2,0,1,0,1,6.6,0,8.5,晴後時々薄曇,曇
2017/1/6,7.3,10.9,5.3,0,1,0,1,6.7,0,5.5,曇後晴,快晴
2017/1/7,6.9,9.8,3.1,0,1,0,1,7.3,0,5.3,晴後薄曇,曇
2017/1/8,7.6,9.1,6.6,23.5,0,1.5,0,0.0,0,10.0,雨,曇時々雨後晴
2017/1/9,9.2,12.2,6.4,0.0,0,0.0,0,4.0,0,6.8,曇後晴一時雨,晴
2017/1/10,9.6,13.1,6.4,0.0,0,0.0,0,6.3,0,2.8,晴,晴後一時曇
2017/1/11,6.9,10.7,4.3,0,1,0,1,7.9,0,4.8,晴,晴後一時薄曇
2017/1/12,6.4,8.9,3.1,0.0,0,0.0,0,5.3,0,6.3,晴後時々曇,晴時々曇一時雨
2017/1/13,6.1,9.3,3.8,0.0,0,0.0,0,6.7,0,3.8,晴後一時曇,晴、みぞれを伴う
2017/1/14,2.7,6.3,-1.1,0.0,0,0.0,0,6.7,0,3.3,晴一時雪,晴一時雪
2017/1/15,1.3,4.9,-1.8,0.0,0,0.0,0,7.8,0,3.5,晴時々雪、あられを伴う,晴一時雪
2017/1/16,3.5,7.1,1.3,0.0,0,0.0,0,8.0,0,6.0,晴一時雪,雨時々曇後晴
2017/1/17,4.7,9.0,1.7,0.0,0,0.0,0,4.8,0,3.5,晴時々曇,晴
2017/1/18,5.7,8.8,1.6,0,1,0,1,9.4,0,5.8,晴後薄曇,曇
2017/1/19,7.2,10.6,4.6,0,1,0,1,3.5,0,7.0,晴後薄曇,晴一時薄曇
2017/1/20,5.1,8.3,3.0,1.0,0,0.5,0,2.6,0,7.5,曇時々晴一時雨、雷を伴う,雨時々晴
2017/1/21,4.8,7.6,2.8,0.0,0,0.0,0,6.4,0,3.5,　晴,曇後時々晴
2017/1/22,4.6,7.8,1.7,1.5,0,0.5,0,0.5,0,7.0,雨時々曇後一時晴,　晴
2017/1/23,1.9,5.6,0.2,1.5,0,1.0,0,3.9,0,4.3,　晴後雪,晴一時雪後曇
2017/1/24,2.7,6.3,0.4,0.0,0,0.0,0,3.5,0,7.3,曇時々晴後一時雪,晴
2017/1/25,3.8,8.4,-0.2,0,1,0,1,5.3,0,4.0,晴後一時曇,快晴
2017/1/26,4.5,9.5,0.5,0,1,0,1,10.0,0,0.0,快晴,晴後薄曇
2017/1/27,7.8,12.7,3.1,0.0,0,0.0,0,4.3,0,8.5,曇,晴後一時薄曇
2017/1/28,8.0,10.8,4.5,0,1,0,1,9.6,0,7.3,晴後一時薄曇,薄曇一時晴
2017/1/29,7.9,10.2,3.8,3.5,0,0.5,0,2.0,0,10.0,曇一時晴後時々雨,雨後曇
2017/1/30,9.4,14.3,4.5,1.0,0,0.5,0,2.4,0,9.5,雨時々曇後晴,晴時々雨
2017/1/31,4.2,7.1,2.2,0.0,0,0.0,0,5.2,0,4.3,晴後時々曇,晴一時薄曇
2017/2/1,4.7,7.7,1.7,0.0,0,0.0,0,4.1,0,7.0,曇時々晴後一時雨,晴時々雨
2017/2/2,5.8,9.3,2.6,0.0,0,0.0,0,5.9,0,6.5,曇時々晴一時雪,曇時々晴
2017/2/3,8.0,12.5,5.2,0.0,0,0.0,0,5.6,0,5.3,晴時々曇,快晴
2017/2/4,7.3,10.7,3.4,0,1,0,1,10.0,0,0.0,快晴,晴後曇
2017/2/5,8.2,10.5,6.3,9.5,0,1.0,0,0.0,0,10.0,雨後曇,曇時々雨後晴
2017/2/6,7.3,11.5,3.9,3.0,0,2.0,0,5.7,0,4.3,晴後曇時々雨,晴一時雨後時々みぞれ
2017/2/7,4.3,6.4,2.7,0.0,0,0.0,0,2.7,0,8.3,曇時々雨一時みぞれ,薄曇一時晴
2017/2/8,5.3,8.5,2.4,0,1,0,1,2.2,0,9.5,晴後曇,曇後一時雨
2017/2/9,4.1,6.0,2.5,3.5,0,0.5,0,0.1,0,7.8,雨後時々曇,晴一時曇後一時雪
2017/2/10,3.3,7.1,0.5,0.0,0,0.0,0,6.6,0,7.5,晴一時雪,晴一時雪
2017/2/11,2.8,7.2,0.3,0.0,0,0.0,0,6.8,0,2.5,晴後一時雪,快晴
2017/2/12,3.6,8.3,0.3,0.0,0,0.0,0,6.2,0,2.5,晴時々曇後一時雪,晴
2017/2/13,5.1,9.3,2.3,0.0,0,0.0,0,4.3,0,7.0,晴一時雪後曇,晴後一時曇
2017/2/14,4.9,9.0,2.3,0.0,0,0.0,0,5.9,0,3.8,曇後晴,晴後時々曇
2017/2/15,6.0,9.5,3.2,0,1,0,1,5.5,0,6.5,晴一時曇,快晴
2017/2/16,8.0,13.8,2.7,0,1,0,1,8.8,0,5.0,晴後一時薄曇,曇一時晴
2017/2/17,11.0,14.1,8.7,4.0,0,1.0,0,0.0,0,10.0,雨時々曇,曇
2017/2/18,7.8,9.6,5.6,0.0,0,0.0,0,3.4,0,7.8,曇後時々晴,晴後一時雨
2017/2/19,6.4,9.0,2.6,0.0,0,0.0,0,10.7,0,0.8,晴,晴後曇
2017/2/20,9.8,14.6,4.4,3.0,0,0.5,0,0.1,0,8.8,曇後雨,晴時々雨後一時雪
2017/2/21,4.1,8.2,2.3,0.0,0,0.0,0,3.2,0,6.0,曇時々雪後晴,晴
2017/2/22,6.3,10.0,1.6,2.0,0,0.5,0,5.5,0,8.0,曇後一時雨,雨
2017/2/23,11.4,14.5,7.0,18.5,0,2.5,0,0.0,0,10.0,曇一時雨,晴一時曇
2017/2/24,5.9,9.2,3.6,0.0,0,0.0,0,3.0,0,6.8,晴時々曇,晴一時曇
2017/2/25,6.8,10.5,2.6,0.0,0,0.0,0,9.7,0,3.8,晴後薄曇,晴一時薄曇
2017/2/26,8.1,11.4,4.1,0,1,0,1,7.9,0,10.0,薄曇一時晴,曇後一時晴
2017/2/27,6.9,10.1,4.5,0,1,0,1,9.7,0,4.3,晴,快晴
2017/2/28,6.6,10.2,3.2,0,1,0,1,10.8,0,0.3,晴,晴
2017/3/1,8.1,12.4,3.7,0.0,0,0.0,0,4.6,0,5.5,曇一時晴,晴後曇一時雨
2017/3/2,9.8,14.3,7.5,1.5,0,0.5,0,6.0,0,8.0,曇時々雨後晴,曇時々晴一時雨
2017/3/3,8.3,12.1,6.1,0.0,0,0.0,0,4.5,0,4.8,曇後晴,晴後薄曇
2017/3/4,9.1,14.1,4.7,0,1,0,1,9.4,0,6.3,薄曇時々晴,晴
2017/3/5,10.6,14.3,5.5,0,1,0,1,5.7,0,8.3,薄曇一時晴,曇時々晴
2017/3/6,10.3,14.0,7.0,0.0,0,0.0,0,1.4,0,7.5,曇,晴一時曇
2017/3/7,6.6,10.4,2.8,0.0,0,0.0,0,6.3,0,5.3,晴時々曇,晴
2017/3/8,5.3,9.1,1.5,0.0,0,0.0,0,8.0,0,3.5,晴後曇時々雨,快晴
2017/3/9,6.6,9.6,3.1,0.0,0,0.0,0,3.9,0,4.8,晴時々曇後一時雨,晴時々曇一時雨
