ダウンロードした時刻：2021/05/14 15:19:32

,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,,,,0,1,0,1,,,5.0,晴一時曇,晴
2017/1/2,,,,0,1,0,1,,,5.0,晴,晴後時々曇
2017/1/3,,,,0.0,0,0.0,0,,,4.0,曇時々晴,晴
2017/1/4,,,,0.0,0,0.0,0,,,5.7,晴時々曇,曇時々晴
2017/1/5,,,,0.0,0,0.0,0,,,9.7,曇時々晴,曇一時晴
2017/1/6,,,,0,1,0,1,,,3.3,晴一時曇,快晴
2017/1/7,,,,0,1,0,1,,,6.7,晴後薄曇,曇
2017/1/8,,,,21.0,0,1.5,0,,,10.0,雨一時曇,雨後曇
2017/1/9,,,,0.0,0,0.0,0,,,9.7,曇後時々雨,曇一時雨
2017/1/10,,,,0.5,0,0.5,0,,,5.3,晴一時曇,晴一時曇
2017/1/11,,,,0,1,0,1,,,9.3,曇時々晴,曇時々晴
2017/1/12,,,,0.0,0,0.0,0,,,6.3,晴時々曇,晴後一時曇
2017/1/13,,,,0.0,0,0.0,0,,,4.0,晴後曇一時みぞれ、あられを伴う,晴
2017/1/14,,,,0.0,0,0.0,0,,,6.0,晴後曇,晴時々曇一時雪
2017/1/15,,,,0.0,0,0.0,0,,,8.7,曇時々雪,曇時々晴一時雪
2017/1/16,,,,1.0,0,0.5,0,,,9.3,曇時々雪、あられを伴う,曇時々雨後一時晴、みぞれを伴う
2017/1/17,,,,0.0,0,0.0,0,,,4.3,晴一時曇,晴
2017/1/18,,,,0,1,0,1,,,7.3,晴後薄曇,曇
2017/1/19,,,,0.0,0,0.0,0,,,9.7,曇一時晴,曇時々晴
2017/1/20,,,,1.0,0,0.5,0,,,10.0,曇一時みぞれ、あられを伴う,曇時々みぞれ
2017/1/21,,,,0.0,0,0.0,0,,,6.0,晴、みぞれを伴う,曇後一時晴
2017/1/22,,,,2.0,0,1.0,0,,,6.7,曇時々雨一時晴、みぞれを伴う,晴一時曇
2017/1/23,,,,0.0,0,0.0,0,,,9.7,曇一時雪,曇時々晴
2017/1/24,,,,0.0,0,0.0,0,,,7.7,曇後時々雪,晴一時曇
2017/1/25,,,,0.0,0,0.0,0,,,4.7,晴時々曇一時雪,晴
2017/1/26,,,,0,1,0,1,,,0.0,快晴,晴後薄曇
2017/1/27,,,,0,1,0,1,,,10.0,曇一時晴,曇後一時晴
2017/1/28,,,,0,1,0,1,,,5.3,晴後一時薄曇,晴一時薄曇
2017/1/29,,,,13.0,0,3.0,0,,,8.7,曇時々晴後時々雨,雨後時々曇
2017/1/30,,,,4.0,0,1.0,0,,,9.3,雨後晴一時曇、霧を伴う,晴時々曇
2017/1/31,,,,0,1,0,1,,,8.7,曇時々晴,晴一時曇
2017/2/1,,,,0.0,0,0.0,0,,,6.7,晴後曇一時雨,曇、みぞれを伴う
2017/2/2,,,,0.0,0,0.0,0,,,9.7,曇一時雪,曇
2017/2/3,,,,0.0,0,0.0,0,,,5.3,晴時々曇,晴
2017/2/4,,,,0,1,0,1,,,0.0,快晴,晴後曇
2017/2/5,,,,13.0,0,1.0,0,,,10.0,雨後時々曇,曇時々雨後一時晴
2017/2/6,,,,0.5,0,0.5,0,,,9.0,晴後曇時々雨、あられを伴う,曇後一時晴
2017/2/7,,,,0.0,0,0.0,0,,,8.7,曇時々晴後一時雪,曇
2017/2/8,,,,0,1,0,1,,,10.0,曇時々晴,曇後一時みぞれ
2017/2/9,,,,9.0,0,0.5,0,,,8.7,雪後曇時々みぞれ,晴時々曇一時雪、あられを伴う
2017/2/10,,,,0.5,0,0.5,0,,,8.7,曇一時晴後時々雪、みぞれを伴う,曇時々雪後一時晴
2017/2/11,,,,0.0,0,0.0,0,,,7.0,晴後曇時々雪,晴一時曇
2017/2/12,,,,0.0,0,0.0,0,,,6.3,曇時々晴後一時雪、みぞれを伴う,晴一時曇
2017/2/13,,,,0.0,0,0.0,0,,,6.3,曇後時々晴一時雨、みぞれを伴う,晴後一時曇
2017/2/14,,,,0.0,0,0.0,0,,,6.3,曇一時雪後一時雨、あられを伴う,晴後曇
2017/2/15,,,,0,1,0,1,,,2.3,晴時々曇,快晴
2017/2/16,,,,0,1,0,1,,,5.7,晴後時々薄曇,曇一時晴
2017/2/17,,,,5.5,0,2.5,0,,,10.0,雨一時曇,曇
2017/2/18,,,,0.0,0,0.0,0,,,10.0,曇後時々晴,曇時々晴一時みぞれ
2017/2/19,,,,0.0,0,0.0,0,,,2.7,晴,晴時々曇
2017/2/20,,,,8.5,0,1.0,0,,,9.7,曇時々晴後雨,曇一時雨後一時雪、あられを伴う
2017/2/21,,,,0.0,0,0.0,0,,,9.0,曇時々晴一時雪、みぞれを伴う,晴一時曇
2017/2/22,,,,1.0,0,0.5,0,,,10.0,曇一時晴,雨一時曇
2017/2/23,,,,21.0,0,4.5,0,,,10.0,曇時々雨,曇時々晴
2017/2/24,,,,0.0,0,0.0,0,,,9.0,曇時々晴,晴後時々曇
2017/2/25,,,,0,1,0,1,,,5.3,晴後曇,曇時々晴
2017/2/26,,,,0.0,0,0.0,0,,,10.0,薄曇時々晴,曇後晴
2017/2/27,,,,0.0,0,0.0,0,,,2.0,晴,晴
2017/2/28,,,,0,1,0,1,,,1.0,晴,晴
2017/3/1,,,,1.5,0,1.0,0,,,10.0,曇後時々雨,曇後一時雨
2017/3/2,,,,4.0,0,1.0,0,,,9.3,曇時々雨後時々晴,雨時々曇後晴、雷を伴う
2017/3/3,,,,0.0,0,0.0,0,,,5.0,晴時々曇,晴後曇
2017/3/4,,,,0,1,0,1,,,6.7,薄曇時々晴,晴
2017/3/5,,,,0.0,0,0.0,0,,,10.0,薄曇,曇
2017/3/6,,,,1.0,0,1.0,0,,,9.7,曇後一時雨,曇
2017/3/7,,,,0.5,0,0.5,0,,,5.0,曇時々晴一時雨、あられを伴う,晴時々曇、みぞれを伴う
2017/3/8,,,,0.0,0,0.0,0,,,2.7,晴後一時曇,晴後一時曇
2017/3/9,,,,,0,,0,,0,4.7,晴一時曇,晴
