ダウンロードした時刻：2021/05/14 15:06:14

,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森,青森
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,1.8,4.4,-2.1,0.0,0,0.0,0,0.5,0,9.3,曇後一時みぞれ、あられを伴う,曇
2017/1/2,3.5,6.9,1.4,2.5,0,0.5,0,2.1,0,10.0,曇時々雨,雨時々みぞれ一時晴
2017/1/3,1.4,4.5,0.2,3.5,0,1.0,0,1.4,0,9.5,みぞれ時々曇,曇時々雪一時晴
2017/1/4,1.1,4.7,-0.5,1.0,0,1.0,0,2.3,0,9.5,曇時々雪一時晴、あられを伴う,曇時々晴
2017/1/5,0.5,3.5,-1.3,0.0,0,0.0,0,2.1,0,7.0,曇一時雪、あられを伴う,曇後一時晴
2017/1/6,-0.3,1.8,-3.9,0.0,0,0.0,0,0.9,0,7.8,曇一時雪,曇時々晴
2017/1/7,3.3,6.5,-0.3,0.0,0,0.0,0,4.0,0,6.0,曇時々晴一時雨、あられを伴う,曇一時晴
2017/1/8,2.2,5.7,-0.1,0,1,0,1,7.2,0,6.8,晴一時曇,曇
2017/1/9,2.2,5.8,-0.5,3.5,0,1.0,0,0.0,0,10.0,曇後雨,曇時々雨一時雪、あられを伴う
2017/1/10,-0.6,2.3,-3.5,6.0,0,0.5,0,0.2,0,9.3,雪時々曇,雪後一時曇、あられを伴う
2017/1/11,-4.6,-2.4,-6.0,3.0,0,0.5,0,0.0,0,10.0,雪後一時曇、ふぶきを伴う,雪、ふぶきを伴う
2017/1/12,-4.7,-3.7,-6.0,6.0,0,0.5,0,0.2,0,10.0,雪、ふぶきを伴う,雪
2017/1/13,-4.5,-2.4,-6.9,5.0,0,1.0,0,1.6,0,9.8,雪後一時曇,雪一時晴
2017/1/14,-6.0,-3.8,-7.7,11.0,0,1.0,0,0.0,0,9.3,雪,雪時々曇一時晴
2017/1/15,-3.2,-0.8,-8.1,4.0,0,1.0,0,4.2,0,8.0,曇時々雪一時晴、あられを伴う,曇時々雪後一時晴、あられを伴う
2017/1/16,0.3,3.8,-3.7,6.0,0,1.0,0,0.2,0,9.5,曇一時雪、あられを伴う,曇時々雪後一時晴
2017/1/17,0.2,3.0,-3.4,0.0,0,0.0,0,4.4,0,8.8,晴時々曇,曇時々雪一時晴
2017/1/18,0.8,4.0,-1.8,1.0,0,0.5,0,4.3,0,8.8,晴一時雪,雪時々曇一時晴、あられを伴う
2017/1/19,0.9,3.8,-2.3,5.0,0,1.0,0,4.4,0,7.5,晴時々曇一時雪、あられを伴う,雪時々曇一時晴
2017/1/20,-0.2,2.1,-3.2,0.0,0,0.0,0,6.2,0,7.5,曇時々晴一時雪,曇後一時雪
2017/1/21,-0.1,2.5,-4.3,0.0,0,0.0,0,1.3,0,10.0,曇時々雪一時晴,晴時々曇
2017/1/22,-0.7,3.4,-5.1,1.0,0,0.5,0,0.4,0,10.0,曇一時雪,曇一時雪
2017/1/23,-0.5,2.4,-3.5,0.5,0,0.5,0,2.1,0,8.3,曇一時雪後晴、あられを伴う,雪一時曇
2017/1/24,-3.7,-2.0,-4.6,3.5,0,0.5,0,1.2,0,10.0,雪時々曇,雪時々曇
2017/1/25,-2.1,0.3,-4.1,1.5,0,0.5,0,0.7,0,9.5,雪一時曇,雪後一時曇
2017/1/26,0.7,4.6,-2.3,1.0,0,0.5,0,3.0,0,6.3,雪時々曇一時晴、みぞれを伴う,晴後曇
2017/1/27,3.1,7.8,-2.7,7.0,0,1.0,0,1.6,0,9.8,曇時々雨一時みぞれ、あられを伴う,雪一時曇
2017/1/28,0.1,1.9,-2.7,1.5,0,0.5,0,0.5,0,10.0,雪一時曇、あられを伴う,曇後晴
2017/1/29,0.4,3.6,-3.6,1.5,0,0.5,0,3.0,0,7.3,曇時々雪一時晴,雪
2017/1/30,-0.4,0.8,-2.9,8.0,0,1.0,0,0.0,0,10.0,雪後一時曇,雪時々曇一時晴
2017/1/31,-2.0,0.1,-4.0,1.0,0,0.5,0,0.8,0,10.0,雪一時曇,曇時々雪一時晴
2017/2/1,-1.6,2.1,-6.1,5.5,0,0.5,0,1.7,0,9.8,曇一時晴後雪,雪
2017/2/2,-5.2,-3.7,-6.9,3.0,0,0.5,0,0.1,0,10.0,雪,雪
2017/2/3,-1.6,1.0,-4.7,1.5,0,0.5,0,0.1,0,9.8,雪後一時曇,曇一時雪
2017/2/4,2.0,5.6,-0.7,0.0,0,0.0,0,1.6,0,6.5,曇一時晴,晴
2017/2/5,2.7,6.8,-2.7,0.0,0,0.0,0,4.6,0,8.0,曇一時晴,曇一時晴後雨
2017/2/6,2.2,4.9,0.6,8.5,0,0.5,0,0.0,0,10.0,雨後みぞれ一時雪,曇時々雪一時みぞれ
2017/2/7,-0.6,1.9,-4.2,2.5,0,0.5,0,0.3,0,8.5,雪時々曇、あられを伴う,曇時々雪一時晴
2017/2/8,-1.1,0.5,-3.8,0.5,0,0.5,0,0.3,0,10.0,雪,雪時々曇一時晴
2017/2/9,1.3,3.7,-2.2,0.0,0,0.0,0,4.5,0,10.0,曇,曇後一時雪、みぞれを伴う
2017/2/10,1.5,4.0,-1.3,6.5,0,1.5,0,0.2,0,10.0,雪一時曇、みぞれを伴う,曇時々晴一時雪
2017/2/11,0.4,3.8,-4.1,0.5,0,0.5,0,9.4,0,7.0,曇時々晴,曇一時雪
2017/2/12,2.2,4.4,-0.6,0.0,0,0.0,0,0.3,0,10.0,雨後一時曇、みぞれを伴う,曇時々雪一時雨
2017/2/13,2.0,4.8,1.1,1.0,0,0.5,0,0.1,0,10.0,曇一時雪後みぞれ,曇時々雪、みぞれを伴う
2017/2/14,1.5,3.9,0.1,0.0,0,0.0,0,0.9,0,10.0,曇時々雪,曇時々雪
2017/2/15,1.3,3.7,-0.6,1.5,0,0.5,0,0.6,0,10.0,雪時々曇,曇時々晴
2017/2/16,6.2,9.1,0.7,0.0,0,0.0,0,4.2,0,9.3,曇一時晴,曇時々雨
2017/2/17,4.1,8.7,-1.2,17.5,0,1.0,0,0.0,0,10.0,雨一時雪、みぞれを伴う,雪一時曇、あられを伴う
2017/2/18,-3.9,-0.6,-5.1,9.0,0,1.0,0,0.7,0,10.0,大雪,雪、あられを伴う
2017/2/19,-4.1,-1.7,-5.6,5.5,0,0.5,0,1.1,0,8.5,雪,曇一時晴後一時雪
2017/2/20,-0.7,1.7,-4.8,24.0,0,2.0,0,0.0,0,10.0,雪後一時みぞれ,雪後曇一時晴、みぞれを伴う
2017/2/21,-2.1,-0.2,-3.7,0.0,0,0.0,0,2.6,0,9.0,雪時々曇一時晴、あられを伴う,雪時々曇
2017/2/22,0.6,2.7,-3.2,0.5,0,0.5,0,1.1,0,10.0,曇後一時雪,曇後一時雨
2017/2/23,1.9,3.8,0.3,3.5,0,0.5,0,0.0,0,10.0,雨一時みぞれ,雪時々曇一時雨、あられを伴う
2017/2/24,-0.9,1.0,-2.3,2.5,0,0.5,0,1.8,0,10.0,雪一時曇,雪後一時曇、あられを伴う
2017/2/25,0.0,3.9,-2.4,12.5,0,1.5,0,4.6,0,8.3,雪時々晴,雪後一時曇
2017/2/26,-0.2,3.8,-2.2,3.0,0,1.0,0,2.6,0,10.0,雪一時晴,雪後一時曇
2017/2/27,-1.8,1.4,-4.4,0.0,0,0.0,0,6.6,0,5.8,晴時々雪,晴一時曇
2017/2/28,-1.0,4.8,-7.0,0,1,0,1,10.0,0,2.5,晴一時曇,晴
2017/3/1,1.6,7.7,-5.4,0,1,0,1,8.3,0,5.5,晴後曇,曇後一時晴
2017/3/2,2.8,7.5,-2.9,0,1,0,1,8.8,0,5.5,晴後一時曇,曇一時晴
2017/3/3,1.9,3.8,-0.4,0.0,0,0.0,0,1.2,0,9.8,曇時々雪一時雨、みぞれを伴う,曇時々雪
2017/3/4,1.2,3.1,-0.3,1.0,0,0.5,0,0.6,0,8.8,雪時々曇一時みぞれ、あられを伴う,晴一時曇
2017/3/5,2.0,5.5,-1.6,0.0,0,0.0,0,7.0,0,6.8,晴時々曇,雪時々曇一時晴
2017/3/6,0.8,2.7,-0.5,13.0,0,1.0,0,0.0,0,10.0,曇後雪一時雨、みぞれを伴う,雪
2017/3/7,-1.9,0.6,-3.5,9.5,0,1.0,0,0.0,0,10.0,雪,雪一時晴、あられを伴う
2017/3/8,-1.4,1.0,-4.1,9.0,0,1.0,0,1.0,0,7.8,雪、あられを伴う,雪一時曇、あられを伴う
