ダウンロードした時刻：2021/05/14 15:19:53

,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山,和歌山
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.1,12.5,2.4,0,1,0,1,9.2,0,0.3,快晴,晴
2017/1/2,8.1,13.6,3.0,0.0,0,0.0,0,5.4,0,3.3,晴一時曇,曇時々晴
2017/1/3,9.4,14.3,5.8,0.0,0,0.0,0,5.7,0,2.5,晴一時曇,快晴
2017/1/4,8.6,14.4,3.7,0,1,0,1,7.8,0,3.5,晴,晴
2017/1/5,7.9,10.4,6.3,0,1,0,1,6.4,0,6.3,晴後薄曇,曇
2017/1/6,7.1,10.0,3.5,0,1,0,1,7.0,0,5.0,曇後晴,快晴
2017/1/7,6.4,11.5,0.7,0,1,0,1,7.5,0,5.0,晴後薄曇,曇
2017/1/8,7.0,8.0,6.2,30.0,0,1.0,0,0.0,0,10.0,雨,曇一時雨後時々晴
2017/1/9,9.0,12.1,4.9,0.0,0,0.0,0,2.5,0,5.5,晴時々曇一時雨,晴時々曇
2017/1/10,10.7,13.5,8.2,0,1,0,1,8.3,0,3.0,晴,晴後一時曇
2017/1/11,7.9,10.2,5.8,0.0,0,0.0,0,6.2,0,7.3,晴後時々曇一時雨,曇時々晴
2017/1/12,7.3,8.8,5.1,0.0,0,0.0,0,3.6,0,8.5,曇時々晴,曇一時雨
2017/1/13,7.4,9.3,5.1,0.0,0,0.0,0,5.5,0,6.3,晴一時曇,晴一時曇、みぞれを伴う
2017/1/14,4.3,7.3,0.0,0.0,0,0.0,0,4.8,0,5.5,晴後一時雪,雪後晴
2017/1/15,3.1,5.7,0.5,0.0,0,0.0,0,2.9,0,7.8,曇後晴,晴時々曇一時雪
2017/1/16,5.2,7.0,4.2,0.0,0,0.0,0,4.1,0,7.3,晴時々曇一時みぞれ,曇一時雨
2017/1/17,5.7,8.8,2.5,0.0,0,0.0,0,8.1,0,6.0,晴後一時曇,快晴
2017/1/18,5.7,11.2,0.5,0,1,0,1,9.0,0,7.3,晴後薄曇,曇後一時雨
2017/1/19,7.0,10.5,3.9,0.0,0,0.0,0,4.0,0,9.5,曇,曇時々晴
2017/1/20,5.8,11.2,2.1,0.5,0,0.5,0,3.6,0,10.0,曇時々晴一時雨、大風を伴う,曇後晴
2017/1/21,5.3,7.8,3.1,0.0,0,0.0,0,5.4,0,7.0,晴後一時曇,曇時々晴
2017/1/22,4.9,10.0,1.6,0.0,0,0.0,0,1.9,0,5.8,晴時々曇一時雨,晴一時曇
2017/1/23,2.6,5.6,0.7,1.0,0,0.5,0,2.0,0,7.5,晴後雪時々曇、あられを伴う,雪時々曇、雷・あられを伴う
2017/1/24,2.5,6.2,0.2,2.5,0,0.5,0,0.9,0,10.0,曇時々雪、あられを伴う,曇一時雪後晴
2017/1/25,3.1,7.4,-1.1,0.0,0,0.0,0,8.4,0,4.5,晴,晴一時曇
2017/1/26,3.8,9.6,-1.0,0,1,0,1,10.0,0,0.0,快晴,晴
2017/1/27,8.2,15.4,1.7,0.0,0,0.0,0,4.6,0,8.0,薄曇一時晴,曇後晴
2017/1/28,8.0,12.1,4.7,0,1,0,1,9.6,0,3.0,晴,晴時々薄曇
2017/1/29,8.4,13.3,3.1,0.0,0,0.0,0,2.5,0,10.0,曇一時晴,曇時々雨
2017/1/30,9.9,13.6,5.6,1.5,0,1.0,0,0.8,0,7.0,曇時々雨後晴、霧を伴う,晴
2017/1/31,4.5,7.2,2.0,0,1,0,1,5.8,0,3.0,晴一時曇,晴
2017/2/1,4.7,8.5,-0.2,0.0,0,0.0,0,2.2,0,8.0,曇時々晴,曇時々晴
2017/2/2,6.4,8.8,4.0,0.0,0,0.0,0,4.9,0,6.0,晴,晴後曇
2017/2/3,8.5,11.8,4.7,0,1,0,1,7.2,0,4.5,晴,快晴
2017/2/4,7.0,12.8,1.6,0,1,0,1,8.3,0,2.3,晴,晴後曇一時雨
2017/2/5,8.3,12.2,5.7,11.0,0,1.0,0,0.0,0,10.0,雨後曇,曇一時晴
2017/2/6,8.3,11.6,4.5,2.5,0,1.0,0,5.3,0,6.5,晴後一時雨,晴一時雨
2017/2/7,5.0,6.9,3.8,0.0,0,0.0,0,3.8,0,8.8,曇一時雨,曇時々晴
2017/2/8,5.4,8.0,3.1,0,1,0,1,6.0,0,6.3,晴一時曇,曇後一時雨
2017/2/9,4.6,6.6,3.1,10.0,0,0.5,0,0.1,0,8.3,雨時々曇,曇一時雨後一時みぞれ
2017/2/10,4.3,6.8,2.2,0.0,0,0.0,0,4.9,0,8.8,曇一時みぞれ後時々晴,晴時々曇
2017/2/11,4.1,7.3,2.2,0.0,0,0.0,0,4.2,0,5.8,晴,晴
2017/2/12,4.0,7.8,1.3,0.5,0,0.5,0,5.7,0,5.8,晴一時曇後一時みぞれ,晴一時雨
2017/2/13,4.7,9.0,0.3,0.0,0,0.0,0,4.9,0,5.5,晴,晴一時曇
2017/2/14,4.1,8.9,0.4,0.0,0,0.0,0,3.8,0,4.8,曇後時々晴,晴後一時曇
2017/2/15,5.5,9.9,1.9,0,1,0,1,8.8,0,4.5,晴,快晴
2017/2/16,8.5,14.2,1.0,0,1,0,1,9.0,0,4.8,晴後一時薄曇,薄曇
2017/2/17,12.9,17.1,8.6,0.5,0,0.5,0,0.0,0,10.0,曇一時雨,曇一時雨
2017/2/18,9.1,12.9,6.3,0.0,0,0.0,0,6.6,0,8.0,曇一時晴,曇時々晴一時雨
2017/2/19,7.1,10.8,3.7,0.0,0,0.0,0,10.4,0,3.0,晴,晴時々曇
2017/2/20,13.1,17.8,5.5,2.0,0,1.0,0,1.5,0,9.3,曇後一時雨、大風を伴う,曇時々晴
2017/2/21,4.9,8.2,3.0,0.0,0,0.0,0,5.0,0,5.0,晴一時曇,晴
2017/2/22,6.6,13.2,0.0,1.5,0,0.5,0,5.2,0,6.0,晴後曇,雨一時曇
2017/2/23,13.0,17.6,8.0,6.5,0,1.0,0,0.0,0,10.0,曇一時雨,曇後晴
2017/2/24,6.4,9.3,4.4,0,1,0,1,9.8,0,7.5,晴時々薄曇,晴一時曇
2017/2/25,6.3,10.5,1.9,0.0,0,0.0,0,10.5,0,3.5,晴,晴後時々曇
2017/2/26,7.4,11.4,2.6,0,1,0,1,8.3,0,7.8,薄曇,薄曇後晴
2017/2/27,6.9,10.2,4.3,0,1,0,1,11.0,0,1.8,快晴,快晴
2017/2/28,6.1,11.1,0.8,0,1,0,1,10.7,0,0.5,快晴,晴
2017/3/1,7.0,13.6,2.0,0.0,0,0.0,0,4.3,0,7.5,曇後一時雨,曇後一時雨
2017/3/2,9.6,14.6,7.0,1.5,0,1.0,0,2.7,0,10.0,曇一時雨,曇一時雨
2017/3/3,8.5,11.7,5.0,0.0,0,0.0,0,6.0,0,5.5,晴一時曇,晴後薄曇
2017/3/4,9.3,15.4,3.9,0,1,0,1,7.2,0,9.0,薄曇時々晴,晴
2017/3/5,10.4,16.0,5.4,0.0,0,0.0,0,5.7,0,8.0,曇一時晴,曇一時雨
2017/3/6,11.0,14.3,8.0,0.0,0,0.0,0,1.2,0,9.5,曇,曇一時晴
2017/3/7,7.0,9.5,4.4,0.0,0,0.0,0,4.8,0,7.0,曇時々晴後一時雨,晴一時曇
2017/3/8,5.9,9.8,1.9,0.0,0,0.0,0,8.3,0,3.5,晴,晴
2017/3/9,6.8,10.5,1.7,0.0,0,0.0,0,6.8,0,4.8,晴後一時曇,晴時々曇一時雨
