ダウンロードした時刻：2021/05/14 15:20:19

,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取,鳥取
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.0,13.6,3.0,0.0,0,0.0,0,6.5,0,3.8,晴一時曇,晴
2017/1/2,7.8,14.3,2.0,0.0,0,0.0,0,2.7,0,8.0,曇時々晴一時雨,曇一時雨
2017/1/3,8.6,12.5,6.1,0.5,0,0.5,0,1.4,0,9.3,曇時々晴一時雨,曇後晴
2017/1/4,7.9,13.5,4.0,0.0,0,0.0,0,0.8,0,7.3,曇後一時雨,曇一時雨
2017/1/5,7.3,9.5,6.3,0.0,0,0.0,0,2.8,0,8.5,曇一時晴後一時雨、あられを伴う,曇
2017/1/6,6.0,9.9,0.7,0,1,0,1,1.1,0,7.5,曇後時々晴,晴
2017/1/7,4.6,11.3,-0.8,0,1,0,1,6.6,0,5.0,晴後薄曇,薄曇
2017/1/8,5.7,7.8,3.4,1.5,0,0.5,0,0.0,0,10.0,雨一時曇,曇一時雨
2017/1/9,7.4,10.2,5.3,27.5,0,3.5,0,0.0,0,10.0,雨一時曇、雷・あられを伴う,雨一時曇、あられを伴う
2017/1/10,8.3,13.0,5.5,10.0,0,1.5,0,5.6,0,8.0,晴一時雨、あられを伴う,曇時々雨一時みぞれ、あられを伴う
2017/1/11,3.9,7.9,0.6,14.0,0,1.0,0,0.2,0,10.0,雨時々みぞれ一時曇、あられを伴う,みぞれ時々曇一時雨、あられを伴う
2017/1/12,4.7,8.0,1.8,1.0,0,0.5,0,1.2,0,10.0,曇時々雨、みぞれを伴う,晴時々曇一時雨、みぞれを伴う
2017/1/13,3.2,7.1,0.3,20.0,0,1.5,0,0.8,0,8.0,雪一時曇、雷・あられを伴う,雪一時曇、雷・あられを伴う
2017/1/14,0.7,2.7,-0.9,19.0,0,1.5,0,0.1,0,8.5,雪、あられを伴う,雪時々曇一時晴、あられを伴う
2017/1/15,1.9,4.6,-1.1,9.5,0,1.0,0,1.7,0,9.8,雪時々曇、あられを伴う,曇時々雪、あられを伴う
2017/1/16,3.7,6.0,1.1,5.5,0,1.0,0,2.0,0,9.3,曇時々雪、雷・あられを伴う,曇時々みぞれ、あられを伴う
2017/1/17,3.2,5.5,1.0,1.5,0,0.5,0,0.4,0,9.5,曇時々雨一時みぞれ、あられを伴う,曇後晴、みぞれを伴う
2017/1/18,3.6,8.8,-1.2,0.0,0,0.0,0,4.5,0,7.5,曇一時晴,曇
2017/1/19,3.9,8.5,-0.1,0.0,0,0.0,0,0.6,0,9.0,雨後曇,曇一時晴
2017/1/20,4.8,7.7,-0.2,6.0,0,1.5,0,3.4,0,8.3,曇時々雨後一時みぞれ、雷を伴う,雨時々みぞれ、大風・雷を伴う
2017/1/21,4.2,7.5,2.1,2.0,0,0.5,0,1.9,0,10.0,曇一時雨、みぞれを伴う,曇一時雨
2017/1/22,3.0,6.1,-0.2,8.5,0,0.5,0,1.5,0,10.0,雨後一時みぞれ,大雪、あられを伴う
2017/1/23,0.5,2.4,-0.5,54.0,0,3.0,0,0.0,0,10.0,大雪、雷を伴う,雪、あられを伴う
2017/1/24,1.2,3.1,-0.1,28.5,0,2.5,0,0.4,0,10.0,雪、あられを伴う,曇時々雪、あられを伴う
2017/1/25,1.1,4.6,-0.8,6.0,0,1.0,0,2.0,0,8.3,雪後晴一時雨、あられを伴う,晴
2017/1/26,2.9,8.8,-1.7,0,1,0,1,9.8,0,0.5,晴,晴後一時薄曇
2017/1/27,5.3,8.7,0.8,1.0,0,1.0,0,0.2,0,10.0,曇後一時雨,曇後晴
2017/1/28,3.1,9.6,-1.2,0,1,0,1,9.6,0,6.8,晴後一時薄曇,晴一時薄曇
2017/1/29,4.0,8.8,-0.3,8.5,0,1.0,0,1.3,0,9.0,曇後雨,雨時々曇
2017/1/30,6.5,9.9,3.5,24.0,0,1.5,0,0.1,0,10.0,雨、あられを伴う,曇一時雨後一時雪、みぞれを伴う
2017/1/31,3.4,6.8,-0.6,0.0,0,0.0,0,1.1,0,7.8,曇一時雪、あられを伴う,晴後薄曇
2017/2/1,3.6,8.8,-1.3,1.5,0,0.5,0,0.0,0,10.0,曇時々雨,曇一時雨後一時雪、みぞれを伴う
2017/2/2,5.1,8.4,2.2,3.0,0,0.5,0,1.3,0,9.0,雨一時雪後曇、あられを伴う,曇時々雨後一時晴
2017/2/3,7.0,11.9,2.6,1.0,0,0.5,0,4.2,0,7.0,曇時々晴一時雨、あられを伴う,曇一時雨
2017/2/4,6.3,13.9,1.2,0.0,0,0.0,0,9.3,0,3.0,晴,曇時々晴後一時雨
2017/2/5,7.8,11.4,3.5,8.5,0,1.0,0,0.0,0,10.0,雨後曇,雨、雷・あられを伴う
2017/2/6,4.2,7.5,1.0,57.5,0,2.0,0,0.0,0,10.0,大雨時々みぞれ、雷・あられを伴う,雨後曇時々雪、あられを伴う
2017/2/7,4.1,5.9,2.1,1.5,0,0.5,0,0.4,0,8.5,曇時々みぞれ一時雨、あられを伴う,曇
2017/2/8,4.1,8.0,1.7,0.0,0,0.0,0,2.0,0,10.0,曇時々雨,曇後雨
2017/2/9,4.9,7.9,1.4,1.5,0,1.0,0,1.5,0,8.3,雨時々曇,曇一時晴後雪、雷・あられを伴う
2017/2/10,0.4,2.4,-1.1,69.0,0,2.0,0,0.6,0,10.0,大雪、雷・あられを伴う,大雪、あられを伴う
2017/2/11,0.0,0.9,-1.0,44.0,0,1.5,0,0.0,0,10.0,大雪、雷・あられを伴う,雪時々曇、雷・あられを伴う
2017/2/12,1.0,4.6,-0.5,28.5,0,3.0,0,4.0,0,10.0,曇時々雪、あられを伴う,雪、あられを伴う
2017/2/13,1.1,2.9,0.3,22.5,0,1.5,0,0.4,0,10.0,雪後一時曇、あられを伴う,みぞれ後雪一時曇
2017/2/14,1.8,4.6,0.4,12.0,0,1.5,0,1.9,0,9.0,雪時々曇、あられを伴う,曇時々みぞれ、あられを伴う
2017/2/15,3.3,9.2,0.0,0.0,0,0.0,0,5.1,0,5.8,曇後晴,快晴
2017/2/16,6.7,14.4,0.3,0,1,0,1,8.5,0,5.0,晴後一時薄曇,曇後一時雨
2017/2/17,8.9,12.4,4.0,5.5,0,1.0,0,0.0,0,10.0,雨時々曇,雨一時曇
2017/2/18,4.6,10.5,1.0,3.5,0,1.0,0,3.2,0,8.0,曇後一時雨,みぞれ時々雨一時曇
2017/2/19,4.7,10.5,0.8,3.5,0,1.0,0,8.2,0,8.8,曇一時雨後一時晴、みぞれを伴う,曇
2017/2/20,8.4,11.7,3.7,9.0,0,1.0,0,1.1,0,10.0,雨時々曇,雪時々曇一時雨、みぞれを伴う
2017/2/21,3.5,6.2,0.9,0.0,0,0.0,0,1.8,0,9.3,曇一時雪後一時晴、あられを伴う,晴
2017/2/22,5.6,11.7,-1.9,6.0,0,1.0,0,3.8,0,7.5,曇後時々雨,雨
2017/2/23,9.0,13.3,4.2,22.5,0,2.0,0,0.1,0,10.0,雨,雨時々曇後一時雪、あられを伴う
2017/2/24,5.2,8.9,2.6,0.5,0,0.5,0,8.3,0,6.5,晴一時雨、あられを伴う,曇時々雨、みぞれを伴う
2017/2/25,4.8,9.4,1.8,0.0,0,0.0,0,3.6,0,6.8,曇時々晴一時雨,晴
2017/2/26,4.8,10.7,-0.2,5.5,0,1.5,0,4.0,0,8.5,曇後一時雨,雨後一時曇、あられを伴う
2017/2/27,4.8,8.1,0.5,0.0,0,0.0,0,1.5,0,9.0,曇一時晴,曇一時晴
2017/2/28,3.8,10.1,-0.3,0.0,0,0.0,0,4.2,0,5.3,曇後時々晴,晴後一時薄曇
2017/3/1,5.9,13.2,-1.3,0,1,0,1,4.6,0,5.0,曇,晴後一時薄曇
2017/3/2,8.0,13.8,2.0,6.5,0,1.5,0,3.2,0,8.0,曇後時々雨,雨時々曇、あられを伴う
2017/3/3,7.0,10.2,1.7,0.5,0,0.5,0,3.5,0,6.0,曇後時々晴,晴後薄曇
2017/3/4,7.0,15.2,0.5,0,1,0,1,9.7,0,6.8,晴時々薄曇,晴
2017/3/5,7.7,14.9,1.7,0,1,0,1,5.7,0,6.0,曇一時晴,薄曇時々晴
2017/3/6,6.8,12.8,3.6,13.0,0,1.5,0,0.1,0,10.0,曇後雨,雨後雪、あられを伴う
2017/3/7,1.9,6.9,0.4,24.0,0,2.5,0,1.7,0,9.8,みぞれ後雪一時曇、あられを伴う,曇時々雪、あられを伴う
