ダウンロードした時刻：2021/05/14 15:20:46

,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江,松江
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.1,13.0,3.0,0,1,0,1,5.5,0,5.5,晴時々曇,晴一時薄曇
2017/1/2,7.2,12.6,1.7,0.5,0,0.5,0,1.1,0,9.0,曇時々晴一時雨,晴後一時曇
2017/1/3,10.1,14.3,7.1,0.0,0,0.0,0,4.1,0,8.5,曇時々晴,晴一時曇
2017/1/4,9.4,14.0,4.7,0.5,0,0.5,0,4.7,0,5.5,晴後一時曇,曇時々雨
2017/1/5,7.2,8.4,6.1,0.0,0,0.0,0,0.4,0,10.0,曇時々雨,曇
2017/1/6,6.4,9.4,1.4,0,1,0,1,2.1,0,7.5,曇一時晴,快晴
2017/1/7,5.2,10.3,-1.2,0,1,0,1,5.6,0,5.8,曇一時晴,曇
2017/1/8,7.4,9.1,6.5,6.5,0,1.0,0,0.0,0,10.0,雨一時曇,曇時々雨後一時晴
2017/1/9,8.3,12.3,5.6,10.0,0,3.0,0,0.9,0,9.0,曇時々雨一時晴、雷・あられを伴う,曇時々晴
2017/1/10,7.4,11.5,3.7,0.0,0,0.0,0,3.7,0,5.3,晴,曇時々雨
2017/1/11,5.9,8.1,4.1,0.0,0,0.0,0,0.1,0,9.3,雨時々曇、あられを伴う,曇一時晴、みぞれを伴う
2017/1/12,6.6,8.6,4.1,0.5,0,0.5,0,2.9,0,9.5,曇時々雨一時晴、みぞれを伴う,曇時々晴一時雨、あられを伴う
2017/1/13,4.2,7.3,1.1,4.0,0,0.5,0,0.8,0,9.0,曇時々雪一時みぞれ、あられを伴う,雪時々曇、あられを伴う
2017/1/14,0.9,4.6,-2.0,15.0,0,1.5,0,1.6,0,10.0,雪時々曇、大風・雷を伴う,雪時々曇、あられを伴う
2017/1/15,1.8,5.9,-1.7,10.0,0,1.5,0,2.3,0,8.8,晴時々雪一時曇、あられを伴う,雪一時曇、雷・あられを伴う
2017/1/16,3.3,7.0,1.0,7.0,0,1.5,0,3.6,0,8.8,曇時々晴一時みぞれ、あられを伴う,晴時々みぞれ一時雨、雷を伴う
2017/1/17,3.3,7.4,0.5,1.5,0,0.5,0,4.8,0,10.0,晴時々曇一時雨、あられを伴う,曇時々晴一時霧
2017/1/18,3.4,8.4,-1.1,0.0,0,0.0,0,1.4,0,8.0,曇、霧を伴う,曇
2017/1/19,5.2,9.4,2.0,0.0,0,0.0,0,4.5,0,6.5,曇時々晴,晴後曇時々雨
2017/1/20,4.2,6.2,1.4,16.5,0,2.0,0,0.7,0,10.0,雨時々曇、雷・あられを伴う,曇一時雨、雷・あられを伴う
2017/1/21,4.7,8.3,1.5,1.0,0,1.0,0,3.9,0,9.0,曇時々晴,雨時々曇
2017/1/22,3.0,5.1,-0.1,5.5,0,1.0,0,0.2,0,10.0,曇時々雨、雷・あられを伴う,雪時々曇一時あられ
2017/1/23,0.2,1.0,-0.7,45.0,0,3.0,0,0.1,0,10.0,雪一時あられ、雷を伴う,雪時々曇一時あられ
2017/1/24,0.9,2.9,-0.1,24.5,0,1.5,0,0.9,0,9.8,雪一時曇、あられを伴う,曇
2017/1/25,1.4,5.2,-1.6,0.0,0,0.0,0,3.9,0,6.5,曇時々晴,晴一時曇
2017/1/26,2.3,9.1,-2.4,0,1,0,1,8.9,0,5.5,晴,薄曇時々晴
2017/1/27,4.9,8.8,-0.5,5.0,0,2.5,0,1.5,0,8.5,曇時々雨一時晴、あられを伴う,晴
2017/1/28,2.9,10.2,-2.4,0,1,0,1,9.6,0,6.0,晴後時々薄曇,曇時々晴
2017/1/29,3.3,6.9,-0.8,12.0,0,2.0,0,0.4,0,9.5,曇後雨,雨時々曇
2017/1/30,6.3,9.8,3.7,21.5,0,1.5,0,0.1,0,10.0,雨時々曇、あられを伴う,曇時々雨後一時雪、みぞれを伴う
2017/1/31,2.9,6.2,-1.0,0.0,0,0.0,0,0.9,0,7.5,曇一時晴,晴一時曇
2017/2/1,3.5,9.4,-1.4,1.0,0,0.5,0,0.6,0,10.0,雨時々曇、あられを伴う,雨時々曇、あられを伴う
2017/2/2,6.2,9.6,3.2,0.0,0,0.0,0,5.4,0,8.0,曇時々雨後晴、あられを伴う,晴
2017/2/3,7.5,11.8,2.4,0,1,0,1,2.7,0,6.3,晴,晴
2017/2/4,6.5,14.6,-0.5,0,1,0,1,10.0,0,0.8,快晴,晴後雨一時曇
2017/2/5,7.1,9.1,5.8,19.5,0,2.0,0,0.0,0,10.0,雨時々曇,雨後曇一時晴、雷を伴う
2017/2/6,5.5,8.2,1.8,21.0,0,2.5,0,0.0,0,9.8,雨時々曇一時あられ,曇時々雨、あられを伴う
2017/2/7,5.0,7.3,1.1,0.0,0,0.0,0,2.0,0,10.0,曇,曇
2017/2/8,4.7,9.8,-0.2,0.0,0,0.0,0,7.4,0,9.3,曇一時晴,雨
2017/2/9,4.0,6.8,0.9,15.0,0,1.5,0,0.9,0,10.0,雨一時晴、あられを伴う,雪一時曇、大風を伴う
2017/2/10,1.3,3.8,-0.8,25.0,0,2.0,0,5.3,0,8.0,曇時々雪一時晴、あられを伴う,雪時々あられ、雷を伴う
2017/2/11,0.5,2.0,-0.5,15.5,0,1.5,0,0.2,0,10.0,雪時々あられ、雷を伴う,雪時々曇一時あられ、雷を伴う
2017/2/12,1.2,3.8,-0.5,8.0,0,2.0,0,4.0,0,8.8,曇時々雪一時雨、あられを伴う,曇一時雪、あられを伴う
2017/2/13,1.8,5.8,-0.7,2.0,0,0.5,0,3.4,0,7.8,曇時々雨一時みぞれ,曇一時雨、みぞれを伴う
2017/2/14,3.6,6.9,-0.8,3.0,0,1.0,0,4.6,0,9.5,晴時々曇一時雨、みぞれを伴う,曇一時晴
2017/2/15,4.6,10.4,0.3,0,1,0,1,6.9,0,5.0,曇後晴,快晴
2017/2/16,7.2,14.3,-0.1,0,1,0,1,8.1,0,5.0,晴後薄曇,曇後時々雨
2017/2/17,10.4,13.2,7.2,9.5,0,1.5,0,0.0,0,10.0,雨一時曇,曇時々雨
2017/2/18,6.0,10.7,1.7,7.5,0,1.0,0,2.8,0,10.0,曇時々雨一時晴、あられを伴う,雨一時曇
2017/2/19,5.8,10.9,1.2,1.0,0,0.5,0,6.6,0,8.5,晴時々曇,曇一時雨
2017/2/20,8.0,12.7,2.9,41.0,0,3.5,0,0.3,0,8.5,大雨時々曇,曇時々雨
2017/2/21,4.2,7.6,0.4,0.0,0,0.0,0,4.4,0,7.8,晴時々曇,晴時々曇
2017/2/22,6.1,12.9,-0.8,8.0,0,1.0,0,2.1,0,9.8,曇時々雨,雨
2017/2/23,8.1,12.2,4.9,16.0,0,1.5,0,0.0,0,10.0,雨,雨時々曇一時みぞれ、あられを伴う
2017/2/24,4.9,10.3,1.7,3.0,0,1.0,0,5.6,0,9.3,曇一時雨、あられを伴う,曇一時雨
2017/2/25,4.7,8.6,1.6,0.0,0,0.5,0,1.3,0,9.8,雨時々曇,晴時々曇
2017/2/26,5.0,11.6,-0.8,3.0,0,1.0,0,2.8,0,7.5,曇一時晴,雨時々曇、みぞれを伴う
2017/2/27,5.8,9.0,1.6,0.5,0,0.5,0,8.1,0,9.3,曇後一時晴,晴後曇
2017/2/28,4.8,11.3,0.4,0,1,0,1,8.4,0,4.0,晴,晴後一時薄曇
2017/3/1,5.4,12.3,-0.4,0,1,0,1,4.3,0,6.0,曇,晴後時々曇
2017/3/2,6.5,10.9,1.4,12.0,0,2.0,0,0.9,0,8.5,雨時々曇,曇時々雨一時晴、あられを伴う
2017/3/3,7.2,11.6,2.9,0.5,0,0.5,0,5.5,0,5.8,雨一時曇後晴,晴
2017/3/4,7.8,15.9,1.5,0,1,0,1,10.0,0,7.0,薄曇時々晴,晴
2017/3/5,8.2,14.1,2.6,0,1,0,1,4.9,0,7.3,曇,晴後薄曇
2017/3/6,7.4,10.9,4.3,0.0,0,0.0,0,0.5,0,9.8,曇時々雨一時晴,雨時々曇一時晴、あられを伴う
2017/3/7,3.6,7.5,1.0,11.0,0,2.0,0,3.8,0,8.5,曇時々雪、あられを伴う,曇時々晴一時雪
2017/3/8,3.3,7.2,0.7,0.5,0,0.5,0,2.9,0,9.5,雪時々曇,曇時々みぞれ一時雪
2017/3/9,5.4,8.8,1.9,0.5,0,0.5,0,1.7,0,8.0,曇後一時晴、みぞれを伴う,曇時々雨一時晴
