ダウンロードした時刻：2021/05/14 15:21:10

,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山,岡山
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.0,13.6,0.0,0,1,0,1,9.2,0,0.3,晴,晴後一時薄曇
2017/1/2,6.4,12.6,0.5,0,1,0,1,3.6,0,6.3,曇後一時晴,快晴
2017/1/3,8.1,14.8,3.0,0,1,0,1,7.1,0,3.0,晴,快晴
2017/1/4,7.8,15.4,0.7,0,1,0,1,7.0,0,3.0,晴,晴後時々曇
2017/1/5,7.4,10.4,4.7,0,1,0,1,4.6,0,10.0,曇,曇
2017/1/6,5.9,10.7,2.2,0,1,0,1,7.5,0,3.7,曇後晴,快晴
2017/1/7,5.1,10.4,-0.7,0,1,0,1,6.1,0,7.0,晴後薄曇,曇後時々雨
2017/1/8,6.5,7.4,5.3,7.0,0,0.5,0,0.0,0,10.0,雨,曇
2017/1/9,7.9,12.5,4.5,0.0,0,0.0,0,1.8,0,7.7,曇時々雨一時晴,晴時々曇
2017/1/10,7.5,13.6,1.8,0,1,0,1,7.8,0,2.3,晴,晴時々曇
2017/1/11,5.8,10.6,2.2,0.0,0,0.0,0,8.7,0,3.3,晴,晴後時々曇
2017/1/12,5.1,9.5,0.9,0.0,0,0.0,0,4.6,0,7.7,曇時々晴,曇後一時雨
2017/1/13,4.4,8.0,1.4,0.0,0,0.0,0,6.6,0,3.3,晴一時曇、みぞれを伴う,晴一時曇
2017/1/14,1.9,6.3,-1.6,0.0,0,0.0,0,7.2,0,4.3,晴,晴
2017/1/15,0.6,5.1,-3.2,0.0,0,0.0,0,6.9,0,4.0,晴時々曇一時雪,晴一時曇
2017/1/16,2.4,6.7,-1.2,0.0,0,0.0,0,7.1,0,2.0,晴、あられを伴う,晴一時雪
2017/1/17,3.5,9.1,-1.5,0,1,0,1,5.8,0,7.0,晴後時々曇,晴一時薄曇
2017/1/18,4.0,10.1,-1.8,0,1,0,1,8.9,0,9.3,薄曇時々晴,曇
2017/1/19,6.7,10.7,3.8,0,1,0,1,4.3,0,7.7,曇一時晴,曇時々晴、みぞれを伴う
2017/1/20,3.5,8.6,0.8,8.5,0,1.0,0,2.2,0,10.0,曇時々みぞれ、あられを伴う,みぞれ後晴
2017/1/21,4.0,8.3,0.5,0.0,0,0.0,0,6.8,0,6.0,晴後時々曇,曇
2017/1/22,3.0,9.5,-0.2,0.5,0,0.5,0,4.4,0,2.7,晴時々曇,快晴
2017/1/23,1.5,5.5,-2.1,0,1,0,1,5.7,0,6.0,晴時々曇,曇一時晴
2017/1/24,2.3,7.4,-2.0,0.0,0,0.0,0,6.4,0,6.0,晴時々曇,曇後晴、みぞれを伴う
2017/1/25,2.1,8.9,-3.0,0,1,0,1,6.2,0,2.7,晴,快晴
2017/1/26,2.7,10.1,-2.9,0,1,0,1,9.9,0,3.3,快晴,薄曇一時晴
2017/1/27,5.2,12.7,-1.0,0.0,0,0.0,0,3.7,0,7.3,曇後時々雨,晴一時曇
2017/1/28,5.2,11.7,-0.5,0,1,0,1,9.6,0,7.0,晴後一時薄曇,晴時々曇
2017/1/29,5.2,8.7,0.6,9.5,0,1.5,0,0.4,0,10.0,曇後雨,雨後曇
2017/1/30,7.8,13.9,4.2,1.0,0,0.5,0,2.9,0,7.0,曇時々雨一時晴,晴一時みぞれ
2017/1/31,3.2,7.0,-0.4,0.0,0,0.0,0,3.4,0,6.7,曇時々晴,晴後一時曇
2017/2/1,3.2,10.3,-1.9,0.0,0,0.0,0,1.6,0,8.3,曇一時晴,曇後晴
2017/2/2,4.8,11.1,-0.4,0,1,0,1,7.1,0,1.3,晴一時曇,晴後曇
2017/2/3,7.0,13.6,2.2,0,1,0,1,8.0,0,2.0,晴,快晴
2017/2/4,6.0,13.9,-1.0,0,1,0,1,9.9,0,3.0,晴,晴後曇時々雨
2017/2/5,6.4,8.1,5.0,8.5,0,1.0,0,0.0,0,10.0,雨時々曇,曇後晴
2017/2/6,6.6,11.0,2.9,0.5,0,0.5,0,6.7,0,4.0,晴後曇一時雨,晴後一時曇
2017/2/7,3.9,7.8,0.2,0.0,0,0.0,0,4.4,0,7.0,曇一時晴,曇時々晴
2017/2/8,5.1,10.2,0.8,0.0,0,0.0,0,5.9,0,9.3,晴後曇,曇後雨
2017/2/9,4.5,10.3,1.7,2.5,0,0.5,0,2.6,0,6.3,雨時々曇後晴,　晴時々曇一時雪
2017/2/10,2.0,6.4,-0.6,0.0,0,0.0,0,6.9,0,6.7,曇時々晴一時雪,晴
2017/2/11,1.3,7.2,-2.6,0.0,0,0.0,0,6.6,0,3.7,晴時々曇,快晴
2017/2/12,2.1,8.8,-2.7,0.0,0,0.0,0,7.5,0,3.0,晴一時曇,快晴
2017/2/13,3.5,10.2,-2.5,0.0,0,0.0,0,8.7,0,3.0,晴,晴後一時曇
2017/2/14,3.5,9.9,-1.3,0.0,0,0.0,0,6.3,0,3.7,晴時々曇,晴
2017/2/15,4.7,11.8,-1.7,0,1,0,1,10.4,0,0.0,晴,快晴
2017/2/16,5.8,13.6,-1.1,0,1,0,1,8.6,0,5.3,晴後薄曇,曇時々晴
2017/2/17,7.3,12.6,3.7,2.0,0,1.0,0,0.0,0,10.0,雨時々曇,曇
2017/2/18,7.3,13.6,3.6,0.0,0,0.0,0,3.5,0,9.0,曇後晴,晴時々曇
2017/2/19,6.0,11.7,0.0,0.0,0,0.0,0,9.8,0,2.3,晴,晴後曇
2017/2/20,6.2,10.7,3.0,5.5,0,2.0,0,0.0,0,8.3,曇時々雨,曇時々雨一時晴
2017/2/21,4.3,8.1,0.4,0.0,0,0.0,0,8.8,0,1.0,晴,快晴
2017/2/22,4.2,9.0,-1.9,2.0,0,0.5,0,3.9,0,10.0,曇一時晴,雨
2017/2/23,9.9,14.7,6.0,10.0,0,1.5,0,2.0,0,9.7,曇一時雨,曇後晴
2017/2/24,5.9,10.2,1.4,0,1,0,1,8.3,0,6.7,曇時々晴,晴
2017/2/25,6.2,12.5,-0.4,0.0,0,0.0,0,8.1,0,9.7,曇時々晴,曇時々晴
2017/2/26,6.7,11.7,0.5,0.0,0,0.0,0,4.8,0,10.0,曇,曇一時晴
2017/2/27,6.4,11.7,1.7,0.0,0,0.0,0,8.7,0,4.7,晴時々曇,晴
2017/2/28,4.8,11.9,-1.0,0,1,0,1,10.9,0,0.3,晴,晴後一時薄曇
2017/3/1,5.6,11.4,0.3,0,1,0,1,5.5,0,6.7,薄曇後一時晴,晴後一時曇
2017/3/2,7.6,13.9,2.8,0.5,0,0.5,0,4.0,0,10.0,曇一時雨,雨一時曇後晴
2017/3/3,7.4,13.0,2.9,0.0,0,0.0,0,6.0,0,6.7,曇時々晴,晴後薄曇
2017/3/4,7.8,16.6,1.7,0,1,0,1,9.6,0,6.3,薄曇後一時晴,晴
2017/3/5,8.6,14.7,2.3,0,1,0,1,4.5,0,10.0,曇,曇一時晴
2017/3/6,8.7,16.4,4.5,0.0,0,0.0,0,3.2,0,7.0,薄曇後時々晴,晴
2017/3/7,5.7,10.9,0.3,0.0,0,0.0,0,7.1,0,3.3,晴時々曇,快晴
2017/3/8,4.0,10.3,-1.0,0.0,0,0.0,0,8.7,0,2.7,晴後時々曇,晴後一時曇
2017/3/9,5.1,12.1,-0.9,0.0,0,0.0,0,5.7,0,2.7,晴時々曇,晴
