ダウンロードした時刻：2021/05/14 15:21:32

,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島,広島
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.5,12.5,1.8,0,1,0,1,9.3,0,1.5,晴一時薄曇,晴
2017/1/2,6.7,12.9,2.8,0,1,0,1,3.9,0,3.0,晴一時曇,晴
2017/1/3,7.9,14.8,3.3,0,1,0,1,9.1,0,0.8,晴,快晴
2017/1/4,7.5,14.7,2.1,0,1,0,1,8.6,0,4.0,晴一時薄曇,晴後一時曇
2017/1/5,7.6,10.7,5.4,0.0,0,0.0,0,3.5,0,8.5,晴後曇,曇
2017/1/6,7.5,12.7,4.6,0,1,0,1,7.7,0,5.0,曇後晴,快晴
2017/1/7,6.4,9.9,2.4,0.0,0,0.0,0,0.7,0,7.0,晴後曇,曇後雨
2017/1/8,8.3,10.5,6.7,13.0,0,0.5,0,0.2,0,10.0,雨後時々曇,曇一時晴
2017/1/9,8.4,11.7,6.4,1.0,0,0.5,0,2.2,0,9.3,曇時々雨後晴,曇後晴
2017/1/10,7.5,14.0,3.7,0,1,0,1,9.1,0,2.8,晴,晴後時々曇
2017/1/11,5.7,9.8,3.0,0,1,0,1,7.1,0,5.3,晴,晴一時曇
2017/1/12,6.3,9.6,2.9,0.0,0,0.0,0,3.9,0,6.5,晴一時曇,曇時々晴一時雨
2017/1/13,5.5,7.7,1.5,4.0,0,1.0,0,1.7,0,7.0,曇一時晴,晴時々雪
2017/1/14,1.7,5.2,-1.7,0.5,0,0.5,0,4.0,0,7.5,雪,雪
2017/1/15,0.7,3.5,-1.6,11.5,0,1.0,0,2.7,0,6.8,大雪一時曇,晴一時雪
2017/1/16,2.2,6.2,-0.6,0.5,0,0.5,0,5.0,0,3.8,晴時々雪一時雨,晴
2017/1/17,3.6,8.4,-0.4,0,1,0,1,5.6,0,5.5,晴後曇,曇後晴
2017/1/18,5.1,11.0,0.9,0,1,0,1,7.9,0,6.8,薄曇時々晴,曇
2017/1/19,6.6,11.9,3.0,0,1,0,1,5.1,0,8.0,薄曇一時晴,曇後時々雨
2017/1/20,4.0,9.6,1.4,5.5,0,1.0,0,3.6,0,9.5,晴一時みぞれ,みぞれ後一時晴
2017/1/21,4.2,8.1,1.3,1.5,0,1.0,0,4.2,0,7.5,晴後曇,曇
2017/1/22,4.7,8.6,1.9,0.0,0,0.0,0,3.9,0,7.8,曇一時雨、みぞれを伴う,曇後晴
2017/1/23,2.3,5.7,0.0,0.0,0,0.0,0,7.4,0,4.0,晴,晴
2017/1/24,2.1,6.9,-0.8,0.0,0,0.0,0,6.0,0,4.5,晴一時雪,曇一時雪
2017/1/25,4.1,8.6,1.4,0.0,0,0.0,0,5.2,0,6.5,晴一時曇,晴
2017/1/26,4.2,9.9,-0.4,0,1,0,1,9.9,0,2.5,快晴,晴一時薄曇
2017/1/27,6.4,12.1,1.0,0.0,0,0.0,0,2.9,0,5.8,曇一時晴,晴一時曇
2017/1/28,6.4,12.9,1.5,0,1,0,1,9.8,0,5.0,晴,晴一時曇
2017/1/29,5.6,7.3,3.1,13.5,0,1.5,0,0.1,0,8.0,曇後雨,曇時々雨、霧を伴う
2017/1/30,8.1,13.6,5.2,1.0,0,0.5,0,2.1,0,9.8,曇時々雨一時晴,曇時々雨
2017/1/31,5.7,10.0,2.8,0.0,0,0.0,0,8.7,0,4.3,晴,晴時々曇
2017/2/1,5.1,11.2,1.3,0.0,0,0.0,0,3.1,0,6.0,曇後晴,晴一時曇
2017/2/2,5.9,12.2,1.1,0.0,0,0.0,0,8.3,0,2.8,晴一時曇,快晴
2017/2/3,6.4,13.3,0.8,0,1,0,1,10.0,0,0.0,快晴,晴
2017/2/4,7.2,12.5,2.2,0,1,0,1,6.7,0,4.8,晴時々曇,曇後雨
2017/2/5,7.7,9.9,6.2,15.5,0,1.0,0,0.0,0,8.0,雨後曇,雨時々曇
2017/2/6,6.3,10.4,3.8,2.0,0,0.5,0,3.5,0,7.5,雨時々曇一時晴、みぞれを伴う,雨時々曇
2017/2/7,5.3,9.5,3.0,0.0,0,0.0,0,2.8,0,8.0,曇一時雨,薄曇後晴
2017/2/8,4.7,8.6,0.8,0.0,0,0.0,0,2.6,0,6.5,晴後曇一時雨,雨
2017/2/9,5.4,10.3,2.4,4.0,0,0.5,0,2.7,0,9.3,曇一時雨後晴,曇後晴
2017/2/10,2.1,5.3,-0.2,0.0,0,0.0,0,5.1,0,5.0,曇一時雪,晴後一時曇
2017/2/11,1.7,6.5,-1.2,0.0,0,0.0,0,6.4,0,4.8,晴一時曇,晴後一時雪
2017/2/12,2.9,8.4,-0.5,0.0,0,0.0,0,6.0,0,4.8,晴時々曇,晴後一時曇
2017/2/13,4.8,11.7,0.0,0.0,0,0.0,0,8.6,0,2.0,晴,晴後時々曇一時雪、みぞれを伴う
2017/2/14,4.1,9.3,1.4,1.0,0,0.5,0,3.8,0,8.3,曇時々雨、みぞれを伴う,晴
2017/2/15,5.2,10.8,0.2,0,1,0,1,10.4,0,0.3,晴,快晴
2017/2/16,7.6,15.0,1.1,0,1,0,1,10.0,0,3.5,晴後薄曇,曇一時晴後雨
2017/2/17,10.3,15.0,6.9,3.0,0,1.0,0,1.1,0,9.0,雨後時々曇,晴一時曇
2017/2/18,8.9,14.5,5.8,0.0,0,0.0,0,7.7,0,7.0,曇後晴,曇後一時雨
2017/2/19,7.3,11.3,3.4,0.0,0,0.0,0,10.4,0,5.3,晴,　晴後一時雨
2017/2/20,8.7,12.8,5.2,11.5,0,3.0,0,0.4,0,8.8,雨後一時曇,曇時々雨
2017/2/21,6.1,10.8,3.3,0.0,0,0.0,0,8.6,0,4.3,晴一時曇,晴
2017/2/22,4.9,9.8,0.8,17.0,0,1.5,0,2.2,0,8.3,曇後雨,雨後一時曇
2017/2/23,8.9,13.4,5.9,12.0,0,1.5,0,2.0,0,9.3,曇時々雨,曇時々雨一時晴
2017/2/24,6.4,10.6,4.0,0.0,0,0.0,0,5.4,0,5.8,曇時々晴一時雨,晴
2017/2/25,5.9,11.3,0.9,0,1,0,1,9.7,0,4.5,晴,晴
2017/2/26,6.5,11.7,1.6,0.0,0,0.0,0,1.6,0,7.5,曇,晴一時薄曇
2017/2/27,7.6,14.3,2.9,0,1,0,1,8.5,0,4.5,晴一時曇,快晴
2017/2/28,6.8,14.7,1.8,0,1,0,1,11.0,0,0.5,晴,晴
2017/3/1,6.8,12.4,2.6,0,1,0,1,2.1,0,6.8,曇,晴時々曇後一時雨
2017/3/2,6.5,10.4,4.1,12.5,0,2.0,0,0.3,0,9.5,雨一時曇、雷を伴う,晴時々曇一時雨
2017/3/3,7.7,13.1,4.3,0.0,0,0.0,0,3.9,0,6.8,晴一時曇,晴後薄曇
2017/3/4,9.2,15.3,4.2,0,1,0,1,8.1,0,5.8,薄曇時々晴,晴
2017/3/5,8.5,12.6,4.6,0,1,0,1,3.1,0,8.0,曇一時晴,薄曇一時晴
2017/3/6,8.3,14.3,5.2,0,1,0,1,4.8,0,8.0,曇後一時晴,晴後曇一時雨
2017/3/7,6.0,9.6,2.0,0.0,0,0.0,0,6.6,0,4.5,晴時々曇,晴後一時曇
2017/3/8,4.7,8.8,1.6,0.0,0,0.0,0,2.8,0,6.0,晴後一時雨,晴後時々曇
2017/3/9,6.2,11.7,1.5,0.0,0,0.0,0,6.6,0,5.3,晴時々曇一時雨,晴
