ダウンロードした時刻：2021/05/14 15:21:54

,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口,山口
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,5.6,13.4,-0.1,0,1,0,1,7.4,0,,,
2017/1/2,5.0,9.5,0.9,0.0,0,0.0,0,1.4,0,,,
2017/1/3,6.0,13.6,1.4,0,1,0,1,6.8,0,,,
2017/1/4,6.1,15.1,0.0,0,1,0,1,8.4,0,,,
2017/1/5,6.6,11.6,2.1,0.0,0,0.0,0,2.2,0,,,
2017/1/6,6.2,12.6,1.7,0,1,0,1,8.2,0,,,
2017/1/7,5.4,10.4,-0.6,1.0,0,0.5,0,1.4,0,,,
2017/1/8,9.0,11.7,6.1,23.0,0,1.0,0,0.0,0,,,
2017/1/9,7.8,12.6,3.5,1.0,0,0.5,0,2.2,0,,,
2017/1/10,5.5,12.9,1.2,0,1,0,1,5.5,0,,,
2017/1/11,3.6,8.0,0.2,0,1,0,1,8.4,0,,,
2017/1/12,5.6,9.6,-0.2,0.0,0,0.0,0,3.4,0,,,
2017/1/13,6.1,8.3,4.1,0.0,0,0.0,0,5.5,0,,,
2017/1/14,2.9,5.5,-1.1,3.0,0,0.5,0,4.7,0,,,
2017/1/15,-0.1,3.7,-2.1,15.5,0,1.0,0,3.4,0,,,
2017/1/16,-0.1,5.6,-3.9,5.0,0,1.0,0,3.1,0,,,
2017/1/17,2.1,8.5,-2.6,0.0,0,0.0,0,5.7,0,,,
2017/1/18,3.8,10.2,-1.5,0.0,0,0.0,0,3.9,0,,,
2017/1/19,6.0,12.2,1.7,0.0,0,0.0,0,5.1,0,,,
2017/1/20,4.2,8.0,1.9,16.5,0,2.0,0,2.1,0,,,
2017/1/21,3.4,7.0,0.9,6.0,0,1.5,0,1.3,0,,,
2017/1/22,3.1,5.6,0.9,4.0,0,0.5,0,2.8,0,,,
2017/1/23,1.2,3.6,-1.0,0.0,0,0.0,0,5.3,0,,,
2017/1/24,1.0,6.2,-3.0,0.0,0,0.0,0,6.1,0,,,
2017/1/25,2.4,10.6,-2.7,0.5,0,0.5,0,7.2,0,,,
2017/1/26,2.6,10.7,-3.0,0.0,0,0.0,0,9.7,0,,,
2017/1/27,2.9,8.6,-1.4,0.5,0,0.5,0,1.0,0,,,
2017/1/28,4.5,13.2,-1.7,0,1,0,1,9.6,0,,,
2017/1/29,5.9,9.6,1.2,17.0,0,2.0,0,0.0,0,,,
2017/1/30,8.5,12.8,4.2,7.0,0,1.0,0,2.3,0,,,
2017/1/31,4.7,10.1,0.9,0.0,0,0.0,0,7.6,0,,,
2017/2/1,4.5,9.3,0.9,0.0,0,0.0,0,0.9,0,,,
2017/2/2,4.3,11.4,-1.4,0,1,0,1,9.8,0,,,
2017/2/3,5.0,14.1,-1.9,0,1,0,1,9.4,0,,,
2017/2/4,7.4,16.1,0.6,0.0,0,0.0,0,6.2,0,,,
2017/2/5,9.1,13.0,6.7,18.5,0,1.5,0,0.1,0,,,
2017/2/6,6.5,10.1,3.6,2.0,0,0.5,0,5.0,0,,,
2017/2/7,5.3,10.3,1.7,0.5,0,0.5,0,3.2,0,,,
2017/2/8,4.1,7.9,0.0,2.5,0,0.5,0,0.3,0,,,
2017/2/9,4.2,7.3,1.1,6.0,0,0.5,0,0.8,0,,,
2017/2/10,0.5,4.2,-2.2,1.0,0,0.5,0,4.6,0,,,
2017/2/11,0.8,5.1,-2.9,0.5,0,0.5,0,6.6,0,,,
2017/2/12,2.2,8.8,-1.3,0.5,0,0.5,0,6.3,0,,,
2017/2/13,3.1,11.6,-2.3,0,1,0,1,8.8,0,,,
2017/2/14,4.4,10.4,-0.6,0.5,0,0.5,0,5.1,0,,,
2017/2/15,5.2,12.6,-0.4,0,1,0,1,9.7,0,,,
2017/2/16,7.2,17.1,-0.8,0,1,0,1,9.7,0,,,
2017/2/17,10.6,16.5,6.7,6.5,0,1.0,0,1.2,0,,,
2017/2/18,7.6,11.6,4.9,0,1,0,1,8.0,0,,,
2017/2/19,5.8,12.2,-0.9,0.0,0,0.0,0,9.4,0,,,
2017/2/20,7.6,12.6,3.8,11.0,0,1.5,0,0.1,0,,,
2017/2/21,5.7,10.0,0.7,0.5,0,0.5,0,7.3,0,,,
2017/2/22,6.6,13.7,-1.5,38.0,0,2.0,0,0.2,0,,,
2017/2/23,9.5,12.7,5.2,8.5,0,2.0,0,0.8,0,,,
2017/2/24,5.0,8.9,0.5,0.0,0,0.0,0,2.5,0,,,
2017/2/25,4.5,11.3,-1.6,0,1,0,1,7.4,0,,,
2017/2/26,5.8,11.9,1.1,0.0,0,0.0,0,1.6,0,,,
2017/2/27,5.7,12.9,-0.4,0.0,0,0.0,0,5.8,0,,,
2017/2/28,6.0,15.0,-1.2,0,1,0,1,10.3,0,,,
2017/3/1,5.2,12.4,-0.6,0.0,0,0.0,0,2.7,0,,,
2017/3/2,6.4,9.8,3.1,11.0,0,1.5,0,0.6,0,,,
2017/3/3,7.7,14.6,3.4,0.5,0,0.5,0,7.8,0,,,
2017/3/4,8.6,17.0,1.9,0,1,0,1,9.5,0,,,
2017/3/5,8.1,13.6,2.2,0,1,0,1,2.6,0,,,
2017/3/6,7.2,13.2,2.3,0,1,0,1,3.2,0,,,
2017/3/7,4.7,9.0,1.4,1.5,0,0.5,0,4.9,0,,,
2017/3/8,3.9,7.3,1.5,1.0,0,0.5,0,3.7,0,,,
2017/3/9,5.8,11.6,1.4,0.5,0,0.5,0,6.3,0,,,
