ダウンロードした時刻：2021/05/14 15:22:22

,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.9,14.1,4.7,0,1,0,1,9.3,0,2.8,晴,快晴
2017/1/2,8.8,14.9,2.4,0,1,0,1,6.2,0,5.3,晴一時曇,晴時々曇
2017/1/3,11.0,14.9,6.4,0,1,0,1,7.4,0,2.5,晴一時曇,快晴
2017/1/4,9.6,15.5,3.4,0,1,0,1,8.3,0,3.5,晴後一時曇,曇一時晴
2017/1/5,8.7,11.1,7.0,0.0,0,0.0,0,3.6,0,7.5,曇時々晴,曇
2017/1/6,7.3,10.0,3.4,0,1,0,1,5.4,0,5.8,曇後晴,快晴
2017/1/7,6.7,10.4,1.9,0,1,0,1,6.5,0,5.3,晴後曇,曇後時々雨
2017/1/8,7.4,8.3,6.7,33.5,0,2.0,0,0.0,0,10.0,大雨,曇一時雨後晴
2017/1/9,9.5,12.3,7.5,0.5,0,0.5,0,3.6,0,4.5,晴時々曇一時雨,晴
2017/1/10,10.1,14.0,6.5,0,1,0,1,9.2,0,1.5,快晴,晴
2017/1/11,7.2,10.6,4.4,0,1,0,1,9.3,0,3.8,晴,晴
2017/1/12,6.8,9.5,4.2,0.0,0,0.0,0,4.2,0,5.0,晴時々曇,晴一時雨
2017/1/13,6.0,9.1,2.6,0.0,0,0.0,0,7.5,0,4.0,晴,晴一時雨、雷を伴う
2017/1/14,3.8,6.9,0.4,0.5,0,0.5,0,7.2,0,5.3,晴後一時雪,晴一時雪、あられを伴う
2017/1/15,2.9,6.3,-0.7,0.0,0,0.0,0,7.3,0,4.3,晴,晴
2017/1/16,5.0,7.8,3.1,0.0,0,0.0,0,7.2,0,4.3,晴一時曇,晴一時雨
2017/1/17,5.7,9.5,2.8,0.0,0,0.0,0,8.1,0,5.0,晴,雨一時曇後晴
2017/1/18,5.5,10.6,0.2,0,1,0,1,8.7,0,6.8,薄曇一時晴,曇後雨
2017/1/19,7.2,10.2,4.0,0.0,0,0.0,0,3.0,0,9.8,曇,晴時々曇
2017/1/20,6.0,11.7,3.0,0.0,0,0.0,0,5.4,0,6.8,晴一時雨,曇一時雨後晴
2017/1/21,5.6,8.6,3.4,0,1,0,1,6.1,0,6.3,晴一時曇,晴一時薄曇
2017/1/22,3.8,9.0,0.5,0.0,0,0.0,0,2.1,0,6.5,曇時々晴一時雨,晴一時曇
2017/1/23,3.2,6.4,0.6,0.0,0,0.0,0,9.6,0,2.0,快晴,晴一時雪
2017/1/24,3.4,7.4,0.7,2.0,0,0.5,0,6.9,0,5.5,晴後時々曇一時雪,雪一時みぞれ後晴、あられを伴う
2017/1/25,4.0,8.2,0.7,0,1,0,1,8.8,0,2.3,晴,晴
2017/1/26,4.5,9.7,0.1,0,1,0,1,9.9,0,0.3,快晴,晴
2017/1/27,7.7,14.9,0.1,0,1,0,1,5.8,0,7.0,晴後曇,晴時々曇
2017/1/28,7.8,11.7,4.4,0,1,0,1,9.4,0,2.5,晴,晴後薄曇
2017/1/29,7.9,11.2,3.2,0.0,0,0.0,0,2.1,0,9.8,曇,曇一時雨
2017/1/30,9.1,12.8,6.3,0.0,0,0.0,0,0.2,0,7.5,曇時々雨,晴時々曇
2017/1/31,4.8,7.9,1.3,0,1,0,1,5.9,0,5.0,晴一時曇,快晴
2017/2/1,5.0,10.5,0.3,0.0,0,0.0,0,3.1,0,6.3,曇時々晴一時雨,晴
2017/2/2,7.1,10.6,3.9,0.0,0,0.0,0,8.9,0,3.3,晴,晴
2017/2/3,8.9,13.2,5.4,0,1,0,1,8.5,0,1.0,晴,快晴
2017/2/4,7.6,13.3,2.8,0,1,0,1,9.4,0,1.5,晴,晴後曇一時雨
2017/2/5,8.2,12.3,6.1,4.0,0,0.5,0,0.0,0,9.3,雨後曇,曇時々晴一時雨
2017/2/6,8.1,11.1,5.4,0.0,0,0.0,0,8.7,0,4.8,晴後一時雨,晴一時雨、みぞれを伴う
2017/2/7,5.7,9.1,3.6,0.0,0,0.0,0,4.8,0,5.5,晴後曇,晴一時曇
2017/2/8,5.5,9.3,1.8,0,1,0,1,8.9,0,6.3,晴後薄曇,曇一時雨
2017/2/9,4.7,8.8,2.8,4.5,0,0.5,0,0.8,0,9.3,雨一時曇,晴時々曇一時雪、みぞれを伴う
2017/2/10,2.7,6.4,0.4,0.0,0,0.0,0,7.4,0,5.0,晴時々雪、あられを伴う,快晴
2017/2/11,2.9,6.9,-0.1,0.0,0,0.0,0,9.8,0,2.5,晴,快晴
2017/2/12,4.2,8.1,1.7,0.0,0,0.0,0,5.7,0,2.3,晴,晴一時曇
2017/2/13,5.7,9.9,2.5,0.0,0,0.0,0,5.8,0,4.5,晴後一時曇,晴時々曇一時雨
2017/2/14,5.2,9.8,1.0,0.0,0,0.0,0,2.8,0,4.3,曇時々晴一時雨,晴後一時曇
2017/2/15,6.1,10.7,2.7,0,1,0,1,8.8,0,3.8,晴一時曇,快晴
2017/2/16,6.7,12.2,0.0,0,1,0,1,8.6,0,5.0,晴一時薄曇,曇
2017/2/17,10.4,14.9,6.9,0.0,0,0.0,0,0.6,0,9.0,曇一時晴,曇一時雨
2017/2/18,9.0,12.4,6.3,0,1,0,1,5.3,0,6.8,曇後晴,晴後曇
2017/2/19,6.9,10.5,3.9,0.0,0,0.0,0,9.9,0,2.8,快晴,晴
2017/2/20,9.2,21.2,2.8,2.0,0,1.0,0,2.6,0,7.5,晴後雨時々曇,曇後一時晴
2017/2/21,5.5,9.3,3.2,0,1,0,1,8.8,0,3.5,晴,晴
2017/2/22,6.9,13.3,0.1,0.0,0,0.0,0,4.9,0,7.0,曇一時晴,雨一時曇
2017/2/23,12.8,16.5,7.9,1.0,0,0.5,0,0.2,0,10.0,曇,曇後一時晴
2017/2/24,7.0,10.2,4.2,0.0,0,0.0,0,6.6,0,8.8,薄曇,晴一時曇
2017/2/25,7.6,11.6,3.5,0,1,0,1,10.0,0,5.3,晴後一時薄曇,曇時々晴
2017/2/26,8.6,12.9,4.5,0.0,0,0.0,0,9.5,0,9.5,薄曇,曇一時晴
2017/2/27,7.3,10.6,4.6,0,1,0,1,10.7,0,3.0,晴,快晴
2017/2/28,6.2,10.5,2.1,0,1,0,1,10.3,0,1.8,晴後一時薄曇,晴後一時薄曇
2017/3/1,6.8,11.3,1.5,0,1,0,1,3.5,0,7.3,薄曇一時晴,曇後一時雨
2017/3/2,9.2,14.7,5.2,0.5,0,0.5,0,6.0,0,6.3,晴時々曇一時雨,晴一時雨
2017/3/3,8.9,13.0,4.9,0.0,0,0.0,0,8.3,0,4.0,晴,晴後薄曇
2017/3/4,8.6,14.3,4.2,0,1,0,1,8.4,0,7.5,薄曇後晴,晴
2017/3/5,10.1,14.5,4.8,0.0,0,0.0,0,4.9,0,8.3,曇一時晴,曇
2017/3/6,10.8,15.0,7.9,0.0,0,0.0,0,0.8,0,9.0,曇,薄曇一時晴
2017/3/7,7.5,10.9,3.9,0.0,0,0.0,0,6.8,0,8.5,曇時々晴,曇時々晴
2017/3/8,5.2,9.6,2.6,0.0,0,0.0,0,10.2,0,3.8,晴一時雪,晴一時曇
2017/3/9,7.0,12.0,1.7,0.0,0,0.0,0,6.2,0,6.5,晴一時曇,晴時々曇
