ダウンロードした時刻：2021/05/14 15:22:51

,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.4,13.2,4.7,0,1,0,1,9.3,0,2.5,晴,快晴
2017/1/2,8.5,14.1,1.8,0,1,0,1,3.6,0,4.0,晴時々曇,晴
2017/1/3,10.8,14.5,5.7,0.0,0,0.0,0,8.2,0,2.0,晴,晴
2017/1/4,9.5,15.0,2.6,0,1,0,1,6.6,0,4.3,晴後一時曇,曇後一時晴
2017/1/5,8.0,10.0,6.2,0,1,0,1,4.2,0,8.3,曇一時晴,曇
2017/1/6,6.3,9.9,2.5,0,1,0,1,7.0,0,5.0,曇後晴,快晴
2017/1/7,5.9,10.6,0.3,0,1,0,1,6.4,0,5.3,晴後曇,曇後時々雨
2017/1/8,7.7,8.4,7.1,16.5,0,1.0,0,0.0,0,10.0,雨,曇後時々晴
2017/1/9,9.5,12.5,6.8,0.0,0,0.0,0,2.4,0,6.0,晴時々雨,晴一時曇
2017/1/10,9.2,13.3,3.9,0.0,0,0.0,0,6.8,0,4.3,晴,晴後時々曇
2017/1/11,7.0,9.7,4.9,0,1,0,1,7.6,0,4.3,晴一時曇,晴後一時曇
2017/1/12,7.1,9.3,4.4,0.0,0,0.0,0,3.3,0,7.3,晴時々曇,晴時々曇
2017/1/13,6.4,9.2,2.7,0.0,0,0.0,0,4.9,0,8.8,晴後一時曇,晴時々曇
2017/1/14,3.3,6.8,-0.1,0.0,0,0.0,0,5.0,0,5.0,晴,晴時々曇一時雪
2017/1/15,2.7,6.4,-1.0,0.0,0,0.0,0,5.4,0,4.5,晴後一時雪,曇時々晴
2017/1/16,4.9,8.4,3.2,0.0,0,0.0,0,6.9,0,5.8,晴一時曇,晴一時曇
2017/1/17,4.9,9.7,1.0,0,1,0,1,8.2,0,4.3,晴,晴後一時薄曇
2017/1/18,4.8,9.9,-0.8,0,1,0,1,9.4,0,8.3,薄曇一時晴,曇
2017/1/19,6.8,10.1,3.9,0.0,0,0.0,0,2.2,0,9.0,曇,晴後曇
2017/1/20,5.3,10.2,2.8,0.5,0,0.5,0,2.6,0,8.0,雨時々曇一時晴、あられを伴う,曇時々雨後晴
2017/1/21,5.1,8.5,3.1,0,1,0,1,6.9,0,5.5,晴後時々薄曇,曇一時晴
2017/1/22,4.7,9.5,2.1,1.0,0,0.5,0,1.0,0,6.8,雨時々曇、みぞれを伴う,晴
2017/1/23,3.1,5.9,1.6,0.0,0,0.0,0,4.8,0,6.8,晴後曇,曇一時雪
2017/1/24,4.0,7.2,1.8,0.0,0,0.0,0,6.9,0,6.3,晴一時曇,晴一時曇
2017/1/25,3.3,7.6,-0.9,0,1,0,1,6.9,0,2.5,晴,晴
2017/1/26,3.8,10.0,-1.7,0,1,0,1,10.0,0,0.5,快晴,晴
2017/1/27,7.0,15.3,-0.3,0.0,0,0.0,0,5.6,0,6.0,晴後時々曇,曇一時雨
2017/1/28,6.7,11.2,2.3,0,1,0,1,9.5,0,6.3,晴,薄曇一時晴
2017/1/29,6.2,10.1,2.0,2.0,0,0.5,0,1.1,0,10.0,曇後時々雨,雨時々曇
2017/1/30,8.6,13.5,5.5,5.0,0,1.0,0,0.7,0,9.0,曇時々雨,晴一時曇
2017/1/31,4.2,7.4,1.0,0,1,0,1,7.5,0,2.8,晴,晴
2017/2/1,4.7,10.3,-0.6,0.0,0,0.0,0,2.7,0,6.8,曇時々晴,曇時々晴
2017/2/2,6.8,10.3,3.1,0.0,0,0.0,0,9.2,0,2.3,晴,晴後時々曇
2017/2/3,8.7,13.3,3.8,0,1,0,1,8.6,0,2.5,晴一時曇,快晴
2017/2/4,7.1,12.9,1.6,0,1,0,1,8.9,0,4.5,晴,晴後曇時々雨
2017/2/5,8.3,12.1,5.8,10.5,0,1.0,0,0.0,0,9.5,雨時々曇,曇後一時雨
2017/2/6,8.0,10.8,4.6,0.0,0,0.0,0,6.5,0,7.3,晴後時々曇,晴一時曇
2017/2/7,5.4,9.3,2.9,0.0,0,0.0,0,3.7,0,7.0,曇一時晴,晴一時薄曇
2017/2/8,4.9,9.4,0.0,0.0,0,0.0,0,8.2,0,5.8,晴後時々薄曇,曇後雨
2017/2/9,5.1,7.8,3.6,4.0,0,1.0,0,0.1,0,10.0,雨一時曇、雷・あられを伴う,曇後一時雪
2017/2/10,3.5,7.0,1.1,0.0,0,0.0,0,6.5,0,5.8,晴時々曇一時雪,晴
2017/2/11,3.6,7.2,1.2,0.0,0,0.0,0,8.1,0,5.0,晴,晴
2017/2/12,3.9,8.2,-1.0,0.0,0,0.0,0,6.2,0,3.3,晴後一時曇,晴
2017/2/13,5.4,10.5,0.0,0,1,0,1,9.3,0,3.8,晴後一時曇,晴後一時曇
2017/2/14,5.6,10.9,2.3,0.0,0,0.0,0,5.6,0,3.3,晴時々曇一時雨,晴
2017/2/15,5.4,11.0,0.5,0,1,0,1,9.9,0,1.5,快晴,快晴
2017/2/16,6.6,13.0,0.1,0,1,0,1,8.5,0,3.8,晴一時薄曇,曇一時晴
2017/2/17,9.4,12.6,5.6,3.0,0,1.5,0,0.2,0,10.0,曇一時雨,曇一時雨
2017/2/18,8.4,13.3,5.9,0.0,0,0.0,0,1.5,0,9.5,曇一時雨,曇時々晴
2017/2/19,6.7,11.7,2.4,0.0,0,0.0,0,10.2,0,2.3,晴,晴後一時曇
2017/2/20,7.1,10.9,2.5,10.5,0,2.0,0,0.8,0,8.5,曇後雨,曇一時晴
2017/2/21,5.2,8.5,1.4,0.0,0,0.0,0,9.0,0,4.0,晴,晴
2017/2/22,4.8,8.4,-0.8,0.5,0,0.5,0,4.3,0,8.0,曇一時晴,雨一時曇
2017/2/23,10.5,14.0,7.2,6.5,0,1.0,0,0.4,0,10.0,曇一時雨,曇後一時晴
2017/2/24,6.7,10.1,4.1,0,1,0,1,6.0,0,8.3,薄曇時々晴,曇時々晴
2017/2/25,7.0,11.4,2.1,0.0,0,0.0,0,9.9,0,7.3,晴後薄曇,薄曇一時晴
2017/2/26,7.4,12.1,2.0,0.0,0,0.0,0,5.6,0,10.0,薄曇,曇一時晴
2017/2/27,7.0,11.1,3.2,0.0,0,0.0,0,6.9,0,5.5,晴一時曇,快晴
2017/2/28,5.5,11.1,0.2,0,1,0,1,10.7,0,0.3,晴,晴
2017/3/1,5.9,10.4,0.6,0,1,0,1,3.7,0,7.5,曇後一時晴,曇一時晴
2017/3/2,8.9,15.4,4.6,0.0,0,0.0,0,6.3,0,8.0,晴時々曇,曇一時雨
2017/3/3,8.5,12.5,4.9,0.0,0,0.0,0,5.5,0,7.3,晴一時曇,晴後薄曇
2017/3/4,8.9,15.1,3.3,0,1,0,1,8.9,0,8.0,晴一時薄曇,晴一時薄曇
2017/3/5,9.6,13.8,3.6,0.0,0,0.0,0,4.7,0,10.0,曇,曇一時晴
2017/3/6,9.9,14.8,6.6,0,1,0,1,1.5,0,10.0,曇,曇一時晴
2017/3/7,6.9,10.7,4.5,0.0,0,0.0,0,6.2,0,5.8,晴時々曇,曇一時晴
2017/3/8,5.1,9.5,2.2,0.0,0,0.0,0,3.5,0,8.0,曇時々晴後一時雨,曇時々晴一時雨
2017/3/9,7.0,10.8,2.1,0.0,0,0.0,0,3.4,0,6.5,晴一時曇,晴後一時曇
