ダウンロードした時刻：2021/05/14 15:23:37

,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知,高知
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,7.6,15.4,2.1,0,1,0,1,8.9,0,0.0,晴,快晴
2017/1/2,8.4,16.8,2.9,0,1,0,1,4.7,0,3.3,晴一時曇,快晴
2017/1/3,9.3,17.3,3.2,0,1,0,1,8.8,0,0.0,快晴,快晴
2017/1/4,9.0,17.1,2.4,0,1,0,1,8.6,0,1.5,晴,晴
2017/1/5,8.1,12.1,4.2,0,1,0,1,3.3,0,7.5,曇一時晴,曇
2017/1/6,9.0,14.4,6.2,0,1,0,1,6.7,0,6.0,曇後晴,晴
2017/1/7,9.3,13.6,4.6,0.0,0,0.0,0,0.7,0,8.5,曇,曇後雨
2017/1/8,10.2,12.4,7.1,23.0,0,1.0,0,0.0,0,8.3,雨,晴
2017/1/9,9.0,15.2,5.0,0.0,0,0.0,0,6.0,0,2.3,晴,快晴
2017/1/10,8.4,15.2,3.0,0,1,0,1,9.0,0,0.8,快晴,晴
2017/1/11,6.6,12.3,2.0,0,1,0,1,8.9,0,0.3,快晴,晴
2017/1/12,5.4,11.0,0.8,0,1,0,1,7.4,0,4.3,晴一時薄曇,晴
2017/1/13,6.0,11.8,1.3,0.0,0,0.0,0,8.8,0,4.3,晴,晴
2017/1/14,4.6,9.2,1.5,0.0,0,0.0,0,9.1,0,3.3,晴,曇
2017/1/15,3.6,7.9,0.7,0.0,0,0.0,0,7.4,0,7.0,晴一時曇,晴
2017/1/16,3.2,8.9,-1.2,0.0,0,0.0,0,4.3,0,4.3,曇一時晴,晴
2017/1/17,5.5,12.2,0.4,0.0,0,0.0,0,9.0,0,5.5,晴後一時薄曇,晴一時薄曇
2017/1/18,6.7,12.1,0.5,0.0,0,0.0,0,5.7,0,7.5,薄曇,曇時々雨
2017/1/19,9.0,14.0,5.5,0.0,0,0.0,0,4.9,0,10.0,薄曇,曇一時晴
2017/1/20,7.3,12.7,3.8,0.0,0,0.0,0,5.6,0,7.3,晴時々曇一時雨,曇時々雨一時晴
2017/1/21,7.3,11.3,3.1,0.0,0,0.0,0,7.5,0,6.8,晴,曇後晴
2017/1/22,5.9,11.9,1.3,0.0,0,0.0,0,4.7,0,6.5,晴,晴
2017/1/23,3.1,8.2,-0.8,0,1,0,1,9.5,0,2.3,晴,晴
2017/1/24,3.3,9.5,-1.7,0,1,0,1,9.0,0,2.5,晴,晴
2017/1/25,4.1,9.8,-1.1,0,1,0,1,6.9,0,2.8,晴,晴
2017/1/26,4.8,11.6,-1.2,0,1,0,1,9.5,0,0.0,快晴,晴
2017/1/27,8.6,16.2,2.0,0,1,0,1,4.9,0,8.0,曇一時晴,晴一時曇
2017/1/28,8.8,15.0,2.3,0,1,0,1,9.4,0,2.0,快晴,晴後曇
2017/1/29,10.2,15.5,5.8,0.0,0,0.0,0,1.3,0,10.0,曇,曇一時雨
2017/1/30,11.6,17.4,7.9,0.0,0,0.0,0,5.5,0,5.0,曇一時雨後晴,晴時々曇
2017/1/31,7.5,12.5,4.5,0.0,0,0.0,0,9.6,0,2.8,晴,晴
2017/2/1,7.2,13.6,2.3,0.0,0,0.0,0,4.9,0,4.3,晴,晴
2017/2/2,7.9,14.2,3.2,0,1,0,1,9.8,0,1.5,晴,快晴
2017/2/3,7.3,14.2,1.0,0,1,0,1,9.8,0,0.0,快晴,晴
2017/2/4,8.3,14.6,2.5,0,1,0,1,5.6,0,8.0,晴時々曇,曇後時々雨
2017/2/5,9.2,12.2,6.4,14.5,0,1.0,0,0.1,0,8.3,雨後時々曇,晴
2017/2/6,8.9,13.7,5.2,0.0,0,0.0,0,9.4,0,3.5,晴,晴一時雨
2017/2/7,7.4,11.5,3.6,0,1,0,1,6.1,0,8.3,薄曇時々晴,晴一時薄曇
2017/2/8,7.1,11.5,1.3,0.0,0,0.0,0,5.5,0,7.8,曇時々晴,曇後雨
2017/2/9,6.6,11.3,4.0,3.5,0,0.5,0,1.9,0,8.0,曇一時雨,晴
2017/2/10,2.9,7.7,-1.2,0.0,0,0.0,0,7.9,0,2.0,晴,晴
2017/2/11,2.3,8.5,-2.8,0,1,0,1,10.1,0,0.8,晴,快晴
2017/2/12,3.3,9.4,-2.2,0,1,0,1,7.4,0,2.0,晴,快晴
2017/2/13,5.0,12.0,-1.2,0,1,0,1,9.7,0,0.8,晴,晴後一時曇
2017/2/14,5.7,11.6,0.8,0.0,0,0.0,0,5.2,0,5.8,曇一時雨後晴,晴
2017/2/15,5.8,12.2,-0.3,0,1,0,1,10.2,0,0.3,晴,快晴
2017/2/16,8.4,16.4,0.6,0,1,0,1,9.4,0,3.5,晴後時々薄曇,晴後時々曇
2017/2/17,11.5,18.3,7.7,0.0,0,0.0,0,0.9,0,6.8,曇時々雨一時晴,晴
2017/2/18,10.3,16.8,5.3,0,1,0,1,8.0,0,3.5,晴一時薄曇,快晴
2017/2/19,7.5,12.2,2.9,0,1,0,1,10.3,0,1.5,快晴,晴時々曇
2017/2/20,8.4,12.2,5.2,2.0,0,0.5,0,0.1,0,8.3,雨一時曇,晴時々曇
2017/2/21,7.3,11.8,4.2,0.0,0,0.0,0,10.4,0,2.8,晴,晴
2017/2/22,6.2,10.9,1.2,21.0,0,2.0,0,0.2,0,7.8,曇時々雨,大雨
2017/2/23,12.0,17.4,7.8,22.5,0,2.0,0,1.6,0,9.3,曇後時々晴,曇後晴
2017/2/24,8.6,13.0,4.7,0.0,0,0.0,0,8.0,0,7.8,晴一時薄曇,薄曇後晴
2017/2/25,7.3,13.7,1.2,0,1,0,1,10.6,0,3.0,晴,晴後一時薄曇
2017/2/26,8.3,14.4,2.6,0,1,0,1,4.9,0,8.3,薄曇,曇後晴
2017/2/27,9.8,15.8,4.4,0,1,0,1,8.7,0,3.0,晴,曇後晴
2017/2/28,9.0,15.0,2.7,0,1,0,1,9.8,0,2.8,晴,晴後一時曇
2017/3/1,8.9,13.2,4.4,0.0,0,0.0,0,0.7,0,8.0,曇後一時雨,曇時々晴一時雨
2017/3/2,10.2,15.7,6.7,0.0,0,0.0,0,6.9,0,3.8,晴,晴
2017/3/3,10.7,16.5,5.8,0,1,0,1,10.6,0,4.0,晴後一時薄曇,晴後薄曇
2017/3/4,10.7,16.4,5.7,0,1,0,1,8.1,0,7.5,薄曇時々晴,晴
2017/3/5,11.5,17.5,5.9,0.0,0,0.0,0,6.2,0,8.0,曇,曇
2017/3/6,11.7,18.2,9.0,0.0,0,0.0,0,3.0,0,7.3,曇,晴後薄曇
2017/3/7,8.4,13.1,4.4,0,1,0,1,8.6,0,6.5,晴,晴一時曇
2017/3/8,6.0,11.5,2.0,0,1,0,1,10.1,0,4.5,晴,曇時々晴
2017/3/9,6.8,12.3,2.6,0.0,0,0.0,0,8.7,0,4.5,晴,晴
