ダウンロードした時刻：2021/05/14 15:07:13

,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡,盛岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,-0.1,3.5,-4.9,0.0,0,0.0,0,0.9,0,8.5,曇時々晴一時みぞれ,曇後一時晴
2017/1/2,3.8,6.3,1.6,3.0,0,1.0,0,1.5,0,10.0,曇後雨,曇時々雨
2017/1/3,1.7,5.1,-0.5,0.0,0,0.0,0,2.4,0,9.3,曇時々晴一時みぞれ,曇時々晴
2017/1/4,0.1,3.7,-2.3,0.5,0,0.5,0,1.9,0,7.5,雪時々曇一時晴、あられを伴う,晴時々曇一時雪、あられを伴う
2017/1/5,-0.4,3.7,-3.5,0.0,0,0.0,0,4.3,0,7.0,晴,晴時々曇一時雪
2017/1/6,-1.5,2.8,-4.3,0,1,0,1,6.2,0,4.5,晴,晴後曇
2017/1/7,2.0,6.7,-2.5,0.0,0,0.0,0,2.5,0,8.5,晴時々曇,曇一時雨後晴
2017/1/8,1.4,5.9,-3.0,0,1,0,1,8.2,0,5.0,晴後時々薄曇,曇後雪
2017/1/9,2.0,4.6,-0.2,4.0,0,0.5,0,0.1,0,10.0,雪後雨,晴一時雨
2017/1/10,0.9,5.6,-2.6,1.5,0,0.5,0,6.0,0,7.0,晴後時々雪,曇一時雪
2017/1/11,-3.7,-2.2,-5.4,0.0,0,0.0,0,3.0,0,6.5,曇時々晴,晴後曇時々雪
2017/1/12,-3.7,-1.6,-4.9,0.0,0,0.0,0,3.1,0,9.8,雪後時々晴,曇後雪
2017/1/13,-3.4,-2.2,-5.3,0.5,0,0.5,0,0.0,0,10.0,雪後曇,曇
2017/1/14,-6.8,-4.4,-10.5,2.0,0,0.5,0,0.0,0,9.0,雪時々曇,晴時々曇
2017/1/15,-6.4,0.3,-13.0,0.0,0,0.0,0,6.6,0,5.8,晴,曇時々晴後一時雪
2017/1/16,-3.3,0.8,-8.3,4.0,0,1.0,0,0.5,0,8.3,雪一時曇,晴一時雪
2017/1/17,-1.5,2.0,-5.3,0.0,0,0.0,0,5.2,0,6.8,晴時々曇,晴後曇
2017/1/18,-1.0,2.8,-4.6,0.0,0,0.0,0,5.5,0,6.5,晴時々曇,雪時々曇
2017/1/19,0.4,4.1,-2.9,3.5,0,1.0,0,5.9,0,6.5,雪後晴,晴時々曇
2017/1/20,-1.6,2.4,-7.0,0.0,0,0.0,0,4.7,0,7.5,曇時々晴,曇時々雪
2017/1/21,-0.7,2.4,-4.3,0.0,0,0.0,0,1.1,0,10.0,曇時々雪一時晴,晴時々曇後雪
2017/1/22,-2.1,0.2,-5.7,1.5,0,0.5,0,0.3,0,9.3,曇一時晴後雪,曇時々雪
2017/1/23,-2.7,0.9,-6.5,1.0,0,0.5,0,2.9,0,7.5,雪時々曇後一時晴,晴後雪
2017/1/24,-4.3,-0.3,-7.9,1.0,0,0.5,0,4.3,0,9.8,曇時々晴一時雪,雪時々晴一時曇
2017/1/25,-3.0,2.1,-8.7,0.0,0,0.0,0,7.3,0,6.0,晴一時雪,晴時々雪
2017/1/26,0.8,4.8,-4.0,0.0,0,0.0,0,5.1,0,7.8,晴一時曇,曇
2017/1/27,0.8,3.4,-2.6,2.5,0,0.5,0,0.3,0,10.0,曇時々雨一時みぞれ,雪時々曇
2017/1/28,0.2,2.6,-2.8,0.0,0,0.0,0,2.8,0,6.0,晴一時雪,晴後時々薄曇
2017/1/29,0.4,4.0,-5.4,0,1,0,1,3.8,0,9.5,曇時々晴,曇後雪
2017/1/30,-0.2,2.1,-3.1,10.5,0,0.5,0,0.0,0,9.5,雪後一時曇,晴時々曇一時雪
2017/1/31,-2.0,1.0,-6.1,0.0,0,0.0,0,6.2,0,6.8,雪後晴一時曇,曇時々晴
2017/2/1,-0.9,2.3,-5.2,2.0,0,0.5,0,0.5,0,9.8,曇後雪,雪時々曇
2017/2/2,-4.4,-1.7,-7.2,0.5,0,0.5,0,4.7,0,9.8,曇時々雪一時晴,雪時々晴
2017/2/3,-1.4,1.8,-6.5,0.0,0,0.0,0,2.7,0,7.8,晴時々雪,晴時々曇
2017/2/4,2.5,4.8,-1.5,0.0,0,0.0,0,2.5,0,6.8,曇後晴,晴
2017/2/5,0.4,5.7,-5.0,2.5,0,1.0,0,0.3,0,8.0,曇,雪時々曇
2017/2/6,1.1,3.1,0.1,9.5,0,1.0,0,0.0,0,10.0,みぞれ時々雪一時雨,曇後一時雪
2017/2/7,-0.7,1.7,-3.2,1.5,0,0.5,0,3.8,0,6.8,雪時々晴,曇時々雪一時晴
2017/2/8,-1.4,2.9,-4.2,0.0,0,0.0,0,6.0,0,5.3,晴一時雪,晴後曇一時雪
2017/2/9,-0.9,2.2,-3.7,0.0,0,0.0,0,0.9,0,10.0,曇後一時晴,曇後雪
2017/2/10,-0.5,2.2,-2.2,6.0,0,0.5,0,0.1,0,9.0,雪後時々曇,晴時々曇一時雪
2017/2/11,-1.7,1.6,-5.3,2.0,0,0.5,0,4.1,0,7.5,晴一時曇後雪,晴時々曇一時雪
2017/2/12,-0.2,4.2,-5.2,0.0,0,0.0,0,1.1,0,8.3,曇時々雪,晴時々曇
2017/2/13,1.1,4.4,-2.2,0.0,0,0.0,0,1.5,0,9.5,曇時々雪,曇後一時晴
2017/2/14,1.0,5.2,-2.3,0.0,0,0.0,0,5.5,0,8.8,晴一時曇後雪,雪後時々晴一時曇
2017/2/15,1.3,4.8,-3.2,0.0,0,0.0,0,4.2,0,7.8,晴時々曇,晴一時薄曇
2017/2/16,3.4,8.1,-1.7,0.0,0,0.0,0,0.2,0,8.3,曇後一時雨,曇後一時雨
2017/2/17,5.3,11.0,-0.7,14.0,0,1.5,0,0.5,0,7.3,雨時々曇,晴時々雪
2017/2/18,-1.5,0.9,-3.0,0.0,0,0.0,0,7.6,0,3.8,晴後一時雪,晴時々雪
2017/2/19,-2.3,0.6,-5.0,0.0,0,0.0,0,5.7,0,6.5,晴時々雪,曇時々晴後一時雪
2017/2/20,-1.2,2.3,-3.4,20.5,0,1.0,0,0.0,0,10.0,雪,雪時々晴一時曇
2017/2/21,-1.7,0.4,-5.5,0.0,0,0.0,0,7.6,0,6.0,晴一時曇,晴一時雪
2017/2/22,-1.8,1.8,-7.9,0,1,0,1,2.2,0,8.5,曇一時晴,曇後雪
2017/2/23,1.1,5.0,-0.8,6.5,0,0.5,0,0.0,0,10.0,雪後雨,雪時々雨
2017/2/24,-0.4,1.5,-2.2,0.5,0,0.5,0,6.3,0,6.3,晴後時々雪,雪時々曇後一時晴
2017/2/25,0.3,4.6,-4.6,0.0,0,0.0,0,7.3,0,5.0,晴,雪時々晴一時曇
2017/2/26,1.2,4.2,-1.2,1.0,0,0.5,0,3.8,0,7.5,晴時々曇後一時雪,晴時々曇一時雪
2017/2/27,-1.0,2.8,-4.7,0.0,0,0.0,0,8.3,0,5.0,晴,快晴
2017/2/28,-1.8,5.0,-9.3,0,1,0,1,10.7,0,0.0,快晴,晴後一時曇
2017/3/1,0.5,6.8,-6.3,0,1,0,1,9.0,0,6.8,晴後薄曇,曇
2017/3/2,2.8,7.2,-2.3,0,1,0,1,0.3,0,10.0,曇,曇時々晴
2017/3/3,2.1,6.4,-0.5,0.0,0,0.0,0,5.4,0,6.3,晴一時曇,晴一時雪
2017/3/4,1.2,5.0,-1.7,4.0,0,1.0,0,3.1,0,7.0,雪時々晴一時雨,晴
2017/3/5,1.0,6.4,-3.8,0,1,0,1,9.2,0,4.5,晴後一時薄曇,曇
2017/3/6,3.5,10.3,-1.8,1.5,0,0.5,0,2.9,0,9.3,曇時々雨,晴時々雨一時雪
2017/3/7,-0.8,2.2,-2.3,1.5,0,0.5,0,2.6,0,8.8,雪,雪時々曇一時晴
2017/3/8,-1.1,2.5,-3.7,3.5,0,0.5,0,3.2,0,7.3,雪後一時晴,雪
2017/3/9,0.4,2.6,-1.4,4.0,0,0.5,0,0.5,0,10.0,雪,雪時々曇
