ダウンロードした時刻：2021/05/14 15:24:03

,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.1,13.8,4.9,0,1,0,1,7.7,0,2.8,晴一時曇,晴後時々曇
2017/1/2,8.2,10.9,5.0,0.5,0,0.5,0,0.0,0,5.5,曇時々雨,晴一時曇
2017/1/3,9.0,14.8,5.6,0,1,0,1,8.1,0,2.8,晴,快晴
2017/1/4,9.8,15.8,5.3,0,1,0,1,8.3,0,4.5,晴一時薄曇,晴時々曇
2017/1/5,9.4,12.3,5.9,0,1,0,1,1.1,0,10.0,曇,曇
2017/1/6,9.2,13.3,6.2,0,1,0,1,8.3,0,7.0,晴時々曇,晴時々薄曇
2017/1/7,8.0,11.0,3.8,8.0,0,1.0,0,1.0,0,8.3,曇後時々雨,雨
2017/1/8,11.1,13.7,9.1,24.5,0,1.0,0,0.7,0,10.0,雨時々曇一時晴,曇時々雨
2017/1/9,10.8,12.3,8.1,1.0,0,1.0,0,3.0,0,7.8,曇時々晴,曇時々晴
2017/1/10,8.2,12.1,6.2,0,1,0,1,3.0,0,7.3,曇後晴,晴後一時雨
2017/1/11,6.5,8.8,4.1,0.0,0,0.0,0,6.0,0,6.0,曇後晴,晴後一時曇
2017/1/12,7.3,10.0,3.4,0.0,0,0.0,0,2.0,0,9.3,曇一時雨,曇時々晴
2017/1/13,7.8,9.6,6.4,0.5,0,0.5,0,3.8,0,7.3,晴後時々雨,曇時々晴
2017/1/14,4.9,6.8,3.2,0.0,0,0.0,0,2.5,0,7.8,曇時々晴一時雨,晴後雪一時曇
2017/1/15,3.0,6.9,0.6,0.0,0,0.0,0,5.7,0,5.5,晴時々曇,晴
2017/1/16,3.9,10.1,0.0,3.0,0,1.0,0,4.2,0,7.5,晴後曇一時雨、あられを伴う,曇時々晴一時雨
2017/1/17,5.9,11.1,2.2,0.0,0,0.5,0,7.3,0,9.5,曇時々晴,晴時々薄曇
2017/1/18,8.2,15.3,2.7,0,1,0,1,5.6,0,7.3,曇一時晴,曇
2017/1/19,8.8,13.0,5.7,0.0,0,0.0,0,3.4,0,10.0,曇,曇一時雨
2017/1/20,6.8,9.7,3.5,8.0,0,2.0,0,1.1,0,9.3,雨後晴一時雪、あられを伴う,晴一時雨、みぞれを伴う
2017/1/21,6.5,9.5,3.4,0.0,0,0.0,0,6.2,0,8.3,晴後薄曇,雨時々曇
2017/1/22,5.1,7.0,3.4,9.5,0,1.5,0,2.3,0,8.8,雨時々曇一時雪,曇時々雪一時みぞれ
2017/1/23,3.2,5.2,0.2,2.5,0,0.5,0,4.8,0,7.5,晴時々曇一時雪,曇時々晴
2017/1/24,3.6,6.1,1.2,0,1,0,1,3.9,0,6.3,晴時々曇,晴
2017/1/25,3.6,9.4,-0.6,0,1,0,1,7.5,0,2.3,晴一時曇,晴
2017/1/26,5.7,11.3,0.9,0,1,0,1,9.5,0,0.8,晴,晴
2017/1/27,8.8,14.9,3.8,0.0,0,0.0,0,2.1,0,6.3,曇一時雨,晴一時薄曇
2017/1/28,7.8,13.9,2.7,0,1,0,1,9.3,0,2.5,晴後一時薄曇,曇時々晴
2017/1/29,12.2,19.0,5.8,9.0,0,2.5,0,1.2,0,10.0,雨時々曇,曇時々雨
2017/1/30,10.2,16.0,7.1,2.5,0,1.0,0,4.5,0,8.0,晴時々雨一時曇,晴時々曇一時雨
2017/1/31,7.8,12.5,5.7,0.5,0,0.5,0,5.4,0,9.3,曇時々晴,曇
2017/2/1,7.9,9.9,7.1,0.0,0,0.0,0,1.2,0,8.3,曇後晴,晴一時曇
2017/2/2,7.8,11.4,3.7,0,1,0,1,9.7,0,0.0,快晴,快晴
2017/2/3,7.7,13.6,2.7,0,1,0,1,9.4,0,4.0,晴,晴後曇
2017/2/4,10.7,16.2,6.6,1.0,0,0.5,0,3.1,0,9.8,曇一時晴,雨一時曇
2017/2/5,10.6,13.0,8.4,17.5,0,1.0,0,0.0,0,8.8,雨時々曇,晴時々曇
2017/2/6,8.5,11.0,7.3,0.0,0,0.0,0,8.7,0,4.3,晴,晴一時曇
2017/2/7,8.6,13.1,5.6,0,1,0,1,7.4,0,5.5,曇時々晴,曇時々晴
2017/2/8,7.5,11.2,5.5,5.5,0,0.5,0,1.0,0,8.3,曇時々雨,雨
2017/2/9,5.4,7.8,3.8,8.0,0,1.0,0,1.6,0,8.3,曇時々雨一時晴,曇時々晴一時雪
2017/2/10,3.1,4.9,0.5,0.0,0,0.0,0,3.0,0,9.3,雪時々曇一時晴、あられを伴う,曇一時雪、あられを伴う
2017/2/11,3.7,6.1,0.3,1.5,0,0.5,0,2.4,0,9.3,曇一時雪、あられを伴う,晴時々曇一時雪
2017/2/12,5.2,9.9,1.8,0.0,0,0.0,0,5.8,0,5.5,晴一時雪、みぞれを伴う,晴
2017/2/13,5.4,10.8,1.2,0,1,0,1,8.1,0,3.5,晴,晴
2017/2/14,6.5,11.0,3.5,0.0,0,0.0,0,5.5,0,5.0,晴時々曇一時雨,晴一時曇
2017/2/15,7.5,12.9,2.8,0,1,0,1,10.4,0,0.8,晴,快晴
2017/2/16,11.3,18.6,4.2,0,1,0,1,9.9,0,1.5,晴一時薄曇,晴後雨時々曇
2017/2/17,15.2,19.5,10.6,1.5,0,1.5,0,2.4,0,7.0,曇時々雨一時晴,晴
2017/2/18,9.3,12.0,6.8,0,1,0,1,9.0,0,3.8,晴一時曇,晴
2017/2/19,8.7,13.4,2.6,0,1,0,1,10.4,0,2.3,快晴,晴後一時雨
2017/2/20,12.9,18.6,8.2,2.5,0,1.0,0,1.2,0,8.8,雨時々曇一時晴,曇時々晴一時雨
2017/2/21,7.8,11.5,4.7,0,1,0,1,6.4,0,5.0,曇後晴,晴
2017/2/22,10.2,16.0,4.7,10.5,0,1.5,0,0.0,0,9.5,雨時々曇,雨後一時曇
2017/2/23,10.3,13.9,8.1,1.5,0,0.5,0,2.2,0,8.8,曇一時雨,曇時々晴一時雨
2017/2/24,7.5,11.3,4.6,0.0,0,0.0,0,6.3,0,6.8,晴時々曇一時雨,晴時々曇
2017/2/25,6.8,11.5,2.4,0.0,0,0.0,0,3.8,0,7.3,曇時々晴,曇時々晴
2017/2/26,8.3,12.5,4.7,0,1,0,1,3.5,0,10.0,曇,晴時々曇
2017/2/27,8.6,14.3,3.9,0,1,0,1,9.7,0,1.8,晴,晴
2017/2/28,8.7,14.6,3.8,0,1,0,1,10.6,0,2.5,晴後一時薄曇,晴後時々薄曇
2017/3/1,9.6,15.4,5.1,0.0,0,0.0,0,5.5,0,4.8,曇後晴,晴後時々雨
2017/3/2,9.7,11.8,8.7,5.0,0,1.5,0,2.5,0,9.0,雨一時曇、雷・ひょうを伴う,曇後一時晴
2017/3/3,9.9,13.8,7.8,0,1,0,1,8.7,0,7.0,晴一時曇,曇一時晴
2017/3/4,10.7,16.7,6.3,0,1,0,1,10.6,0,5.3,晴一時薄曇,晴後一時薄曇
2017/3/5,11.0,16.0,7.3,0,1,0,1,0.9,0,6.5,曇,曇一時晴
2017/3/6,10.1,13.9,7.2,0.0,0,0.0,0,3.9,0,8.3,曇後時々晴,晴時々薄曇
2017/3/7,7.7,10.0,6.4,0.5,0,0.5,0,5.3,0,7.5,晴時々雨一時曇,曇時々晴
2017/3/8,6.0,8.4,4.2,0.5,0,0.5,0,2.4,0,9.8,雨時々みぞれ一時曇、あられを伴う,曇時々雨
2017/3/9,9.1,12.0,6.1,0.0,0,0.0,0,6.4,0,6.3,曇後晴,晴
