ダウンロードした時刻：2021/05/14 15:24:48

,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.9,13.5,2.0,0,1,0,1,9.1,0,0.3,晴,晴後時々曇
2017/1/2,7.7,11.6,2.9,0.0,0,0.0,0,0.4,0,6.7,曇,晴一時曇
2017/1/3,7.7,15.2,2.2,0,1,0,1,5.4,0,3.7,晴時々霧,快晴
2017/1/4,8.0,14.8,1.8,0,1,0,1,8.2,0,2.7,晴,晴時々曇
2017/1/5,8.8,12.1,5.6,0,1,0,1,0.0,0,10.0,曇,曇
2017/1/6,8.8,13.6,5.5,0,1,0,1,7.4,0,4.0,晴一時曇,晴
2017/1/7,7.8,11.7,2.4,5.5,0,1.0,0,1.6,0,10.0,曇時々雨一時晴,雨
2017/1/8,11.7,15.8,9.2,18.5,0,1.5,0,1.7,0,9.7,雨後曇一時晴,曇時々雨一時晴
2017/1/9,9.9,12.3,5.7,0.0,0,0.0,0,0.9,0,7.7,曇一時雨,晴時々曇
2017/1/10,6.7,11.2,3.4,0,1,0,1,2.6,0,5.7,曇時々晴,晴一時曇
2017/1/11,4.9,8.6,1.9,0.0,0,0.0,0,7.6,0,4.3,晴一時曇,曇時々晴
2017/1/12,4.9,8.9,0.4,0.0,0,0.0,0,1.0,0,9.3,曇,曇後晴
2017/1/13,6.8,9.3,4.9,0.0,0,0.0,0,4.1,0,7.7,晴後曇時々雨,晴時々曇一時雨
2017/1/14,4.9,7.2,2.5,0.0,0,0.0,0,8.3,0,3.0,晴,晴一時雪
2017/1/15,2.4,6.5,-0.8,0.0,0,0.0,0,8.9,0,2.3,晴,晴
2017/1/16,2.8,9.4,-2.4,0.0,0,0.0,0,7.6,0,4.0,晴一時みぞれ,晴一時雨
2017/1/17,5.1,11.2,-0.3,0,1,0,1,8.9,0,4.7,晴一時薄曇,晴一時薄曇
2017/1/18,7.2,13.8,1.5,0.0,0,0.0,0,5.4,0,8.7,曇時々晴,曇時々晴
2017/1/19,8.7,12.4,5.7,0.0,0,0.0,0,1.4,0,10.0,曇,曇一時雨
2017/1/20,6.0,8.9,2.4,1.5,0,0.5,0,1.7,0,10.0,雨時々雪一時曇、みぞれを伴う,晴時々みぞれ一時曇
2017/1/21,5.5,9.6,1.0,0,1,0,1,7.9,0,7.3,晴時々曇,曇後雨
2017/1/22,4.8,8.3,2.7,0.5,0,0.5,0,2.1,0,9.7,雨時々曇一時雪、みぞれを伴う,晴時々曇
2017/1/23,2.3,5.3,-0.3,0.0,0,0.0,0,5.4,0,7.7,晴時々雪一時曇,晴一時曇
2017/1/24,1.8,7.0,-1.9,0,1,0,1,6.3,0,5.0,晴時々曇,快晴
2017/1/25,2.4,9.2,-3.3,0,1,0,1,9.8,0,3.0,晴,晴一時曇
2017/1/26,4.3,10.5,-0.5,0,1,0,1,10.0,0,0.7,晴,晴後時々曇
2017/1/27,6.9,14.0,1.0,1.0,0,0.5,0,3.4,0,5.7,晴時々曇一時雨,晴一時薄曇
2017/1/28,6.8,14.3,0.3,0,1,0,1,9.4,0,3.3,晴後一時薄曇,曇一時晴
2017/1/29,9.8,14.4,4.1,4.5,0,2.0,0,0.4,0,10.0,雨時々曇,曇時々雨
2017/1/30,9.6,14.4,4.4,0.5,0,0.5,0,5.3,0,6.3,晴時々曇一時雨,曇時々晴一時雨
2017/1/31,7.2,10.4,3.8,0.0,0,0.0,0,4.4,0,7.0,晴時々曇,曇
2017/2/1,6.9,9.9,2.8,0,1,0,1,4.1,0,6.3,曇後晴,晴
2017/2/2,5.3,12.4,-0.2,0,1,0,1,10.3,0,0.0,快晴,快晴
2017/2/3,6.6,13.9,0.2,0,1,0,1,10.0,0,3.0,晴,晴後曇
2017/2/4,9.3,13.3,5.3,0.5,0,0.5,0,0.8,0,10.0,曇,曇後雨
2017/2/5,9.8,13.7,7.8,23.5,0,2.0,0,0.2,0,7.7,雨時々曇,晴時々曇
2017/2/6,7.5,11.3,4.7,0,1,0,1,7.7,0,3.3,晴,晴一時薄曇
2017/2/7,6.4,12.2,2.0,0,1,0,1,6.4,0,8.0,薄曇時々晴,晴時々薄曇
2017/2/8,6.1,10.4,2.1,4.5,0,0.5,0,1.7,0,10.0,曇時々晴一時雨,雨
2017/2/9,4.5,7.1,1.5,2.0,0,0.5,0,1.4,0,9.3,雨時々曇,晴一時雪
2017/2/10,1.7,5.1,-0.4,0.5,0,0.5,0,3.6,0,10.0,雪時々晴一時曇,雪時々晴一時曇
2017/2/11,2.5,7.2,-0.7,2.0,0,0.5,0,6.7,0,7.0,曇時々晴一時雪,晴時々曇一時雪
2017/2/12,3.5,9.5,-0.7,0.0,0,0.0,0,7.6,0,3.0,晴一時曇,晴
2017/2/13,4.2,11.4,-1.4,0,1,0,1,9.0,0,0.3,晴,晴後曇
2017/2/14,5.3,11.3,1.0,0.0,0,0.0,0,5.1,0,4.3,晴一時曇,晴一時曇
2017/2/15,6.0,12.6,0.0,0,1,0,1,10.5,0,0.3,快晴,快晴
2017/2/16,9.0,16.1,0.6,0.0,0,0.0,0,9.6,0,3.7,晴,雨時々曇一時晴
2017/2/17,13.6,19.3,9.0,6.5,0,1.0,0,2.3,0,6.7,曇一時雨,晴
2017/2/18,8.0,12.3,3.1,0,1,0,1,8.9,0,2.0,晴一時薄曇,快晴
2017/2/19,6.6,11.9,-0.1,0,1,0,1,10.6,0,3.3,快晴,曇一時雨
2017/2/20,11.8,17.4,7.6,17.5,0,2.5,0,0.7,0,8.3,雨後曇一時晴,晴後曇
2017/2/21,7.8,12.3,4.3,0.0,0,0.0,0,7.2,0,3.3,晴時々曇,晴
2017/2/22,8.4,14.1,2.6,27.0,0,5.0,0,0.0,0,10.0,曇時々雨,雨後時々曇
2017/2/23,9.7,13.9,4.9,1.5,0,0.5,0,1.5,0,7.7,曇時々雨一時晴,晴一時曇
2017/2/24,6.8,12.5,2.9,0.0,0,0.0,0,8.5,0,8.0,晴時々曇,晴
2017/2/25,5.5,11.5,0.2,0.0,0,0.0,0,5.8,0,8.0,晴時々曇,晴時々薄曇
2017/2/26,7.2,12.1,2.9,0,1,0,1,2.2,0,10.0,曇,晴時々薄曇
2017/2/27,7.9,14.2,2.2,0,1,0,1,8.2,0,2.7,晴,快晴
2017/2/28,8.5,15.5,2.0,0,1,0,1,11.1,0,2.3,晴一時薄曇,晴
2017/3/1,8.3,14.4,2.9,0.0,0,0.0,0,4.9,0,6.7,曇時々晴,曇一時雨
2017/3/2,8.9,12.4,6.2,0.0,0,0.0,0,6.1,0,8.3,雨時々晴一時曇,晴時々曇一時雨
2017/3/3,8.5,15.0,2.7,0,1,0,1,10.6,0,5.0,晴,薄曇時々晴
2017/3/4,10.1,16.7,4.9,0,1,0,1,10.9,0,5.7,晴時々薄曇,薄曇一時晴
2017/3/5,9.4,13.8,5.3,0,1,0,1,0.7,0,7.7,曇,曇一時晴
2017/3/6,9.2,15.2,5.6,0,1,0,1,5.1,0,8.0,曇後晴,薄曇時々晴
2017/3/7,7.1,11.2,5.0,0.0,0,0.0,0,6.1,0,6.0,晴後雨時々曇,曇時々晴
2017/3/8,5.4,8.4,3.5,0.0,0,0.0,0,4.8,0,7.3,雨時々晴一時曇、みぞれを伴う,雨一時曇
2017/3/9,7.4,12.7,2.9,0.5,0,0.5,0,7.9,0,3.7,晴時々曇,晴後一時曇
