ダウンロードした時刻：2021/05/14 15:25:09

,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎,長崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,8.4,14.4,3.8,0,1,0,1,8.3,0,2.3,晴一時曇,晴後一時曇
2017/1/2,10.2,14.5,5.7,0.0,0,0.0,0,1.9,0,6.5,曇一時晴,晴時々曇
2017/1/3,9.9,15.0,6.7,0,1,0,1,8.1,0,2.3,晴,晴
2017/1/4,9.8,15.6,5.4,0,1,0,1,8.1,0,3.8,晴,曇時々晴
2017/1/5,10.9,14.3,8.5,0,1,0,1,0.2,0,10.0,曇,曇
2017/1/6,9.7,14.0,6.7,0,1,0,1,6.9,0,6.8,晴一時曇,晴
2017/1/7,8.8,12.3,5.1,4.5,0,1.0,0,1.0,0,8.0,曇一時晴後雨,雨
2017/1/8,12.2,16.2,9.9,37.0,0,2.0,0,3.4,0,8.5,雨後曇一時晴,曇一時雨
2017/1/9,10.4,13.1,5.6,0.5,0,0.5,0,1.1,0,6.8,曇時々晴一時雨,晴後時々曇
2017/1/10,7.8,10.2,5.0,0,1,0,1,0.3,0,8.0,曇後一時晴,晴時々曇
2017/1/11,6.4,9.0,4.4,0.0,0,0.0,0,2.6,0,8.3,曇後晴,曇時々晴
2017/1/12,6.5,9.4,3.0,0.5,0,0.5,0,0.5,0,10.0,曇,雨後曇時々晴
2017/1/13,7.7,9.4,6.0,1.0,0,1.0,0,2.9,0,7.5,晴時々曇一時雨,曇時々雨一時晴
2017/1/14,5.1,7.5,3.8,0.0,0,0.0,0,4.4,0,6.8,曇後晴一時雨,晴後一時曇
2017/1/15,2.8,5.9,0.2,0.0,0,0.0,0,7.8,0,2.5,晴一時曇,晴
2017/1/16,4.5,9.1,0.2,0,1,0,1,8.8,0,5.8,晴時々薄曇,晴
2017/1/17,6.1,11.6,1.7,0,1,0,1,7.8,0,4.8,薄曇時々晴,晴時々薄曇
2017/1/18,8.4,12.5,3.6,0.0,0,0.0,0,2.7,0,8.5,曇,曇
2017/1/19,8.7,11.6,6.3,0.0,0,0.0,0,0.1,0,9.8,曇,曇後一時雨
2017/1/20,6.6,11.0,2.6,7.5,0,2.0,0,0.4,0,8.5,雨後一時雪、あられを伴う,晴一時曇
2017/1/21,5.7,9.7,0.3,0.0,0,0.0,0,6.7,0,5.0,晴時々曇,曇後雨
2017/1/22,6.0,9.1,3.6,2.0,0,1.0,0,0.6,0,9.8,雨時々曇、あられを伴う,雪時々曇、あられを伴う
2017/1/23,2.1,4.4,0.0,1.0,0,0.5,0,2.5,0,7.5,雪後時々晴,晴後曇
2017/1/24,2.8,5.6,-0.5,0.0,0,0.0,0,1.7,0,6.3,曇一時雪後晴,晴
2017/1/25,3.3,10.1,-1.7,0,1,0,1,7.5,0,4.5,晴時々曇,晴一時曇
2017/1/26,5.8,11.1,1.5,0,1,0,1,8.7,0,2.5,晴,晴後曇
2017/1/27,9.5,15.1,4.1,0.0,0,0.0,0,2.6,0,8.0,曇時々晴一時雨,晴一時曇
2017/1/28,7.5,13.9,2.2,0,1,0,1,8.5,0,2.5,晴後一時薄曇,曇一時晴
2017/1/29,14.0,20.5,6.9,9.0,0,6.0,0,1.6,0,8.0,曇時々雨,曇時々雨
2017/1/30,9.5,16.1,2.7,0.0,0,0.0,0,1.7,0,7.0,晴時々曇一時雨,晴後一時曇
2017/1/31,6.7,10.3,2.2,0,1,0,1,3.2,0,6.0,曇一時晴,曇一時晴
2017/2/1,7.7,10.3,3.9,0.0,0,0.0,0,4.6,0,5.0,曇後晴,晴
2017/2/2,6.1,11.4,1.5,0,1,0,1,9.0,0,0.0,快晴,快晴
2017/2/3,7.8,14.1,2.0,0,1,0,1,8.8,0,2.0,晴,曇時々晴
2017/2/4,10.3,14.0,6.6,0.5,0,0.5,0,0.1,0,10.0,曇後時々雨,大雨時々曇
2017/2/5,11.7,14.2,9.1,41.5,0,9.0,0,0.2,0,9.8,雨後曇,曇一時晴
2017/2/6,7.6,10.7,3.3,0,1,0,1,8.3,0,4.5,晴一時曇,晴後薄曇
2017/2/7,7.0,12.1,2.6,0,1,0,1,8.4,0,7.5,薄曇後晴,晴一時薄曇
2017/2/8,7.4,11.7,2.9,5.0,0,0.5,0,2.1,0,7.3,曇,雨
2017/2/9,4.9,6.2,2.7,5.5,0,0.5,0,0.2,0,9.8,雨後曇,雪時々曇
2017/2/10,2.9,4.6,0.1,0.5,0,0.5,0,2.1,0,9.8,雪一時あられ,雪一時曇
2017/2/11,3.3,5.8,0.6,1.5,0,0.5,0,2.7,0,9.0,雪一時曇,曇時々雪一時晴
2017/2/12,4.7,8.3,1.5,0.0,0,0.0,0,3.2,0,6.5,曇一時雨後時々晴,晴一時曇
2017/2/13,5.4,11.2,0.8,0,1,0,1,7.3,0,2.3,晴,晴後曇一時雨
2017/2/14,7.8,11.8,3.5,1.0,0,0.5,0,6.9,0,5.0,晴一時雨,快晴
2017/2/15,6.3,12.2,1.3,0,1,0,1,9.7,0,0.0,快晴,快晴
2017/2/16,11.1,16.9,4.2,0.0,0,0.0,0,7.5,0,5.3,晴後曇,曇後雨
2017/2/17,15.3,18.6,10.7,3.0,0,1.5,0,2.0,0,7.5,曇時々晴一時雨,晴
2017/2/18,8.2,11.0,6.4,0,1,0,1,7.4,0,3.8,晴時々曇,晴
2017/2/19,8.5,14.3,1.7,0,1,0,1,9.7,0,2.3,快晴,曇時々晴
2017/2/20,13.2,17.7,7.1,14.0,0,4.0,0,0.5,0,7.5,雨後時々曇一時晴,晴
2017/2/21,8.4,12.5,5.5,0,1,0,1,8.7,0,2.5,晴,晴後曇
2017/2/22,12.0,17.4,5.5,17.5,0,2.5,0,0.0,0,9.8,雨時々曇,雨
2017/2/23,9.3,13.6,7.4,2.5,0,2.5,0,0.1,0,10.0,曇一時雨,曇時々晴
2017/2/24,6.7,10.5,3.7,0,1,0,1,8.7,0,7.3,薄曇時々晴,晴後一時曇
2017/2/25,6.7,11.2,2.4,0.0,0,0.0,0,2.5,0,8.0,曇,曇
2017/2/26,8.2,10.9,5.2,0.0,0,0.0,0,0.1,0,9.5,曇,晴一時曇
2017/2/27,7.9,14.0,2.8,0,1,0,1,5.6,0,2.3,晴,晴
2017/2/28,8.9,14.8,3.9,0,1,0,1,9.8,0,2.8,晴,晴一時薄曇
2017/3/1,9.4,15.0,4.6,3.0,0,1.0,0,3.4,0,8.3,曇時々晴,曇時々雨、雷を伴う
2017/3/2,9.4,11.7,7.5,1.0,0,0.5,0,2.0,0,8.5,雨後曇,晴
2017/3/3,8.3,13.1,3.4,0,1,0,1,9.7,0,3.8,晴,曇時々晴
2017/3/4,10.0,15.8,5.5,0,1,0,1,9.8,0,5.0,晴,晴
2017/3/5,9.7,13.5,6.7,1.0,0,0.5,0,0.5,0,8.8,曇後雨,曇一時晴
2017/3/6,9.7,13.1,7.2,0,1,0,1,6.0,0,6.8,曇後晴,晴時々薄曇
2017/3/7,7.6,10.8,5.3,0.0,0,0.0,0,5.7,0,7.5,晴後曇一時雨,曇一時雨
2017/3/8,6.2,8.6,4.6,2.0,0,0.5,0,2.2,0,9.5,雨時々曇一時雪,曇時々雨
2017/3/9,9.1,11.5,5.1,0.5,0,0.5,0,7.2,0,6.8,曇後晴,晴
