ダウンロードした時刻：2021/05/14 15:07:53

,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台,仙台
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,4.4,9.3,0.2,0.0,0,0.0,0,3.7,0,8.3,晴時々曇後一時雨,曇時々晴
2017/1/2,6.8,10.3,3.3,0.0,0,0.0,0,0.6,0,8.5,曇後一時晴,晴
2017/1/3,5.3,8.4,2.1,0.0,0,0.0,0,5.4,0,7.0,曇時々晴,晴後一時雨
2017/1/4,3.0,6.1,1.3,2.5,0,0.5,0,1.4,0,7.8,雨後時々晴,晴時々雪一時雨、みぞれを伴う
2017/1/5,2.1,5.6,0.2,0.0,0,0.0,0,5.9,0,5.0,雪後晴,晴一時雪
2017/1/6,1.7,5.6,-1.3,0,1,0,1,7.6,0,5.8,晴,晴時々曇
2017/1/7,4.5,9.2,0.1,0,1,0,1,5.2,0,4.8,晴,晴時々曇
2017/1/8,4.3,6.8,1.0,2.0,0,0.5,0,5.1,0,7.5,晴後曇,雨一時曇
2017/1/9,4.9,8.2,1.6,6.5,0,0.5,0,1.6,0,8.5,雨時々曇,晴一時雨
2017/1/10,5.3,9.8,1.4,0.0,0,0.0,0,8.1,0,3.8,晴後一時雨,雪時々曇一時みぞれ
2017/1/11,0.2,3.1,-1.4,0.5,0,0.5,0,7.7,0,8.5,雪時々晴,雪一時曇
2017/1/12,-0.9,0.7,-1.7,2.0,0,0.5,0,0.0,0,10.0,雪後一時曇,雪後時々曇
2017/1/13,-0.1,2.3,-1.8,0.0,0,0.0,0,3.6,0,10.0,曇時々晴一時雪,曇一時雪
2017/1/14,-1.9,-0.1,-4.2,0.0,0,0.0,0,1.0,0,10.0,曇一時雪,雪時々曇後一時晴
2017/1/15,-2.5,0.7,-5.2,0.5,0,0.5,0,5.4,0,7.8,晴時々雪,雪後一時曇
2017/1/16,1.2,4.5,-2.7,0.5,0,0.5,0,6.1,0,9.0,晴時々曇一時雪,曇時々晴
2017/1/17,2.4,5.7,-1.3,0,1,0,1,7.4,0,7.0,晴,晴時々曇一時雪
2017/1/18,3.1,7.1,-0.8,0.0,0,0.0,0,5.0,0,6.5,晴,晴
2017/1/19,3.8,7.6,0.4,0.0,0,0.0,0,7.7,0,5.3,晴後一時曇,曇
2017/1/20,2.1,5.2,0.3,2.0,0,0.5,0,4.2,0,10.0,曇後時々雨一時みぞれ,雪一時みぞれ
2017/1/21,3.2,6.8,0.3,0.0,0,0.0,0,5.8,0,6.8,晴一時曇,晴
2017/1/22,3.3,9.4,-0.9,0.0,0,0.0,0,4.1,0,8.3,晴時々曇後一時雨,晴時々曇一時雨
2017/1/23,0.6,3.2,-1.9,0.0,0,0.0,0,5.7,0,7.0,雪後晴,晴時々雪一時曇
2017/1/24,-2.3,-0.9,-4.7,1.5,0,0.5,0,1.1,0,6.5,雪後一時晴,晴
2017/1/25,0.0,4.4,-5.5,0,1,0,1,9.5,0,2.8,晴,晴時々曇
2017/1/26,2.8,8.1,-1.7,0,1,0,1,8.1,0,4.0,晴,晴後曇
2017/1/27,5.1,12.6,-0.4,0.0,0,0.0,0,3.9,0,7.3,曇後一時雨,晴一時雪
2017/1/28,4.4,7.8,2.0,0,1,0,1,7.1,0,6.0,晴一時曇,晴
2017/1/29,4.1,7.6,-0.5,0,1,0,1,7.3,0,7.5,曇時々晴,曇後一時雨
2017/1/30,5.4,12.3,0.6,0.0,0,0.0,0,6.5,0,8.0,晴時々雨,雪時々晴
2017/1/31,2.0,4.9,-1.5,0.0,0,0.0,0,8.9,0,4.5,晴,晴一時曇
2017/2/1,3.0,9.8,-1.3,0.0,0,0.0,0,4.0,0,6.5,晴時々曇一時雨,雪
2017/2/2,-1.3,2.0,-3.7,2.5,0,0.5,0,4.8,0,9.3,雪,雪一時晴
2017/2/3,2.0,5.9,-2.4,0.0,0,0.0,0,6.3,0,7.8,雪後晴,晴一時曇
2017/2/4,5.3,9.1,3.0,0.0,0,0.0,0,4.3,0,8.0,晴時々みぞれ一時雪,曇一時晴
2017/2/5,5.5,7.9,2.7,0.5,0,0.5,0,1.5,0,10.0,曇後一時雨,雨一時曇
2017/2/6,5.4,11.0,3.1,3.0,0,0.5,0,4.6,0,9.3,晴一時曇後雨,曇一時雪
2017/2/7,0.9,3.4,-1.8,0.0,0,0.0,0,4.4,0,6.3,雪後一時晴,雪時々薄曇一時晴
2017/2/8,1.3,5.0,-1.8,0.0,0,0.0,0,5.5,0,8.8,雪後晴,曇
2017/2/9,1.3,2.4,0.4,2.0,0,0.5,0,0.0,0,10.0,雪時々曇一時みぞれ,雪
2017/2/10,2.2,6.0,0.4,2.0,0,0.5,0,2.0,0,10.0,雪後曇,曇後晴
2017/2/11,2.2,6.7,-2.1,0.0,0,0.0,0,9.1,0,5.0,晴,晴時々雪
2017/2/12,3.6,6.9,0.6,0.0,0,0.0,0,7.4,0,8.8,薄曇一時雪,晴
2017/2/13,4.3,8.2,1.8,0,1,0,1,10.1,0,2.0,晴,晴
2017/2/14,3.5,8.2,-1.4,0.0,0,0.0,0,7.6,0,4.8,晴時々曇,晴
2017/2/15,4.2,8.2,-0.1,0.0,0,0.0,0,8.6,0,4.0,晴,晴一時曇
2017/2/16,6.8,12.7,-0.1,0,1,0,1,9.3,0,1.8,晴,晴
2017/2/17,8.4,17.2,2.8,0.0,0,0.0,0,5.4,0,5.3,曇後雨,晴一時雨
2017/2/18,2.7,6.2,-0.4,0.0,0,0.0,0,7.4,0,5.3,晴,晴一時雪
2017/2/19,1.5,5.0,-1.0,0.0,0,0.0,0,9.7,0,5.0,晴,曇一時晴
2017/2/20,3.4,6.8,-0.8,1.5,0,0.5,0,0.3,0,9.8,雨時々曇一時あられ,雨一時雪
2017/2/21,0.8,3.7,-1.0,0.5,0,0.5,0,4.7,0,6.8,雪一時晴,晴一時雪
2017/2/22,2.7,6.7,-2.6,0,1,0,1,4.6,0,8.0,薄曇,曇時々雨、あられを伴う
2017/2/23,4.8,9.5,1.5,3.0,0,0.5,0,0.1,0,9.5,雨,雨時々曇一時雪
2017/2/24,2.9,5.7,1.2,0.0,0,0.0,0,4.9,0,6.8,曇後晴,晴一時曇
2017/2/25,3.5,7.9,0.0,0.0,0,0.0,0,7.1,0,3.5,晴,晴
2017/2/26,5.0,10.0,1.2,0.0,0,0.0,0,6.8,0,4.3,晴後曇,晴一時曇
2017/2/27,2.6,6.8,-0.2,0,1,0,1,8.4,0,6.0,晴一時曇,晴一時曇
2017/2/28,1.8,6.2,-2.5,0,1,0,1,8.8,0,3.8,晴,曇後時々晴
2017/3/1,3.7,8.0,-1.1,0,1,0,1,8.4,0,5.8,晴後薄曇,曇
2017/3/2,5.2,6.9,2.7,0.0,0,0.0,0,0.0,0,10.0,曇後一時雨,曇一時雨
2017/3/3,6.2,9.9,2.4,0.0,0,0.0,0,9.4,0,5.0,晴,晴一時曇
2017/3/4,6.0,13.5,0.7,0.0,0,0.0,0,7.4,0,3.0,晴後一時雨,晴
2017/3/5,5.5,10.9,0.7,0,1,0,1,6.4,0,4.5,晴後一時薄曇,薄曇後一時晴
2017/3/6,6.4,10.3,1.8,0.0,0,0.0,0,2.0,0,8.8,薄曇,晴一時雨
2017/3/7,3.1,6.5,0.5,0.0,0,0.0,0,6.7,0,9.8,曇時々晴一時雪,晴時々曇
2017/3/8,2.2,6.3,-0.7,0.0,0,0.0,0,6.8,0,6.0,晴時々曇一時雪,晴後一時雪
2017/3/9,4.0,8.7,0.5,0.0,0,0.0,0,6.1,0,8.3,曇時々晴一時雨,晴時々曇一時雨
