ダウンロードした時刻：2021/05/14 15:08:19

,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,3.1,6.7,-1.1,0.5,0,0.5,0,1.6,0,9.8,雨時々曇一時雪、あられを伴う,曇時々雨後一時晴
2017/1/2,3.4,5.5,1.2,7.0,0,2.5,0,0.0,0,9.8,雨時々曇、雷を伴う,曇時々雨後一時晴、雷を伴う
2017/1/3,3.0,5.3,1.0,5.5,0,2.5,0,2.1,0,7.3,曇時々雨,雪時々曇一時晴、雷を伴う
2017/1/4,1.2,3.6,0.4,7.0,0,1.0,0,0.7,0,10.0,雪時々みぞれ一時曇,雪、あられを伴う
2017/1/5,-0.4,2.0,-2.4,11.5,0,1.0,0,2.3,0,7.3,雪一時曇,雪時々曇
2017/1/6,0.0,2.2,-2.3,0.0,0,0.0,0,0.7,0,9.8,曇時々雪,曇
2017/1/7,3.0,7.4,-0.2,0.5,0,0.5,0,0.9,0,10.0,雨時々曇一時雪,晴一時曇
2017/1/8,2.5,6.0,-2.6,0,1,0,1,8.0,0,5.0,晴後薄曇,曇後雨
2017/1/9,4.0,5.9,2.0,4.0,0,1.0,0,0.0,0,10.0,雨後一時曇,雨時々雪一時曇、あられを伴う
2017/1/10,1.3,4.9,-2.2,5.0,0,0.5,0,0.7,0,10.0,雪時々曇,雪一時曇
2017/1/11,-2.2,0.4,-3.6,3.5,0,0.5,0,0.2,0,10.0,雪,雪
2017/1/12,-1.9,-0.3,-3.3,2.5,0,0.5,0,0.2,0,10.0,雪、ふぶきを伴う,雪
2017/1/13,-1.9,0.3,-3.9,0.5,0,0.5,0,0.0,0,10.0,雪時々曇,雪時々曇
2017/1/14,-4.6,-2.4,-6.5,5.0,0,0.5,0,0.2,0,10.0,雪時々曇、ふぶきを伴う,雪時々曇
2017/1/15,-5.0,-2.4,-8.4,10.5,0,1.0,0,0.4,0,10.0,雪後一時曇,雪時々曇、雷・あられを伴う
2017/1/16,0.7,4.2,-4.6,3.5,0,1.5,0,7.8,0,9.0,曇時々晴一時雪、雷を伴う,曇時々晴
2017/1/17,-0.5,3.1,-3.3,1.5,0,0.5,0,5.2,0,7.3,雪時々曇一時晴,雪時々曇
2017/1/18,1.2,4.2,-2.1,3.5,0,2.0,0,6.1,0,9.0,晴後曇,曇時々雪一時雨、雷・あられを伴う
2017/1/19,1.6,5.4,-0.8,9.0,0,1.5,0,0.8,0,8.5,雪一時みぞれ、あられを伴う,曇時々晴一時雪
2017/1/20,0.6,4.0,-2.7,0.0,0,0.0,0,6.1,0,7.8,晴後曇,曇時々雪
2017/1/21,1.1,3.9,-0.8,0.0,0,0.0,0,3.9,0,8.8,曇時々晴,曇時々雪
2017/1/22,0.7,4.3,-1.4,11.5,0,1.5,0,0.0,0,10.0,曇時々雪、あられを伴う,雪時々曇、雷を伴う
2017/1/23,-0.9,2.2,-2.8,21.0,0,1.0,0,1.4,0,9.0,雪,雪時々曇
2017/1/24,-2.5,-0.4,-4.1,1.0,0,0.5,0,1.4,0,9.3,曇時々雪,曇時々雪
2017/1/25,-0.4,3.0,-3.2,1.0,0,0.5,0,0.6,0,10.0,雪時々曇,曇一時雪
2017/1/26,3.3,5.9,1.3,0.0,0,0.0,0,1.4,0,10.0,曇一時みぞれ,曇時々晴一時みぞれ
2017/1/27,3.0,8.7,0.2,2.5,0,1.0,0,0.0,0,9.0,曇一時雨、大風を伴う,雪時々曇
2017/1/28,2.2,4.4,-0.6,0.0,0,0.0,0,1.5,0,9.0,曇,曇後時々晴
2017/1/29,2.2,5.3,-1.9,4.0,0,1.0,0,2.6,0,9.0,曇一時晴,雨
2017/1/30,1.3,2.7,-1.4,11.5,0,0.5,0,0.5,0,10.0,雨後一時みぞれ,雪時々曇
2017/1/31,-0.1,2.7,-2.5,1.0,0,0.5,0,0.9,0,10.0,雪時々曇,曇一時雪
2017/2/1,0.7,5.0,-4.0,8.0,0,1.5,0,0.0,0,9.8,雪一時曇、みぞれを伴う,雪
2017/2/2,-2.5,0.0,-5.7,4.0,0,1.0,0,0.8,0,10.0,雪,雪一時曇
2017/2/3,1.1,3.9,-2.2,0.0,0,0.0,0,0.0,0,10.0,雪時々曇,曇
2017/2/4,4.2,6.7,-0.4,0.0,0,0.0,0,1.8,0,7.8,曇一時雪後時々晴,晴
2017/2/5,2.4,6.6,-2.3,1.0,0,1.0,0,0.6,0,8.5,曇,曇後雨
2017/2/6,3.6,8.5,0.8,13.5,0,1.0,0,1.0,0,10.0,雨一時曇,雨時々みぞれ後雪
2017/2/7,-0.2,3.2,-2.8,10.5,0,1.5,0,0.5,0,10.0,雪時々曇、ふぶきを伴う,雪後時々曇
2017/2/8,-0.1,2.2,-2.5,1.0,0,0.5,0,0.0,0,10.0,雪時々曇一時晴、あられを伴う,雪一時曇
2017/2/9,1.1,3.3,-1.3,1.0,0,0.5,0,0.3,0,10.0,雪後曇,曇後雪
2017/2/10,0.6,3.7,-1.3,12.5,0,1.0,0,0.0,0,9.3,雪後時々曇,曇時々雪、雷・あられを伴う
2017/2/11,-0.4,1.1,-1.7,30.5,0,2.5,0,0.0,0,8.8,雪一時曇、雷・あられを伴う,雪時々曇
2017/2/12,1.9,3.1,0.1,9.5,0,1.5,0,0.2,0,10.0,雪後雨,みぞれ時々雪
2017/2/13,1.6,3.1,0.6,4.5,0,0.5,0,1.5,0,10.0,曇時々雪、あられを伴う,雪時々みぞれ一時曇
2017/2/14,1.1,3.9,-0.2,4.0,0,1.0,0,2.7,0,9.0,雪時々曇一時みぞれ,曇時々晴後一時雪
2017/2/15,2.8,4.6,-0.2,1.5,0,0.5,0,0.9,0,10.0,曇時々雪一時晴、あられを伴う,曇時々晴一時みぞれ、あられを伴う
2017/2/16,4.3,8.9,0.4,2.5,0,1.5,0,0.0,0,10.0,曇時々雨一時みぞれ,曇時々雨、あられを伴う
2017/2/17,5.9,10.3,1.6,26.5,0,2.0,0,0.0,0,10.0,雨一時曇,曇時々雪
2017/2/18,-0.7,2.0,-2.2,1.5,0,0.5,0,1.3,0,10.0,雪時々曇,雪一時曇
2017/2/19,-1.2,1.0,-3.6,1.0,0,0.5,0,0.8,0,10.0,雪時々曇,曇後雪
2017/2/20,1.3,6.3,-2.3,32.5,0,2.5,0,0.0,0,10.0,みぞれ時々雪後一時雨,雨後曇一時雪、あられを伴う
2017/2/21,-0.8,1.7,-2.2,1.5,0,0.5,0,1.9,0,10.0,雪一時曇、ふぶきを伴う,曇時々雪
2017/2/22,0.7,2.1,-1.3,0.5,0,0.5,0,0.0,0,10.0,曇後一時雪,雪時々曇後一時雨
2017/2/23,2.7,6.0,0.8,12.0,0,0.5,0,0.0,0,10.0,雨一時曇,雪時々みぞれ一時曇、雷を伴う
2017/2/24,0.9,3.1,-1.1,2.5,0,1.0,0,0.5,0,10.0,曇時々雪、あられを伴う,曇一時雪
2017/2/25,2.7,6.2,-1.5,5.0,0,1.5,0,6.3,0,9.8,曇時々晴,曇一時みぞれ、あられを伴う
2017/2/26,2.6,5.4,-0.3,0.0,0,0.0,0,5.3,0,8.5,晴後曇一時雪,曇時々晴一時雪
2017/2/27,-0.2,3.0,-2.9,0.0,0,0.0,0,6.5,0,4.8,曇後晴,快晴
2017/2/28,-0.6,5.4,-5.6,0,1,0,1,10.9,0,0.0,快晴,晴後時々曇
2017/3/1,1.9,6.9,-3.1,0,1,0,1,5.0,0,9.5,曇一時晴,薄曇後晴
2017/3/2,5.4,10.7,0.6,0,1,0,1,7.3,0,5.3,晴後曇,曇時々晴後一時雨
2017/3/3,3.2,6.4,1.9,1.0,0,0.5,0,0.3,0,9.0,曇時々雨後一時雪,曇一時晴後雪、みぞれを伴う
2017/3/4,2.6,6.7,0.4,6.5,0,1.0,0,2.0,0,8.5,雨時々晴一時雪、雷を伴う,晴
2017/3/5,2.5,6.4,-1.6,0,1,0,1,8.6,0,5.8,晴時々薄曇,曇
2017/3/6,3.5,8.2,1.2,2.5,0,0.5,0,0.1,0,10.0,雨一時曇,みぞれ一時雨後曇
2017/3/7,0.9,3.2,-1.4,2.5,0,0.5,0,3.3,0,10.0,曇時々雪,雪一時曇、雷を伴う
2017/3/8,0.8,3.3,-2.0,6.5,0,1.0,0,2.9,0,10.0,雪一時曇、あられを伴う,雪一時曇
2017/3/9,3.8,7.0,1.3,0.0,0,0.0,0,3.7,0,10.0,曇時々雪,曇時々雪、あられを伴う
