ダウンロードした時刻：2021/05/14 15:09:27

,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,2.6,7.2,-1.1,0.0,0,0.0,0,1.9,0,9.3,曇一時雨、霧を伴う,雨時々曇一時霧
2017/1/2,4.5,8.4,1.6,5.5,0,1.0,0,0.1,0,10.0,曇後一時雨、霧を伴う,雨一時曇、みぞれを伴う
2017/1/3,3.9,7.3,0.9,1.5,0,0.5,0,5.5,0,7.8,曇時々晴,曇時々雨一時霧
2017/1/4,1.7,3.3,-0.1,7.5,0,0.5,0,0.2,0,9.8,雨時々みぞれ一時雪,雪一時雨、みぞれを伴う
2017/1/5,-0.1,2.8,-1.5,3.0,0,1.0,0,1.6,0,9.0,雪一時曇,雪一時曇
2017/1/6,-0.6,1.7,-3.0,0.0,0,0.0,0,0.2,0,9.5,雪後曇,曇一時晴
2017/1/7,3.0,6.6,-1.4,0,1,0,1,1.5,0,8.8,曇,曇一時晴
2017/1/8,3.7,6.0,0.6,0.0,0,0.0,0,4.1,0,7.8,曇時々晴,雨一時曇後雪
2017/1/9,1.7,4.3,0.2,10.0,0,0.5,0,0.1,0,10.0,雪時々雨一時曇、みぞれを伴う,曇一時雨後晴
2017/1/10,2.3,7.8,-1.0,4.0,0,1.0,0,4.9,0,6.8,晴後曇一時雨,雪
2017/1/11,-1.4,-0.5,-2.3,2.5,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/12,-1.7,-0.7,-2.8,7.0,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/13,-2.4,-1.3,-3.3,6.0,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/14,-4.1,-3.0,-5.6,8.0,0,0.5,0,0.0,0,10.0,雪,雪
2017/1/15,-4.2,-2.4,-6.9,19.0,0,1.0,0,0.6,0,9.8,雪一時曇,雪
2017/1/16,-1.1,2.2,-3.3,6.5,0,0.5,0,4.9,0,7.0,雪時々晴一時曇,曇時々晴
2017/1/17,-0.9,4.1,-4.9,0.0,0,0.0,0,5.6,0,8.0,晴一時雪,雪時々曇
2017/1/18,1.1,5.0,-2.6,1.5,0,0.5,0,5.9,0,7.3,晴時々曇,雨時々曇一時雪、みぞれを伴う
2017/1/19,1.8,4.5,0.1,2.0,0,1.0,0,3.1,0,7.5,晴後一時曇,曇
2017/1/20,0.7,3.2,-1.9,0.5,0,0.5,0,6.0,0,9.8,薄曇時々晴一時みぞれ,雪一時曇
2017/1/21,0.9,3.5,-0.8,3.0,0,0.5,0,2.4,0,7.5,曇時々晴一時雪,晴時々曇一時雪
2017/1/22,0.0,4.6,-4.4,1.5,0,0.5,0,1.5,0,8.0,曇一時雪、みぞれを伴う,雪一時曇
2017/1/23,-1.8,0.2,-3.5,5.5,0,0.5,0,1.7,0,8.8,雪後一時曇,雪後一時晴
2017/1/24,-4.0,-1.8,-7.5,4.5,0,0.5,0,0.8,0,8.8,雪,晴時々曇一時雪
2017/1/25,-2.4,2.3,-7.5,0.0,0,0.0,0,4.5,0,6.0,晴,晴時々曇一時雪
2017/1/26,1.7,5.7,-1.7,0,1,0,1,6.5,0,4.8,晴,晴後曇
2017/1/27,1.7,10.3,-3.0,1.5,0,0.5,0,2.8,0,10.0,曇後雨,曇時々晴一時雪
2017/1/28,1.4,4.9,-1.8,0.0,0,0.0,0,0.4,0,6.3,曇後一時晴,晴時々薄曇
2017/1/29,0.9,4.9,-4.7,0,1,0,1,5.9,0,9.3,晴後曇,曇後雨一時みぞれ
2017/1/30,2.1,6.6,-1.0,4.5,0,0.5,0,0.8,0,10.0,雨一時曇,雪
2017/1/31,-0.6,1.3,-3.2,1.5,0,0.5,0,1.9,0,9.3,雪時々曇,曇一時雪後晴
2017/2/1,0.5,6.9,-3.7,3.0,0,0.5,0,3.5,0,6.8,曇時々雨一時晴、みぞれを伴う,雪
2017/2/2,-3.0,-1.1,-5.0,18.5,0,1.0,0,0.0,0,10.0,雪,雪
2017/2/3,0.6,2.8,-1.7,2.5,0,0.5,0,0.7,0,10.0,雪時々曇,曇
2017/2/4,3.4,6.3,1.0,0.0,0,0.0,0,2.9,0,9.5,曇時々晴一時雪,曇時々晴
2017/2/5,2.4,5.5,-0.3,1.0,0,1.0,0,1.5,0,10.0,曇,雨時々曇一時霧
2017/2/6,3.0,7.3,0.3,11.5,0,1.0,0,3.6,0,9.5,雨時々晴一時みぞれ,雪時々曇一時雨
2017/2/7,-1.4,1.6,-3.2,2.5,0,0.5,0,1.4,0,10.0,雪後一時晴,雪
2017/2/8,-0.2,2.9,-3.2,2.0,0,0.5,0,1.7,0,9.8,雪後一時曇,晴時々薄曇一時雪
2017/2/9,-0.2,1.7,-2.6,0.5,0,0.5,0,0.0,0,10.0,雪時々曇,雪一時曇
2017/2/10,0.7,4.4,-1.9,2.5,0,0.5,0,2.2,0,9.5,雪後曇一時晴,晴後曇一時雪
2017/2/11,-0.5,2.1,-2.5,8.0,0,1.0,0,3.7,0,9.8,雪,雪一時曇
2017/2/12,0.8,4.8,-2.4,2.5,0,0.5,0,3.3,0,9.8,雪時々曇,曇時々晴
2017/2/13,1.8,5.1,-0.8,0.0,0,0.0,0,6.1,0,7.0,晴時々曇,曇後晴
2017/2/14,1.8,6.0,-0.2,0.0,0,0.0,0,4.3,0,7.8,曇時々晴,晴時々曇一時雪
2017/2/15,1.7,5.5,-2.7,0.0,0,0.0,0,3.5,0,7.5,曇時々晴一時雪,曇時々晴
2017/2/16,5.1,10.7,-0.1,0,1,0,1,8.0,0,6.0,晴一時曇,晴
2017/2/17,5.8,14.3,-1.3,11.0,0,1.0,0,1.5,0,7.3,曇後雨,曇時々晴一時雨
2017/2/18,0.4,3.3,-1.6,0.0,0,0.0,0,4.6,0,8.3,晴一時雪,雪時々曇
2017/2/19,-1.1,2.0,-3.3,1.5,0,0.5,0,3.4,0,7.3,雪後晴,晴後曇
2017/2/20,0.4,4.6,-2.6,14.0,0,1.0,0,0.0,0,10.0,雨一時曇、みぞれを伴う,雪時々雨一時みぞれ
2017/2/21,-1.3,2.0,-3.0,4.5,0,1.0,0,3.5,0,8.5,雪後晴,曇一時晴
2017/2/22,0.4,3.9,-3.7,0.0,0,0.0,0,3.0,0,10.0,曇一時晴,曇後一時あられ
2017/2/23,3.4,10.2,-0.1,9.0,0,0.5,0,0.0,0,10.0,雨,雪時々曇一時雨
2017/2/24,0.8,3.5,-0.8,0.0,0,0.0,0,2.2,0,10.0,雪時々曇,曇一時雪
2017/2/25,1.8,6.0,-2.1,0.0,0,0.0,0,5.0,0,4.3,晴時々曇一時雪,晴時々曇一時雨、みぞれを伴う
2017/2/26,2.7,6.1,0.0,0.0,0,0.0,0,1.8,0,9.5,曇一時雪,曇後晴
2017/2/27,0.2,3.0,-2.7,0.0,0,0.0,0,2.0,0,6.3,晴時々雪一時曇,晴一時曇
2017/2/28,-0.3,6.0,-5.9,0,1,0,1,10.5,0,0.0,快晴,快晴
2017/3/1,1.5,6.9,-4.2,0,1,0,1,8.1,0,5.0,晴後薄曇,曇後一時晴
2017/3/2,3.9,7.9,-1.0,0,1,0,1,4.6,0,7.5,曇時々晴,曇
2017/3/3,3.2,6.6,1.2,0.0,0,0.0,0,2.7,0,10.0,晴時々雨一時雪、みぞれを伴う,曇一時雪
2017/3/4,4.4,9.3,0.9,0.0,0,0.0,0,5.2,0,7.5,晴後雨,曇時々霧一時晴
2017/3/5,2.7,9.7,-2.5,0,1,0,1,7.6,0,5.3,晴後一時薄曇、霧を伴う,晴一時薄曇
2017/3/6,5.3,14.3,-0.9,0.0,0,0.0,0,4.7,0,8.3,薄曇後一時雨,曇一時雨
2017/3/7,0.9,4.2,-1.5,0.0,0,0.0,0,1.5,0,10.0,曇一時雪,雪
2017/3/8,0.2,3.5,-2.0,1.0,0,0.5,0,2.2,0,8.5,雪,雪時々曇
2017/3/9,2.6,6.4,-0.2,1.5,0,0.5,0,3.7,0,9.8,　雨時々曇一時雪、みぞれを伴う,雨時々曇
