ダウンロードした時刻：2021/05/14 15:09:55

,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,4.5,7.9,1.8,0.0,0,0.0,0,1.4,0,7.5,曇後晴,晴後時々薄曇
2017/1/2,6.0,11.4,1.2,0.0,0,0.0,0,1.8,0,7.8,曇後一時晴,晴後雨一時曇
2017/1/3,5.1,7.8,1.2,0.0,0,0.0,0,3.0,0,6.8,晴時々雨一時曇,晴時々曇
2017/1/4,2.9,6.1,0.1,1.5,0,0.5,0,0.9,0,9.8,雨時々雪一時晴,雨時々晴一時雪
2017/1/5,2.6,5.8,-0.1,0.0,0,0.0,0,6.9,0,4.5,晴一時雪,晴一時曇
2017/1/6,2.3,6.8,-1.1,0.0,0,0.0,0,8.3,0,3.3,晴,晴後一時曇
2017/1/7,3.8,9.8,-1.8,0.0,0,0.0,0,5.7,0,6.3,晴,晴時々曇一時雨
2017/1/8,4.4,7.7,0.6,3.0,0,0.5,0,5.4,0,6.8,晴後曇,雨一時曇
2017/1/9,5.3,8.4,2.3,13.0,0,1.0,0,1.1,0,10.0,雨一時曇,晴一時雨
2017/1/10,5.6,10.2,1.4,1.5,0,0.5,0,7.9,0,4.3,晴後一時雨,雪時々雨
2017/1/11,0.8,2.9,-0.6,0.5,0,0.5,0,4.9,0,7.5,雪一時晴,雪
2017/1/12,0.3,1.6,-0.6,4.5,0,0.5,0,0.2,0,9.3,雪,雪
2017/1/13,0.2,2.2,-1.6,1.0,0,0.5,0,0.7,0,10.0,雪時々曇,曇一時雪
2017/1/14,-2.2,-0.2,-4.2,0.5,0,0.5,0,0.0,0,10.0,曇一時雪,雪一時曇
2017/1/15,-3.1,-1.1,-5.2,7.0,0,1.0,0,0.4,0,9.3,雪一時曇,大雪一時曇
2017/1/16,0.9,4.4,-2.5,6.5,0,1.0,0,3.8,0,9.3,晴時々雪,曇一時晴
2017/1/17,2.0,5.3,-1.2,0.0,0,0.0,0,6.1,0,6.5,晴,曇時々晴一時雪
2017/1/18,2.8,7.0,-0.6,0.0,0,0.0,0,4.6,0,6.0,晴時々曇,晴時々曇一時みぞれ
2017/1/19,2.8,6.2,-2.1,0.0,0,0.0,0,6.0,0,5.3,晴,晴
2017/1/20,-0.6,3.6,-4.6,18.5,0,1.5,0,3.9,0,7.8,曇後雪一時晴,大雪
2017/1/21,2.2,5.9,-0.3,3.0,0,0.5,0,4.0,0,9.0,晴時々曇一時雪,晴
2017/1/22,1.8,7.5,-3.3,0.0,0,0.0,0,5.2,0,6.0,晴後一時曇,雪時々みぞれ一時曇
2017/1/23,-0.1,1.9,-1.6,2.0,0,0.5,0,0.3,0,7.3,雪一時曇,雪一時晴
2017/1/24,-1.8,0.4,-3.2,5.5,0,1.0,0,1.2,0,9.3,雪一時曇,晴後一時雪
2017/1/25,-0.2,3.2,-4.5,0.5,0,0.5,0,4.5,0,7.5,雪時々晴,晴
2017/1/26,1.3,7.0,-3.0,0,1,0,1,5.1,0,3.0,晴時々曇,晴後薄曇
2017/1/27,2.9,10.5,-2.4,0.0,0,0.0,0,4.2,0,9.5,曇時々晴後一時雨,みぞれ時々雨一時晴
2017/1/28,3.1,6.0,-0.3,0.0,0,0.0,0,7.1,0,4.0,晴一時曇,晴後薄曇
2017/1/29,1.8,6.0,-3.0,0.0,0,0.0,0,4.6,0,8.8,晴後曇,曇一時みぞれ
2017/1/30,4.6,11.8,0.7,1.0,0,0.5,0,5.5,0,7.5,晴時々雨一時みぞれ,雪時々曇一時雨
2017/1/31,1.7,4.9,-1.0,0.0,0,0.0,0,8.3,0,4.0,雪時々晴,晴
2017/2/1,1.8,9.0,-3.4,0.0,0,0.0,0,6.7,0,5.5,晴時々曇,雪
2017/2/2,-1.2,1.7,-3.5,6.0,0,0.5,0,1.2,0,10.0,雪,雪
2017/2/3,3.0,6.1,0.3,0.5,0,0.5,0,8.3,0,4.8,雪後晴,晴
2017/2/4,5.6,9.5,1.0,0.0,0,0.0,0,7.4,0,3.8,晴,晴
2017/2/5,2.6,6.2,-1.4,0.5,0,0.5,0,0.6,0,7.5,曇後雨,曇後一時霧
2017/2/6,5.3,10.8,3.0,0.0,0,0.0,0,7.6,0,7.3,雨時々晴一時霧,雨時々雪一時曇
2017/2/7,1.1,3.7,-1.2,0.0,0,0.0,0,4.0,0,8.0,　雪,雪
2017/2/8,1.7,4.6,-0.8,0.0,0,0.0,0,1.7,0,9.3,晴時々曇一時雪,曇一時晴
2017/2/9,0.5,2.1,-1.0,7.0,0,0.5,0,0.0,0,10.0,雪一時曇,雪
2017/2/10,2.1,6.2,-0.1,2.5,0,0.5,0,5.8,0,9.5,雪後薄曇一時晴,晴一時曇
2017/2/11,1.2,6.4,-2.3,2.0,0,0.5,0,8.2,0,4.0,雪時々晴一時曇,雪後晴
2017/2/12,2.9,6.7,0.0,0.0,0,0.0,0,4.5,0,7.5,晴時々雪一時みぞれ,晴一時雪
2017/2/13,3.7,7.9,-0.3,0.0,0,0.0,0,9.3,0,1.5,晴,晴
2017/2/14,2.3,8.1,-3.0,0.0,0,0.0,0,8.7,0,4.0,晴一時曇,晴
2017/2/15,3.9,6.7,0.9,0.0,0,0.0,0,4.2,0,5.3,晴時々曇,晴
2017/2/16,6.4,13.6,-1.5,0,1,0,1,9.5,0,0.8,晴,晴後一時曇
2017/2/17,7.3,15.0,1.6,0.0,0,0.0,0,4.7,0,6.8,晴一時曇後雨,雨後晴時々雪
2017/2/18,2.3,5.5,0.3,0.0,0,0.0,0,6.3,0,5.0,晴時々雪,晴後一時雪
2017/2/19,0.8,4.6,-1.5,0.0,0,0.0,0,7.2,0,7.0,雪後晴,晴後一時曇
2017/2/20,2.0,6.1,-2.1,2.0,0,1.0,0,0.2,0,9.3,曇後雨一時雪,曇時々雨一時晴
2017/2/21,1.2,3.5,-0.9,0.5,0,0.5,0,6.9,0,5.0,雪一時晴,晴時々雪一時曇
2017/2/22,3.9,8.6,-1.2,0.0,0,0.0,0,3.0,0,8.8,曇,曇後雨
2017/2/23,5.8,15.1,1.9,3.0,0,0.5,0,0.2,0,9.3,雨後一時晴,雨後雪
2017/2/24,2.7,6.3,0.6,0.0,0,0.0,0,9.9,0,5.5,晴一時雪,晴
2017/2/25,3.1,9.9,-2.7,0,1,0,1,7.2,0,5.3,　晴時々曇,晴一時曇
2017/2/26,4.0,8.7,0.2,0.0,0,0.0,0,3.8,0,6.0,晴時々曇一時雪,晴一時曇
2017/2/27,3.4,7.8,0.7,0,1,0,1,9.8,0,2.3,晴,晴時々曇
2017/2/28,2.0,8.6,-3.3,0,1,0,1,10.5,0,0.0,快晴,晴
2017/3/1,3.2,10.7,-3.2,0,1,0,1,8.3,0,5.0,晴後曇,曇
2017/3/2,5.3,9.7,2.5,1.0,0,0.5,0,0.0,0,10.0,曇後雨,曇後晴一時雨
2017/3/3,6.1,9.1,3.3,0.0,0,0.0,0,7.0,0,4.3,雨時々晴,晴一時雨
2017/3/4,6.4,12.6,-0.2,0.0,0,0.0,0,6.8,0,3.5,晴後一時曇,晴一時曇
2017/3/5,6.8,13.0,1.2,0,1,0,1,8.2,0,6.5,晴後一時薄曇,曇
2017/3/6,7.1,13.0,1.0,0.0,0,0.0,0,1.2,0,9.5,曇,雨時々晴一時曇
2017/3/7,2.3,5.8,-0.5,0.0,0,0.0,0,4.2,0,8.5,雪一時曇後晴,晴
2017/3/8,1.3,5.4,-2.7,0.0,0,0.0,0,3.5,0,3.5,晴時々曇一時雪,晴後時々曇
2017/3/9,3.9,8.6,-0.5,0.0,0,0.0,0,3.5,0,7.5,曇時々晴一時雨,雨後晴一時曇
