ダウンロードした時刻：2021/05/14 15:10:24

,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,4.9,13.1,-1.1,0,1,0,1,9.0,0,1.5,晴,晴後一時薄曇
2017/1/2,4.4,12.2,-0.6,0.0,0,0.0,0,2.5,0,5.3,曇後時々晴,快晴
2017/1/3,5.3,12.4,-0.1,0,1,0,1,8.2,0,1.5,晴後一時曇,晴後一時曇
2017/1/4,5.1,13.1,-1.6,0,1,0,1,8.5,0,2.3,晴,晴
2017/1/5,3.6,10.0,-1.7,0,1,0,1,9.1,0,1.0,晴,快晴
2017/1/6,2.1,8.5,-3.7,0,1,0,1,8.4,0,4.0,晴時々薄曇,快晴
2017/1/7,2.4,10.0,-3.6,0,1,0,1,9.3,0,0.5,晴,晴
2017/1/8,3.8,9.7,-2.5,10.5,0,1.0,0,2.0,0,8.3,曇後時々雨,雨
2017/1/9,6.0,9.3,2.4,6.5,0,0.5,0,1.3,0,8.5,曇時々雨一時晴,晴
2017/1/10,6.1,12.5,0.6,0,1,0,1,9.4,0,0.0,快晴,快晴
2017/1/11,3.9,10.3,-1.3,0,1,0,1,8.7,0,0.8,晴,晴
2017/1/12,3.1,11.2,-3.5,0,1,0,1,8.9,0,0.5,晴,快晴
2017/1/13,2.6,11.3,-2.9,0,1,0,1,8.7,0,1.8,晴,晴
2017/1/14,0.0,5.8,-3.1,0.0,0,0.0,0,6.0,0,6.0,曇時々晴、あられを伴う,晴
2017/1/15,-0.1,5.5,-4.8,0,1,0,1,9.1,0,1.8,晴,晴
2017/1/16,1.4,7.2,-5.6,0,1,0,1,8.5,0,3.5,晴,晴一時曇
2017/1/17,3.3,9.4,-2.3,0,1,0,1,7.7,0,2.5,晴後一時曇,晴
2017/1/18,3.1,9.9,-2.9,0,1,0,1,8.8,0,2.3,晴,晴時々薄曇
2017/1/19,3.4,10.8,-1.6,0,1,0,1,6.2,0,4.5,薄曇後晴,晴後曇
2017/1/20,1.7,3.4,-1.3,0.5,0,0.5,0,0.0,0,10.0,雨時々曇一時雪、みぞれを伴う,曇時々雨
2017/1/21,4.3,9.6,0.0,0.0,0,0.0,0,7.4,0,4.0,晴一時曇,晴後曇
2017/1/22,5.0,11.3,-0.6,0.0,0,0.0,0,9.4,0,2.5,快晴,快晴
2017/1/23,2.9,7.0,-0.8,0,1,0,1,8.6,0,0.3,晴,快晴
2017/1/24,0.6,6.2,-4.0,0,1,0,1,7.8,0,2.0,晴後時々曇,快晴
2017/1/25,1.1,8.2,-6.2,0,1,0,1,9.5,0,0.5,晴,快晴
2017/1/26,1.8,9.8,-5.4,0,1,0,1,9.8,0,0.0,快晴,晴後薄曇
2017/1/27,5.0,14.1,-2.7,0,1,0,1,3.6,0,6.3,曇後晴,晴
2017/1/28,5.2,12.0,-1.2,0,1,0,1,9.1,0,1.3,　晴,晴後曇
2017/1/29,5.9,11.2,0.7,0.0,0,0.0,0,3.0,0,10.0,曇,曇一時雨
2017/1/30,8.6,16.1,4.2,0.0,0,0.0,0,5.1,0,6.3,曇後晴,晴
2017/1/31,3.9,8.9,0.5,0,1,0,1,10.0,0,0.5,快晴,曇時々晴
2017/2/1,4.1,9.4,0.5,0.0,0,0.0,0,2.3,0,8.0,曇一時雪後時々晴,快晴
2017/2/2,2.9,8.3,-1.1,0,1,0,1,10.0,0,0.0,快晴,晴
2017/2/3,3.9,11.6,-3.1,0,1,0,1,10.1,0,1.3,晴,快晴
2017/2/4,4.2,12.7,-3.3,0,1,0,1,10.3,0,0.0,快晴,晴
2017/2/5,5.2,11.1,-1.3,0.5,0,0.5,0,1.2,0,7.0,曇後雨,曇後一時雨
2017/2/6,8.1,14.4,3.4,0.0,0,0.0,0,9.1,0,3.0,晴,快晴
2017/2/7,4.1,9.3,0.2,0,1,0,1,9.2,0,3.0,晴,薄曇後晴
2017/2/8,3.0,9.5,-3.2,0,1,0,1,8.9,0,4.5,晴時々薄曇,曇後一時雪、みぞれを伴う
2017/2/9,1.2,2.5,0.0,10.5,0,0.5,0,0.0,0,10.0,雪後雨、みぞれを伴う,雨後曇
2017/2/10,3.6,8.5,0.8,0.0,0,0.0,0,4.5,0,9.5,曇時々晴、みぞれを伴う,曇後晴
2017/2/11,3.5,8.8,-3.8,0,1,0,1,9.3,0,1.3,晴,快晴
2017/2/12,4.1,10.4,-2.8,0,1,0,1,9.9,0,0.8,晴,快晴
2017/2/13,3.6,10.8,-3.7,0.0,0,0.0,0,7.7,0,3.3,晴後時々曇,快晴
2017/2/14,3.3,10.4,-3.8,0,1,0,1,9.2,0,2.5,晴後時々曇,快晴
2017/2/15,4.3,11.5,-3.7,0,1,0,1,10.3,0,1.3,晴,晴
2017/2/16,5.4,13.9,-3.1,0,1,0,1,10.3,0,0.8,快晴,晴時々薄曇
2017/2/17,10.3,20.2,0.2,0,1,0,1,8.8,0,7.0,晴後一時曇,晴時々曇
2017/2/18,5.6,8.6,1.9,0,1,0,1,1.9,0,8.0,曇後時々晴,曇時々晴一時雪、あられを伴う
2017/2/19,4.5,9.8,-0.1,0.0,0,0.0,0,10.5,0,5.3,晴,晴時々曇一時雪
2017/2/20,7.9,19.1,-0.9,7.5,0,1.0,0,7.1,0,6.3,晴時々曇一時雨,晴一時雨
2017/2/21,4.3,8.6,-0.4,0,1,0,1,10.2,0,3.5,晴,晴
2017/2/22,4.2,8.5,-2.7,0,1,0,1,5.5,0,7.0,晴後曇,曇後雨
2017/2/23,7.9,13.8,3.6,5.0,0,0.5,0,1.3,0,9.3,雨時々曇一時晴、霧を伴う,曇時々晴
2017/2/24,6.2,10.9,2.7,0.0,0,0.0,0,10.5,0,6.0,晴,晴時々曇
2017/2/25,6.1,12.5,-1.0,0.0,0,0.0,0,9.6,0,5.5,晴,曇時々雨一時晴
2017/2/26,7.3,13.8,1.8,0.0,0,0.0,0,8.1,0,7.3,晴後曇,曇時々雨
2017/2/27,4.5,8.0,1.4,0.0,0,0.0,0,5.0,0,9.0,晴時々曇,晴一時曇
2017/2/28,2.8,8.2,-1.1,0,1,0,1,7.2,0,1.5,晴一時曇,晴
2017/3/1,4.4,10.0,-2.5,0.0,0,0.0,0,9.0,0,5.5,晴後薄曇,雨時々曇
2017/3/2,6.8,9.5,4.4,12.0,0,1.5,0,0.0,0,10.0,曇後雨,雨時々霧一時曇
2017/3/3,6.7,13.0,2.5,0.5,0,0.5,0,4.8,0,5.8,晴時々霧一時雨,快晴
2017/3/4,6.5,14.4,-1.9,0,1,0,1,10.9,0,1.5,晴,快晴
2017/3/5,6.5,12.3,0.6,0,1,0,1,8.3,0,5.0,晴後薄曇,薄曇
2017/3/6,7.7,11.7,3.0,0.0,0,0.0,0,1.6,0,9.3,曇一時雨,晴時々曇
2017/3/7,3.6,6.5,-0.2,0.5,0,0.5,0,0.0,0,8.5,曇時々雨一時みぞれ,晴一時曇、霧を伴う
2017/3/8,3.2,11.1,-3.4,0,1,0,1,7.1,0,3.5,晴時々曇、霧を伴う,晴
2017/3/9,5.6,13.8,-3.2,0,1,0,1,9.2,0,2.0,晴,晴
