ダウンロードした時刻：2021/05/14 15:10:52

,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮,宇都宮
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,4.9,12.1,-0.8,0,1,0,1,9.5,0,3.5,晴,晴
2017/1/2,4.6,12.5,-0.6,0,1,0,1,4.2,0,4.3,曇後晴,快晴
2017/1/3,4.9,12.4,-1.0,0,1,0,1,8.9,0,1.8,晴,快晴
2017/1/4,4.4,11.8,-1.6,0.0,0,0.0,0,8.1,0,1.3,晴,晴
2017/1/5,3.2,9.0,-1.6,0,1,0,1,8.3,0,2.0,晴,快晴
2017/1/6,1.9,8.9,-3.6,0,1,0,1,9.3,0,5.5,薄曇時々晴,晴
2017/1/7,2.0,8.8,-3.8,0,1,0,1,9.3,0,1.3,快晴,晴
2017/1/8,3.1,8.3,-2.5,8.0,0,0.5,0,0.8,0,8.3,曇後一時雨,雨
2017/1/9,6.7,10.8,3.8,7.5,0,0.5,0,2.0,0,7.8,雨後曇時々晴,晴
2017/1/10,5.8,12.6,0.3,0,1,0,1,9.6,0,0.3,快晴,快晴
2017/1/11,3.4,10.5,-1.6,0,1,0,1,9.3,0,0.5,晴,快晴
2017/1/12,2.6,10.8,-3.0,0,1,0,1,9.0,0,0.8,晴,快晴
2017/1/13,1.5,7.3,-2.5,0.0,0,0.0,0,5.2,0,3.3,晴一時曇、みぞれを伴う,晴一時曇
2017/1/14,-0.5,4.0,-3.4,0.0,0,0.0,0,4.2,0,9.0,曇時々晴一時雪,曇後一時雪
2017/1/15,-1.0,3.1,-4.0,0.0,0,0.0,0,7.4,0,6.0,晴後一時曇,晴後一時曇
2017/1/16,0.7,6.9,-4.7,0.0,0,0.0,0,9.2,0,6.0,晴,晴時々曇一時雪
2017/1/17,3.1,8.6,-1.1,0.0,0,0.0,0,4.9,0,7.3,晴,晴一時曇、みぞれを伴う
2017/1/18,2.8,8.7,-2.5,0,1,0,1,8.8,0,4.0,晴,薄曇後晴
2017/1/19,2.9,10.4,-2.0,0,1,0,1,7.2,0,6.0,晴時々薄曇,晴時々曇
2017/1/20,1.6,4.8,-0.5,2.5,0,0.5,0,0.1,0,10.0,曇後雪、みぞれを伴う,曇一時雨後晴
2017/1/21,3.5,9.2,-1.1,0.0,0,0.0,0,7.6,0,2.3,晴,晴後曇
2017/1/22,4.3,11.3,-0.8,0,1,0,1,9.5,0,3.5,晴,晴
2017/1/23,1.7,6.9,-3.1,0,1,0,1,9.8,0,2.5,晴,晴
2017/1/24,-0.7,3.9,-4.3,0.0,0,0.0,0,5.3,0,5.8,晴後曇一時雪,晴
2017/1/25,0.1,7.3,-6.4,0,1,0,1,9.6,0,1.5,晴,快晴
2017/1/26,1.5,8.9,-5.5,0,1,0,1,9.9,0,0.0,快晴,晴後薄曇
2017/1/27,4.2,12.9,-2.1,0,1,0,1,4.5,0,6.0,曇後晴,晴後一時薄曇
2017/1/28,4.9,11.7,-1.5,0,1,0,1,9.2,0,1.3,晴,晴後曇
2017/1/29,6.7,11.8,1.9,0.0,0,0.0,0,3.8,0,9.3,曇時々晴,曇一時雨後晴
2017/1/30,7.8,17.2,2.5,0.0,0,0.0,0,8.8,0,2.3,晴,晴
2017/1/31,3.8,8.2,-0.8,0,1,0,1,10.1,0,1.8,快晴,晴
2017/2/1,3.0,8.9,-2.3,0,1,0,1,4.7,0,4.3,曇後晴,晴
2017/2/2,2.7,8.0,-2.2,0,1,0,1,9.7,0,2.3,晴,晴一時曇
2017/2/3,4.2,11.4,-2.1,0,1,0,1,10.2,0,1.0,快晴,快晴
2017/2/4,4.3,11.6,-2.3,0,1,0,1,10.2,0,0.0,快晴,快晴
2017/2/5,4.8,9.8,0.3,0.5,0,0.5,0,1.4,0,7.5,曇後時々雨,晴時々曇後一時雨、霧を伴う
2017/2/6,6.0,15.0,1.7,0.0,0,0.0,0,9.7,0,2.8,快晴,快晴
2017/2/7,2.8,8.5,-1.0,0,1,0,1,9.9,0,3.0,晴,晴一時曇
2017/2/8,2.4,9.1,-3.4,0,1,0,1,8.6,0,5.3,晴後一時薄曇,曇
2017/2/9,1.2,2.1,-0.4,3.5,0,0.5,0,0.0,0,10.0,雪後時々みぞれ,雪後時々曇
2017/2/10,2.9,8.5,-1.2,0.0,0,0.0,0,4.8,0,8.5,曇時々晴一時雪,晴一時薄曇
2017/2/11,2.0,8.6,-5.3,0,1,0,1,9.2,0,1.0,晴,晴
2017/2/12,2.7,10.0,-3.3,0,1,0,1,9.7,0,1.3,晴,快晴
2017/2/13,2.6,9.9,-3.9,0,1,0,1,8.2,0,2.8,晴後一時曇,晴
2017/2/14,2.6,9.5,-3.9,0,1,0,1,9.7,0,2.5,晴後一時曇,快晴
2017/2/15,3.3,11.3,-3.3,0,1,0,1,10.4,0,0.8,晴,快晴
2017/2/16,4.9,13.0,-2.5,0,1,0,1,10.3,0,2.0,快晴,曇時々晴
2017/2/17,9.5,20.3,-0.5,0.0,0,0.0,0,8.8,0,4.0,晴,晴
2017/2/18,5.5,10.0,2.2,0.0,0,0.0,0,5.0,0,6.0,曇後晴,晴時々曇一時雪
2017/2/19,3.8,9.3,-1.7,0.0,0,0.0,0,10.6,0,0.8,快晴,晴後時々曇
2017/2/20,6.7,15.5,-0.1,1.0,0,0.5,0,6.3,0,5.0,曇時々晴後一時雨,晴一時雨
2017/2/21,3.5,8.1,-0.6,0.0,0,0.0,0,7.3,0,3.5,晴時々曇一時雪,晴
2017/2/22,4.0,9.7,-2.9,0,1,0,1,8.0,0,9.0,薄曇,曇後時々雨
2017/2/23,8.7,17.2,3.4,1.5,0,0.5,0,4.2,0,7.3,曇後晴,晴一時薄曇
2017/2/24,5.4,11.0,0.6,0,1,0,1,10.9,0,3.3,晴,晴
2017/2/25,5.2,11.9,-1.7,0.0,0,0.0,0,10.9,0,5.0,晴,曇後晴
2017/2/26,6.7,13.7,0.0,0.5,0,0.5,0,9.7,0,5.3,晴後曇,雨後一時晴、みぞれを伴う
2017/2/27,4.6,10.9,1.4,0.5,0,0.5,0,6.4,0,8.0,晴後一時曇,曇後時々晴
2017/2/28,3.9,10.0,0.4,0,1,0,1,7.5,0,5.3,晴一時曇,晴後一時曇
2017/3/1,4.3,8.3,-0.7,0.0,0,0.0,0,2.7,0,8.5,曇,雨時々曇
2017/3/2,6.9,10.9,4.0,3.0,0,0.5,0,0.7,0,10.0,雨時々曇,曇時々雨後晴、霧を伴う
2017/3/3,6.8,15.3,1.4,0,1,0,1,10.4,0,2.8,晴,快晴
2017/3/4,6.5,14.0,-1.3,0,1,0,1,10.8,0,0.5,晴,快晴
2017/3/5,8.3,15.5,1.3,0,1,0,1,8.0,0,4.8,晴後曇,曇
2017/3/6,7.8,10.9,4.8,0,1,0,1,0.2,0,8.3,曇,晴後曇
2017/3/7,4.3,9.9,-0.4,0.5,0,0.5,0,5.1,0,8.8,曇時々晴後一時雪、みぞれを伴う,晴、霧を伴う
2017/3/8,3.5,11.5,-3.1,0,1,0,1,9.8,0,5.0,晴,快晴
2017/3/9,5.9,14.5,-2.5,0,1,0,1,9.9,0,2.8,晴時々曇,晴
