ダウンロードした時刻：2021/05/14 15:25:36

,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),10分間降水量の最大(mm),10分間降水量の最大(mm),日照時間(時間),日照時間(時間),平均雲量(10分比),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時)
,,,,,,,,,,,,
,,,,,現象なし情報,,現象なし情報,,現象なし情報,,,
2017/1/1,6.5,13.6,0.6,0,1,0,1,9.5,0,0.0,快晴,晴後一時曇
2017/1/2,8.7,14.7,2.1,0,1,0,1,2.5,0,4.8,曇時々晴,晴時々曇
2017/1/3,9.0,15.8,4.0,0,1,0,1,9.2,0,3.0,晴,快晴
2017/1/4,8.1,15.7,1.7,0,1,0,1,8.5,0,2.8,晴後一時曇,曇時々晴
2017/1/5,9.3,14.9,5.0,0.0,0,0.0,0,0.8,0,10.0,曇,曇一時雨
2017/1/6,9.2,14.3,6.3,0.0,0,0.0,0,6.8,0,5.8,晴時々曇,晴
2017/1/7,7.9,12.2,2.1,4.5,0,1.0,0,2.3,0,7.5,曇一時雨,雨一時曇
2017/1/8,12.0,15.2,9.5,29.5,0,1.5,0,1.6,0,8.8,雨後曇時々晴,曇時々晴一時雨
2017/1/9,9.8,12.1,4.7,0.0,0,0.0,0,0.6,0,8.3,曇後時々晴一時雨,晴
2017/1/10,6.1,11.1,2.3,0,1,0,1,1.6,0,7.0,曇後時々晴,晴
2017/1/11,4.7,9.1,0.8,0.0,0,0.0,0,5.7,0,4.0,晴時々曇,晴一時曇
2017/1/12,4.3,9.3,-0.5,0.0,0,0.0,0,2.4,0,7.8,曇時々晴,曇時々晴
2017/1/13,6.9,9.8,3.4,0.0,0,0.0,0,5.6,0,5.8,晴後一時曇,晴時々曇一時雨
2017/1/14,4.6,7.8,2.3,0.0,0,0.0,0,4.4,0,4.3,晴時々曇,晴後時々曇
2017/1/15,1.5,5.4,-1.7,0.0,0,0.0,0,6.0,0,4.8,晴一時曇,快晴
2017/1/16,2.4,9.4,-3.6,0,1,0,1,9.3,0,2.0,晴,晴
2017/1/17,4.4,12.3,-2.0,0,1,0,1,8.4,0,5.8,薄曇時々晴,晴時々薄曇
2017/1/18,6.2,12.1,0.5,0.0,0,0.0,0,0.6,0,8.8,曇,曇時々晴一時雨
2017/1/19,7.3,12.5,3.7,0,1,0,1,0.1,0,9.3,曇,曇時々雨
2017/1/20,5.4,9.1,1.9,3.0,0,1.0,0,2.1,0,8.5,雨時々曇一時雪、あられを伴う,晴一時雪
2017/1/21,3.9,8.9,-1.3,0,1,0,1,7.5,0,4.0,晴,曇後時々雨
2017/1/22,4.4,7.4,2.6,1.5,0,0.5,0,1.2,0,9.5,雨時々曇,曇一時雪
2017/1/23,2.2,5.7,-1.5,0.0,0,0.0,0,5.6,0,5.8,晴時々曇一時雪,晴
2017/1/24,0.8,6.6,-3.9,0.0,0,0.0,0,4.3,0,4.5,晴一時曇,快晴
2017/1/25,1.6,8.8,-4.5,0,1,0,1,10.0,0,1.8,晴,快晴
2017/1/26,3.6,10.8,-2.9,0,1,0,1,10.0,0,0.0,快晴,晴
2017/1/27,6.6,15.2,-0.6,0.0,0,0.0,0,4.6,0,5.5,曇時々晴一時雨,晴後時々曇
2017/1/28,7.6,14.7,1.2,0,1,0,1,9.1,0,3.3,晴,曇時々晴
2017/1/29,12.0,20.3,4.6,5.5,0,1.0,0,1.2,0,8.0,曇後一時雨,雨時々曇
2017/1/30,10.5,15.9,3.2,0.0,0,0.0,0,4.3,0,6.5,晴時々雨一時曇,晴
2017/1/31,5.6,11.7,0.4,0,1,0,1,9.9,0,0.5,快晴,晴後曇
2017/2/1,6.3,10.8,2.2,0.0,0,0.0,0,3.7,0,5.8,曇時々晴一時雨,晴
2017/2/2,4.8,11.6,-1.2,0,1,0,1,10.1,0,1.0,快晴,快晴
2017/2/3,5.9,13.6,-1.5,0,1,0,1,10.2,0,2.5,晴,曇時々晴
2017/2/4,9.5,15.1,4.2,0.0,0,0.0,0,0.9,0,9.8,曇,雨時々曇、雷を伴う
2017/2/5,10.7,13.9,7.8,29.5,0,3.0,0,0.0,0,8.0,雨後曇,晴一時曇
2017/2/6,7.4,11.3,3.4,0,1,0.0,0,7.8,0,2.0,晴,晴後薄曇
2017/2/7,6.4,12.4,1.0,0,1,0,1,8.6,0,7.3,薄曇後晴,晴
2017/2/8,6.3,10.9,0.9,0.0,0,0.0,0,1.7,0,7.5,曇一時晴,雨一時曇
2017/2/9,4.5,6.9,1.2,6.0,0,0.5,0,0.7,0,9.8,雨時々曇,曇時々晴一時雪
2017/2/10,1.9,4.6,0.8,0.0,0,0.0,0,4.4,0,8.0,晴時々曇一時雪,曇後一時雪
2017/2/11,2.6,6.7,0.1,0.0,0,0.0,0,4.2,0,5.8,晴一時曇,晴
2017/2/12,3.1,9.2,-2.2,0,1,0,1,6.9,0,2.5,晴,晴
2017/2/13,4.0,11.2,-2.4,0,1,0,1,9.9,0,1.8,晴,晴時々曇一時雪
2017/2/14,5.6,12.3,0.5,0.0,0,0.0,0,6.1,0,3.0,晴一時みぞれ,晴
2017/2/15,5.5,12.7,-1.1,0,1,0,1,10.6,0,0.5,快晴,快晴
2017/2/16,8.4,17.5,-0.9,0,1,0,1,8.7,0,4.3,晴,曇時々雨一時晴
2017/2/17,13.8,19.7,8.9,6.0,0,1.0,0,2.9,0,7.3,雨後晴時々曇,晴
2017/2/18,8.3,12.5,4.4,0,1,0,1,9.4,0,3.5,晴一時薄曇,晴
2017/2/19,6.3,13.1,-0.9,0,1,0,1,10.6,0,1.3,快晴,曇時々晴
2017/2/20,11.6,16.3,5.6,10.5,0,2.5,0,0.0,0,8.0,雨時々曇,晴一時曇
2017/2/21,7.6,13.4,3.4,0,1,0,1,9.2,0,2.0,晴,晴後時々薄曇
2017/2/22,8.3,15.2,2.0,10.5,0,1.5,0,0.0,0,8.3,曇後雨,雨
2017/2/23,9.7,14.0,5.8,7.0,0,2.0,0,0.3,0,10.0,曇一時雨,晴時々曇
2017/2/24,6.2,11.1,2.3,0.0,0,0.0,0,5.2,0,6.8,薄曇時々晴,晴一時薄曇
2017/2/25,5.6,11.8,-0.5,0,1,0,1,9.1,0,2.8,晴一時薄曇,晴後時々曇
2017/2/26,6.7,11.3,2.6,0,1,0,1,0.1,0,8.3,曇,曇後晴
2017/2/27,8.2,14.9,1.6,0,1,0,1,10.3,0,1.8,晴,晴
2017/2/28,8.6,15.2,1.8,0,1,0,1,10.9,0,2.5,晴後一時薄曇,晴後一時薄曇
2017/3/1,8.1,14.1,2.6,0.0,0,0.0,0,3.2,0,6.8,曇後時々晴,曇一時雨、雷を伴う
2017/3/2,8.8,12.4,5.0,0.5,0,0.5,0,4.2,0,7.8,曇時々晴一時雨,晴
2017/3/3,8.0,13.8,3.0,0,1,0,1,8.1,0,6.5,晴後時々薄曇,薄曇時々晴
2017/3/4,9.8,16.3,3.7,0,1,0,1,10.6,0,6.8,晴,薄曇時々晴
2017/3/5,9.2,13.7,4.4,0.5,0,0.5,0,2.2,0,10.0,薄曇後雨,曇
2017/3/6,9.8,15.0,5.9,0,1,0,1,4.5,0,5.5,曇後晴,晴
2017/3/7,6.7,11.7,1.6,0.0,0,0.0,0,7.6,0,4.5,晴後時々曇一時雨,曇時々雨
2017/3/8,6.0,9.1,4.1,0.0,0,0.0,0,3.9,0,6.5,曇時々晴一時雨,曇時々雨一時晴
2017/3/9,7.8,13.0,3.4,0.0,0,0.0,0,6.9,0,5.8,晴時々曇一時雨,晴
