ダウンロードした時刻：2021/05/19 13:41:59,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,3.5,9,-0.9,15.2,-3.5,4,0,2,0,3.5,0,234.9,0,76,0,47,1004.3
Feb-14,3.1,7.8,-1.1,15.5,-4.3,158,0,11,0,94,0,202,0,67,0,54,1005.4
Mar-14,8,13.4,3.3,23.7,-2.8,41.5,0,4,0,11,0,229.2,0,62,0,50,1001.2
Apr-14,13.5,19.7,7.8,26,2.4,28,0,3,0,15.5,0,242.8,0,62,0,47,1002.5
May-14,19.4,25.9,13.9,34.1,7.3,91.5,0,20,0,60.5,0,262.8,0,60,0,53,997.3
Jun-14,22.8,27.8,19,35.5,16.5,328,0,57.5,0,104,0,151.4,0,35,0,70,994.1
Jul-14,26.1,30.8,22.2,36.7,18.9,147.5,0,39,0,60,0,179.7,0,40,0,71,995.6
Aug-14,26.6,31.2,22.9,38.8,18.5,230.5,0,41.5,0,63,0,141.8,0,34,0,74,996.9
Sep-14,21.7,26.8,17.3,31.9,12.6,70,0,18.5,0,28,0,176.7,0,48,0,65,999.7
Oct-14,17,21.9,13.2,29.5,6.6,224,0,21.5,0,80,0,172.7,0,50,0,66,1004.5
Nov-14,11.9,16.4,7.9,22.3,3.4,57,0,5.5,0,23,0,155.3,0,51,0,64,1004.6
Dec-14,5,9.8,1.1,15.4,-3.4,15.5,0,2.5,0,7.5,0,194.8,0,65,0,55,1000.3
Jan-15,4.1,8.7,0.1,14,-3,24.5,0,5,0,12.5,0,207.6,0,67,0,53,1001.8
Feb-15,4.6,9.5,0.6,18.1,-2.8,5.5,0,1.5,0,3,0,188.1,0,62,0,54,1001.7
Mar-15,8.8,14.4,3.9,24.7,-0.7,40.5,0,4,0,12.5,0,204,0,55,0,51,1003.2
Apr-15,14.1,19.5,9,30.4,2,72.5,0,4.5,0,17.5,0,170.1,0,43,0,60,1003.1
May-15,21,27.3,15.4,33.8,9.2,20.5,0,6,0,7.5,0,256.3,0,59,0,48,996.4
Jun-15,22.1,26.9,18,32.8,13.2,211,0,14,0,55.5,0,150.2,0,34,0,67,995.3
Jul-15,26.6,31.2,22.6,38.2,18.2,184.5,0,17,0,67.5,0,183.9,0,41,0,72,996.1
Aug-15,26.2,30.7,22.9,38.8,16.7,281.5,0,53,0,58,0,140.4,0,34,0,74,996.6
Sep-15,21.9,26,18.7,32.1,14.9,232,0,14.5,0,70.5,0,115.1,0,31,0,73,999.4
Oct-15,17.2,22.5,13.1,27.4,7.5,16.5,0,8,0,9.5,0,211.7,0,61,0,59,1002.3
Nov-15,12.8,17.1,9.4,23.6,2.5,132.5,0,8.5,0,34,0,132.5,0,43,0,70,1007.9
Dec-15,7.6,12.5,3.6,18.1,-0.9,10.5,0,2.5,0,8,0,182.7,0,61,0,59,1006.3
Jan-16,4.4,10,-0.2,18,-6.1,76.5,0,7,0,50.5,0,208.7,0,68,0,56,1002.6
