ダウンロードした時刻：2021/05/19 13:42:28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,1.5,9.7,-4.6,15.4,-7.8,4,0,2,0,3.5,0,227.7,0,74,0,59,989.6
Feb-14,1.4,8,-4.3,18.4,-8.7,171.5,0,12,0,68.5,0,193.2,0,64,0,67,990.7
Mar-14,6.6,13.3,0.8,24.3,-5.5,39.5,0,4.5,0,14,0,207,0,56,0,61,986.8
Apr-14,12.2,19.4,5.2,25.8,-0.4,34,0,5.5,0,20,0,227.4,0,58,0,58,988.1
May-14,18,25.7,10.8,32.7,6.1,85,0,25,0,47.5,0,249.7,0,58,0,64,983.4
Jun-14,21.2,26.5,17.1,35.3,13.4,471,0,37,0,130,0,127.3,0,29,0,80,980.6
Jul-14,24.7,30,20.6,36.6,17.6,115.5,0,25,0,32.5,0,140.1,0,32,0,81,982.2
Aug-14,25.2,30.6,21.5,37.6,18.1,151,0,18,0,20,0,127.4,0,31,0,83,983.6
Sep-14,20.1,25.7,15.6,30.9,9.6,134.5,0,22.5,0,59.5,0,147.9,0,40,0,79,986.1
Oct-14,15.4,21.3,11.1,29.8,2.5,294,0,21.5,0,100,0,152.1,0,44,0,80,990.7
Nov-14,9.7,16.1,4.6,20.8,-0.9,61.5,0,5.5,0,38.5,0,146.5,0,48,0,79,990.6
Dec-14,2.9,9.5,-2.1,13.4,-6.7,17,0,2.5,0,6.5,0,191.4,0,64,0,68,985.9
Jan-15,2.4,8.8,-2.9,15.7,-6.6,31.5,0,9.5,0,20,0,195.7,0,63,0,62,987.3
Feb-15,3.2,9.5,-2,20.2,-6.1,14.5,0,2,0,6,0,186,0,61,0,64,987.1
Mar-15,7.6,14.8,1.3,24.7,-3.4,48,0,4.5,0,18.5,0,193.7,0,52,0,62,988.7
Apr-15,12.8,19.4,7,30.3,1.2,77,0,4.5,0,25,0,155.1,0,40,0,73,988.9
May-15,19.4,27,12.3,33.4,5.1,41,0,11,0,18.5,0,236.6,0,54,0,61,982.6
Jun-15,20.6,26,16.3,31.1,10.5,211,0,43,0,52,0,128,0,29,0,79,981.5
Jul-15,25.1,30.1,21.1,37.2,17.8,365,0,76.5,0,170.5,0,166.1,0,37,0,85,982.6
Aug-15,25,29.9,21.5,36.1,16.2,163.5,0,32.5,0,35.5,0,123.1,0,29,0,83,983.1
Sep-15,20.6,25.2,17.5,31.5,11.6,334.5,0,33.5,0,184.5,0,104.6,0,28,0,85,985.7
Oct-15,15.5,21.6,10.6,26.8,2.3,26,0,11.5,0,12,0,185.9,0,53,0,76,988.4
Nov-15,11.3,16.2,7.2,23.1,-1,95.5,0,7,0,24.5,0,106.2,0,35,0,84,993.7
Dec-15,5.8,12.5,0.4,18,-5.3,18,0,4,0,12.5,0,174.1,0,58,0,74,991.3
Jan-16,1.9,9.3,-4,16.5,-9,78,0,9,0,64.5,0,215.5,0,70,0,70,988.1
