ダウンロードした時刻：2021/05/19 13:42:53,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,
,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
Jan-14,6.2,10.4,2,15.6,-1,44,0,7,0,18,0,194.4,0,63,0,48,1017.2
Feb-14,5.7,9.9,2.5,20.3,-1.6,148.5,0,11.5,0,58.5,0,118.7,0,39,0,55,1017.9
Mar-14,10,13.9,6.3,20.5,0.9,106,0,8,0,30.5,0,192.5,0,52,0,56,1014.1
Apr-14,14.3,18.6,10.5,23.7,5.4,101,0,13.5,0,33.5,0,211.9,0,54,0,59,1015.5
May-14,19.6,24.2,15.8,31.7,10.5,104.5,0,11,0,44,0,238,0,55,0,65,1010.3
Jun-14,22.7,26.5,20.1,31.5,17.8,303.5,0,24,0,112.5,0,146.5,0,34,0,76,1006.6
Jul-14,26.1,30.1,23.1,35,20,90.5,0,52.5,0,56,0,189.7,0,43,0,75,1008.3
Aug-14,27.1,30.8,24.3,34.1,19,71.5,0,11,0,23.5,0,196.7,0,47,0,75,1009.6
Sep-14,22.6,26.7,19.6,31.1,15.9,60.5,0,15,0,29.5,0,152.7,0,41,0,69,1012.1
Oct-14,18.8,22.8,15.4,30.9,10.7,285,0,23,0,102.5,0,135.8,0,39,0,68,1016.9
Nov-14,14.1,17.6,10.7,23.2,6.4,85,0,9.5,0,21,0,136,0,44,0,63,1017
Dec-14,7.8,11.5,4.3,17.3,0.7,95.5,0,13,0,32.5,0,200.5,0,66,0,52,1013.2
Jan-15,6.5,10.4,2.9,17.2,0,91.5,0,12,0,35,0,190.1,0,61,0,49,1014.3
Feb-15,6.2,10.1,3,19.9,-0.8,62,0,5.5,0,21,0,166.5,0,55,0,56,1014.5
Mar-15,10.5,14.5,6.8,21.1,1.4,103,0,8.5,0,29,0,188.6,0,51,0,59,1016
Apr-15,14.5,18.5,10.8,24,1.8,118.5,0,7,0,35,0,149.3,0,38,0,71,1016.2
May-15,21,25.9,17.2,31.6,11.7,72.5,0,17.5,0,25.5,0,237.2,0,55,0,64,1009.3
Jun-15,22.2,26.2,19.3,29.8,13.6,161.5,0,40,0,49.5,0,145.8,0,34,0,73,1008
Jul-15,26.3,29.9,23.8,35.4,19.1,255,0,45,0,115.5,0,201.5,0,46,0,78,1009
Aug-15,26.8,30.6,24.5,38.5,19.3,105,0,21,0,33,0,159.1,0,38,0,78,1008.8
Sep-15,23,26.4,20.5,30.2,16.7,403.5,0,24,0,117,0,122.4,0,33,0,77,1011.7
Oct-15,19,22.6,15.7,28.9,10.7,62,0,28.5,0,35.5,0,192.1,0,55,0,64,1014.8
Nov-15,14.7,18.1,11.8,23.6,5.6,129,0,8,0,26,0,124.1,0,40,0,72,1020.4
Dec-15,10.1,13.7,6.7,23.9,1.7,52,0,9,0,22.5,0,157.4,0,52,0,56,1018.5
Jan-16,6.7,10.8,3,15.9,-0.6,80,0,8,0,59,0,194.2,0,63,0,54,1015.5
Feb-16,7.6,11.9,3.7,22.1,0,60,0,9,0,34,0,168.4,0,54,0,57,1018.2
